#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T00:42:31 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T00:42:31	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/843/16/table2&-out=PGC1,Nm,logK,Dist,sigmaV,R2t,Rg,logMK,logMd&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18430016
#Name: J/ApJ/843/16
#Title: Galaxy groups within 3500km/s (Kourkchi+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/843/16	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/843/16	    IVOID of underlying data collection
#INFO	creator=Kourkchi E.	    First author or institution
#INFO	cites=bibcode:2017ApJ...843...16K	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/843/16	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18430016	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-05-14	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_ApJ_843_16_table2:
#Name: J/ApJ/843/16/table2
#Title: Catalog of galaxy groups
#Column	PGC1	(I7)	[35/9002824] Group Principal Galaxies Catalog ID (1)	[ucd=meta.id]
#Column	Nm	(I3)	[1/714] Number of galaxies in the group	[ucd=meta.number]
#Column	logK	(F5.2)	[1.7/13]? log Ks band absolute luminosity of group	[ucd=phys.luminosity;em.IR]
#Column	Dist	(F5.2)	[0.01/94.2]? Distance of group (G2)	[ucd=pos.distance;pos.heliocentric]
#Column	sigmaV	(I3)	[0/800] Group line-of-sight velocity dispersion (6)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F6.3)	[0.003/1.7] Second turnaround radius of group from luminosity (7)	[ucd=phys.size.radius;pos.lg]
#Column	Rg	(F6.3)	[0.001/8.3]? Projected virial radius of group (8)	[ucd=phys.size.radius]
#Column	logMK	(F6.3)	[6.5/15] log of group mass from luminosity (9)	[ucd=phys.mass]
#Column	logMd	(F6.3)	[2.5/15]? log of group dynamic mass (10)	[ucd=phys.mass]
PGC1	Nm	logK	Dist	sigmaV	R2t	Rg	logMK	logMd
  40265	  2	10.70	28.71	 37	 0.273	 0.148	12.312	11.265
  38452	  2	10.63	     	 81	 0.256	 0.023	12.225	11.143
  45269	  1	10.62	     	  0	 0.255	      	12.223	
  48106	  1	10.62	     	  0	 0.255	      	12.220	
  46363	  1	10.62	     	  0	 0.254	      	12.220	
  40055	  1	10.61	     	  0	 0.253	      	12.212	
  45391	  1	10.61	     	  0	 0.253	      	12.212	
  46320	  1	10.59	     	  0	 0.247	      	12.182	
  42086	  1	10.56	     	  0	 0.241	      	12.149	
  44271	  1	10.54	     	  0	 0.238	      	12.130	
  43691	  1	10.53	     	  0	 0.235	      	12.117	
  45855	  2	10.52	     	  0	 0.234	 0.227	12.107	 7.362
  38841	  2	10.52	41.30	 60	 0.233	 0.003	12.104	 9.960
  37243	  1	10.51	37.50	  0	 0.233	      	12.104	
  42167	  1	10.50	     	  0	 0.231	      	12.093	
  47635	  1	10.45	     	  0	 0.222	      	12.041	
  45209	  3	10.44	     	 99	 0.220	 0.143	12.025	12.107
  43584	  1	10.42	45.08	  0	 0.217	      	12.009	
  43282	  2	10.41	35.97	 44	 0.215	 0.207	12.000	11.554
  44145	  1	10.40	     	  0	 0.213	      	11.986	
  48319	  2	10.38	     	  1	 0.210	 0.090	11.970	 7.628
  44944	  1	10.38	     	  0	 0.209	      	11.962	
  45441	  1	10.37	     	  0	 0.208	      	11.959	
3082035	  2	10.37	     	 25	 0.208	 0.278	11.954	11.190
  39379	  1	10.35	     	  0	 0.205	      	11.939	
4076226	  2	10.34	     	 74	 0.203	 0.145	11.926	11.856
  46673	  1	10.33	     	  0	 0.202	      	11.920	
3082152	  1	10.30	     	  0	 0.198	      	11.895	
  37669	  1	10.30	40.93	  0	 0.198	      	11.890	
  35954	  1	10.25	37.67	  0	 0.192	      	11.849	
  42166	  2	10.22	37.15	 23	 0.187	 0.161	11.822	10.880
  46199	  1	10.19	     	  0	 0.183	      	11.792	
  45465	  1	10.14	     	  0	 0.177	      	11.748	
  38391	  1	10.14	     	  0	 0.177	      	11.747	
  44842	  1	10.13	     	  0	 0.176	      	11.741	
  50570	  1	10.13	     	  0	 0.176	      	11.739	
  42246	  1	10.11	     	  0	 0.175	      	11.728	
  41629	  1	10.11	     	  0	 0.174	      	11.726	
  38331	  1	10.08	     	  0	 0.171	      	11.702	
  45294	  1	10.06	     	  0	 0.168	      	11.682	
2816824	  2	10.04	     	 52	 0.167	 0.262	11.670	11.818
  46682	  1	10.04	     	  0	 0.167	      	11.669	
  38635	  1	10.04	31.77	  0	 0.167	      	11.669	
 159073	  1	10.02	     	  0	 0.165	      	11.654	
  49573	  1	10.01	37.67	  0	 0.164	      	11.646	
  43742	  1	10.01	     	  0	 0.163	      	11.642	
  45345	  1	10.00	     	  0	 0.163	      	11.636	
 170200	  1	 9.99	     	  0	 0.162	      	11.628	
  44930	  1	 9.96	45.50	  0	 0.159	      	11.609	
  36570	  1	 9.96	     	  0	 0.159	      	11.605	
  37921	  1	 9.95	     	  0	 0.158	      	11.600	
  43055	  1	 9.95	     	  0	 0.158	      	11.600	
 564876	  1	 9.95	     	  0	 0.158	      	11.598	
  41786	  1	 9.94	     	  0	 0.157	      	11.588	
  44702	  2	 9.93	     	  7	 0.156	 0.059	11.584	 9.442
  42334	  1	 9.92	     	  0	 0.156	      	11.579	
  42922	  1	 9.92	     	  0	 0.156	      	11.579	
  45293	  1	 9.90	     	  0	 0.154	      	11.562	
  36935	  1	 9.90	     	  0	 0.154	      	11.561	
  39015	  1	 9.89	     	  0	 0.153	      	11.554	
  42182	  1	 9.88	     	  0	 0.152	      	11.545	
  45050	  1	 9.87	     	  0	 0.151	      	11.535	
  43049	  1	 9.86	     	  0	 0.150	      	11.535	
  44764	  1	 9.86	     	  0	 0.150	      	11.533	
  42880	  1	 9.82	44.06	  0	 0.147	      	11.504	
  40911	  2	 9.80	     	  1	 0.145	 0.044	11.489	 7.338
  45624	  1	 9.79	     	  0	 0.145	      	11.483	
  35341	  1	 9.79	     	  0	 0.144	      	11.480	
  40746	  1	 9.78	     	  0	 0.143	      	11.473	
  45393	  1	 9.78	     	  0	 0.143	      	11.471	
 515659	  2	 9.75	     	  0	 0.141	 0.040	11.455	 4.262
  43082	  1	 9.73	     	  0	 0.140	      	11.438	
  42118	  1	 9.70	     	  0	 0.138	      	11.422	
  48175	  1	 9.69	31.19	  0	 0.137	      	11.415	
 183194	  1	 9.68	     	  0	 0.136	      	11.407	
  40544	  1	 9.65	     	  0	 0.134	      	11.382	
  43231	  1	 9.64	     	  0	 0.133	      	11.378	
  43022	  1	 9.63	     	  0	 0.133	      	11.375	
  47085	  1	 9.62	     	  0	 0.132	      	11.365	
  45198	  1	 9.61	     	  0	 0.132	      	11.360	
  42905	  1	 9.61	     	  0	 0.131	      	11.358	
3804815	  1	 9.60	     	  0	 0.131	      	11.350	
  45392	  1	 9.60	     	  0	 0.131	      	11.350	
  47726	  1	 9.58	     	  0	 0.130	      	11.340	
  45597	  1	 9.58	     	  0	 0.129	      	11.338	
  45153	  1	 9.58	     	  0	 0.129	      	11.338	
  46016	  2	 9.57	     	  0	 0.129	 0.002	11.332	 4.524
 567143	  1	 9.56	     	  0	 0.128	      	11.326	
3796161	  1	 9.55	     	  0	 0.128	      	11.322	
  43925	  3	 9.55	     	 27	 0.128	 0.104	11.320	10.829
  44489	  1	 9.55	     	  0	 0.127	      	11.318	
3082153	  1	 9.54	     	  0	 0.127	      	11.314	
3082154	  1	 9.53	     	  0	 0.126	      	11.310	
  46317	  2	 9.53	     	 39	 0.126	 0.165	11.305	11.371
  48268	  1	 9.53	     	  0	 0.126	      	11.305	
3081985	  1	 9.52	     	  0	 0.126	      	11.301	
  44827	  1	 9.51	     	  0	 0.125	      	11.297	
  47547	  1	 9.51	     	  0	 0.125	      	11.292	
 703343	  1	 9.51	     	  0	 0.125	      	11.292	
 635762	  1	 9.49	     	  0	 0.124	      	11.283	
  38927	  1	 9.49	     	  0	 0.124	      	11.279	
  35421	  1	 9.48	     	  0	 0.124	      	11.279	
  45099	  1	 9.48	     	  0	 0.123	      	11.274	
 588188	  1	 9.48	     	  0	 0.123	      	11.274	
 570005	  1	 9.46	     	  0	 0.122	      	11.262	
  41009	  1	 9.45	     	  0	 0.122	      	11.255	
  44762	  1	 9.44	     	  0	 0.121	      	11.253	
  45295	  1	 9.43	     	  0	 0.121	      	11.248	
 660130	  1	 9.43	     	  0	 0.120	      	11.243	
 158497	  1	 9.42	     	  0	 0.120	      	11.241	
  47002	  1	 9.42	35.65	  0	 0.120	      	11.238	
  35146	  1	 9.42	     	  0	 0.120	      	11.238	
 157983	  1	 9.40	     	  0	 0.119	      	11.230	
 634547	  1	 9.40	     	  0	 0.119	      	11.228	
4078829	  1	 9.39	     	  0	 0.118	      	11.220	
 170227	  1	 9.38	     	  0	 0.118	      	11.215	
  42140	  1	 9.38	     	  0	 0.118	      	11.212	
3082053	  1	 9.37	     	  0	 0.117	      	11.210	
3786943	  1	 9.36	     	  0	 0.117	      	11.204	
 564496	  1	 9.35	     	  0	 0.116	      	11.199	
  47753	  1	 9.35	     	  0	 0.116	      	11.196	
  42022	  1	 9.34	     	  0	 0.116	      	11.193	
 734439	  1	 9.34	     	  0	 0.116	      	11.190	
 631386	  1	 9.34	     	  0	 0.115	      	11.188	
 576924	  1	 9.33	     	  0	 0.115	      	11.185	
3779600	  1	 9.31	     	  0	 0.114	      	11.176	
  43831	  1	 9.31	     	  0	 0.114	      	11.176	
 639970	  1	 9.31	     	  0	 0.114	      	11.170	
 617996	  1	 9.29	     	  0	 0.113	      	11.164	
  47290	  1	 9.28	     	  0	 0.112	      	11.155	
 563367	  1	 9.28	     	  0	 0.112	      	11.152	
  43243	  1	 9.25	     	  0	 0.111	      	11.140	
  35333	  1	 9.23	     	  0	 0.110	      	11.127	
  40386	  1	 9.21	     	  0	 0.109	      	11.121	
  44436	  1	 9.20	     	  0	 0.109	      	11.114	
  38431	  1	 9.20	39.45	  0	 0.109	      	11.114	
 572750	  1	 9.19	     	  0	 0.108	      	11.107	
3773872	  2	 9.19	     	 23	 0.108	 0.016	11.104	 9.894
  44607	  1	 9.18	     	  0	 0.108	      	11.097	
  39747	  1	 9.17	     	  0	 0.107	      	11.097	
 158469	  1	 9.07	     	  0	 0.103	      	11.041	
 601357	  1	 9.04	     	  0	 0.102	      	11.029	
  40944	  1	 9.04	     	  0	 0.102	      	11.029	
  42716	  1	 9.04	     	  0	 0.102	      	11.025	
 728023	  1	 9.02	     	  0	 0.101	      	11.017	
 597219	  1	 9.01	     	  0	 0.101	      	11.009	
 610321	  1	 8.99	     	  0	 0.100	      	10.999	
  40148	  1	 8.98	     	  0	 0.100	      	10.996	
 166858	  1	 8.95	     	  0	 0.098	      	10.980	
  49550	  1	 8.94	     	  0	 0.098	      	10.973	
 685308	  1	 8.92	     	  0	 0.097	      	10.964	
  43137	  1	 8.90	     	  0	 0.097	      	10.958	
4614895	  1	 8.90	     	  0	 0.096	      	10.954	
4617988	  1	 8.86	     	  0	 0.095	      	10.934	
 574451	  1	 8.84	     	  0	 0.094	      	10.926	
  45180	  1	 8.82	     	  0	 0.094	      	10.917	
  49267	  1	 8.82	34.36	  0	 0.094	      	10.916	
 745487	  1	 8.73	     	  0	 0.090	      	10.873	
 790062	  1	 8.70	     	  0	 0.089	      	10.852	
4614543	  1	 8.66	     	  0	 0.088	      	10.834	
 772879	  1	 8.63	     	  0	 0.087	      	10.821	
 592418	  1	 8.61	     	  0	 0.086	      	10.811	
  40582	  1	 8.61	     	  0	 0.086	      	10.808	
 727273	  1	 8.59	     	  0	 0.085	      	10.798	
 611210	  1	 8.58	     	  0	 0.085	      	10.797	
 503774	  1	 8.54	     	  0	 0.084	      	10.774	
 726872	  1	 8.50	     	  0	 0.083	      	10.754	
 640609	  1	 8.43	     	  0	 0.081	      	10.723	
  41796	  1	 8.42	     	  0	 0.080	      	10.718	
4584036	  1	 8.36	     	  0	 0.079	      	10.688	
 169663	  1	 8.34	     	  0	 0.078	      	10.675	
5065966	  1	 8.24	     	  0	 0.075	      	10.625	
  41220	714	12.74	15.76	794	 1.652	 1.280	14.656	14.867
  42407	 17	11.62	11.31	466	 0.613	 0.456	13.365	13.957
  42038	  9	11.45	13.15	 95	 0.531	 0.343	13.179	12.455
  41789	 22	11.40	14.33	142	 0.506	 0.341	13.114	12.797
  34695	 15	11.32	 9.69	167	 0.472	 0.196	13.025	12.700
  43276	 19	11.27	13.28	 80	 0.451	 0.338	12.964	12.290
  40692	 44	11.25	16.32	309	 0.444	 0.522	12.944	13.658
  32256	 40	11.24	10.70	357	 0.440	 0.404	12.934	13.672
  45749	 20	11.24	15.03	124	 0.439	 0.252	12.931	12.551
  40001	 10	11.16	16.99	269	 0.408	 0.503	12.836	13.521
  43451	  6	11.13	12.13	125	 0.400	 0.143	12.808	12.314
  43321	  5	11.12	19.50	130	 0.396	 0.233	12.795	12.554
  45313	  7	11.12	14.68	178	 0.396	 0.134	12.794	12.590
  40375	  7	11.11	22.36	224	 0.392	 0.660	12.782	13.479
  42975	  7	11.11	15.23	121	 0.391	 0.224	12.778	12.476
  49547	 17	11.09	17.28	155	 0.384	 0.222	12.757	12.689
  42734	 29	11.00	16.20	140	 0.355	 0.472	12.653	12.929
  33550	  7	10.90	13.24	346	 0.325	 0.393	12.539	13.633
  43671	  8	10.79	     	138	 0.297	 0.263	12.418	12.664
  41618	  6	10.77	 8.96	163	 0.291	 0.045	12.393	12.037
  42797	  8	10.77	     	 92	 0.289	 0.242	12.387	12.272
  44582	  4	10.75	     	 17	 0.286	 0.193	12.373	10.714
  48130	 11	10.71	14.87	 85	 0.275	 0.130	12.322	11.935
  38739	  9	10.70	     	 61	 0.273	 0.151	12.310	11.715
  39158	  2	10.63	15.28	 10	 0.256	 0.033	12.228	 9.477
  33371	  3	10.61	     	 68	 0.252	 0.059	12.207	11.401
  37235	  2	10.57	12.39	  1	 0.243	 0.228	12.158	 8.405
  38950	  2	10.55	16.22	 44	 0.239	 0.237	12.140	11.620
  45585	  1	10.53	     	  0	 0.237	      	12.124	
  35268	  8	10.53	     	 74	 0.236	 0.162	12.124	11.912
  43149	  2	10.49	13.93	  6	 0.229	 0.195	12.083	 9.781
  45574	  1	10.48	20.99	  0	 0.227	      	12.072	
  45165	  4	10.46	15.00	 76	 0.222	 0.229	12.041	12.076
  41939	  2	10.45	14.00	 11	 0.221	 0.023	12.037	 9.371
  44392	  1	10.40	18.20	  0	 0.213	      	11.988	
  31497	  3	10.39	14.59	 20	 0.212	 0.140	11.979	10.688
  35440	  3	10.32	19.68	 16	 0.200	 0.434	11.906	11.004
  44191	  1	10.26	11.64	  0	 0.193	      	11.857	
  36754	  2	10.26	     	 15	 0.192	 0.136	11.851	10.455
  36243	  4	10.22	15.92	 38	 0.187	 0.213	11.816	11.446
  42741	  3	10.14	22.05	 70	 0.178	 0.250	11.753	12.053
  38531	  3	10.14	     	  1	 0.177	 0.064	11.749	 7.721
  36205	  1	10.14	     	  0	 0.177	      	11.749	
  41101	  3	10.13	16.00	 57	 0.176	 0.310	11.742	11.963
  43238	  3	10.10	     	 14	 0.173	 0.120	11.714	10.299
  43798	  7	10.07	16.00	 88	 0.170	 0.166	11.694	12.064
  35734	  1	10.05	     	  0	 0.168	      	11.675	
  40775	  1	10.04	14.32	  0	 0.167	      	11.669	
  38150	  1	10.03	14.72	  0	 0.166	      	11.662	
  33390	  3	10.02	     	 49	 0.165	 0.123	11.655	11.435
  44166	  1	10.02	     	  0	 0.165	      	11.652	
  40396	  1	10.01	     	  0	 0.164	      	11.648	
  37238	  9	10.01	21.44	 57	 0.164	 0.204	11.647	11.784
  43784	  3	10.00	20.23	 32	 0.163	 0.181	11.637	11.230
  38346	  1	 9.98	17.14	  0	 0.161	      	11.622	
  44719	  1	 9.97	     	  0	 0.159	      	11.611	
  41399	  4	 9.96	15.14	 14	 0.159	 0.234	11.607	10.634
  33234	  1	 9.96	18.54	  0	 0.159	      	11.604	
  42174	  1	 9.92	17.14	  0	 0.155	      	11.574	
  31968	  1	 9.90	 9.82	  0	 0.153	      	11.559	
  44087	  1	 9.89	11.59	  0	 0.153	      	11.553	
  33140	  1	 9.88	     	  0	 0.152	      	11.545	
  33166	  5	 9.88	13.29	 24	 0.151	 0.181	11.543	10.974
  38167	  2	 9.88	 8.79	 38	 0.151	 0.066	11.543	10.954
  33604	  1	 9.86	     	  0	 0.150	      	11.534	
  44797	  4	 9.86	16.00	 38	 0.150	 0.193	11.534	11.401
  49308	  4	 9.85	     	 69	 0.149	 0.006	11.522	10.384
  48959	  1	 9.85	17.86	  0	 0.149	      	11.521	
  34107	  1	 9.80	     	  0	 0.145	      	11.489	
  32529	  1	 9.76	     	  0	 0.142	      	11.459	
  34298	  1	 9.74	     	  0	 0.140	      	11.444	
  44846	  1	 9.72	17.38	  0	 0.139	      	11.431	
  48179	  1	 9.69	     	  0	 0.137	      	11.415	
  38580	  1	 9.64	19.95	  0	 0.134	      	11.382	
  33866	  1	 9.63	20.70	  0	 0.133	      	11.371	
  44086	  5	 9.62	17.91	 79	 0.132	 0.135	11.364	11.890
  51351	  1	 9.59	16.00	  0	 0.130	      	11.348	
  47027	  3	 9.53	     	  4	 0.126	 0.110	11.305	 9.130
  41755	  1	 9.50	11.59	  0	 0.125	      	11.288	
  40231	  1	 9.49	     	  0	 0.124	      	11.283	
  39483	  6	 9.47	16.54	163	 0.123	 0.219	11.270	12.723
  51685	  3	 9.45	13.11	  2	 0.122	 0.053	11.260	 8.279
  40330	  1	 9.43	     	  0	 0.121	      	11.248	
  37860	  1	 9.43	     	  0	 0.121	      	11.246	
  35507	  2	 9.43	18.97	 10	 0.120	 0.019	11.243	 9.207
  36653	  1	 9.42	16.07	  0	 0.120	      	11.241	
  42020	  2	 9.42	     	 17	 0.120	 0.175	11.238	10.641
  42336	  1	 9.41	11.64	  0	 0.119	      	11.230	
  39748	  2	 9.40	     	 12	 0.118	 0.078	11.223	10.000
  51207	  3	 9.39	11.38	 58	 0.118	 0.044	11.220	11.137
  33635	  1	 9.38	18.97	  0	 0.118	      	11.217	
  45359	  1	 9.38	     	  0	 0.118	      	11.215	
  39179	  1	 9.37	     	  0	 0.117	      	11.207	
  42987	  1	 9.35	     	  0	 0.116	      	11.196	
  37444	  2	 9.35	     	 44	 0.116	 0.171	11.193	11.490
  44735	  1	 9.34	     	  0	 0.116	      	11.193	
  36174	  1	 9.34	21.28	  0	 0.116	      	11.193	
  44014	  1	 9.31	14.52	  0	 0.114	      	11.173	
  47577	  2	 9.31	     	 11	 0.114	 0.140	11.173	10.170
  41725	  2	 9.30	18.97	 15	 0.114	 0.056	11.170	10.049
  45195	  7	 9.29	10.33	 42	 0.113	 0.024	11.164	10.592
  34015	  1	 9.28	     	  0	 0.113	      	11.155	
  48122	  1	 9.27	16.75	  0	 0.112	      	11.149	
  42559	  1	 9.26	     	  0	 0.111	      	11.143	
  35560	  1	 9.25	     	  0	 0.111	      	11.140	
  44536	  1	 9.25	 9.95	  0	 0.111	      	11.137	
  37853	  1	 9.24	     	  0	 0.111	      	11.134	
  32153	  2	 9.23	17.62	 12	 0.110	 0.030	11.124	 9.566
  40015	  2	 9.22	     	 12	 0.110	      	11.124	 7.756
  36716	  1	 9.22	     	  0	 0.110	      	11.124	
  31945	  1	 9.21	     	  0	 0.109	      	11.117	
  45652	  2	 9.19	     	 11	 0.108	 0.108	11.107	10.104
  37928	  1	 9.18	     	  0	 0.108	      	11.100	
  50144	  1	 9.17	     	  0	 0.107	      	11.093	
 170179	  1	 9.15	     	  0	 0.106	      	11.083	
  46382	  1	 9.14	     	  0	 0.106	      	11.076	
  37339	  1	 9.13	18.88	  0	 0.105	      	11.072	
  34415	  1	 9.12	20.04	  0	 0.105	      	11.068	
  43715	  1	 9.10	     	  0	 0.104	      	11.053	
  36355	  2	 9.09	     	  0	 0.104	 0.001	11.053	 2.585
3293383	  2	 9.09	     	  4	 0.104	 0.002	11.053	 7.294
  37348	  1	 9.09	     	  0	 0.104	      	11.053	
  35915	  1	 9.08	15.35	  0	 0.104	      	11.049	
  41463	  1	 9.08	     	  0	 0.103	      	11.045	
  33333	  1	 9.07	     	  0	 0.103	      	11.041	
  35739	  1	 9.07	     	  0	 0.103	      	11.037	
  44958	  1	 9.05	     	  0	 0.102	      	11.033	
  37019	  2	 9.05	     	 37	 0.102	 0.012	11.033	10.182
  43413	  1	 9.04	14.72	  0	 0.102	      	11.025	
1177211	  2	 9.03	     	 34	 0.101	 0.136	11.021	11.155
  43106	  1	 9.03	17.86	  0	 0.101	      	11.017	
  37723	  2	 9.02	12.71	 23	 0.101	 0.064	11.013	10.474
  30773	  2	 9.01	     	  9	 0.101	 0.041	11.009	 9.473
  43470	  1	 9.01	20.80	  0	 0.100	      	11.009	
  40157	  1	 9.00	     	  0	 0.100	      	11.009	
  44506	  1	 8.99	18.20	  0	 0.100	      	11.000	
  46563	  1	 8.99	17.22	  0	 0.100	      	10.998	
  34135	  2	 8.98	     	  4	 0.099	 0.020	10.994	 8.505
  42704	  1	 8.97	14.79	  0	 0.099	      	10.993	
1052160	  1	 8.97	     	  0	 0.099	      	10.992	
  45845	  1	 8.97	     	  0	 0.099	      	10.989	
1242969	  1	 8.95	     	  0	 0.098	      	10.981	
  49353	  1	 8.95	12.76	  0	 0.098	      	10.978	
  31610	  1	 8.95	     	  0	 0.098	      	10.978	
  44460	  1	 8.94	     	  0	 0.098	      	10.973	
  31762	  1	 8.93	     	  0	 0.097	      	10.969	
  33660	  2	 8.92	     	 25	 0.097	 0.065	10.965	10.569
  41779	  1	 8.92	15.92	  0	 0.097	      	10.963	
