# ATLAS3D early-type galaxies: the columns needed for a Faber-Jackson zero-point test.
# Assembled this session from three published sources:
#   Cappellari et al. 2013, MNRAS 432, 1709 (ATLAS3D XV; arXiv:1208.3522 table 1) -> logsig_e, logML_JAM,
#       logRe_maj, logRe, logr12 (all radii in arcsec), logL (L_sun,r), qual
#   Cappellari et al. 2013, MNRAS 432, 1862 (ATLAS3D XX; arXiv:1208.3523 table 1) -> fDM(Re), logML_stars,
#       logML_Salp  (r-band stellar-population M/L for a Salpeter IMF -- the INDEPENDENT stellar mass)
#   VizieR J/MNRAS/413/813/atlas3d (ATLAS3D I) -> Dist (Mpc), KMAG, Virgo flag, T-type
name	logsig_e	logML_JAM	qual	logRe	logr12	logL	fDM_Re	logML_stars	logML_Salp	Dist_Mpc	KMAG	Virgo
NGC4551	1.971	0.697	2	1.236	1.367	9.565	0.00	0.697	0.769	16.1	-22.18	1
NGC4552	2.351	0.811	2	1.613	1.752	10.391	0.21	0.743	0.861	15.8	-24.29	1
NGC4564	2.189	0.683	3	1.288	1.450	9.900	0.04	0.669	0.792	15.8	-23.08	1
NGC4570	2.223	0.689	3	1.253	1.460	10.073	0.15	0.574	0.820	17.1	-23.48	1
NGC4578	2.028	0.640	1	1.521	1.574	9.811	0.38	0.514	0.739	16.3	-22.66	1
NGC4596	2.099	0.677	2	1.730	1.660	10.237	0.18	0.638	0.776	16.5	-23.63	1
NGC4608	2.040	0.633	2	1.666	1.523	9.985	0.00	0.633	0.766	16.5	-22.94	1
NGC4612	1.935	0.403	0	1.459	1.577	9.862	0.56	0.168	0.448	16.6	-22.55	1
NGC4621	2.296	0.765	3	1.649	1.812	10.354	0.03	0.759	0.846	14.9	-24.14	1
NGC4623	1.884	0.657	1	1.315	1.520	9.513	0.50	0.309	0.723	17.4	-21.74	1
NGC4624	2.090	0.635	1	1.768	1.828	10.233	0.25	0.582	0.794	16.5	-23.67	1
NGC4636	2.259	0.905	0	1.972	2.133	10.491	0.39	0.789	0.844	14.3	-24.36	0
NGC4638	2.134	0.469	3	1.167	1.304	9.939	0.05	0.433	0.703	17.5	-23.01	1
NGC4643	2.171	0.682	2	1.555	1.671	10.210	0.14	0.635	0.755	16.5	-23.69	1
NGC4649	2.428	0.838	2	1.884	1.987	10.881	0.29	0.774	0.871	17.3	-25.46	1
NGC4660	2.263	0.688	2	1.111	1.252	9.811	0.10	0.601	0.817	15.0	-22.69	1
NGC4684	1.847	0.365	2	1.320	1.456	9.622	0.10	0.304	0.571	13.1	-22.21	0
NGC4690	1.991	0.590	1	1.290	1.388	10.030	0.00	0.590	0.542	40.2	-22.96	0
NGC4694	1.728	0.148	0	1.478	1.585	9.751	0.00	0.150	-0.042	16.5	-22.15	1
NGC4697	2.229	0.704	3	1.851	1.990	10.364	0.00	0.703	0.800	11.4	-23.93	0
NGC4710	2.020	0.647	1	1.507	1.721	10.114	0.00	0.645	0.587	16.5	-23.53	1
NGC4733	1.717	0.339	0	1.554	1.682	9.538	0.00	0.338	0.518	14.5	-21.8	1
NGC4753	2.241	0.604	1	1.762	1.828	10.784	0.25	0.519	0.615	22.9	-25.09	0
NGC4754	2.204	0.679	2	1.486	1.542	10.132	0.21	0.596	0.815	16.1	-23.64	1
NGC4762	2.126	0.563	3	1.545	1.780	10.543	0.23	0.417	0.760	22.6	-24.48	0
NGC4803	2.023	0.685	0	0.943	1.094	9.753	0.55	0.336	0.670	39.4	-22.28	0
NGC5103	2.046	0.540	0	1.082	1.258	9.747	0.22	0.376	0.695	23.4	-22.36	0
NGC5173	1.986	0.413	0	1.050	1.157	10.002	0.33	0.261	0.507	38.4	-22.88	0
NGC5198	2.228	0.793	1	1.357	1.409	10.393	0.00	0.794	0.809	39.6	-24.1	0
NGC5273	1.824	0.517	1	1.580	1.454	9.732	0.55	0.247	0.502	16.1	-22.37	0
NGC5308	2.315	0.814	3	1.171	1.375	10.343	0.09	0.744	0.790	31.5	-24.13	0
NGC5322	2.351	0.688	1	1.646	1.813	10.844	0.16	0.634	0.700	30.3	-25.26	0
NGC5342	2.189	0.836	0	0.867	1.004	9.760	0.21	0.676	0.773	35.5	-22.61	0
NGC5353	2.449	0.838	2	1.278	1.438	10.665	0.11	0.769	0.855	35.2	-25.11	0
NGC5355	1.943	0.553	0	1.043	1.180	9.765	0.47	0.227	0.279	37.1	-22.4	0
NGC5358	1.938	0.678	0	0.935	1.112	9.598	0.27	0.477	0.623	38.0	-22.01	0
NGC5379	1.956	0.875	1	1.240	1.422	9.557	0.73	0.307	0.468	30.0	-22.08	0
NGC5422	2.197	0.785	1	1.251	1.453	10.164	0.21	0.670	0.758	30.8	-23.69	0
NGC5473	2.257	0.684	0	1.351	1.378	10.404	0.49	0.511	0.783	33.2	-24.25	0
NGC5475	2.061	0.678	2	1.153	1.319	9.887	0.33	0.411	0.544	28.6	-22.88	0
NGC5481	2.085	0.776	0	1.348	1.450	9.837	0.00	0.776	0.740	25.8	-22.68	0
NGC5485	2.223	0.847	0	1.461	1.617	10.208	0.09	0.806	0.777	25.2	-23.61	0
NGC5493	2.296	0.471	3	1.161	1.291	10.494	0.20	0.305	0.514	38.8	-24.49	0
NGC5500	1.924	0.713	0	1.212	1.360	9.618	0.13	0.649	0.650	31.7	-21.93	0
NGC5507	2.216	0.825	3	1.078	1.086	9.904	0.17	0.708	0.786	28.5	-23.19	0
NGC5557	2.306	0.662	1	1.449	1.598	10.671	0.01	0.659	0.774	38.8	-24.87	0
NGC5574	1.907	0.399	0	1.120	1.301	9.705	0.04	0.378	0.368	23.2	-22.3	0
NGC5576	2.191	0.453	2	1.448	1.587	10.426	0.00	0.454	0.705	24.8	-24.15	0
NGC5582	2.170	0.722	1	1.461	1.563	10.140	0.37	0.599	0.752	27.7	-23.28	0
NGC5611	2.138	0.697	3	0.936	1.082	9.652	0.06	0.651	0.645	24.5	-22.2	0
NGC5631	2.176	0.626	0	1.408	1.552	10.261	0.10	0.580	0.627	27.0	-23.7	0
NGC5638	2.160	0.667	0	1.455	1.593	10.260	0.06	0.647	0.791	25.6	-23.8	0
NGC5687	2.216	0.907	1	1.420	1.602	10.064	0.12	0.864	0.768	27.2	-23.22	0
NGC5770	1.905	0.385	0	1.205	1.354	9.603	0.12	0.328	0.576	18.5	-22.15	0
NGC5813	2.324	0.875	0	1.727	1.884	10.717	0.47	0.699	0.816	31.3	-25.09	0
NGC5831	2.158	0.667	0	1.441	1.587	10.203	0.14	0.610	0.743	26.4	-23.69	0
NGC5838	2.350	0.900	3	1.374	1.424	10.257	0.00	0.901	0.834	21.8	-24.13	0
NGC5839	2.098	0.720	0	1.256	1.400	9.700	0.01	0.716	0.802	22.0	-22.53	0
NGC5845	2.357	0.695	3	0.706	0.825	9.792	0.00	0.695	0.810	25.2	-22.92	0
NGC5846	2.349	0.908	1	1.773	1.919	10.665	0.14	0.844	0.853	24.2	-25.01	0
NGC5854	2.020	0.421	3	1.200	1.303	10.025	0.12	0.356	0.472	26.2	-23.3	0
NGC5864	2.035	0.570	3	1.283	1.397	10.136	0.00	0.570	0.636	29.0	-23.62	0
NGC5866	2.196	0.665	0	1.582	1.743	10.336	0.00	0.663	0.640	14.9	-24.0	0
NGC5869	2.224	0.849	1	1.343	1.505	10.033	0.24	0.750	0.787	24.9	-23.27	0
NGC6010	2.202	0.772	1	1.147	1.377	10.045	0.17	0.685	0.719	30.6	-23.53	0
NGC6014	1.946	0.649	0	1.372	1.232	9.929	0.48	0.429	0.518	35.8	-22.99	0
NGC6017	2.051	0.447	1	0.922	1.067	9.734	0.00	0.447	0.526	29.0	-22.52	0
NGC6149	2.021	0.663	0	1.039	1.191	9.772	0.31	0.425	0.611	37.2	-22.6	0
NGC6278	2.295	0.741	0	1.149	1.296	10.283	0.16	0.667	0.812	42.9	-24.19	0
NGC6547	2.257	0.824	1	1.023	1.231	10.091	0.12	0.740	0.629	40.8	-23.6	0
NGC6548	2.153	0.867	1	1.554	1.551	10.001	0.20	0.768	0.698	22.4	-23.19	0
NGC6703	2.178	0.776	1	1.485	1.604	10.200	0.00	0.775	0.736	25.9	-23.85	0
NGC6798	2.114	0.660	2	1.093	1.267	10.028	0.16	0.564	0.684	37.5	-23.52	0
NGC7280	2.024	0.545	1	1.331	1.470	9.853	0.36	0.406	0.444	23.7	-22.83	0
NGC7332	2.097	0.336	1	1.194	1.385	10.201	0.07	0.288	0.528	22.4	-23.75	0
NGC7454	2.058	0.733	0	1.379	1.530	9.894	0.13	0.673	0.585	23.2	-23.0	0
NGC7457	1.873	0.482	1	1.574	1.736	9.736	0.45	0.238	0.455	12.9	-22.38	0
NGC7465	1.981	0.373	0	0.964	1.119	9.827	0.05	0.333	0.348	29.3	-22.82	0
NGC7693	1.763	0.588	1	1.092	1.039	9.409	0.00	0.586	0.357	35.4	-21.58	0
NGC7710	1.957	0.536	1	0.784	0.903	9.523	0.00	0.537	0.616	34.0	-21.99	0
PGC016060	2.043	0.651	2	0.940	1.016	9.795	0.00	0.651	0.509	37.8	-22.64	0
PGC028887	2.109	0.876	0	1.012	1.183	9.658	0.35	0.643	0.730	41.0	-22.26	0
PGC029321	1.822	0.492	0	0.837	0.908	9.350	0.90	-0.541	0.362	40.9	-21.66	0
PGC035754	2.015	0.578	1	0.942	1.064	9.658	0.00	0.577	0.634	39.0	-21.9	0
PGC042549	2.009	0.500	1	0.921	0.954	9.806	0.14	0.422	0.506	40.7	-22.71	0
PGC044433	2.087	0.790	1	0.762	0.957	9.643	0.10	0.688	0.724	40.1	-22.25	0
PGC050395	1.909	0.574	0	0.996	1.147	9.571	0.74	-0.061	0.581	37.2	-21.92	0
PGC051753	1.949	0.686	1	0.926	1.095	9.535	0.15	0.584	0.621	38.3	-21.92	0
PGC054452	1.803	0.562	1	1.121	1.091	9.429	0.28	0.411	0.534	29.5	-21.59	0
PGC056772	1.932	0.621	1	0.982	1.062	9.623	0.00	0.620	0.379	39.5	-22.06	0
PGC058114	2.004	--	--	--	--	--	\nodata	\nodata	0.474	23.8	-21.57	0
PGC061468	1.884	0.841	0	1.029	1.188	9.397	0.90	-0.280	0.415	36.2	-21.68	0
PGC071531	1.979	--	--	--	--	--	\nodata	\nodata	0.479	30.4	-21.74	0
PGC170172	1.836	0.245	0	0.835	0.978	9.559	0.16	0.111	0.650	37.1	-21.89	0
UGC03960	1.919	0.738	0	1.340	1.498	9.652	0.04	0.729	0.606	33.2	-21.89	0
UGC04551	2.219	0.687	2	0.902	1.024	9.878	0.04	0.658	0.737	28.0	-22.92	0
UGC05408	1.781	0.197	0	0.765	0.729	9.655	0.00	0.194	0.331	45.8	-22.03	0
UGC06062	2.125	0.764	1	1.018	1.133	9.864	0.25	0.629	0.760	38.7	-22.82	0
UGC06176	1.984	0.685	0	0.988	1.005	9.751	0.50	0.331	0.328	40.1	-22.66	0
UGC08876	2.105	0.759	1	0.835	1.040	9.686	0.00	0.760	0.740	33.9	-22.37	0
UGC09519	2.001	0.559	1	0.870	1.007	9.504	0.10	0.513	0.345	27.6	-21.98	0
