#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:46:07 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:46:07	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=VII/155/rc3&-out=name,altname,PGC,T,BT,e_BT,B-VT,e_B-VT,B-VoT,U-BT,Ai,Ag&-out.add=_RAJ2000,_DEJ2000&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	PGC	(a11)	PGC number	[ucd=meta.id;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	e_BT	(F5.2)	? Mean error on BT	[ucd=stat.error]
#Column	B-VT	(F5.2)	? (B-V)T (total (B-V))	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	e_B-VT	(F5.2)	? Mean error on (B-V)T	[ucd=stat.error]
#Column	B-VoT	(F5.2)	? (B-V)oT	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	U-BT	(F5.2)	? (U-B)T (total (U-B))	[ucd=phot.color;em.opt.U;em.opt.B]
#Column	Ai	(F5.2)	? Ai (internal B extinction)	[ucd=phys.absorption]
#Column	Ag	(F5.2)	? Ag (galactic extinction in B)	[ucd=phys.absorption]
_RAJ2000	_DEJ2000	name	altname	PGC	T	BT	e_BT	B-VT	e_B-VT	B-VoT	U-BT	Ai	Ag
001.600346	-41.499932	            	 MCG -7- 1- 10 	PGC  482   	    	14.58	 0.15	 0.47	 0.04	 0.38	     	 0.57	 0.03
001.612841	-13.414970	NGC  7828   	 MCG -2- 1- 25B	PGC  483   	    	14.40	 0.20	 0.51	 0.03	 0.39	-0.21	 0.21	 0.07
001.619090	 -3.716096	NGC  7832   	 MCG -1- 1- 33 	PGC  485   	-4.0	     	     	     	     	     	     	 0.00	 0.14
001.621591	-13.420525	NGC  7829   	 MCG -2- 1- 25A	PGC  488   	-1.0	14.60	 0.20	 0.66	 0.02	 0.59	 0.24	 0.00	 0.07
001.625341	+17.266647	            	 UGC    47     	PGC  496   	 8.0	     	     	     	     	     	     	 1.02	 0.06
001.625349	+47.866604	            	 UGC    48     	PGC  499   	 7.0	     	     	     	     	     	     	 0.09	 0.62
001.650340	 +8.349995	NGC  7834   	 UGC    49     	PGC  504   	 6.0	     	     	     	     	     	     	 0.24	 0.28
001.650342	+26.149967	            	 UGC    50     	PGC  507   	 2.0	     	     	     	     	     	     	 0.59	 0.14
001.683673	 -6.635258	A   0004-06B	               	PGC  509   	10.0	     	     	     	     	     	     	 0.05	 0.16
001.687007	 -6.637203	A   0004-06A	               	PGC  510   	-2.0	     	     	     	     	     	     	 0.00	 0.16
001.675340	 +5.100000	            	 UGC    51     	PGC  511   	 4.0	     	     	     	     	     	     	 0.31	 0.18
001.700340	 +8.616661	            	 UGC    52     	PGC  515   	 5.0	     	     	     	     	     	     	 0.05	 0.29
001.710341	+19.321089	            	 UGC    53     	PGC  517   	 4.0	     	     	     	     	     	     	 0.15	 0.10
001.711601	-52.201588	            	 ESO  193- 25  	PGC  520   	 5.0	     	     	     	     	     	     	 0.43	 0.00
001.720350	-50.414923	            	 ESO  193- 26  	PGC  526   	-3.0	     	     	     	     	     	     	 0.00	 0.04
001.700346	+41.733278	            	 UGC    54     	PGC  527   	 6.0	     	     	     	     	     	     	 1.47	 0.40
001.747007	 -6.953869	            	 MCG -1- 1- 34 	PGC  538   	 8.3	     	     	     	     	     	     	 0.12	 0.20
001.750348	+46.649938	            	 UGC    55     	PGC  540   	 8.0	     	     	     	     	     	     	 0.08	 0.44
001.765763	-44.367984	            	               	PGC  546   	-4.0	     	     	     	     	     	     	 0.00	 0.03
001.750340	+14.066652	            	 UGC    56     	PGC  548   	 6.0	     	     	     	     	     	     	 0.14	 0.24
001.776595	-41.356599	            	 ESO  293- 37  	PGC  551   	    	     	     	     	     	     	     	 0.10	 0.03
001.782089	-80.308240	            	 ESO   12- 15  	PGC  553   	 5.0	     	     	     	     	     	     	 1.46	 0.35
001.792424	-21.786624	            	 ESO  538- 22  	PGC  558   	 2.2	     	     	     	     	     	     	 1.23	 0.07
001.810767	-52.619921	            	 ESO  149- 18  	PGC  562   	 9.0	     	     	     	     	     	     	 0.11	 0.00
001.817009	+27.708853	NGC     1   	 UGC    57     	PGC  564   	 3.0	13.65	 0.13	 0.76	 0.02	 0.65	 0.12	 0.17	 0.18
001.820340	 +8.301384	NGC     3   	 UGC    58     	PGC  565   	-2.0	14.20	 0.30	 0.86	 0.05	 0.75	 0.38	 0.00	 0.33
001.822009	+27.679409	NGC     2   	 UGC    59     	PGC  567   	 1.5	14.96	 0.13	 0.77	 0.02	 0.60	 0.08	 0.27	 0.18
001.831176	+32.609679	NGC  7831   	 UGC    60     	PGC  569   	 3.0	     	     	     	     	     	     	 0.84	 0.15
001.852431	+47.041049	            	 UGC    61     	PGC  574   	-2.0	     	     	     	     	     	     	 0.00	 0.44
001.879924	-20.731626	            	 ESO  538- 23  	PGC  583   	 4.5	     	     	     	     	     	     	 0.19	 0.00
001.875340	-11.833306	            	 MCG -2- 1- 27 	PGC  585   	    	     	     	     	     	     	     	 0.43	 0.07
001.917008	+25.588579	            	 CGCG 477- 56  	PGC  590   	    	     	     	     	     	     	     	     	 0.07
001.954093	+35.362453	NGC     5   	 UGC    62     	PGC  595   	-5.0	     	     	     	     	     	     	 0.00	 0.28
001.962010	+35.966341	            	 UGC    63     	PGC  598   	10.0	     	     	     	     	     	     	 0.13	 0.22
002.006593	+33.069956	NGC  7836   	 UGC    65     	PGC  608   	    	14.40	 0.20	 0.71	 0.02	 0.60	 0.20	 0.16	 0.13
002.025340	 +9.716660	            	 UGC    66     	PGC  613   	 3.0	     	     	     	     	     	     	 0.18	 0.25
002.025340	 +7.766663	            	 UGC    67     	PGC  616   	 2.0	     	     	     	     	     	     	 0.53	 0.25
002.042425	+27.003577	            	 UGC    68     	PGC  617   	    	     	     	     	     	     	     	 0.13	 0.15
002.025342	+27.516631	            	 UGC    69     	PGC  619   	 6.0	     	     	     	     	     	     	 0.23	 0.16
002.056176	-34.578273	Scl DIG     	 ESO  349- 31  	PGC  621   	10.0	     	     	     	     	     	     	 0.06	 0.02
002.076605	-59.514915	            	 ESO  111- 14  	PGC  624   	 5.8	     	     	     	     	     	     	 0.42	 0.00
