#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:11:19 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:11:19	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out=Name,_RA,_DE,Kmag,W50,TT,HRV,Dist,f_Dist,i,vAmp,KLum,MHI,Vlg,Ti1,MD,Ti5&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	KLum	(F5.2)	[3.19/11.3]? log(luminosity) in Ks band (18)	[ucd=phys.luminosity;em.IR.K]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti1	(F4.1)	[-3/6.5]? Tidal index {Theta}_1_ (22)	[ucd=src.class.struct]
#Column	MD	(a15)	Main disturber name (23)	[ucd=meta.id.assoc]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
Name	_RAJ2000	_DEJ2000	Kmag	W50	TT	HRV	Dist	f_Dist	i	vAmp	KLum	MHI	Vlg	Ti1	MD	Ti5
And XXX           	009.145417	+49.646667	     	   	  	-141	 0.68	TRGB	  	   	     	     	 136	 2.3	MESSIER031     	 2.4
And XVII          	009.279167	+44.322222	13.31	   	-2	-251	 0.74	HB  	43	   	 5.74	 5.54	  22	 3.6	MESSIER031     	 3.6
And XXVII         	009.362917	+45.386944	13.19	   	-3	-535	 0.83	HB  	71	   	 5.88	     	-261	 3.0	MESSIER031     	 3.1
NGC0185           	009.741667	+48.336111	 6.56	 36	-3	-203	 0.61	TRGB	39	 21	 8.29	 5.02	  73	 2.0	MESSIER031     	 2.0
NGC0205           	010.093750	+41.686389	 5.59	 42	-2	-221	 0.82	TRGB	64	 18	 8.92	 5.60	  47	 3.6	MESSIER031     	 3.6
And IV            	010.625417	+40.575833	14.54	 90	10	 237	 6.31	TRGB	45	 56	 7.11	 8.32	 503	-1.9	NGC0891        	-1.4
MESSIER032        	010.675417	+40.866389	 5.10	   	-2	-202	 0.49	TRGB	53	   	 8.65	 6.00	  64	 1.4	MESSIER031     	 1.5
MESSIER031        	010.685417	+41.269167	 0.99	510	 3	-296	 0.77	Cep 	78	249	10.73	 9.73	 -29	 1.8	NGC0205        	 1.8
DDO226            	010.765833	-22.250278	12.48	 37	10	 359	 4.92	TRGB	90	 14	 7.71	 7.53	 409	 0.1	NGC0253        	 0.1
And I             	011.416667	+38.037222	 9.59	   	-3	-376	 0.73	TRGB	48	   	 7.21	 5.53	-116	 3.4	MESSIER031     	 3.4
And XI            	011.583333	+33.801389	14.08	   	-3	-419	 0.73	RR  	39	   	 5.42	 5.53	-167	 2.7	MESSIER031     	 2.7
NGC0247           	011.784583	-20.760000	 7.43	207	 7	 161	 3.65	TRGB	74	 96	 9.48	 9.16	 216	 1.2	NGC0253        	 1.2
And XII           	011.862500	+34.374722	14.15	   	-3	-556	 0.83	TRGB	31	   	 5.51	 5.64	-303	 2.6	MESSIER031     	 2.6
NGC0253           	011.892917	-25.292222	 3.77	407	 5	 243	 3.94	TRGB	85	192	11.04	 9.15	 276	-0.4	NGC0247        	-0.3
KDG002            	012.337917	-18.074444	13.93	 26	10	 224	 3.40	TRGB	26	 11	 6.81	 5.95	 290	 0.5	NGC0253        	 0.7
DDO006            	012.455417	-21.016111	13.26	 19	10	 292	 3.34	TRGB	90	  3	 7.06	 7.04	 344	 0.6	NGC0253        	 0.7
ESO540-032        	012.602500	-19.906944	14.01	 17	10	 228	 3.42	TRGB	26	  6	 6.78	 5.98	 285	 0.7	NGC0253        	 0.9
Bol520            	012.676667	+32.916389	13.31	   	-3	-312	 0.63	TRGB	33	   	 5.60	     	 -64	 2.0	MESSIER031     	 2.1
And XIV           	012.895833	+29.696944	12.56	   	-3	-481	 0.73	TRGB	60	   	 6.03	 5.53	-240	 2.2	MESSIER031     	 2.2
And XIII          	012.962500	+33.004444	13.78	   	-3	-195	 0.84	RR  	52	   	 5.66	 5.65	  53	 2.4	MESSIER031     	 2.4
SMC               	013.158333	-72.800278	 0.16	 90	 9	 158	 0.06	Cep 	58	 46	 8.85	 8.65	 -22	 3.3	LMC            	 3.6
And IX            	013.220000	+43.200000	12.30	   	-3	-216	 0.79	TRGB	52	   	 6.20	 5.60	  48	 4.0	MESSIER031     	 4.0
NGC0300           	013.722917	-37.682500	 6.38	147	 7	 146	 2.15	Cep 	45	 90	 9.43	 9.35	 116	 0.1	NGC0055        	 0.2
And XVI           	014.874167	+32.376667	11.33	   	-3	-385	 0.52	TRGB	31	   	 6.23	 5.24	-143	 1.5	MESSIER031     	 1.6
Sculptor          	015.039167	-33.709167	 5.90	   	-3	 105	 0.09	TRGB	60	   	 6.86	 5.39	  91	 2.7	Milky Way      	 2.8
LGS 3             	015.979167	+21.885000	12.49	 18	10	-286	 0.65	TRGB	64	  3	 5.96	 5.02	 -74	 1.5	MESSIER031     	 1.5
IC1613            	016.199167	 +2.133333	 7.43	 27	10	-232	 0.73	Cep 	29	 13	 8.07	 7.77	 -89	 0.7	MESSIER031     	 0.8
And X             	016.640417	+44.804444	12.10	   	-3	-164	 0.63	HB  	79	   	 6.10	 5.40	  95	 2.2	MESSIER031     	 2.2
UGC00685          	016.842917	+16.683889	11.64	 64	 9	 156	 4.51	TRGB	51	 36	 7.97	 7.74	 351	-1.4	NGC0253        	-1.1
KKH5              	016.885417	+51.440278	13.63	 37	10	  61	 4.27	TRGB	60	 16	 7.16	 6.87	 326	-1.0	Maffei2        	-0.6
AM0106-382        	017.091667	-38.209167	13.86	 38	10	 645	 8.20	TF  	66	 15	 7.60	 7.58	 605	-1.7	NGC1291        	-1.4
NGC0404           	017.362083	+35.717500	 7.53	 79	-1	 -50	 3.05	TRGB	20	100	 9.28	 7.93	 193	-0.8	Maffei2        	-0.4
And V             	017.571250	+47.628056	11.33	   	-3	-403	 0.81	TRGB	43	   	 6.62	 5.62	-143	 2.6	MESSIER031     	 2.6
And XV            	018.577917	+38.117500	11.62	   	-3	-323	 0.76	TRGB	39	   	 6.43	 5.56	 -79	 2.9	MESSIER031     	 2.9
And II            	019.124167	+33.419167	10.75	   	-3	-194	 0.65	TRGB	45	   	 6.65	 5.44	  40	 2.0	MESSIER031     	 2.1
And XXIV          	019.625000	+46.366111	12.78	   	-3	-128	 0.60	HB  	52	   	 5.77	     	 127	 1.9	MESSIER031     	 1.9
And XXII          	021.916667	+28.090278	14.40	   	-3	-127	 0.79	TRGB	90	   	 5.36	     	  87	 2.1	MESSIER033     	 2.3
UGC01056          	022.196667	+16.688056	12.00	 42	 9	 595	 7.30	mem 	54	 20	 8.25	 7.64	 774	 1.1	NGC0628        	 1.1
And XXIII         	022.340833	+38.718889	10.74	   	-3	-243	 0.73	TRGB	71	   	 6.75	     	  -6	 2.4	MESSIER031     	 2.5
UGC01104          	023.176250	+18.315833	11.81	 83	 9	 688	 7.55	BS  	62	 41	 8.35	 8.02	 869	 0.5	NGC0628        	 0.5
MESSIER033        	023.461667	+30.660278	 4.10	181	 5	-182	 0.85	Cep 	54	 99	 9.54	 9.32	  34	 1.7	MESSIER031     	 1.7
KKH6              	023.715000	+52.091667	13.73	 28	10	  60	 3.73	TRGB	62	  8	 7.02	 6.63	 313	-0.5	Maffei2        	-0.1
NGC0625           	023.770833	-41.436389	 8.90	 75	 8	 395	 3.89	TRGB	76	 34	 8.93	 7.97	 325	-0.3	NGC0253        	-0.2
NGC0628           	024.172083	+15.786667	 6.85	 53	 5	 657	 7.31	BS  	20	 64	10.31	 9.44	 827	-0.3	UGC01171       	-0.2
UGC01171          	024.923333	+15.903056	13.13	 25	10	 738	 7.38	BS  	26	  8	 7.80	 8.06	 906	 2.2	NGC0628        	 2.2
DDO013            	025.040000	+15.904722	11.76	 35	10	 631	 9.04	BS  	44	 18	 8.53	 8.66	 798	-1.4	NGC0628        	-1.2
AGC112521         	025.282917	+27.323889	15.20	 26	10	 274	 6.52	h   	67	  5	 6.87	 6.81	 476	-0.9	NGC0672        	-0.5
KK13              	025.570000	+26.367778	13.86	 31	10	 357	 7.20	mem 	65	 11	 7.49	 7.20	 556	 0.7	NGC0672        	 1.0
KDG010            	025.922500	+15.689722	13.64	 32	10	 789	 7.87	BS  	55	 13	 7.66	 7.72	 953	 0.0	NGC0628        	 0.0
KK14              	026.177917	+27.287778	14.84	 28	10	 420	 7.20	mem 	90	  7	 7.10	 7.56	 619	 1.8	NGC0672        	 2.1
ESO245-005        	026.265000	-43.598056	10.26	 60	 9	 393	 4.43	TRGB	30	 51	 8.50	 8.58	 307	-0.6	NGC0253        	-0.5
KK15              	026.673333	+26.801389	15.54	 22	10	 366	 7.20	mem 	90	  3	 6.82	 7.05	 563	 2.0	IC1727         	 2.2
IC1727            	026.875417	+27.331111	 8.97	129	 8	 336	 7.20	BS  	70	 60	 9.46	 8.87	 533	 4.0	NGC0672        	 4.0
NGC0672           	026.971667	+27.433611	 8.51	205	 6	 429	 7.20	BS  	71	 96	 9.65	 9.23	 626	 3.8	IC1727         	 3.8
UGC01281          	027.384583	+32.592500	10.50	123	 7	 157	 4.94	TRGB	85	 54	 8.52	 8.22	 367	-1.1	NGC0784        	-0.9
Phoenix           	027.776250	-44.444722	11.31	   	10	 -52	 0.44	HB  	35	   	 6.08	 5.22	-145	 0.7	Milky Way      	 0.8
KK16              	028.835833	+27.954167	13.68	 24	10	 207	 5.47	TRGB	90	  3	 7.32	 6.84	 400	-1.5	NGC0784        	-1.1
KK17              	030.041250	+28.832500	14.24	 20	10	 168	 4.90	TRGB	72	  3	 7.00	 6.74	 360	 1.1	NGC0784        	 1.1
NGC0784           	030.320000	+28.843611	10.29	 88	 8	 193	 4.97	TRGB	79	 39	 8.60	 8.46	 385	-0.5	KK17           	-0.4
UGC1561           	031.020833	+24.207778	11.83	 39	 9	 606	 7.20	TF  	34	 26	 8.31	 7.63	 782	-0.7	NGC0672        	-0.3
Cas1              	031.532917	+69.010000	 9.34	 50	10	  35	 3.30	mem 	45	 29	 8.76	 8.11	 284	 0.5	IC0342         	 0.7
UGC01703          	033.232500	+32.814167	12.52	   	-2	    	 4.19	SBF 	72	   	 7.56	 6.30	    	-1.3	Maffei2        	-0.8
NGC0855           	033.515417	+27.877222	 9.83	 94	 0	 591	 9.73	SBF 	85	 41	 9.37	 8.45	 770	-1.0	NGC0925        	-0.7
Segue 2           	034.816667	+20.175278	11.36	   	-3	 -39	 0.03	TRGB	39	   	 3.88	     	 112	 3.8	Milky Way      	 3.8
NGC0891           	035.636667	+42.346667	 5.94	456	 3	 526	 9.77	SBF 	82	218	10.96	 9.64	 736	-0.9	NGC1023        	-0.5
KKH11             	036.145833	+56.011667	11.74	 84	10	 296	 3.00	mem 	68	 40	 7.64	 7.66	 528	 1.3	Maffei1        	 1.7
[KK2000] 03       	036.177917	-73.512778	10.83	   	-3	    	 4.10	mem 	90	   	 8.21	 6.28	    	-0.8	NGC1313        	-0.6
DDO019            	036.250833	+36.037778	13.14	 87	10	 577	 9.30	mem 	46	 53	 8.00	 8.32	 771	 0.3	NGC0925        	 0.5
d0226+3325        	036.720000	+33.426944	14.86	 40	10	 520	 9.30	mem 	26	 36	 7.32	 8.00	 705	 3.7	NGC0925        	 3.7
NGC0925           	036.816667	+33.578056	 7.87	203	 7	 553	 9.29	Cep 	57	107	10.12	 9.58	 738	 0.9	d0226+3325     	 1.0
Halogas           	036.833333	+33.958333	15.35	 28	10	 528	 9.30	mem 	47	 10	 7.12	 7.12	 714	 2.8	NGC0925        	 2.8
KKH12             	036.862500	+57.487778	11.79	 48	10	  70	 3.00	mem 	90	 20	 7.67	 7.23	 303	 1.9	Maffei1        	 2.1
DDO022            	038.225000	+38.680556	13.11	 52	10	 570	 9.30	mem 	90	 22	 8.01	 8.05	 765	 0.2	NGC0891        	 0.4
DDO025            	038.325833	+33.491111	10.98	 36	 8	 604	 9.30	mem 	23	 33	 8.87	 8.41	 785	 1.2	NGC0925        	 1.2
DDO024            	038.429167	+40.528056	10.86	 48	 8	 581	 9.80	mem 	36	 33	 8.96	 8.73	 780	 1.0	NGC0891        	 1.0
MB1               	038.898333	+59.379722	10.46	 50	10	 190	 3.00	mem 	87	 21	 8.23	 7.27	 421	 4.6	Maffei1        	 4.6
Maffei1           	039.147917	+59.655000	 5.55	   	-3	  66	 3.01	FP  	39	   	10.22	     	 298	 2.6	MB1            	 2.6
ESO115-021        	039.437500	-61.341111	 9.97	121	 7	 515	 4.99	TRGB	90	 53	 8.73	 8.56	 339	-1.5	NGC0253        	-1.0
Fornax            	039.977917	-34.525833	 5.13	   	-3	  29	 0.14	TRGB	58	   	 7.55	 5.19	 -56	 2.1	Milky Way      	 2.2
Maffei2           	040.477083	+59.603056	 4.50	306	 4	 -15	 2.80	TF  	63	159	10.67	 8.78	 214	 2.4	Dw1            	 2.4
UGC02172          	040.545000	+43.355278	12.37	 60	10	 565	 9.30	TF  	61	 29	 8.32	 7.87	 765	 0.3	NGC0891        	 0.4
AGC122226         	041.662083	+27.726389	14.25	 29	 9	 472	 8.56	TF  	67	  9	 7.50	 7.55	 625	-1.2	NGC0925        	-0.8
Dw2               	043.535417	+59.005278	10.22	100	10	  94	 3.00	mem 	90	 44	 8.35	 8.01	 316	 2.8	MB3            	 2.9
MB3               	043.931667	+58.861667	10.93	 15	10	  59	 3.00	mem 	90	  3	 8.09	 7.78	 281	 3.0	Dw2            	 3.1
ESO154-023        	044.210000	-54.573056	 9.81	122	 8	 574	 5.55	TRGB	83	 53	 8.89	 9.09	 408	-1.5	NGC0253        	-1.1
Dw1               	044.233750	+58.911667	 5.17	187	 3	 112	 2.80	TF  	52	105	10.36	 8.54	 333	 2.7	Maffei2        	 2.7
ESO199-007        	044.517083	-49.382500	14.01	 55	10	 630	 6.56	h   	90	 23	 7.35	 7.32	 479	-1.2	NGC1291        	-1.0
NGC1156           	044.926667	+25.237500	 9.55	 68	 8	 373	 7.80	BS  	32	 55	 9.31	 8.82	 507	-0.3	LV J0300+2546  	-0.3
LV J0300+2546     	045.163750	+25.782222	14.50	 19	10	 308	 7.80	mem 	33	  5	 7.34	 6.20	 443	 1.6	NGC1156        	 1.6
KKH18             	045.774583	+33.694444	13.56	 34	10	 216	 4.43	TRGB	65	 13	 7.21	 7.07	 374	-1.4	Maffei2        	-0.9
ESO300-014        	047.407500	-41.030556	10.00	130	 8	 955	 9.80	TF  	60	 66	 9.30	 8.65	 824	-0.1	NGC1291        	 0.0
ESO300-016        	047.543750	-40.003056	13.15	 37	10	 710	 8.80	TF  	50	 18	 7.94	 7.86	 583	 1.7	NGC1291        	 1.7
NGC1291           	049.327500	-41.108056	 5.66	 40	 1	 838	 8.80	mem 	25	 37	10.94	 8.98	 702	-1.3	ESO300-016     	-0.8
NGC1313           	049.564167	-66.497500	 7.57	167	 7	 470	 4.07	TRGB	37	120	 9.52	 9.24	 264	-0.9	KK27           	-0.7
NGC1311           	050.030833	-52.185000	10.92	 82	 8	 571	 5.20	TRGB	78	 36	 8.38	 7.99	 399	-1.2	ESO154-023     	-0.9
UGC02684          	050.098750	+17.295000	13.46	 79	10	 350	 6.49	BS  	72	 36	 7.57	 7.92	 438	-0.1	UGC02716       	-0.1
KK27              	050.262500	-66.319722	13.85	 10	10	 533	 3.98	TRGB	90	  3	 6.98	 5.87	 327	 1.6	NGC1313        	 1.6
UGC02716          	051.030000	+17.754167	11.50	 44	 8	 381	 6.40	h   	57	 21	 8.34	 7.68	 467	-0.8	UGC02684       	-0.8
UGC02773          	053.029583	+47.793611	 9.77	 81	 9	 216	 5.40	h   	47	 48	 8.95	 8.23	 395	-1.6	IC0342         	-1.1
IC1959            	053.299167	-50.410556	11.04	128	 8	 640	 6.05	TRGB	79	 57	 8.47	 8.36	 465	-1.5	NGC1291        	-1.1
PGC013294         	053.986667	-45.191389	13.73	   	10	 744	 7.98	h   	41	   	 7.62	 7.18	 582	-0.2	NGC1291        	-0.2
NGC1400           	054.878333	-18.688056	 7.81	   	-3	 569	24.50	SBF 	36	   	10.98	     	 496	-2.3	NGC1398        	-1.8
KKH22             	056.235833	+72.064444	14.13	   	10	    	 3.50	mem 	70	   	 6.80	 6.46	    	 1.1	IC0342         	 1.2
KK35              	056.302500	+67.863889	11.06	   	10	 -66	 3.16	TRGB	54	   	 7.97	     	 149	 2.4	IC0342         	 2.4
IC0342            	056.703750	+68.095833	 4.57	181	 6	  29	 3.28	Cep 	25	189	10.60	10.16	 244	 0.1	Maffei2        	 0.5
UGC02905          	059.252500	+16.524444	12.17	 41	10	 292	 5.83	BS  	62	 18	 8.02	 7.56	 344	-2.1	NGC0253        	-1.6
UGCA086           	059.956250	+67.125278	 8.17	   	 8	  72	 2.96	TRGB	47	   	 9.13	     	 280	 1.1	IC0342         	 1.3
IC2038            	062.225417	-55.992222	12.00	   	 7	 712	19.20	TF  	79	   	 9.08	     	 505	 1.9	NGC1533        	 1.9
NGC1533           	062.465833	-56.118333	 7.63	250	 1	 785	19.40	SBF 	37	186	10.85	 9.76	 577	 0.2	IC2038         	 0.3
ESO483-013        	063.171250	-23.158889	10.84	 74	 9	 898	 7.40	TF  	68	 34	 8.72	 7.63	 780	-1.6	NGC1291        	-1.3
CamA              	066.315000	+72.805833	11.64	 38	10	 -54	 3.93	TRGB	65	 16	 7.88	 8.22	 156	 0.0	IC0342         	 0.2
