#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:17:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:17:03	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/clusters&-out.max=unlimited&-out=Name,Type,CST,N,Nt,GLON,GLAT,r50pc,rcpc,rtpc,s_pmRA,e_pmRA,s_pmDE,e_pmDE,Plx,s_Plx,e_Plx,dist16,dist50,dist84,X,Y,Z,RV,s_RV,e_RV,n_RV,logAge50,AV50,r50Jpc,rJpc,probJ,NJ,MassJ,e_MassJ,MassTot,e_MassTot,CMDCl50	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_clusters:
#Name: J/A+A/686/A42/clusters
#Title: Main catalogue (table 1)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id;meta.main]
#Column	Type	(A1)	[omgdr] Estimated type of object (1)	[ucd=src.class]
#Column	CST	(F11.8)	[3/99] Astrometric SNR (cluster significance test) (2)	[ucd=stat.snr]
#Column	N	(I6)	[10/153797] Number of member stars	[ucd=meta.number]
#Column	Nt	(I5)	[10/53464] Number of stars within tidal radius	[ucd=meta.number]
#Column	GLON	(F12.8)	Galactic longitude	[ucd=pos.galactic.lon]
#Column	GLAT	(E10.3)	Galactic latitude	[ucd=pos.galactic.lat]
#Column	r50pc	(F13.8)	Radius containing 50% of members in parsecs	[ucd=phys.size.radius]
#Column	rcpc	(F13.8)	Core radius in parsecs	[ucd=phys.size.radius]
#Column	rtpc	(F13.8)	Tidal radius in parsecs	[ucd=phys.size.radius]
#Column	s_pmRA	(F11.8)	Standard deviation of pmra	[ucd=stat.stdev]
#Column	e_pmRA	(F11.8)	Standard error of pmra	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	s_pmDE	(F11.8)	Standard deviation of pmdec	[ucd=stat.stdev]
#Column	e_pmDE	(F11.8)	Standard error of pmdec	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	Plx	(F12.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	s_Plx	(F11.8)	Standard deviation of parallax	[ucd=stat.stdev;pos.parallax]
#Column	e_Plx	(F11.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	dist16	(F15.8)	16th percentile of maximum likelihood distance	[ucd=pos.distance]
#Column	dist50	(F15.8)	50th percentile of maximum likelihood distance	[ucd=pos.distance]
#Column	dist84	(F16.8)	84th percentile of maximum likelihood distance	[ucd=pos.distance]
#Column	X	(F16.8)	X coordinate in heliocentric galactic coordinates	[ucd=pos.cartesian.x;pos.galactic;pos.heliocentric]
#Column	Y	(F16.8)	Y coordinate in heliocentric galactic coordinates	[ucd=pos.cartesian.y;pos.galactic;pos.heliocentric]
#Column	Z	(F16.8)	Z coordinate in heliocentric galactic coordinates	[ucd=pos.cartesian.z;pos.galactic;pos.heliocentric]
#Column	RV	(F13.8)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	s_RV	(F13.8)	? Standard deviation of radial velocity	[ucd=stat.stdev;spect.dopplerVeloc]
#Column	e_RV	(F13.8)	? Standard error of radial velocity	[ucd=stat.error]
#Column	n_RV	(I4)	Number of member stars with a radial velocity	[ucd=meta.note]
#Column	logAge50	(F11.8)	? 50th percentile of logarithm of cluster age	[ucd=time.age]
#Column	AV50	(F11.8)	? 50th percentile of V-band cluster extinction	[ucd=phys.absorption]
#Column	r50Jpc	(F12.8)	? Radius containing 50% of members within the Jacobi radius in parsecs	[ucd=phys.size.radius]
#Column	rJpc	(F13.8)	? Jacobi radius in parsecs	[ucd=phys.size.radius]
#Column	probJ	(E10.3)	? Probability of the cluster having a valid Jacobi radius	[ucd=stat.fit.goodness]
#Column	NJ	(I4)	[9/4171]? Number of stars within best-fit Jacobi radius	[ucd=meta.number]
#Column	MassJ	(F15.8)	? Cluster mass within the Jacobi radius	[ucd=phys.mass]
#Column	e_MassJ	(F15.8)	? Error on cluster mass within the Jacobi radius	[ucd=stat.error]
#Column	MassTot	(F15.8)	? Total observed cluster mass	[ucd=phys.mass]
#Column	e_MassTot	(F15.8)	? Error on total observed cluster mass	[ucd=stat.error]
#Column	CMDCl50	(F11.8)	[0/1] 50th percentile of CMD class	[ucd=meta.code]
Name	Type	CST	N	Nt	GLON	GLAT	r50pc	rcpc	rtpc	s_pmRA	e_pmRA	s_pmDE	e_pmDE	Plx	s_Plx	e_Plx	dist16	dist50	dist84	X	Y	Z	RV	s_RV	e_RV	n_RV	logAge50	AV50	r50Jpc	rJpc	probJ	NJ	MassJ	e_MassJ	MassTot	e_MassTot	CMDCl50
ASCC_19             	o	 9.30711743	    61	   60	204.78898604	-1.938e+01	   1.98483998	   4.66363474	   4.66363474	 0.17649646	 0.02278559	 0.14030721	 0.01811358	  2.80542177	 0.03309289	 0.00427227	   351.66153790	   352.07912043	    352.49769586	  -8423.79916201	   -139.25454135	    -95.25631690	  11.65061088	  17.16019396	   3.36539092	  26	 6.87212467	 0.22972958	  2.01070712	   5.45246030	 1.000e+00	  61	    56.32117383	    12.97779985	    56.09632140	    13.00698483	 0.99964577
ASCC_20             	o	 8.64395005	   194	  194	201.59021723	-1.747e+01	   4.11888690	   9.49260774	  10.28603757	 0.24930397	 0.01789898	 0.25142592	 0.01805133	  2.73024842	 0.09457030	 0.00678975	   360.88362220	   361.20759548	    361.53215095	  -8442.61793005	   -126.77889871	    -86.83410936	  27.88555658	  10.88051064	   1.48064996	  54	 7.09837246	 0.10797080	  3.69505036	   6.70150932	 1.000e+00	 163	   104.81020658	    24.09626990	   132.89641709	    25.07331927	 0.99289492
ASCC_21             	o	11.05617115	   116	  116	199.88285050	-1.653e+01	   2.74652910	   2.55138517	  10.63163356	 0.18190028	 0.01688902	 0.17153123	 0.01592628	  2.90244259	 0.03101802	 0.00287995	   340.41616451	   340.73440964	    341.05325036	  -8429.40083388	   -111.09328447	    -75.35909798	  10.16829406	  28.00862356	   4.04269659	  48	 6.83873701	 0.13768683	  2.24008177	   5.65946554	 1.000e+00	  93	    62.71813143	    14.18523270	    73.54879102	    17.11743172	 0.99979487
ASCC_23             	o	21.33467290	   194	  193	167.49002510	 1.439e+01	   3.31467030	   2.28018862	  16.65990464	 0.19220519	 0.01383523	 0.20433044	 0.01470803	  1.60932656	 0.08072390	 0.00581063	   602.87920236	   603.67282762	    604.46854508	  -8692.42582683	    126.65644259	    172.33553521	 -13.25086514	   8.00105639	   0.94955070	  71	 8.46416616	 0.17966793	  2.88864596	   9.44061263	 1.000e+00	 181	   275.79440588	    36.78081688	   293.81184819	    37.45369235	 0.99717695
ASCC_24             	m	 5.83357086	    18	   18	216.68856762	-8.165e+00	   7.08122255	  13.60699570	  13.60699570	 0.38830203	 0.09152367	 0.47785781	 0.11263217	  4.72756672	 0.06727910	 0.01585784	   209.44341632	   209.76508315	    210.08773954	  -8288.55371168	   -124.05677545	     -8.56486076	  35.99828722	  42.16019450	  17.21182733	   6	 7.50882268	 0.39099787	  1.70939907	   7.42199766	 0.000e+00	  10	     7.98035873	     3.30427314	    21.24605420	     3.18519696	 0.98497230
ASCC_27             	o	 8.28525119	    51	   43	217.24517615	-1.476e+00	   4.18743633	   8.46145968	   8.46145968	 0.08210014	 0.01252015	 0.08596439	 0.01310945	  0.28057876	 0.03949405	 0.00602279	  3026.53967224	  3093.00481716	   3162.45476225	 -10583.54937610	  -1871.34616177	    -52.58861542	             	             	             	   0	 7.72897339	 3.28840196	  4.53040148	  14.88541613	 1.000e+00	  49	   675.07242031	    68.08859230	   677.62040504	    73.31927807	 0.95401081
ASCC_28             	o	 3.51093826	    25	   21	213.31714573	 4.694e-01	   7.71961614	  12.89543112	  12.89543112	 0.12821476	 0.02797875	 0.10753249	 0.02346551	  0.91907614	 0.02744036	 0.00598798	  1034.31051290	  1039.73871055	   1045.22418457	  -8990.77049612	   -571.08034263	     31.54129348	  48.98105424	  38.03344619	  13.44685386	   8	 7.97812390	 0.30027463	  2.63653192	   6.09402892	 9.819e-01	  10	    69.00025663	    13.37802410	    88.73635750	    13.20145248	 0.99791870
ASCC_29             	o	14.47895133	    91	   91	214.74986972	-1.113e-01	   2.23950116	   1.92982981	   9.20713362	 0.11407837	 0.01195866	 0.09859987	 0.01033607	  0.97071031	 0.05148488	 0.00539708	   990.10583929	   993.44651786	    996.80981607	  -8938.23819814	   -566.25761179	     20.95797936	  12.10932459	  21.29756797	   4.88599719	  19	 8.07814837	 0.10661657	  2.23950116	   9.25389727	 1.000e+00	  91	   241.40841643	    27.19967413	   241.40841643	    27.19967413	 0.99873510
ASCC_30             	o	11.30990330	    88	   80	219.08860179	-1.608e+00	   3.58978025	   6.97231610	   9.38530111	 0.09833101	 0.01099374	 0.07816213	 0.00873879	  0.88755763	 0.05458205	 0.00610246	  1057.06346953	  1060.38401827	   1063.72549440	  -8944.76344474	   -668.33060656	     -6.85778488	  15.53417802	  18.43263483	   3.92985095	  22	 8.20350361	 0.33680458	  3.53456482	   9.01736730	 1.000e+00	  77	   221.28262972	    30.49892473	   270.80529424	    26.16752434	 0.99914658
ASCC_33             	m	 9.60590908	    49	   49	235.98124333	-8.740e+00	   9.20923501	  21.41774125	  21.41774125	 0.48213135	 0.06887591	 0.30838623	 0.04405518	  2.32352630	 0.09626715	 0.01375245	   415.89482419	   416.70785047	    417.52406172	  -8352.56096564	   -341.37911993	    -41.93028031	  16.87885040	   6.52674772	   1.88410978	  12	 8.33320713	 0.05557162	  3.77555095	   5.62486134	 0.000e+00	  11	    14.01645933	     3.27737365	    55.82514607	     6.84675588	 0.98502979
ASCC_36             	o	 5.63889517	    29	   23	234.29735131	-4.633e+00	   3.17831739	   7.35547466	   7.35547466	 0.10050148	 0.02095601	 0.12651157	 0.02637949	  1.01376607	 0.04224965	 0.00880966	   948.51665091	   952.98872005	    957.50315880	  -8676.49623456	   -771.35170549	    -54.75418815	  16.04708750	   4.89143430	   1.99691969	   6	 8.10520649	 0.17016807	  2.67748741	   5.90446846	 1.000e+00	  21	    67.22453201	    12.42305458	   113.93266465	    10.35898352	 0.99319613
ASCC_45             	o	 4.79361113	    54	   54	253.72109195	-1.878e-01	  12.67178884	  29.06430426	  31.67245044	 0.08531522	 0.01160993	 0.10137381	 0.01379523	  0.24553392	 0.01877796	 0.00255536	  3492.84166444	  3535.02900580	   3578.24790327	  -9112.91349239	  -3393.28538686	     11.74343534	             	             	             	   0	 7.46660185	 2.06079197	  4.32826197	   9.24579614	 1.000e+00	  22	   205.11778213	    46.41046212	   572.86901913	    28.64034924	 0.88380691
ASCC_51             	o	19.46774937	   172	  136	286.58773674	-1.397e+01	   5.20701594	   2.34321034	  40.61902330	 0.29283719	 0.02511058	 0.33171124	 0.02844400	  1.81832702	 0.04716675	 0.00404452	   544.30624628	   544.83474207	    545.36426515	  -7971.36750979	   -506.72556458	   -111.07863513	   8.73466910	   8.68418710	   1.29456218	  45	 8.09970093	 0.07270944	  3.67732035	   6.73790974	 1.000e+00	 101	   120.48014178	    17.71551356	   219.13599573	    22.21235813	 0.99897802
ASCC_52             	m	 3.79467954	    39	   30	276.06605245	-2.657e+00	  13.55824851	  17.55298374	  17.55298374	 0.06842034	 0.01249179	 0.07185284	 0.01311847	  0.38863429	 0.01383695	 0.00252627	  2331.42362134	  2349.71507909	   2368.29582201	  -7874.21618086	  -2334.04643566	    -88.76535139	   6.73055538	   4.54109451	   3.21103872	   2	 8.43440580	 1.03351206	  2.81289314	   7.75268415	 0.000e+00	  10	    60.12772255	    13.10194506	   227.73673461	    27.60436596	 0.97872111
ASCC_58             	o	19.43184966	   236	  221	281.70492996	 1.263e+00	   4.23716147	   4.40110028	  15.10192629	 0.23499967	 0.01580779	 0.26526321	 0.01784353	  2.09626027	 0.05486155	 0.00369039	   471.10609318	   471.43809668	    471.77056845	  -8026.32936757	   -461.52270886	     30.94365516	  11.68279989	  13.46567554	   1.47804991	  83	 7.75597095	 0.12798242	  3.69709437	   8.37865491	 1.000e+00	 182	   226.36626406	    26.17728640	   266.54046838	    32.87710895	 0.99686646
ASCC_59             	m	 3.04239277	    12	   10	283.95303862	-4.378e-01	   3.35777229	   6.41414742	   6.41414742	 0.06246520	 0.01975323	 0.07331973	 0.02318574	  0.50127624	 0.01825133	 0.00577158	  1842.47129891	  1913.30497299	   1989.80279565	  -7660.67891090	  -1856.79659500	      4.99651851	             	             	             	   0	 9.65740967	 0.33704804	  3.35777232	   6.42051756	 2.566e-01	  10	    92.78439637	    20.26915017	   135.49758593	    14.56743005	 0.88230464
ASCC_60             	o	 7.76545007	   146	   88	285.69880735	-4.814e-01	   6.87933348	  14.41408235	  14.41408235	 0.13131744	 0.01399849	 0.07909797	 0.00843187	  0.18672286	 0.02491018	 0.00265543	  4327.65871570	  4388.02094824	   4450.09086580	  -6934.80496077	  -4224.18824074	    -19.10897580	 109.32080076	  15.57356740	   7.78678370	   1	 7.66629100	 2.63199222	  6.41883069	  13.50417324	 1.000e+00	  83	   935.45422159	    76.33149973	  1563.25117416	    98.45357354	 0.03697337
ASCC_61             	o	19.48868674	   167	  134	286.52273710	 1.788e+00	   2.94949141	   3.39608427	   9.81100901	 0.07623048	 0.00658531	 0.05962850	 0.00515112	  0.33331991	 0.02772646	 0.00239520	  2704.50332432	  2719.72272472	   2735.11438671	  -7348.65989763	  -2606.14871087	    103.66661371	 -19.78931122	   7.50502716	   1.87625679	  16	 9.08309031	 0.49548896	  3.31272962	  13.66800639	 1.000e+00	 167	  1042.61340689	    50.34065143	  1042.61340689	    50.34065143	 0.97565448
ASCC_62             	o	 4.62418829	    86	   67	288.44718360	-6.415e-01	   7.97737329	  16.38563535	  16.38563535	 0.05909414	 0.00721950	 0.05630636	 0.00687892	  0.40429437	 0.02138113	 0.00261212	  2279.58816963	  2291.20499651	   2302.94082901	  -7397.08211102	  -2173.33753367	     -6.71307036	  41.38309811	  62.92361100	  20.97453700	   1	 7.53004313	 0.90740520	  3.58315106	   7.43813947	 1.000e+00	  33	   174.21752691	    41.25599506	   489.26061686	    87.85930161	 0.99866307
ASCC_63             	o	16.07524187	   171	  156	289.21446606	-7.059e-01	   4.16028411	   5.26176402	  13.08325374	 0.06585223	 0.00527240	 0.05740571	 0.00459614	  0.16473312	 0.03628234	 0.00290491	  5039.76851146	  5115.94971348	   5194.46937564	  -6438.58749333	  -4830.59191027	    -46.54441762	  17.94078338	  13.38368025	   3.34592006	  16	 8.61818027	 2.29602528	  4.38577973	  19.18705871	 1.000e+00	 168	  2701.39490448	   324.26147176	  2766.73088423	   317.67561015	 0.36285533
ASCC_65             	o	 6.36299733	    66	   50	291.15997526	-6.042e-01	   2.60028240	   5.78365831	   5.78365831	 0.07232266	 0.01022797	 0.08135826	 0.01150580	  0.38198010	 0.02056645	 0.00290853	  2373.44635075	  2387.22451536	   2401.16358210	  -7260.36655341	  -2226.14572803	     -6.58219456	   4.17192021	  25.12914997	  12.56457499	   4	 6.80490303	 1.08605421	  2.69827013	   9.82677519	 1.000e+00	  54	   407.75732868	    63.02485590	   448.64920900	    77.25628917	 0.96623912
