#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:05:41 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:05:41	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/594/A27/psz2&-out.max=unlimited&-out=INDEX,NAME,GLON,GLAT,RAJ2000,DEJ2000,SNR,PIPEDET,PIPE-DET,VALID,z,MSZ,MSZ_ERR_UP,MSZ_ERR_LOW,MSZERR,Y5R500,e_Y5R500,COSMO,REDSHIFT_ID	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35940027
#Name: J/A+A/594/A27
#Title: Planck Sunyaev-Zeldovich sources (PSZ2) (Planck+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/a+a/594/a27	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/594/a27	    IVOID of underlying data collection
#INFO	creator=Plankc collaboration Ade P.A.R.	    First author or institution
#INFO	cites=bibcode:2016A&A...594A..27P	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/594/A27	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35940027	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-04-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_594_A27_psz2:
#Name: J/A+A/594/A27/psz2
#Title: Second SZ catalogue (PSZ2) (Union catalog)
#Column	Index	(I4)	Index used to cross-reference with individual catalogues (INDEX)	[ucd=meta.id]
#Column	Name	(A18)	Source name (NAME) (1)	[ucd=meta.id;meta.main]
#Column	GLON	(F11.7)	Galactic longitude (GLON)	[ucd=pos.galactic.lon]
#Column	GLAT	(F11.7)	Galactic latitude (GLAT)	[ucd=pos.galactic.lat]
#Column	RAJ2000	(F11.7)	Right ascension (J2000) transformed from (GLON,GLAT) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	Declination (J2000) transformed from (GLON,GLAT) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	SNR	(F8.5)	Signal-to-noise ratio of the detection (SNR)	[ucd=stat.snr]
#Column	z	(F9.6)	Redshift of cluster (REDSHIFT) (5)	[ucd=src.redshift]
#Column	MSZ	(F9.6)	? SZ mass proxy (MSZ) (6)	[ucd=phys.mass]
#Column	E_MSZ	(F9.6)	? Upper bound of 68% SZ mass proxy confidence interval (MSZ_ERR_UP) (6)	[ucd=stat.error;stat.max]
#Column	e_MSZ	(F9.6)	? Lower bound of 68% SZ mass proxy confidence interval (MSZ_ERR_LOW) (6)	[ucd=stat.error]
#Column	Y5R500	(F10.6)	Mean marginal Y5R500 as determined by reference pipeline (Y5R500)	[ucd=stat.snr]
#Column	e_Y5R500	(F9.6)	Uncertainty on Y5R500 as determined by reference pipeline (Y5R500_ERR)	[ucd=stat.error]
#Column	COSMO	(I1)	[0/1] Indicates whether detection is in the cosmology sample (COSMO)	[ucd=meta.code]
#Column	zID	(a25)	External identifier of cluster associated with redshift measurement (REDSHIFT_ID) (5)	[ucd=src.redshift]
Index	Name	GLON	GLAT	RAJ2000	DEJ2000	SNR	z	MSZ	E_MSZ	e_MSZ	Y5R500	e_Y5R500	COSMO	zID
  19	PSZ2 G006.16-69.49	  6.1652096	-69.4967470	350.5375195	-34.5752135	 4.55340	-1.000000	         	         	         	  1.331902	 0.683665	0	
  20	PSZ2 G006.38+62.03	  6.3873240	 62.0323472	218.3080283	+12.4862713	 5.65158	 0.235712	 4.813953	 0.554516	 0.572437	  1.360977	 0.424082	0	RMJ143312.4+122756.8
  21	PSZ2 G006.49+50.56	  6.4985545	 50.5633108	227.7289500	+05.7681015	23.17088	 0.076600	 7.039484	 0.199073	 0.193102	 22.963346	 2.115045	1	A2029
  22	PSZ2 G006.68-35.55	  6.6887278	-35.5551601	308.7059326	-35.8250814	11.85154	 0.089400	 4.166683	 0.232628	 0.237041	 11.718791	 2.151682	1	RXCJ2034.7-3548
  23	PSZ2 G006.76+30.45	  6.7683149	 30.4540352	243.9548801	-06.1523633	35.01054	 0.203000	16.116468	 0.296833	 0.292221	 23.533632	 1.633278	0	RXCJ1615.7-0608
  24	PSZ2 G006.82-34.71	  6.8237547	-34.7132534	307.7109920	-35.5641276	 5.02210	 0.139800	 3.152574	 0.402348	 0.436777	  1.749919	 0.802183	0	RXCJ2030.7-3532
  25	PSZ2 G006.84+50.69	  6.8443260	 50.6938664	227.7552391	+06.0220111	 5.73192	 0.075728	 1.844416	 0.742635	 0.744162	 36.784466	 7.596710	0	
  26	PSZ2 G007.57-33.90	  7.5766904	-33.9026915	306.8860604	-34.7965297	 4.82758	 0.550000	 6.273721	 0.734868	 0.802158	  1.142332	 0.356096	0	
  27	PSZ2 G007.67-43.18	  7.6718551	-43.1876720	318.1795790	-36.0843971	 5.38838	-1.000000	         	         	         	  1.717919	 0.639196	0	
  28	PSZ2 G007.76-36.83	  7.7675376	-36.8354903	310.4392910	-35.1877584	 5.74397	 0.089462	 2.638609	 0.268698	 0.282619	  5.116889	 1.672873	0	ACO  3705
  29	PSZ2 G008.31-64.74	  8.3180874	-64.7469108	344.6782281	-34.7882452	10.94720	 0.312000	 7.745729	 0.411880	 0.396772	  4.499007	 0.810077	1	ACO S 1077
  30	PSZ2 G008.47-56.34	  8.4744770	-56.3420895	334.4436414	-35.7155681	10.05360	 0.148600	 4.791958	 0.304431	 0.288075	  4.861932	 1.034622	1	RXCJ2217.7-3543
  31	PSZ2 G008.70-31.44	  8.7077995	-31.4420676	304.2413269	-33.3263800	 5.34288	-1.000000	         	         	         	  3.311037	 1.102927	0	
 194	PSZ2 G048.47+34.86	 48.4711178	 34.8603694	255.5350510	+27.1466809	 5.74142	-1.000000	         	         	         	  4.896671	 2.294585	0	
  32	PSZ2 G008.80-35.18	  8.8051298	-35.1896221	308.6595074	-34.0615138	 6.28531	 0.093600	 2.975521	 0.286146	 0.328333	  3.050046	 1.333093	1	RXCJ2034.7-3404
  33	PSZ2 G008.94-81.22	  8.9464666	-81.2232194	003.5590615	-30.3876160	15.31582	 0.306600	 9.835684	 0.394720	 0.375410	  4.099188	 0.551316	1	RXCJ0014.3-3023
  34	PSZ2 G009.04+31.09	  9.0477339	 31.0970360	244.5860131	-04.1892994	 5.04280	-1.000000	         	         	         	  2.331487	 1.004099	0	
  35	PSZ2 G009.45-56.93	  9.4592545	-56.9394852	335.1335605	-35.1375985	 7.29635	 0.154400	 4.021076	 0.349856	 0.361679	  1.614532	 0.503806	1	RXCJ2220.5-3509
  36	PSZ2 G010.76-16.91	 10.7686948	-16.9184221	288.9423815	-26.9947969	 4.63515	-1.000000	         	         	         	  2.804104	 1.010204	0	
  37	PSZ2 G011.06-63.84	 11.0661837	-63.8407903	343.3862166	-33.7388626	 5.36425	 0.224000	 4.070501	 0.466557	 0.488097	  1.015567	 0.293062	0	RXCJ2253.5-3343
  38	PSZ2 G011.36+49.42	 11.3642368	 49.4235200	230.4768984	+07.6737460	 5.36439	 0.044200	 1.869686	 0.201766	 0.211982	  5.750090	 2.174539	0	RXC J1521.8+0742
  39	PSZ2 G011.36-72.93	 11.3690552	-72.9314128	354.0538503	-32.1343132	 6.26367	-1.000000	         	         	         	  2.323992	 0.913039	1	
  40	PSZ2 G011.72-37.96	 11.7220629	-37.9615041	312.4504689	-32.2998671	 5.37476	 0.323000	 5.374032	 0.589478	 0.638055	  1.313732	 0.458929	0	MACSJ2049.9-3217
  41	PSZ2 G011.92-63.53	 11.9221500	-63.5379984	342.9760369	-33.3941814	 5.72106	-1.000000	         	         	         	  1.123627	 0.364744	0	ACO  3926
  42	PSZ2 G012.59-20.10	 12.5932251	-20.1076462	292.9782279	-26.5666362	 7.01150	 0.352000	 6.974438	 0.525899	 0.563455	  1.892393	 0.546807	1	MACSJ1931.8-2634
  43	PSZ2 G012.81+49.68	 12.8139096	 49.6881922	230.7673885	+08.6073949	 6.75556	 0.035500	 1.898151	 0.174993	 0.179596	 10.043136	 3.273150	1	RXC J1523.0+0836
  44	PSZ2 G013.06-75.46	 13.0636031	-75.4675989	356.8526134	-31.1508624	 5.28891	-1.000000	         	         	         	  1.745485	 0.726235	0	
  45	PSZ2 G013.74-45.53	 13.7460417	-45.5326185	321.5663381	-32.0254458	 5.18606	 0.323033	 4.810649	 0.564473	 0.593464	  0.873590	 0.205492	0	ABELL S0946
  46	PSZ2 G014.09+38.38	 14.0978298	 38.3878702	240.8561420	+03.3223744	 5.20146	 0.222200	 4.725769	 0.545160	 0.593411	  2.499135	 1.047715	0	WHL J240.829+3.279
  47	PSZ2 G014.33+60.23	 14.3374790	 60.2335825	221.9786505	+14.7693644	 4.99666	 0.219834	 4.365911	 0.531632	 0.550212	  2.647059	 1.236014	0	RMJ144756.9+144532.6
  48	PSZ2 G014.72-62.49	 14.7211121	-62.4963702	341.6334404	-32.2011155	 5.21311	-1.000000	         	         	         	  2.630672	 1.267629	0	
  49	PSZ2 G015.75-28.66	 15.7507902	-28.6645921	303.0771843	-26.7054291	 4.76452	 0.149000	 3.260183	 0.393480	 0.426908	  1.809514	 0.893988	0	
  50	PSZ2 G017.25-70.71	 17.2572847	-70.7167436	351.1688847	-30.6510697	 5.19466	-1.000000	         	         	         	  1.121544	 0.421026	0	
  51	PSZ2 G017.72-51.40	 17.7262023	-51.4041786	328.7492675	-30.1324674	 4.53554	-1.000000	         	         	         	  2.324930	 1.113378	0	
  52	PSZ2 G018.06-36.38	 18.0668783	-36.3828834	311.9957084	-27.0195059	 5.64942	-1.000000	         	         	         	  1.054178	 0.235879	0	ACO  3714
  53	PSZ2 G018.18-60.00	 18.1852984	-60.0059259	338.7121482	-30.5418645	 6.35725	 0.251500	 4.868449	 0.449366	 0.473501	  1.388275	 0.468117	1	RXC J2234.8-3033
  54	PSZ2 G018.32-28.50	 18.3248409	-28.5072792	303.7003493	-24.5105117	 8.67636	 0.161200	 5.092264	 0.356207	 0.366650	  2.828974	 0.889383	0	RXCJ2014.8-2430
  55	PSZ2 G018.54-25.69	 18.5408764	-25.6919135	300.8655664	-23.3915128	11.34157	 0.317100	 8.991968	 0.444413	 0.488526	  3.273508	 0.595593	0	RXCJ2003.5-2323
  56	PSZ2 G018.64-83.11	 18.6450265	-83.1147509	005.2542949	-28.6217240	 4.62228	-1.000000	         	         	         	  0.914804	 0.330661	0	
  57	PSZ2 G018.73+23.56	 18.7303527	 23.5612415	255.5775358	-01.0240251	 7.51618	 0.089000	 3.968832	 0.300528	 0.303522	 14.110613	 3.745350	0	
  58	PSZ2 G018.73-15.49	 18.7339812	-15.4910833	290.7770614	-19.3991765	 4.84424	-1.000000	         	         	         	  1.104059	 0.355865	0	
  59	PSZ2 G018.76-61.65	 18.7618953	-61.6573028	340.6369626	-30.3150463	 5.03814	-1.000000	         	         	         	  1.545069	 0.653734	0	
  60	PSZ2 G018.84+22.43	 18.8451973	 22.4311288	256.6066931	-01.5032817	 6.33571	 0.091200	 3.603171	 0.295964	 0.329862	  7.541810	 2.078229	0	RXCJ1706.4-0132
  61	PSZ2 G018.92-33.64	 18.9254431	-33.6488761	309.2781317	-25.5929829	 4.77180	-1.000000	         	         	         	  2.209818	 1.115476	0	
  62	PSZ2 G019.12+31.23	 19.1292545	 31.2364880	249.1227334	+03.1476374	 7.52636	 0.280000	 6.649408	 0.515759	 0.542878	  2.213884	 0.761492	1	
  63	PSZ2 G019.48-80.97	 19.4876404	-80.9713640	002.8223237	-28.8688278	 8.86259	 0.062000	 2.606369	 0.182667	 0.188038	  7.603613	 1.630176	1	RXCJ0011.3-2851
  64	PSZ2 G020.08+37.47	 20.0848235	 37.4744451	244.0674803	+06.9137150	 4.72731	 0.332806	 5.477802	 0.689388	 0.738281	  1.703940	 0.589125	0	RMJ161610.2+065504.4
  65	PSZ2 G020.21-36.84	 20.2142522	-36.8477461	313.0083370	-25.4826159	 5.17455	-1.000000	         	         	         	  1.092301	 0.305700	0	
  66	PSZ2 G020.49-47.35	 20.4951181	-47.3570440	324.4985053	-27.7270179	 4.99537	-1.000000	         	         	         	  1.352491	 0.467219	0	
  67	PSZ2 G020.66+37.99	 20.6698792	 37.9964159	243.8319244	+07.5709252	 5.35110	 0.345133	 5.652531	 0.641905	 0.648596	  4.008857	 1.381721	0	RMJ161505.4+073455.4
  68	PSZ2 G021.02-29.04	 21.0295736	-29.0438725	305.1024838	-22.4479020	 4.88909	-1.000000	         	         	         	  1.272142	 0.475123	0	
  69	PSZ2 G021.08+38.00	 21.0822416	 38.0037494	243.9821976	+07.8598340	 5.37691	 0.381500	 6.165772	 0.641685	 0.628954	  1.502244	 0.560530	0	WHL J244.011+7.864
  70	PSZ2 G021.10+33.24	 21.1088106	 33.2418486	248.1988722	+05.5921886	16.31857	 0.151400	 7.788315	 0.300539	 0.301766	  8.001326	 1.210741	1	RXC J1632.7+0534
  71	PSZ2 G021.36-43.02	 21.3695838	-43.0246277	319.8962353	-26.2017251	 5.54686	 0.380000	 5.810800	 0.615291	 0.648235	  1.401379	 0.457936	0	
  72	PSZ2 G022.03+17.75	 22.0308562	 17.7541081	262.1523015	-01.2175534	 6.20045	-1.000000	         	         	         	  3.257273	 1.172282	0	
  73	PSZ2 G022.12-38.81	 22.1232382	-38.8132279	315.5511138	-24.5728726	 5.06137	 0.188000	 3.731324	 0.483119	 0.513224	  1.311100	 0.504976	0	RXCJ2102.1-2431
  74	PSZ2 G022.98+19.49	 22.9864987	 19.4921382	261.0687148	+00.4154682	 5.19207	 0.404400	 6.790033	 0.806730	 0.853331	  1.462883	 0.520391	0	WHL J261.104+0.415
  75	PSZ2 G023.05+20.52	 23.0556252	 20.5236967	260.1954405	+00.9684972	 5.57412	-1.000000	         	         	         	  1.548866	 0.512674	0	
  76	PSZ2 G023.17+86.71	 23.1754108	 86.7197113	196.4731079	+26.5261837	 5.34141	 0.306300	 5.033050	 0.559982	 0.564027	  3.400301	 1.474107	0	ZwCl5699
  77	PSZ2 G023.40-15.26	 23.4085729	-15.2612952	292.4921503	-15.1935254	 5.00560	 0.082900	 2.369741	 0.299939	 0.318777	  3.252802	 1.483841	0	RXC J1930.0-1509
  78	PSZ2 G023.87-13.88	 23.8767079	-13.8847111	291.3960142	-14.2055305	 4.90816	-1.000000	         	         	         	  2.074562	 0.828399	0	
  79	PSZ2 G024.44+22.76	 24.4430561	 22.7686066	258.8351714	+03.1718234	 5.99790	 0.164700	 4.505844	 0.400846	 0.412531	  3.865968	 1.184898	0	RXC J1715.2+0309
  80	PSZ2 G024.46-18.08	 24.4638475	-18.0885500	295.5950788	-15.4357560	 6.97577	-1.000000	         	         	         	  4.716490	 1.110109	0	
  81	PSZ2 G025.02-41.49	 25.0209063	-41.4911738	319.0394079	-23.1940252	 6.42499	-1.000000	         	         	         	  1.436187	 0.417089	1	RXC J2115.9-2309
  82	PSZ2 G025.07-78.64	 25.0730162	-78.6489347	000.0902461	-28.1002628	 6.21720	-1.000000	         	         	         	  2.446831	 0.835372	1	
  83	PSZ2 G025.13-75.88	 25.1332073	-75.8882932	356.9603376	-28.1425857	 8.07377	 0.030000	 1.480293	 0.114748	 0.107849	  9.799268	 2.735659	1	RXCJ2347.7-2808
  84	PSZ2 G025.89-46.67	 25.8996795	-46.6797624	324.6775050	-23.9849329	 4.93352	-1.000000	         	         	         	  2.407706	 1.201142	0	
  85	PSZ2 G026.09-25.62	 26.0905687	-25.6250294	303.4277679	-17.0251996	 4.64855	-1.000000	         	         	         	  1.971587	 0.958146	0	
  86	PSZ2 G026.34-58.64	 26.3401772	-58.6420465	337.6571827	-26.2663523	 4.54593	-1.000000	         	         	         	  0.850530	 0.258711	0	
  87	PSZ2 G026.73-38.94	 26.7343227	-38.9484514	316.8428413	-21.1840067	 8.42102	 0.202000	 5.409047	 0.363768	 0.361105	  5.283552	 1.480951	1	ACO  2336
  88	PSZ2 G027.23+15.73	 27.2387210	 15.7383858	266.2912277	+02.2181935	 4.89738	-1.000000	         	         	         	  1.433671	 0.481828	0	
  89	PSZ2 G027.28+23.79	 27.2885523	 23.7964654	259.1370903	+05.9641825	 4.70543	-1.000000	         	         	         	  2.684469	 1.317916	0	
  90	PSZ2 G027.39+15.39	 27.3914099	 15.3981604	266.6611649	+02.1910506	 5.22816	-1.000000	         	         	         	  1.066395	 0.211436	0	
  91	PSZ2 G027.77+10.88	 27.7773854	 10.8805549	270.8407059	+00.4326642	 6.41661	-1.000000	         	         	         	  4.839162	 1.997372	0	
  92	PSZ2 G027.77-49.72	 27.7781386	-49.7275746	328.2464403	-23.5522864	 4.59963	-1.000000	         	         	         	  1.081338	 0.445500	0	
  93	PSZ2 G027.81-45.93	 27.8125965	-45.9392274	324.2875033	-22.5132554	 5.24201	-1.000000	         	         	         	  4.550357	 2.418493	0	
  94	PSZ2 G027.92+15.54	 27.9211884	 15.5445040	266.7671927	+02.7115200	 4.53575	-1.000000	         	         	         	  3.083500	 1.798699	0	
  95	PSZ2 G027.99-69.85	 27.9981168	-69.8596213	350.2087969	-27.0299802	 4.56345	-1.000000	         	         	         	  7.130223	 1.893901	0	
  96	PSZ2 G028.05+25.43	 28.0508937	 25.4362503	257.9791287	+07.3229711	 8.21688	 0.284000	 6.629104	 0.512854	 0.538148	  3.841933	 0.912004	0	
  97	PSZ2 G028.08+10.79	 28.0826013	 10.7941475	271.0559615	+00.6584937	 6.03667	 0.088200	 3.285987	 0.335807	 0.309713	 10.122696	 3.728350	0	RXC J1804.1+0042
  98	PSZ2 G028.15-08.62	 28.1585667	 -8.6247124	288.4216367	-08.1405854	 7.66655	-1.000000	         	         	         	  1.977450	 0.513048	0	
  99	PSZ2 G028.63+50.15	 28.6303272	 50.1566029	235.0331729	+17.8986616	 6.91491	 0.091600	 3.249135	 0.268175	 0.280804	  3.764905	 1.141827	1	A2108
 100	PSZ2 G028.77-33.56	 28.7759490	-33.5640644	312.0614471	-17.8089661	 8.73780	 0.147500	 4.514435	 0.314703	 0.329338	  4.395020	 0.965125	1	RXCJ2048.1-1750
 101	PSZ2 G028.89+60.13	 28.8925084	 60.1362993	225.0904835	+21.3594324	 7.52451	 0.153000	 4.542624	 0.329476	 0.350119	  4.626342	 1.301036	1	RXC J1500.3+2121
 102	PSZ2 G029.06+44.55	 29.0671908	 44.5546532	240.5867533	+16.0912718	15.76490	 0.035300	 3.527035	 0.051358	 0.059119	 46.738579	 5.512718	1	A2147
 103	PSZ2 G029.55-60.16	 29.5586511	-60.1678424	339.6533439	-24.9363062	 5.02650	-1.000000	         	         	         	  1.848277	 0.826892	0	
 104	PSZ2 G029.66-47.63	 29.6689192	-47.6350624	326.4342608	-21.7802240	 5.74469	-1.000000	         	         	         	  1.248387	 0.386497	0	
 105	PSZ2 G029.80-17.40	 29.8035954	-17.4010584	297.1337388	-10.5277573	 9.00660	-1.000000	         	         	         	  9.323161	 2.425249	0	
 106	PSZ2 G029.87-17.81	 29.8770039	-17.8160537	297.5458413	-10.6418568	 4.91087	-1.000000	         	         	         	  6.162222	 2.712787	0	
 107	PSZ2 G030.27-16.94	 30.2728054	-16.9475460	296.9130194	-09.9282125	 5.43023	-1.000000	         	         	         	  2.688152	 0.945690	0	
 108	PSZ2 G030.70+09.44	 30.7040014	  9.4426262	273.4416566	+02.3314015	 5.11550	-1.000000	         	         	         	  7.765683	 3.179820	0	
 109	PSZ2 G030.90+34.37	 30.9086721	 34.3722329	250.8441049	+13.3853348	 4.93896	 0.181900	 3.713527	 0.479676	 0.516813	  1.610093	 0.686375	0	ACO 2224
 110	PSZ2 G031.37-71.95	 31.3747123	-71.9592674	352.6812052	-26.1712860	 4.72892	-1.000000	         	         	         	  1.444153	 0.634781	0	
 111	PSZ2 G031.41-19.16	 31.4169161	-19.1637288	299.4189763	-09.8989724	 5.69411	-1.000000	         	         	         	  2.179145	 0.765331	0	
