#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:02:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:02:28	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/842/133&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18420133
#Name: J/ApJ/842/133
#Title: HI-bearing ultra-diffuse ALFALFA galaxies (Leisman+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/842/133	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/842/133	    IVOID of underlying data collection
#INFO	creator=Leisman L.	    First author or institution
#INFO	cites=bibcode:2017ApJ...842..133L	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/842/133	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18420133	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-05-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_842_133_table1:
#Name: J/ApJ/842/133/table1
#Title: Properties of HI-bearing ultra-diffuse ALFALFA sources (HUDS)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	AGC	(I6)	[102791/749488] Arecibo General Catalog ID	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I4)	[1796/8416] Recessional velocity	[ucd=phys.veloc]
#Column	W50	(I3)	[19/215] Width of the HI line measured at the 50% flux level, corrected for channel broadening	[ucd=spect.line.width;em.line.HI]
#Column	e_W50	(I2)	[2/59] W50 error	[ucd=stat.error]
#Column	SdV	(F5.2)	[0.3/3.5] HI line flux density	[ucd=phot.flux]
#Column	e_SdV	(F5.2)	[0.02/0.1] Flux density error	[ucd=stat.error]
#Column	Dist	(I3)	[28/120] Distance from ALFALFA flow model (1)	[ucd=pos.distance;pos.heliocentric]
#Column	logMHI	(F5.2)	[7.9/9.5] HI mass	[ucd=phys.mass]
#Column	e_logMHI	(F5.2)	[0.05/0.2] HI mass error (1)	[ucd=stat.error]
#Column	mug0	(F5.2)	[23/25.4] g-band central surface brightness (2)	[ucd=phot.mag.sb]
#Column	e_mug0	(F5.2)	[0.1/0.4] g-band central SB error	[ucd=stat.error]
#Column	rh	(F4.1)	[1.6/8] Half light radius	[ucd=phys]
#Column	e_rh	(F4.1)	[0.2/3.3] Half light radius error (1)	[ucd=stat.error]
#Column	gMAG	(F5.1)	[-17.1/-13.9] g-band absolute magnitude (3)	[ucd=phys.magAbs]
#Column	e_gMAG	(F4.1)	[0.3/1.1] gMAG error (1)	[ucd=stat.error]
#Column	g-r	(F5.2)	[-0.2/0.9] g minus r color index (2)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	e_g-r	(F5.2)	[0.1/2] g-r color error	[ucd=stat.error;phot.color;em.opt.B]
#Column	Ag	(F5.2)	[0.05/0.8] g band galactic extinction (4)	[ucd=phys.absorption.gal]
#Column	Ar	(F5.2)	[0.03/0.6] r band galactic extinction (4)	[ucd=phys.absorption.gal]
#Column	Set	(A1)	Broad (B) or Restrictive (R) Sample	[ucd=meta.code]
#Column	H11	(I3)	Display ALFALFA data from Haynes+, 2011, J/AJ/142/170 within 30"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	AGC	RAJ2000	DEJ2000	cz	W50	e_W50	SdV	e_SdV	Dist	logMHI	e_logMHI	mug0	e_mug0	rh	e_rh	gMAG	e_gMAG	g-r	e_g-r	Ag	Ar	Set	H11	Sloan	Simbad	NED
      18	242019	218.4717	+01.4850	1830	 71	 5	 3.42	 0.07	 29	 8.83	 0.15	24.27	 0.14	 3.3	 0.9	-15.8	 0.7	 0.26	 0.20	 0.22	 0.16	R	  0	Sloan	Simbad	NED
      19	749488	223.3033	+25.2986	4151	 45	 7	 0.46	 0.04	 63	 8.63	 0.08	24.16	 0.17	 2.3	 0.5	-15.1	 0.6	 0.16	 0.23	 0.20	 0.14	R	  1	Sloan	Simbad	NED
      20	258471	230.6613	+05.8292	1796	 24	 4	 0.44	 0.03	 29	 7.94	 0.15	25.05	 0.23	 2.0	 0.8	-13.9	 1.0	 0.00	 0.32	 0.15	 0.11	R	  0	Sloan	Simbad	NED
      21	257918	233.6442	+16.0086	4191	 36	 8	 0.37	 0.04	 63	 8.54	 0.08	24.53	 0.18	 2.6	 0.7	-15.0	 0.7	 0.39	 0.25	 0.14	 0.10	R	  1	Sloan	Simbad	NED
      22	253920	237.9925	+11.4175	4673	 21	 8	 0.32	 0.03	 70	 8.57	 0.07	24.57	 0.17	 3.0	 0.7	-15.3	 0.6	 0.33	 0.22	 0.13	 0.10	R	  1	Sloan	Simbad	NED
      23	749352	238.0942	+26.4997	6480	 38	 6	 0.66	 0.04	 94	 9.14	 0.05	24.51	 0.14	 5.0	 1.0	-16.5	 0.5	 0.28	 0.20	 0.19	 0.14	R	  1	Sloan	Simbad	NED
      24	268200	243.1867	+05.7678	5593	 59	 6	 0.60	 0.05	 83	 8.98	 0.06	24.26	 0.19	 2.3	 0.6	-15.0	 0.7	 0.36	 0.32	 0.17	 0.12	R	  1	Sloan	Simbad	NED
      25	749366	245.8188	+25.8453	4314	 34	 8	 0.36	 0.04	 66	 8.57	 0.08	24.68	 0.20	 2.1	 0.7	-14.4	 0.8	 0.75	 0.27	 0.27	 0.20	R	  1	Sloan	Simbad	NED
      26	111947	027.5037	+28.9150	3844	 37	 2	 1.12	 0.05	 52	 8.86	 0.08	24.30	 0.14	 4.5	 0.9	-16.4	 0.6	 0.40	 0.20	 0.31	 0.23	R	  1	Sloan	Simbad	NED
      27	121790	042.2837	+01.9650	2935	 60	 4	 2.65	 0.07	 40	 9.00	 0.11	24.29	 0.13	 4.7	 1.0	-16.5	 0.5	 0.78	 0.18	 0.34	 0.24	R	  0	Sloan	Simbad	NED
      28	219533	174.9867	+16.7214	6381	 77	18	 0.76	 0.06	 96	 9.22	 0.06	24.22	 0.18	 3.7	 0.8	-16.1	 0.6	 0.04	 0.27	 0.19	 0.14	R	  0	Sloan	Simbad	NED
      29	103435	003.8383	+01.0750	2048	 24	 2	 0.99	 0.05	 28	 8.28	 0.15	24.12	 0.15	 1.7	 0.4	-14.5	 0.6	 0.04	 0.21	 0.10	 0.07	R	  0	Sloan	Simbad	NED
      30	334315	350.0492	+22.4019	5102	 44	 3	 1.12	 0.04	 73	 9.15	 0.06	24.60	 0.18	 4.2	 1.1	-16.0	 0.7	 0.16	 0.28	 0.14	 0.10	R	  0	Sloan	Simbad	NED
      31	310858	327.6679	+28.5908	3476	 28	 6	 0.39	 0.03	 53	 8.41	 0.09	24.14	 0.15	 2.2	 0.4	-15.1	 0.5	 0.29	 0.30	 0.33	 0.24	B	  0	Sloan	Simbad	NED
      32	748702	334.6958	+15.7000	7941	 72	 4	 0.87	 0.05	108	 9.38	 0.05	24.40	 0.23	 5.4	 1.2	-16.7	 0.7	 0.48	 0.53	 0.20	 0.14	B	  0	Sloan	Simbad	NED
      33	321215	337.3817	+26.9714	4231	 70	 7	 0.84	 0.05	 62	 8.89	 0.07	23.75	 0.13	 2.6	 0.4	-15.8	 0.4	 0.37	 0.19	 0.18	 0.13	B	  1	Sloan	Simbad	NED
      34	322320	341.4121	+07.6647	7615	 61	 3	 1.25	 0.06	104	 9.50	 0.05	24.05	 0.14	 3.7	 0.6	-16.3	 0.5	 0.51	 0.20	 0.49	 0.36	B	  0	Sloan	Simbad	NED
      35	321442	343.4109	+31.9961	3932	 57	11	 0.57	 0.05	 57	 8.65	 0.08	23.45	 0.12	 1.6	 0.2	-15.1	 0.4	 0.26	 0.18	 0.26	 0.19	B	  1	Sloan	Simbad	NED
      36	333357	345.9771	+30.5169	6949	 27	 4	 0.43	 0.03	 94	 8.96	 0.05	24.07	 0.14	 3.5	 0.6	-16.1	 0.5	 0.48	 0.21	 0.20	 0.14	B	  1	Sloan	Simbad	NED
      37	748738	346.2167	+14.0181	3896	 27	 4	 0.54	 0.04	 56	 8.61	 0.08	24.17	 0.15	 1.9	 0.4	-14.7	 0.5	 0.55	 0.20	 0.74	 0.53	B	  1	Sloan	Simbad	NED
      38	333366	348.1284	+29.8778	7108	186	14	 0.91	 0.07	 97	 9.30	 0.06	23.57	 0.13	 2.4	 0.3	-15.8	 0.4	 0.21	 0.19	 0.33	 0.24	B	  1	Sloan	Simbad	NED
      39	333375	349.4354	+30.6125	6213	 35	 5	 0.37	 0.03	 89	 8.84	 0.06	24.04	 0.14	 4.7	 0.8	-16.8	 0.5	 0.61	 0.20	 0.32	 0.23	B	  0	Sloan	Simbad	NED
      40	333549	353.1429	+29.6678	3813	 32	 3	 0.86	 0.05	 55	 8.78	 0.08	23.64	 0.12	 2.4	 0.3	-15.7	 0.4	 0.43	 0.18	 0.33	 0.24	B	  1	Sloan	Simbad	NED
      41	333298	353.9842	+25.3094	5059	 31	14	 0.44	 0.04	 72	 8.73	 0.07	24.64	 0.15	 5.7	 1.3	-16.6	 0.6	 0.89	 0.20	 0.22	 0.16	B	  1	Sloan	Simbad	NED
      42	333410	354.3000	+31.4550	4754	 23	11	 0.74	 0.04	 68	 8.91	 0.07	23.99	 0.12	 2.3	 0.4	-15.3	 0.4	 0.09	 0.18	 0.31	 0.22	B	  1	Sloan	Simbad	NED
      43	333214	357.9079	+27.4694	2836	 20	 2	 0.52	 0.03	 40	 8.30	 0.11	23.91	 0.13	 1.9	 0.4	-15.0	 0.5	 0.33	 0.20	 0.16	 0.11	B	  0	Sloan	Simbad	NED
      44	332328	359.6246	+30.6717	4801	 74	 6	 0.61	 0.05	 68	 8.82	 0.07	24.16	 0.12	 4.4	 0.6	-16.5	 0.4	 0.47	 0.17	 0.19	 0.14	B	  1	Sloan	Simbad	NED
      45	103797	006.0308	+05.9417	7242	 94	39	 0.79	 0.09	 98	 9.26	 0.07	23.84	 0.14	 3.2	 0.5	-16.2	 0.5	 0.44	 0.21	 0.09	 0.06	B	  0	Sloan	Simbad	NED
      46	748801	015.2196	+16.0825	4369	104	 2	 1.43	 0.06	 60	 9.09	 0.07	23.55	 0.13	 3.3	 0.5	-16.5	 0.4	 0.47	 0.18	 0.22	 0.16	B	  1	Sloan	Simbad	NED
      47	114882	018.3563	+06.3439	7811	141	33	 1.03	 0.07	107	 9.44	 0.05	24.11	 0.16	 2.8	 0.6	-15.6	 0.6	-0.14	 0.27	 0.15	 0.11	B	  0	Sloan	Simbad	NED
      48	748816	021.9867	+14.5019	6407	 77	 6	 1.41	 0.06	 87	 9.40	 0.05	24.52	 0.15	 6.8	 1.5	-17.1	 0.6	 0.68	 0.21	 0.13	 0.10	B	  1	Sloan	Simbad	NED
      49	122791	030.8700	+26.6972	4951	 71	 7	 0.56	 0.05	 69	 8.80	 0.07	24.20	 0.14	 3.6	 0.6	-16.0	 0.5	 0.43	 0.20	 0.27	 0.20	B	  1	Sloan	Simbad	NED
      50	123953	044.0146	+01.9697	5267	 39	 9	 0.72	 0.06	 73	 8.96	 0.07	23.60	 0.13	 2.0	 0.3	-15.3	 0.4	 0.44	 0.20	 0.34	 0.24	B	  0	Sloan	Simbad	NED
      51	749251	113.7513	+26.6589	7261	 37	10	 0.41	 0.04	106	 9.04	 0.06	24.06	 0.14	 3.3	 0.6	-16.0	 0.5	 0.29	 0.24	 0.19	 0.14	B	  1	Sloan	Simbad	NED
      52	174593	115.6325	+10.3214	4834	 52	15	 0.58	 0.05	 71	 8.84	 0.07	23.75	 0.18	 3.5	 0.5	-16.5	 0.4	 0.61	 0.42	 0.10	 0.07	B	  1	Sloan	Simbad	NED
      53	188768	127.1575	+14.9731	5864	 40	17	 0.36	 0.04	 87	 8.81	 0.07	24.07	 0.15	 3.3	 0.6	-16.0	 0.5	 0.33	 0.22	 0.15	 0.11	B	  1	Sloan	Simbad	NED
      54	189096	131.7650	+00.1667	3964	 63	 5	 0.93	 0.07	 60	 8.90	 0.08	23.43	 0.12	 2.4	 0.3	-16.0	 0.4	 0.42	 0.18	 0.11	 0.08	B	  0	Sloan	Simbad	NED
      55	189167	133.5454	+28.9678	3945	 32	 7	 0.40	 0.04	 58	 8.50	 0.09	23.81	 0.15	 2.2	 0.4	-15.3	 0.5	 0.23	 0.20	 0.11	 0.08	B	  0	Sloan	Simbad	NED
      56	182467	134.2733	+09.1183	3970	 34	 8	 0.55	 0.05	 60	 8.66	 0.08	23.61	 0.12	 2.4	 0.3	-15.8	 0.4	-0.04	 0.18	 0.18	 0.13	B	  1	Sloan	Simbad	NED
      57	198563	138.6675	+28.5108	6413	 83	13	 0.70	 0.06	 95	 9.18	 0.06	24.07	 0.16	 2.8	 0.6	-15.6	 0.6	 0.39	 0.25	 0.10	 0.07	B	  0	Sloan	Simbad	NED
      58	193800	139.4371	+10.5044	5191	 98	18	 0.72	 0.06	 77	 9.00	 0.07	23.73	 0.14	 2.2	 0.3	-15.5	 0.4	 0.35	 0.20	 0.16	 0.12	B	  1	Sloan	Simbad	NED
      59	198540	141.3079	+03.3131	4209	 36	 3	 1.41	 0.05	 63	 9.13	 0.07	23.53	 0.12	 2.5	 0.3	-15.9	 0.4	 0.40	 0.18	 0.14	 0.10	B	  0	Sloan	Simbad	NED
      60	193798	149.8658	+16.0078	4175	 62	 5	 0.97	 0.06	 62	 8.95	 0.07	24.01	 0.17	 2.0	 0.4	-15.0	 0.6	 0.19	 0.25	 0.11	 0.08	B	  1	Sloan	Simbad	NED
      61	205072	150.6617	+12.1558	2965	 26	 6	 0.36	 0.04	 45	 8.24	 0.11	23.74	 0.13	 2.0	 0.3	-15.3	 0.4	 0.41	 0.19	 0.15	 0.11	B	  0	Sloan	Simbad	NED
      62	208764	156.8192	+20.2153	7195	 35	 4	 0.39	 0.03	107	 9.03	 0.05	23.20	 0.13	 2.2	 0.3	-16.1	 0.4	 0.21	 0.19	 0.07	 0.05	B	  0	Sloan	Simbad	NED
      63	749425	166.6633	+24.0336	5689	 96	 9	 0.65	 0.06	 86	 9.05	 0.06	23.55	 0.15	 1.7	 0.3	-15.1	 0.5	 0.03	 0.23	 0.05	 0.04	B	  0	Sloan	Simbad	NED
      64	215277	168.0308	+12.6333	3257	 68	 7	 0.70	 0.04	 49	 8.60	 0.09	24.06	 0.15	 1.8	 0.4	-14.7	 0.5	 0.35	 0.20	 0.06	 0.04	B	  1	Sloan	Simbad	NED
      65	749196	169.0579	+27.1806	3970	 62	10	 0.64	 0.05	 59	 8.72	 0.08	23.43	 0.12	 2.4	 0.3	-16.0	 0.3	 0.38	 0.17	 0.06	 0.04	B	  0	Sloan	Simbad	NED
      66	219672	172.8821	+21.5411	6483	 97	 7	 0.70	 0.06	 97	 9.19	 0.06	23.46	 0.13	 2.6	 0.4	-16.1	 0.4	 0.05	 0.19	 0.08	 0.06	B	  0	Sloan	Simbad	NED
      67	219150	174.9175	+19.5889	7378	 55	10	 0.63	 0.04	 98	 9.15	 0.05	24.83	 0.17	 8.0	 2.2	-17.1	 0.7	 0.25	 0.25	 0.09	 0.07	B	  0	Sloan	Simbad	NED
      68	215141	176.1904	+11.8156	6010	 59	 5	 0.57	 0.04	 91	 9.04	 0.06	23.95	 0.15	 4.4	 0.7	-16.8	 0.5	-0.03	 0.21	 0.15	 0.11	B	  1	Sloan	Simbad	NED
      69	219493	177.6429	+29.6589	5775	 73	 8	 0.52	 0.05	 87	 8.96	 0.07	23.49	 0.13	 2.7	 0.3	-16.1	 0.4	 0.39	 0.18	 0.07	 0.05	B	  0	Sloan	Simbad	NED
      70	227957	185.7329	+06.1553	5303	 55	16	 0.59	 0.06	 78	 8.92	 0.07	23.28	 0.12	 1.9	 0.2	-15.6	 0.4	 0.04	 0.19	 0.09	 0.07	B	  1	Sloan	Simbad	NED
      71	223760	187.5667	+13.3075	4431	108	25	 1.30	 0.10	 66	 9.12	 0.07	23.79	 0.14	 1.8	 0.3	-14.9	 0.5	 0.52	 0.20	 0.10	 0.07	B	  1	Sloan	Simbad	NED
      72	229110	191.5362	+28.7508	7539	 57	 8	 0.42	 0.04	112	 9.09	 0.06	23.88	 0.16	 3.4	 0.6	-16.3	 0.6	 0.24	 0.23	 0.05	 0.04	B	  0	Sloan	Simbad	NED
      73	227878	192.3900	+09.1033	7327	 48	12	 0.36	 0.04	109	 9.01	 0.06	23.76	 0.15	 2.8	 0.5	-16.0	 0.5	-0.02	 0.22	 0.11	 0.08	B	  1	Sloan	Simbad	NED
      74	233778	196.1425	+10.5294	7245	 72	 5	 1.10	 0.06	108	 9.48	 0.05	23.90	 0.14	 5.1	 0.7	-17.1	 0.4	 0.47	 0.19	 0.08	 0.06	B	  0	Sloan	Simbad	NED
      75	233610	197.0713	+11.8061	7515	 71	20	 0.75	 0.05	112	 9.34	 0.05	23.25	 0.12	 3.8	 0.4	-17.1	 0.3	 0.19	 0.17	 0.10	 0.07	B	  0	Sloan	Simbad	NED
      76	238692	201.6542	+05.7436	7493	 83	 9	 0.60	 0.06	111	 9.24	 0.06	23.38	 0.15	 2.4	 0.3	-16.0	 0.5	 0.35	 0.21	 0.10	 0.07	B	  0	Sloan	Simbad	NED
      77	239040	203.4829	+28.1706	7784	 73	 7	 0.44	 0.04	115	 9.14	 0.05	23.96	 0.14	 4.4	 0.7	-16.7	 0.4	 0.33	 0.19	 0.06	 0.04	B	  0	Sloan	Simbad	NED
      78	233836	206.7983	+08.0022	6993	 71	11	 0.63	 0.05	104	 9.20	 0.05	23.52	 0.13	 3.3	 0.4	-16.6	 0.4	 0.29	 0.19	 0.09	 0.07	B	  0	Sloan	Simbad	NED
      79	239133	206.8904	+20.4478	8133	 51	 7	 0.43	 0.04	120	 9.16	 0.05	23.95	 0.13	 5.2	 0.7	-17.1	 0.4	 0.37	 0.19	 0.09	 0.07	B	  0	Sloan	Simbad	NED
      80	239062	207.0492	+16.4233	7982	 83	 6	 0.77	 0.06	118	 9.40	 0.05	24.95	 0.23	 7.5	 2.4	-16.9	 0.8	 0.48	 0.53	 0.08	 0.06	B	  0	Sloan	Simbad	NED
