#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:22	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/tablea1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_tablea1:
#Name: J/MNRAS/455/892/tablea1
#Title: Cluster concentrations and masses
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cluster	(a21)	Cluster name	[ucd=meta.id.parent]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Method	(A5)	Method used	[ucd=meta.note]
#Column	c200	(F5.2)	Concentration parameter c200=R200/rs	[ucd=stat.param]
#Column	E_c200	(F5.2)	? Error on c200 (upper value)	[ucd=stat.error;stat.max]
#Column	e_c200	(F5.2)	? Error on c200 (lower value)	[ucd=stat.error]
#Column	M200	(F7.3)	? Total cluster mass at radius R200	[ucd=phys.mass]
#Column	E_M200	(F7.3)	? Error on M200 (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_M200	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_M200	(F6.3)	? Error on M200 (lower value)	[ucd=stat.error]
#Column	cvir	(F5.2)	Viral concentration	[ucd=meta.note]
#Column	E_cvir	(F5.2)	? Error on cvir (upper value)	[ucd=stat.error;stat.max]
#Column	e_cvir	(F5.2)	? Error on cvir (lower value)	[ucd=stat.error]
#Column	Mvir	(F7.3)	? Virial mass	[ucd=phys.mass]
#Column	E_Mvir	(F8.3)	? Error on Mvir (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_Mvir	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_Mvir	(F6.3)	? Error on Mvir (lower value)	[ucd=stat.error]
#Column	Ref	(a36)	Reference, in refs.dat file	[ucd=meta.ref;pos.frame;meta.file]
#Column	delta	(a15)	Virial overdensity	[ucd=stat.fit.param]
#Column	Omegam	(F6.3)	Cosmological parameter, {Omega}_m_	[ucd=phys.cosmology]
#Column	Omegal	(F6.3)	Cosmological parameter, {Omega}_{lambda}_	[ucd=phys.cosmology]
#Column	h	(F6.3)	? Cosmological parameter, h	[ucd=phys.cosmology]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Cluster	z	RAJ2000	DEJ2000	Method	c200	E_c200	e_c200	M200	E_M200	f_E_M200	e_M200	cvir	E_cvir	e_cvir	Mvir	E_Mvir	f_E_Mvir	e_Mvir	Ref	delta	Omegam	Omegal	h	SimbadName
      25	MKW 4                	 0.0200	12 03 57.70	+01 53 18.0	X-ray	 3.85	 0.22	 0.22	  1.110	  0.150	-	 0.150	 5.17	 0.28	 0.28	  1.370	   0.200	-	 0.200	Vikhlinin et al. (2006)             	500            	 0.300	 0.700	 0.710	MKW 4
      26	MKW 4                	 0.0200	12 03 57.70	+01 53 18.0	CM   	11.60	     	     	  2.270	       	 	      	15.13	     	     	  2.590	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	MKW 4
      27	Abell 3581           	 0.0218	14 07 28.10	-27 00 55.0	LOSVD	 9.32	 0.83	 4.62	  1.530	  0.370	-	 0.270	12.20	 1.09	 6.05	  1.770	   0.430	-	 0.310	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 3581
      28	Abell 3581           	 0.0218	14 07 28.10	-27 00 55.0	X-ray	 9.81	 6.30	 5.40	  0.390	  2.230	-	 0.270	12.80	 8.10	 6.90	  0.450	   2.760	-	 0.310	Voigt & Fabian (2006)               	200/2E4        	 0.300	 0.700	 0.700	Abell 3581
      29	Abell 1367           	 0.0220	11 44 36.50	+19 45 32.0	CM   	16.90	     	     	  5.460	       	 	      	21.90	     	     	  6.110	        	 	      	Rines et al. (2003)                 	200/turn       	 0.300	 0.700	      	Abell 1367
      30	IC 1860              	 0.0223	02 49 33.70	-31 11 21.0	X-ray	 7.20	 0.60	 0.60	  0.431	  0.036	-	 0.036	 9.50	 0.80	 0.80	  0.507	   0.046	-	 0.046	Gastaldello et al. (2007b)          	1250           	 0.300	 0.700	 0.700	IC 1860
      31	MKW 11               	 0.0228	13 29 31.20	+11 47 19.0	CM   	 4.29	     	     	  0.460	       	 	      	 5.75	     	     	  0.570	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	MKW 11
      32	NGC 5129             	 0.0230	13 24 10.00	+13 58 36.0	X-ray	11.20	 1.80	 1.80	  0.135	  0.017	-	 0.017	14.60	 2.30	 2.30	  0.154	   0.020	-	 0.020	Gastaldello et al. (2007b)          	1250           	 0.300	 0.700	 0.700	NGC 5129
      33	Abell 1656           	 0.0230	12 59 48.70	+27 58 50.0	WL   	 2.55	 1.17	 0.84	  8.900	  3.610	-	 2.260	 3.57	 1.54	 1.12	 12.030	   5.960	-	 3.460	Okabe et al. (2014)                 	Virial/200/500 	 0.270	 0.730	      	Abell 1656
      34	Abell 1656           	 0.0230	12 59 48.70	+27 58 50.0	WL   	 3.84	13.16	 1.84	 18.800	  6.500	-	 5.600	 5.17	17.72	 2.48	 23.620	   8.170	-	 7.040	Kubo et al. (2007)                  	200            	 0.300	 0.700	      	Abell 1656
      35	Abell 1656           	 0.0230	12 59 48.70	+27 58 50.0	WL   	 5.00	 3.20	 2.50	  7.300	  6.100	-	 3.000	 6.70	 4.30	 3.40	  8.900	   7.400	-	 3.700	Gavazzi et al. (2009)               	200            	 0.300	 0.700	 0.700	Abell 1656
      36	Abell 1656           	 0.0230	12 59 48.70	+27 58 50.0	X-ray	 1.37	 0.25	 0.27	 41.940	  4.720	-	 3.920	 1.98	 0.36	 0.39	 62.860	   7.070	-	 5.880	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1656
      37	Abell 1656           	 0.0230	12 59 48.70	+27 58 50.0	CM   	10.00	     	     	 11.200	       	 	      	13.10	     	     	 12.900	        	 	      	Rines et al. (2003)                 	200/turn       	 0.300	 0.700	      	Abell 1656
      38	Abell 1656           	 0.0230	12 59 48.70	+27 58 50.0	LOSVD	 7.00	     	     	 11.800	  0.300	-	 0.300	 9.30	     	     	 13.900	   4.000	-	 4.000	Lokas & Mamon (2003)                	Virial         	 0.300	 0.700	 0.700	Abell 1656
      39	Abell 779            	 0.0233	09 19 49.20	+33 45 37.0	LOSVD	 6.10	 4.00	 4.00	  1.650	       	 	      	 8.00	 5.10	 5.10	  1.970	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 779
      40	Abell 779            	 0.0233	09 19 49.20	+33 45 37.0	LOSVD	 4.35	 0.80	 1.47	  1.290	  0.150	-	 0.240	 5.82	 1.08	 1.97	  1.590	   0.180	-	 0.300	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 779
      41	Abell 779            	 0.0233	09 19 49.20	+33 45 37.0	CM   	24.41	     	     	  2.660	       	 	      	31.46	     	     	  2.940	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 779
      42	NGC 4325             	 0.0257	12 23 06.70	+10 37 16.0	CM   	 4.87	     	     	  0.210	       	 	      	 6.49	     	     	  0.260	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	NGC 4325
      43	NGC 4325             	 0.0257	12 23 06.70	+10 37 16.0	X-ray	 8.60	 1.10	 1.10	  0.301	  0.054	-	 0.054	11.20	 1.40	 1.40	  0.349	   0.065	-	 0.065	Gastaldello et al. (2007b)          	2500           	 0.300	 0.700	 0.700	NGC 4325
      44	RXC J2214.8+1350     	 0.0264	22 14 52.70	+13 50 48.0	CM   	 6.85	     	     	  0.400	       	 	      	 9.03	     	     	  0.470	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	RXC J2214.8+1350
      45	RXC J2315.7-0222     	 0.0267	23 15 45.20	-02 22 37.0	X-ray	11.66	 1.19	 1.19	  0.442	  0.036	-	 0.036	15.18	 1.55	 1.55	  0.504	   0.041	-	 0.041	Democles et al. (2010)              	500            	 0.300	 0.700	 0.700	RXC J2315.7-0222
      46	MKW 8                	 0.0271	14 40 38.20	+03 28 35.0	X-ray	15.28	 3.14	 3.16	  7.470	  1.480	-	 2.570	20.11	 4.13	 4.16	  8.450	   1.670	-	 2.910	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MKW 8
      47	MKW 8                	 0.0271	14 40 38.20	+03 28 35.0	CM   	 5.27	     	     	  0.560	       	 	      	 7.00	     	     	  0.680	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	MKW 8
      48	NGC 6338             	 0.0286	17 15 23.00	+57 24 40.0	CM   	 7.46	     	     	  2.160	       	 	      	 9.80	     	     	  2.540	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	NGC 6338
      49	Abell 539            	 0.0290	05 16 37.30	+06 26 16.0	LOSVD	 9.81	 1.26	 3.55	  3.250	  0.490	-	 0.460	12.80	 1.65	 4.64	  3.730	   0.570	-	 0.530	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 539
      50	Abell 539            	 0.0290	05 16 37.30	+06 26 16.0	X-ray	10.37	 2.04	 2.01	  8.380	  1.460	-	 1.770	13.74	 2.70	 2.66	  9.690	   1.690	-	 2.050	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 539
      51	Abell 539            	 0.0290	05 16 37.30	+06 26 16.0	CM   	14.70	     	     	  3.630	       	 	      	19.00	     	     	  4.090	        	 	      	Rines et al. (2003)                 	200/turn       	 0.300	 0.700	      	Abell 539
      52	Abell 4038           	 0.0300	23 47 43.20	-28 08 29.0	X-ray	 9.38	 1.03	 1.01	  8.260	  1.180	-	 0.920	12.46	 1.37	 1.34	  9.620	   1.370	-	 1.070	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 4038
      53	Abell 2197           	 0.0300	16 28 10.40	+40 54 26.0	CM   	 1.35	     	     	  0.990	       	 	      	 1.91	     	     	  1.450	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2197
      54	Abell 2199           	 0.0300	16 28 38.00	+39 32 55.0	X-ray	 6.27	 0.25	 0.26	 12.380	  2.180	-	 1.290	 8.42	 0.34	 0.35	 14.910	   2.630	-	 1.550	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2199
      55	Abell 2199           	 0.0300	16 28 38.00	+39 32 55.0	CM   	 4.02	     	     	  3.700	       	 	      	 5.39	     	     	  4.620	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2199
      56	Abell 2199           	 0.0300	16 28 38.00	+39 32 55.0	CM   	 7.47	     	     	  4.670	       	 	      	 9.80	     	     	  5.470	        	 	      	Rines et al. (2003)                 	200/turn       	 0.300	 0.700	      	Abell 2199
      57	Abell 2199           	 0.0300	16 28 38.00	+39 32 55.0	LOSVD	 7.79	11.26	 6.02	  6.000	  1.500	-	 1.800	10.40	14.60	 7.90	  7.100	   3.400	-	 2.400	Lokas et al. (2006)                 	Virial         	 0.300	 0.700	 0.700	Abell 2199
      58	Abell 2199           	 0.0300	16 28 38.00	+39 32 55.0	LOSVD	 4.00	     	     	  5.000	       	 	      	 5.00	     	     	  6.000	        	 	      	Kelson et al. (2002)                	200            	 0.300	 0.700	 0.750	Abell 2199
      59	Abell 2199           	 0.0300	16 28 38.00	+39 32 55.0	X-ray	 8.20	 0.40	 0.40	       	       	 	      	10.70	 0.50	 0.50	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 2199
      60	Abell 2199           	 0.0300	16 28 38.00	+39 32 55.0	X-ray	10.00	     	     	       	       	 	      	13.00	     	     	       	        	 	      	Markevitch et al. (1999)            	200            	 0.300	 0.700	 0.500	Abell 2199
      61	Zw1665               	 0.0302	08 23 11.50	+04 21 21.6	CM   	11.38	     	     	  0.900	       	 	      	14.80	     	     	  1.030	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	ZwCl 1665
      62	Abell 2634           	 0.0310	23 38 25.70	+27 00 45.0	LOSVD	 7.37	 0.89	 2.03	  4.950	  0.620	-	 0.740	 9.67	 1.17	 2.66	  5.810	   0.730	-	 0.870	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 2634
      63	Abell 2634           	 0.0310	23 38 25.70	+27 00 45.0	X-ray	11.38	 2.17	 2.16	 11.880	  2.150	-	 1.270	15.04	 2.87	 2.85	 13.650	   2.470	-	 1.460	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2634
      64	IIIZw54              	 0.0311	03 41 17.60	+15 23 44.0	X-ray	11.25	 1.33	 1.38	  8.810	  1.040	-	 0.930	14.87	 1.76	 1.82	 10.130	   1.200	-	 1.070	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	III Zw 54
      65	NGC 6107             	 0.0311	16 17 20.10	+34 54 07.0	CM   	 6.96	     	     	  1.460	       	 	      	 9.16	     	     	  1.720	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	NGC 6107
      66	ESO 5520200          	 0.0314	04 54 52.00	-18 06 56.0	X-ray	 5.80	 0.60	 0.60	  1.089	  0.146	-	 0.146	 7.60	 0.80	 0.80	  1.303	   0.187	-	 0.187	Gastaldello et al. (2007b)          	1250           	 0.300	 0.700	 0.700	ESO 552-20
      67	AWM 4                	 0.0317	16 04 57.00	+23 55 14.0	X-ray	 7.21	 1.02	 1.03	  6.550	  0.850	-	 0.370	 9.64	 1.36	 1.38	  7.790	   1.010	-	 0.440	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	AWM 4
      68	AWM 4                	 0.0317	16 04 57.00	+23 55 14.0	X-ray	 6.80	 0.60	 0.60	  1.374	  0.156	-	 0.156	 8.90	 0.80	 0.80	  1.622	   0.196	-	 0.196	Gastaldello et al. (2007b)          	1250           	 0.300	 0.700	 0.700	AWM 4
      69	Abell 496            	 0.0329	04 33 38.40	-13 15 33.0	LOSVD	 3.53	 0.47	 0.75	  3.750	  0.550	-	 0.460	 4.75	 0.63	 1.01	  4.730	   0.700	-	 0.580	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 496
      70	Abell 496            	 0.0329	04 33 38.40	-13 15 33.0	X-ray	11.26	 0.83	 0.81	  9.100	  1.190	-	 1.270	14.88	 1.10	 1.07	 10.460	   1.370	-	 1.460	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 496
      71	Abell 496            	 0.0329	04 33 38.40	-13 15 33.0	CM   	14.00	     	     	  3.130	       	 	      	18.10	     	     	  3.530	        	 	      	Rines et al. (2003)                 	200/turn       	 0.300	 0.700	      	Abell 496
      72	Abell 496            	 0.0329	04 33 38.40	-13 15 33.0	LOSVD	 6.90	12.90	 4.80	  4.500	  0.300	-	 0.700	 9.30	16.70	 6.30	  5.300	   1.100	-	 1.100	Lokas et al. (2006)                 	Virial         	 0.300	 0.700	 0.700	Abell 496
      73	Abell 496            	 0.0329	04 33 38.40	-13 15 33.0	X-ray	10.40	 0.60	 0.60	       	       	 	      	13.50	 0.80	 0.80	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 496
      74	Abell 496            	 0.0329	04 33 38.40	-13 15 33.0	X-ray	 6.00	     	     	       	       	 	      	 8.00	     	     	       	        	 	      	Markevitch et al. (1999)            	200            	 0.300	 0.700	 0.500	Abell 496
