#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:46:03 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:46:03	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out=Name,Type,Dist,i,L3.6,Rdisk,MHI,Vflat,Qual,SimbadName,NEDname&-out.add=_RAJ2000,_DEJ2000&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	_RAJ2000	(F11.7)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F11.7)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Type	(I2)	[0/11] Numerical Hubble type (1)	[ucd=meta.note]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	i	(F4.1)	[15/90] Assumed inclination angle (3)	[ucd=src.orbital.inclination;pos.posAng]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	Rdisk	(F5.2)	[0.18/18.8] The 3.6{mu}m scale length of the stellar disk (R_d_)	[ucd=src.morph.scLength]
#Column	MHI	(F7.3)	[0.01/40.1] Total HI mass (M_HI_)	[ucd=phys.mass]
#Column	Vflat	(F5.1)	[0/332] Asymptotically velocity along the flat part of the rotation curve (V_f_) (5)	[ucd=phys.veloc]
#Column	Qual	(I3)	[1/3] Rotation-curve quality flag (1=high, 2=medium, or 3=low) (6)	[ucd=meta.code.qual]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	NEDname	(f)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000	_DEJ2000	Name	Type	Dist	i	L3.6	Rdisk	MHI	Vflat	Qual	SimbadName	NEDname
171.5750000	+18.8316667	F571-V1    	 7	 80.10	30.0	  1.849	 2.47	  1.217	 83.6	  2	VLSB F571-V01	VLSB F571-V01
189.5554167	+22.2997222	F574-1     	 7	 96.80	65.0	  6.537	 4.46	  3.524	 97.8	  1	LSB F574-1   	LSB F574-1
191.6970833	+21.8033333	F574-2     	 9	 89.10	30.0	  2.877	 3.76	  1.701	  0.0	  3	LSB F574-2   	LSB F574-2
218.2004167	+22.7661111	F579-V1    	 5	 89.50	26.0	 11.848	 3.37	  2.245	112.1	  1	VLSB F579-V01	VLSB F579-V01
239.3645139	+20.6664211	F583-1     	 9	 35.40	63.0	  0.986	 2.36	  2.126	 85.8	  1	LSB F583-1   	LSB F583-1
238.0500000	+18.7850000	F583-4     	 5	 53.30	55.0	  1.715	 1.93	  0.641	  0.0	  1	LSB F583-4   	LSB F583-4
157.0978375	+68.4121389	IC2574     	 9	  3.91	75.0	  1.016	 2.78	  1.036	 66.4	  2	IC2574       	IC2574
197.1315917	+24.7008333	IC4202     	 4	100.40	90.0	179.749	 4.78	 12.326	242.6	  1	IC4202       	IC4202
307.6370833	+60.3547222	KK98-251   	10	  6.80	59.0	  0.085	 1.34	  0.115	 33.7	  2	[KK98a] 251  	[KK98a] 251
002.4855917	-24.9631306	NGC0024    	 5	  7.30	64.0	  3.889	 1.34	  0.676	106.3	  1	NGC0024      	NGC0024
003.7233417	-39.1966278	NGC0055    	 9	  2.11	77.0	  4.628	 6.11	  1.565	 85.6	  2	NGC0055      	NGC0055
006.0118208	+16.4863889	NGC0100    	 6	 13.50	89.0	  3.232	 1.66	  1.990	 88.1	  1	NGC0100      	NGC0100
011.7856417	-20.7604000	NGC0247    	 7	  3.70	74.0	  7.332	 3.74	  1.746	104.9	  2	NGC0247      	NGC0247
013.1765208	-31.2058306	NGC0289    	 4	 20.80	46.0	 72.065	 6.74	 27.469	163.0	  2	NGC0289      	NGC0289
013.7228292	-37.6843806	NGC0300    	 7	  2.08	42.0	  2.922	 1.75	  0.936	 93.3	  2	NGC0300      	NGC0300
030.9368750	+38.2586722	NGC0801    	 5	 80.70	80.0	312.570	 8.72	 23.201	220.1	  1	NGC0801      	NGC0801
035.6371125	+42.3483194	NGC0891    	 3	  9.91	90.0	138.340	 2.55	  4.462	216.1	  1	NGC0891      	NGC0891
039.8203875	+40.8722917	NGC1003    	 6	 11.40	67.0	  6.820	 1.61	  5.880	109.8	  1	NGC1003      	NGC1003
041.6413167	-00.2470417	NGC1090    	 4	 37.00	64.0	 72.045	 3.53	  8.783	164.4	  1	NGC1090      	NGC1090
073.5562500	-53.3610611	NGC1705    	11	  5.73	80.0	  0.533	 0.39	  0.139	 71.9	  3	NGC1705      	NGC1705
112.2160417	+69.2086389	NGC2366    	10	  3.27	68.0	  0.236	 0.65	  0.647	 50.2	  3	NGC2366      	NGC2366
114.2141500	+65.6025472	NGC2403    	 6	  3.16	63.0	 10.041	 1.39	  3.199	131.2	  1	NGC2403      	NGC2403
133.1722708	+33.4218000	NGC2683    	 3	  9.81	80.0	 80.415	 2.18	  1.406	154.0	  2	NGC2683      	NGC2683
140.5110625	+50.9764778	NGC2841    	 3	 14.10	76.0	188.121	 3.64	  9.775	284.8	  1	NGC2841      	NGC2841
143.0421292	+21.5008306	NGC2903    	 4	  6.60	66.0	 81.863	 2.33	  2.552	184.6	  1	NGC2903      	NGC2903
141.5480500	-76.6263194	NGC2915    	11	  4.06	56.0	  0.641	 0.55	  0.508	 83.5	  2	NGC2915      	NGC2915
145.3191667	+35.8821167	NGC2955    	 3	 97.90	56.0	319.422	18.76	 28.949	  0.0	  1	NGC2955      	NGC2955
146.8144083	+67.9163806	NGC2976    	 5	  3.58	61.0	  3.371	 1.01	  0.172	 85.4	  2	NGC2976      	NGC2976
147.1817917	+44.0812861	NGC2998    	 5	 68.10	58.0	150.902	 6.20	 23.451	209.9	  1	NGC2998      	NGC2998
150.7786542	-26.1595722	NGC3109    	 9	  1.33	70.0	  0.194	 1.56	  0.477	 66.2	  1	NGC3109      	NGC3109
154.9791250	+45.5496889	NGC3198    	 5	 13.80	73.0	 38.279	 3.14	 10.869	150.1	  1	NGC3198      	NGC3198
166.4524708	-00.0359000	NGC3521    	 4	  7.70	75.0	 84.836	 2.40	  4.154	213.7	  1	NGC3521      	NGC3521
173.3382250	+47.0290917	NGC3726    	 5	 18.00	53.0	 70.234	 3.40	  6.473	168.0	  2	NGC3726      	NGC3726
174.0239739	+45.2841550	NGC3741    	10	  3.21	70.0	  0.028	 0.20	  0.182	 50.1	  1	NGC3741      	NGC3741
174.4337750	+47.8930917	NGC3769    	 3	 18.00	70.0	 18.679	 3.38	  5.529	118.6	  2	NGC3769      	NGC3769
176.5324250	+47.4945000	NGC3877    	 5	 18.00	76.0	 72.535	 2.53	  1.483	168.4	  2	NGC3877      	NGC3877
177.1591958	+48.7107889	NGC3893    	 5	 18.00	49.0	 58.525	 2.38	  5.799	174.0	  1	NGC3893      	NGC3893
177.6895292	+51.8242111	NGC3917    	 6	 18.00	79.0	 21.966	 2.63	  1.888	135.9	  1	NGC3917      	NGC3917
178.4239500	+47.8587833	NGC3949    	 4	 18.00	55.0	 38.067	 3.59	  3.371	163.0	  2	NGC3949      	NGC3949
178.4542833	+52.3265417	NGC3953    	 4	 18.00	62.0	141.301	 4.89	  2.832	220.8	  1	NGC3953      	NGC3953
178.9379875	+55.3206722	NGC3972    	 4	 18.00	77.0	 14.353	 2.18	  1.214	132.7	  1	NGC3972      	NGC3972
179.3999333	+53.3745194	NGC3992    	 4	 23.70	56.0	226.932	 4.96	 16.599	241.0	  1	NGC3992      	NGC3992
179.6582958	+47.2613111	NGC4010    	 7	 18.00	89.0	 17.193	 2.81	  2.832	125.8	  2	NGC4010      	NGC4010
179.6309042	+43.9470222	NGC4013    	 3	 18.00	89.0	 79.094	 3.53	  2.967	172.9	  2	NGC4013      	NGC4013
180.7903583	+44.5312611	NGC4051    	 4	 18.00	49.0	 95.268	 4.65	  2.697	157.0	  2	NGC4051      	NGC4051
181.0136050	+52.5905689	NGC4068    	10	  4.37	44.0	  0.236	 0.59	  0.154	  0.0	  2	NGC4068      	NGC4068
181.3446042	+50.3527500	NGC4085    	 5	 18.00	82.0	 21.724	 1.65	  1.349	131.5	  2	NGC4085      	NGC4085
181.3924542	+50.5390278	NGC4088    	 4	 18.00	69.0	107.286	 2.58	  8.226	171.7	  1	NGC4088      	NGC4088
181.5358417	+49.5823111	NGC4100    	 4	 18.00	73.0	 59.394	 2.15	  3.102	158.2	  1	NGC4100      	NGC4100
182.3741167	+43.6853167	NGC4138    	 0	 18.00	53.0	 44.111	 1.51	  1.483	147.3	  2	NGC4138      	NGC4138
182.7681875	+50.4846806	NGC4157    	 3	 18.00	82.0	105.620	 2.32	  8.226	184.7	  1	NGC4157      	NGC4157
183.3202500	+43.6982694	NGC4183    	 6	 18.00	82.0	 10.838	 2.79	  3.506	110.6	  1	NGC4183      	NGC4183
183.9132250	+36.3268889	NGC4214    	10	  2.87	15.0	  1.141	 0.51	  0.486	 80.1	  2	NGC4214      	NGC4214
183.9620833	+47.0917889	NGC4217    	 3	 18.00	86.0	 85.299	 2.94	  2.562	181.3	  1	NGC4217      	NGC4217
186.3962417	+45.6846694	NGC4389    	 4	 18.00	50.0	 21.328	 2.79	  0.539	  0.0	  3	NGC4389      	NGC4389
188.9903708	+27.9597611	NGC4559    	 6	  9.00	67.0	 19.377	 2.10	  5.811	121.2	  1	NGC4559      	NGC4559
197.7346333	+37.0589417	NGC5005    	 4	 16.90	68.0	178.720	 9.45	  1.280	262.2	  1	NGC5005      	NGC5005
198.3647292	+36.5936500	NGC5033    	 5	 15.70	66.0	110.509	 5.16	 11.314	194.2	  1	NGC5033      	NGC5033
198.9555375	+42.0292889	NGC5055    	 4	  9.90	55.0	152.922	 3.20	 11.722	179.0	  1	NGC5055      	NGC5055
208.9167625	+40.4617694	NGC5371    	 4	 39.70	53.0	340.393	 7.44	 11.180	209.5	  1	NGC5371      	NGC5371
214.9508500	+56.7290500	NGC5585    	 7	  7.06	51.0	  2.943	 1.53	  1.683	 90.3	  1	NGC5585      	NGC5585
228.9736958	+56.3288500	NGC5907    	 5	 17.30	88.0	175.425	 5.34	 21.025	215.0	  1	NGC5907      	NGC5907
234.9045417	+59.3319500	NGC5985    	 3	 39.70	60.0	208.728	 7.01	 11.586	293.6	  1	NGC5985      	NGC5985
237.8551333	+62.3100306	NGC6015    	 6	 17.00	60.0	 32.129	 2.30	  5.834	154.1	  2	NGC6015      	NGC6015
249.1355458	+39.0280028	NGC6195    	 3	127.80	62.0	391.076	13.94	 20.907	251.7	  1	NGC6195      	NGC6195
267.3604750	+70.1443417	NGC6503    	 6	  6.26	74.0	 12.845	 2.16	  1.744	116.3	  1	NGC6503      	NGC6503
279.6412042	+25.3751083	NGC6674    	 3	 51.20	54.0	214.654	 6.04	 32.165	241.3	  1	NGC6674      	NGC6674
289.1715375	+63.9733056	NGC6789    	11	  3.52	43.0	  0.100	 0.31	  0.017	  0.0	  2	NGC6789      	NGC6789
308.7180500	+60.1536778	NGC6946    	 6	  5.52	38.0	 66.173	 2.44	  5.670	158.9	  1	NGC6946      	NGC6946
339.2670917	+34.4159194	NGC7331    	 3	 14.70	75.0	250.631	 5.02	 11.067	239.0	  1	NGC7331      	NGC7331
359.4576125	-32.5910306	NGC7793    	 7	  3.61	47.0	  7.050	 1.21	  0.861	  0.0	  1	NGC7793      	NGC7793
000.8122792	+16.1452278	NGC7814    	 2	 14.40	90.0	 74.529	 2.54	  1.070	218.9	  1	NGC7814      	NGC7814
214.2573333	+43.5037222	PGC51017   	11	 13.60	66.0	  0.155	 0.53	  0.201	 18.6	  3	PGC51017     	PGC51017
003.4622083	+35.9935000	UGC00128   	 8	 64.50	57.0	 12.020	 5.95	  7.431	129.3	  1	UGC00128     	UGC00128
005.0215000	+10.8793056	UGC00191   	 9	 17.10	45.0	  2.004	 1.58	  1.343	  0.0	  1	UGC00191     	UGC00191
015.3548781	+07.6259911	UGC00634   	 9	 30.90	37.0	  2.989	 2.45	  3.663	  0.0	  2	UGC00634     	UGC00634
017.6833333	+49.6021944	UGC00731   	10	 12.50	57.0	  0.323	 2.30	  1.807	 73.3	  1	UGC00731     	UGC00731
020.3295417	+12.4117222	UGC00891   	 9	 10.20	60.0	  0.374	 1.43	  0.428	  0.0	  2	UGC00891     	UGC00891
026.3843789	+25.5214681	UGC01230   	 9	 53.70	22.0	  7.620	 4.34	  6.430	103.7	  1	UGC01230     	UGC01230
027.3821250	+32.5878333	UGC01281   	 8	  5.27	90.0	  0.353	 1.63	  0.294	 55.2	  1	UGC01281     	UGC01281
038.3255000	+33.4904167	UGC02023   	10	 10.40	19.0	  1.308	 1.55	  0.477	  0.0	  2	UGC02023     	UGC02023
041.9808250	+37.5384417	UGC02259   	 8	 10.50	41.0	  1.725	 1.62	  0.494	 86.2	  2	UGC02259     	UGC02259
044.9284917	+25.2411944	UGC02455   	10	  6.92	51.0	  3.649	 0.99	  0.803	  0.0	  3	UGC02455     	UGC02455
045.4264917	+35.2056500	UGC02487   	 0	 69.10	36.0	489.955	 7.89	 17.963	332.0	  1	UGC02487     	UGC02487
058.2601667	+35.5894722	UGC02885   	 5	 80.60	64.0	403.525	11.40	 40.075	289.5	  1	UGC02885     	UGC02885
060.6409792	+71.7059250	UGC02916   	 2	 65.40	50.0	124.153	 6.15	 23.273	182.7	  2	UGC02916     	UGC02916
061.9454500	+69.8124306	UGC02953   	 2	 16.50	50.0	259.518	 3.55	  7.678	264.9	  2	UGC02953     	UGC02953
074.0617292	+30.0521889	UGC03205   	 2	 50.00	67.0	113.642	 3.19	  9.677	219.6	  1	UGC03205     	UGC03205
102.5360958	+60.8456944	UGC03546   	 1	 28.70	55.0	101.336	 3.79	  2.675	196.9	  1	UGC03546     	UGC03546
103.8786375	+69.5629972	UGC03580   	 1	 20.70	63.0	 13.266	 2.43	  4.370	126.2	  2	UGC03580     	UGC03580
123.4954542	+45.7421500	UGC04278   	 7	  9.51	90.0	  1.307	 2.21	  1.116	 91.4	  1	UGC04278     	UGC04278
124.7707375	+70.7200306	UGC04305   	10	  3.45	40.0	  0.736	 1.16	  0.690	 34.5	  3	UGC04305     	UGC04305
124.8355361	+50.0096100	UGC04325   	 9	  9.60	41.0	  2.026	 1.86	  0.678	 90.9	  1	UGC04325     	UGC04325
129.2637083	+69.7747778	UGC04483   	10	  3.34	58.0	  0.013	 0.18	  0.032	  0.0	  2	UGC04483     	UGC04483
129.4228708	+51.6523833	UGC04499   	 8	 12.50	50.0	  1.552	 1.73	  1.100	 72.8	  1	UGC04499     	UGC04499
141.1224458	+22.2748250	UGC05005   	10	 53.70	41.0	  4.100	 3.20	  3.093	 98.9	  1	UGC05005     	UGC05005
147.5926375	+72.2786472	UGC05253   	 2	 22.90	37.0	171.582	 8.07	 16.396	213.7	  2	UGC05253     	UGC05253
150.9882711	+40.7615089	UGC05414   	10	  9.40	55.0	  1.123	 1.47	  0.574	  0.0	  1	UGC05414     	UGC05414
157.9302811	+25.3076100	UGC05716   	 9	 21.30	54.0	  0.588	 1.14	  1.094	 73.1	  2	UGC05716     	UGC05716
158.0720042	+27.6687750	UGC05721   	 7	  6.18	61.0	  0.531	 0.38	  0.562	 79.7	  1	UGC05721     	UGC05721
158.9379583	+20.9901944	UGC05750   	 8	 58.70	64.0	  3.336	 3.46	  1.099	  0.0	  1	UGC05750     	UGC05750
159.1797589	+31.5472581	UGC05764   	10	  7.47	60.0	  0.085	 1.17	  0.163	  0.0	  2	UGC05764     	UGC05764
160.6782789	+34.4492761	UGC05829   	10	  8.64	34.0	  0.564	 1.99	  1.023	  0.0	  2	UGC05829     	UGC05829
162.4017181	+65.5336311	UGC05918   	10	  7.66	46.0	  0.233	 1.66	  0.297	  0.0	  2	UGC05918     	UGC05918
163.1297167	+36.6187778	UGC05986   	 9	  8.63	90.0	  4.695	 1.67	  2.667	113.0	  2	UGC05986     	UGC05986
163.2443831	+07.6197961	UGC05999   	10	 47.70	22.0	  3.384	 3.22	  2.022	  0.0	  2	UGC05999     	UGC05999
170.8467681	+50.8926819	UGC06399   	 9	 18.00	75.0	  2.296	 2.05	  0.674	 85.0	  1	UGC06399     	UGC06399
171.6685439	+53.7466711	UGC06446   	 7	 12.00	51.0	  0.988	 1.49	  1.379	 82.2	  1	UGC06446     	UGC06446
174.8118458	+17.1435778	UGC06614   	 1	 88.70	36.0	124.350	 5.10	 21.888	199.8	  1	UGC06614     	UGC06614
175.0239169	+45.9421569	UGC06628   	 9	 15.10	20.0	  3.739	 2.82	  1.500	 41.8	  2	UGC06628     	UGC06628
175.6096208	+51.5980056	UGC06667   	 6	 18.00	89.0	  1.397	 5.15	  0.809	 83.8	  1	UGC06667     	UGC06667
177.2893083	+27.0220750	UGC06786   	 0	 29.30	64.0	 73.407	 3.60	  5.030	219.4	  1	UGC06786     	UGC06786
177.3140417	+56.0843500	UGC06787   	 2	 21.30	66.0	 98.256	 5.37	  5.030	248.1	  2	UGC06787     	UGC06787
177.6956369	+45.8071969	UGC06818   	 9	 18.00	75.0	  1.588	 1.39	  1.079	 71.2	  2	UGC06818     	UGC06818
179.1198875	+50.4283944	UGC06917   	 9	 18.00	56.0	  6.832	 2.76	  2.023	108.7	  1	UGC06917     	UGC06917
179.2063583	+53.1603361	UGC06923   	10	 18.00	65.0	  2.890	 1.44	  0.809	 79.6	  2	UGC06923     	UGC06923
179.3224792	+49.2832528	UGC06930   	 7	 18.00	32.0	  8.932	 3.94	  3.237	107.2	  1	UGC06930     	UGC06930
179.7176042	+42.7224028	UGC06973   	 2	 18.00	71.0	 53.870	 1.07	  1.753	174.2	  3	UGC06973     	UGC06973
179.7863917	+52.7077861	UGC06983   	 6	 18.00	49.0	  5.298	 3.21	  2.967	109.0	  1	UGC06983     	UGC06983
181.4906089	+43.1433561	UGC07089   	 8	 18.00	80.0	  3.585	 2.26	  1.214	  0.0	  2	UGC07089     	UGC07089
182.1729750	+36.8022972	UGC07125   	 9	 19.80	90.0	  2.712	 3.38	  4.629	 65.2	  1	UGC07125     	UGC07125
182.4941708	+46.4571806	UGC07151   	 6	  6.87	90.0	  2.284	 1.25	  0.616	 73.5	  1	UGC07151     	UGC07151
183.4339917	+36.6312750	UGC07232   	10	  2.83	59.0	  0.113	 0.29	  0.046	  0.0	  2	UGC07232     	UGC07232
183.8098292	+20.6590778	UGC07261   	 8	 13.10	30.0	  1.753	 1.20	  1.388	 74.7	  2	UGC07261     	UGC07261
184.3757250	+45.6192944	UGC07323   	 8	  8.00	47.0	  4.109	 2.26	  0.722	  0.0	  1	UGC07323     	UGC07323
185.1588292	+46.2910194	UGC07399   	 8	  8.43	55.0	  1.156	 1.64	  0.745	103.0	  1	UGC07399     	UGC07399
186.4538417	+33.5467500	UGC07524   	 9	  4.74	46.0	  2.436	 3.46	  1.779	 79.5	  1	UGC07524     	UGC07524
186.7731919	+37.1417739	UGC07559   	10	  4.97	61.0	  0.109	 0.58	  0.169	  0.0	  2	UGC07559     	UGC07559
186.9245319	+43.4994689	UGC07577   	10	  2.59	63.0	  0.045	 0.90	  0.044	  0.0	  2	UGC07577     	UGC07577
187.1837989	+22.8204411	UGC07603   	 7	  4.70	78.0	  0.376	 0.53	  0.258	 61.6	  1	UGC07603     	UGC07603
187.1836589	+43.2238300	UGC07608   	10	  8.21	25.0	  0.264	 1.50	  0.535	  0.0	  1	UGC07608     	UGC07608
188.1120561	+42.7041211	UGC07690   	10	  8.11	41.0	  0.858	 0.57	  0.390	 57.4	  2	UGC07690     	UGC07690
