#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:23 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:23	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/refs&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_refs:
#Name: J/MNRAS/455/892/refs
#Title: References
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Ref	(a36)	Reference code	[ucd=meta.note;meta.main]
#Column	BibCode	(A19)	BibCode	[ucd=meta.bib.bibcode]
#Column	Com	(a32)	Comments	[ucd=meta.note]
recno	Ref	BibCode	Com
      28	Gastaldello et al. (2008)           	2008ApJ...673..176G	
      29	Gavazzi (2002)                      	2002NewAR..46..783G	
      30	Gavazzi (2005)                      	2005A&A...443..793G	
      31	Gavazzi et al. (2003)               	2003A&A...403...11G	
      32	Gavazzi et al. (2009)               	2009A&A...498L..33G	
      33	Gruen et al. (2013)                 	2013MNRAS.432.1455G	
      34	Halkola et al. (2006)               	2006MNRAS.372.1425H	Cat. J/MNRAS/372/1425
      35	Halkola, Seitz & Pannella (2006)    	2006MNRAS.372.1425H	Cat. J/MNRAS/372/1425
      36	Israel et al. (2010)                	2010A&A...520A..58I	
      37	Kelson et al. (2002)                	2002ApJ...576..720K	
      38	Khosroshahi et al. (2006)           	2006MNRAS.369.1211K	
      39	King et al. (2002)                  	2002A&A...383..118K	
      40	Kling et al. (2005)                 	2005ApJ...625..643K	
      41	Kneib et al. (2003)                 	2003ApJ...598..804K	
      42	Kubo et al. (2007)                  	2007ApJ...671.1466K	
      43	Lerchster et al. (2011)             	2011MNRAS.411.2667L	
      44	Lewis, Buote & Stocke (2003)        	2003ApJ...586..135L	
      45	Limousin et al. (2007)              	2007ApJ...668..643L	Cat. J/ApJ/668/643
      46	Lokas & Mamon (2003)                	2003MNRAS.343..401L	
      47	Lokas et al. (2006)                 	2006MNRAS.367.1463L	
      48	Markevitch et al. (1999)            	1999ApJ...527..545M	
      49	Maughan et al. (2007)               	2007ApJ...659.1125M	
      50	McLaughlin (1999)                   	1999ApJ...512L...9M	
      51	Medezinski et al. (2007)            	2007ApJ...663..717M	
      52	Merten et al. (2014)                	                   	preprint (arXiv:1404.1376)
      53	Molikawa et al. (1999)              	1999A&A...351..413M	
      54	Oguri et al. (2009)                 	2009MNRAS.392..930O	
      55	Oguri et al. (2012)                 	2012MNRAS.420.3213O	
      56	Oguri et al. (2013)                 	2013MNRAS.429..482O	
      57	Okabe & Umetsu (2008)               	2008PASJ...60..345O	
      58	Okabe et al. (2010)                 	2010PASJ...62..811O	
      59	Okabe et al. (2011)                 	2011ApJ...741..116O	
      60	Okabe et al. (2014)                 	2014ApJ...784...90O	
      61	Okabe et al. (2015)                 	                   	preprint (arXiv:1503.04412)
      62	Paulin-Henriksson et al. (2007)     	2007A&A...467..427P	
      63	Pointecouteau et al. (2004)         	2004A&A...423...33P	
      64	Pointecouteau et al. (2005)         	2005A&A...435....1P	
      65	Pointecouteau, Arnaud & Pratt (2005)	2005A&A...435....1P	
      66	Pratt & Arnaud (2005)               	2005A&A...429..791P	
      67	Rines & Diaferio (2006)             	2006AJ....132.1275R	Cat. J/AJ/132/1275
      68	Rines et al. (2003)                 	2003AJ....126.2152R	Cat. J/AJ/126/2152
      69	Schirmer et al. (2010)              	2010A&A...514A..60S	Cat. J/A+A/514/A60
      70	Schmidt & Allen (2007)              	2007MNRAS.379..209S	
      71	Sereno et al. (2014)                	                   	preprint (arXiv:1407.7868)
      72	Umetsu & Broadhurst (2008)          	2008ApJ...684..177U	
      73	Umetsu et al. (2009)                	2009ApJ...694.1643U	
      74	Umetsu et al. (2011a)               	2011ApJ...729..127U	
      75	Umetsu et al. (2015)                	2015ApJ...806..207U	
      76	Vikhlinin et al. (2006)             	2006ApJ...640..691V	
      77	Voigt & Fabian (2006)               	2006MNRAS.368..518V	
      78	Wang et al. (2005)                  	2005ApJ...631..197W	
      79	Williams & Saha (2004)              	                   	 preprint (astro-ph/0412445)
      80	Wojtak & Lokas (2010)               	2010MNRAS.408.2442W	
      81	Xu et al. (2001)                    	2001ApJ...553...78X	
      82	Xu, Jin & Wu (2001)                 	2001ApJ...553...78X	
      83	Zekser et al. (2006)                	2006ApJ...640..639Z	
      84	Zitrin et al. (2010)                	2010MNRAS.408.1916Z	
      85	Zitrin et al. (2011)                	2011ApJ...742..117Z	

