#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:04:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:04:47	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/153/114/table5&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51530114
#Name: J/AJ/153/114
#Title: GCs in 27 nearby ETGs from the SLUGGS survey (Forbes+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/aj/153/114	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/153/114	    IVOID of underlying data collection
#INFO	creator=Forbes D.A.	    First author or institution
#INFO	cites=bibcode:2017AJ....153..114F	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/153/114	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51530114	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-09-03	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_153_114_table5:
#Name: J/AJ/153/114/table5
#Title: Globular Cluster Radial Velocities (from Erratum, 2017, AJ, 154, 80)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Star	(a14)	Object identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	HRV	(I4)	[-379/2777]? Heliocentric radial velocity (1)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(I3)	[2/194]? Uncertainty in HRV (1)	[ucd=stat.error]
#Column	Rgal	(F6.2)	[0.02/173]? Galactocentric radius (not in table 2)	[ucd=phys.angSize;pos.galactocentric]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Star	RAJ2000	DEJ2000	HRV	e_HRV	Rgal	SimbadName
      52	NGC720_S52    	028.243083	-13.718667	1854	 15	  1.31	[FAB2017] NGC720 S52
      53	NGC720_S53    	028.265500	-13.713278	1791	 22	  1.71	[FAB2017] NGC720 S53
      54	NGC720_S54    	028.255375	-13.738583	1754	 33	  0.19	[FAB2017] NGC720 S54
      55	NGC720_S55    	028.234750	-13.702833	2020	 22	  2.37	[FAB2017] NGC720 S55
      56	NGC720_S56    	028.250750	-13.733806	1696	 29	  0.30	[FAB2017] NGC720 S56
      57	NGC720_S57    	028.255042	-13.743333	1678	 42	  0.33	[FAB2017] NGC720 S57
      58	NGC720_S58    	028.264375	-13.869639	1775	 12	  7.89	[FAB2017] NGC720 S58
      59	NGC720_S59    	028.250711	-13.728597	1159	 10	  0.61	[FAB2017] NGC720 S59
      60	NGC720_S60    	028.243027	-13.712722	1838	 20	  1.64	[FAB2017] NGC720 S60
      61	NGC720_S61    	028.215002	-13.708167	1796	 12	  2.83	[FAB2017] NGC720 S61
      62	NGC720_S62    	028.242208	-13.778528	1521	 20	  2.46	[FAB2017] NGC720 S62
      63	NGC720_S63    	028.231542	-13.758111	1929	 21	  1.67	[FAB2017] NGC720 S63
      64	NGC720_S64    	028.247507	-13.755751	2174	 19	  1.06	[FAB2017] NGC720 S64
      65	NGC720_S65    	028.326900	-13.767400	1761	  9	  4.69	[FAB2017] NGC720 S65
      66	NGC821_S1     	032.103940	+10.913226	1902	 14	  4.99	[FAB2017] NGC821 S1
      67	NGC821_S2     	032.075650	+10.933620	1645	 20	  3.75	[FAB2017] NGC821 S2
      68	NGC821_S3     	032.082270	+10.949268	1748	 13	  2.76	[FAB2017] NGC821 S3
      69	NGC821_S4     	032.071679	+10.954449	1534	 19	  2.61	[FAB2017] NGC821 S4
      70	NGC821_S5     	032.068885	+10.955774	1665	 10	  2.61	[FAB2017] NGC821 S5
      71	NGC821_S6     	032.015688	+10.956279	1803	 29	  4.85	[FAB2017] NGC821 S6
      72	NGC821_S7     	032.112939	+10.958524	1628	 21	  2.63	[FAB2017] NGC821 S7
      73	NGC821_S8     	032.159607	+10.960603	1795	  9	  4.69	[FAB2017] NGC821 S8
      74	NGC821_S9     	032.073640	+10.961667	1592	  7	  2.17	[FAB2017] NGC821 S9
      75	NGC821_S10    	032.102752	+10.961918	1728	  5	  2.16	[FAB2017] NGC821 S10
      76	NGC821_S11    	032.079706	+10.963660	1785	  9	  1.94	[FAB2017] NGC821 S11
      77	NGC821_S12    	032.129169	+10.965797	1677	  6	  2.98	[FAB2017] NGC821 S12
      78	NGC821_S13    	032.045327	+10.966534	1738	 10	  3.04	[FAB2017] NGC821 S13
      79	NGC821_S14    	032.110314	+10.969044	1785	  6	  2.03	[FAB2017] NGC821 S14
      80	NGC821_S15    	032.050641	+10.969076	1833	  6	  2.70	[FAB2017] NGC821 S15
      81	NGC821_S16    	032.073135	+10.971697	1723	 23	  1.65	[FAB2017] NGC821 S16
      82	NGC821_S17    	032.101372	+10.975350	2015	  8	  1.41	[FAB2017] NGC821 S17
      83	NGC821_S18    	032.087529	+10.976055	1675	 10	  1.13	[FAB2017] NGC821 S18
      84	NGC821_S19    	032.100074	+10.979469	1765	  8	  1.17	[FAB2017] NGC821 S19
      85	NGC821_S20    	032.060981	+10.980574	1925	 18	  1.81	[FAB2017] NGC821 S20
      86	NGC821_S21    	032.086128	+10.982070	1480	  5	  0.78	[FAB2017] NGC821 S21
      87	NGC821_S22    	032.092631	+10.982522	1635	 16	  0.79	[FAB2017] NGC821 S22
      88	NGC821_S23    	032.054852	+10.982508	1867	  5	  2.09	[FAB2017] NGC821 S23
      89	NGC821_S24    	032.058179	+10.982843	1795	  7	  1.90	[FAB2017] NGC821 S24
      90	NGC821_S25    	032.095624	+10.984995	2066	  8	  0.74	[FAB2017] NGC821 S25
      91	NGC821_S26    	032.107012	+10.984967	1883	 23	  1.26	[FAB2017] NGC821 S26
      92	NGC821_S27    	032.093112	+10.987475	1838	 19	  0.54	[FAB2017] NGC821 S27
      93	NGC821_S28    	032.070119	+10.990345	2028	 15	  1.09	[FAB2017] NGC821 S28
      94	NGC821_S29    	032.100385	+10.990799	1592	  6	  0.77	[FAB2017] NGC821 S29
      95	NGC821_S30    	032.103608	+10.991370	1559	 10	  0.94	[FAB2017] NGC821 S30
      96	NGC821_S31    	032.078744	+10.991353	1639	 14	  0.59	[FAB2017] NGC821 S31
      97	NGC821_S32    	032.082611	+10.992151	1520	  8	  0.36	[FAB2017] NGC821 S32
      98	NGC821_S33    	032.072959	+10.994271	1633	 11	  0.89	[FAB2017] NGC821 S33
      99	NGC821_S34    	032.040183	+10.995122	1921	 15	  2.82	[FAB2017] NGC821 S34
     100	NGC821_S35    	032.117973	+10.995794	1691	  9	  1.76	[FAB2017] NGC821 S35
     101	NGC821_S36    	032.106454	+10.995846	1496	 14	  1.08	[FAB2017] NGC821 S36
     102	NGC821_S37    	032.138040	+10.996088	1843	 12	  2.94	[FAB2017] NGC821 S37
     103	NGC821_S38    	032.097021	+10.997448	2091	  5	  0.55	[FAB2017] NGC821 S38
     104	NGC821_S39    	032.105749	+10.998190	1940	  8	  1.06	[FAB2017] NGC821 S39
     105	NGC821_S40    	032.127605	+11.002715	1818	 13	  2.37	[FAB2017] NGC821 S40
     106	NGC821_S41    	032.102604	+11.004729	1498	  8	  1.04	[FAB2017] NGC821 S41
     107	NGC821_S42    	032.140598	+11.006166	1947	 14	  3.17	[FAB2017] NGC821 S42
     108	NGC821_S43    	032.111207	+11.006682	1884	 10	  1.53	[FAB2017] NGC821 S43
     109	NGC821_S44    	032.106289	+11.010496	1882	  7	  1.42	[FAB2017] NGC821 S44
     110	NGC821_S45    	032.168453	+11.012099	1686	  7	  4.84	[FAB2017] NGC821 S45
     111	NGC821_S46    	032.138218	+11.012697	1648	 10	  3.14	[FAB2017] NGC821 S46
     112	NGC821_S47    	032.144063	+11.039267	1786	  7	  4.24	[FAB2017] NGC821 S47
     113	NGC821_S48    	032.103624	+11.052164	1872	 14	  3.55	[FAB2017] NGC821 S48
     114	NGC821_S49    	032.065940	+11.072019	1806	 11	  4.81	[FAB2017] NGC821 S49
     115	NGC821_S50    	032.077445	+11.023611	1303	  9	  1.83	[FAB2017] NGC821 S50
     116	NGC821_S51    	032.100454	+11.014905	1860	 23	  1.40	[FAB2017] NGC821 S51
     117	NGC821_S52    	032.105483	+10.991466	1915	  9	  1.05	[FAB2017] NGC821 S52
     118	NGC821_S53    	032.010312	+10.973097	1705	 13	  4.76	[FAB2017] NGC821 S53
     119	NGC821_S54    	032.095029	+10.988344	1749	 10	  0.57	[FAB2017] NGC821 S54
     120	NGC821_S55    	032.076662	+10.963391	1753	 13	  2.01	[FAB2017] NGC821 S55
     121	NGC821_S56    	032.070637	+10.973575	1650	 24	  1.64	[FAB2017] NGC821 S56
     122	NGC821_S57    	032.117104	+11.004969	1782	  9	  1.81	[FAB2017] NGC821 S57
     123	NGC821_S58    	032.059377	+10.990688	2135	 16	  1.71	[FAB2017] NGC821 S58
     124	NGC821_S59    	032.084082	+11.006590	1688	 12	  0.74	[FAB2017] NGC821 S59
     125	NGC821_S60    	032.091492	+10.994256	1763	  7	  0.20	[FAB2017] NGC821 S60
     126	NGC821_S61    	032.049792	+10.951548	1421	 24	  3.44	[FAB2017] NGC821 S61
     127	NGC821_S62    	032.068063	+11.004951	1529	 25	  1.32	[FAB2017] NGC821 S62
     128	NGC821_S63    	032.087277	+11.023040	1597	 20	  1.69	[FAB2017] NGC821 S63
     129	NGC821_S64    	032.123714	+11.056872	1688	 17	  4.27	[FAB2017] NGC821 S64
     130	NGC821_S65    	032.079553	+11.001025	1694	 20	  0.62	[FAB2017] NGC821 S65
     131	NGC821_S66    	032.076214	+10.991800	1563	 11	  0.72	[FAB2017] NGC821 S66
     132	NGC821_S67    	032.050700	+10.967000	1805	 25	  2.77	[FAB2017] NGC821 S67
     133	NGC821_S68    	032.109300	+11.061000	1904	 21	  4.16	[FAB2017] NGC821 S68
     134	NGC1023_S1    	040.146050	+39.037040	 767	 25	  2.66	[FAB2017] NGC1023 S1
     135	NGC1023_S2    	040.177970	+39.052470	 742	 19	  3.69	[FAB2017] NGC1023 S2
     136	NGC1023_S3    	039.995810	+39.011810	 751	 20	  5.75	[FAB2017] NGC1023 S3
     137	NGC1023_S4    	040.213010	+39.066240	 598	 16	  5.27	[FAB2017] NGC1023 S4
     138	NGC1023_S5    	040.228050	+39.098530	 778	 11	  6.33	[FAB2017] NGC1023 S5
     139	NGC1023_S6    	040.148190	+39.102130	 743	 14	  3.23	[FAB2017] NGC1023 S6
     140	NGC1023_S7    	040.081470	+39.076890	 526	 26	  1.19	[FAB2017] NGC1023 S7
     141	NGC1023_S8    	040.083310	+39.077200	 447	  9	  1.14	[FAB2017] NGC1023 S8
     142	NGC1023_S9    	040.136410	+39.092380	 532	  5	  2.43	[FAB2017] NGC1023 S9
     143	NGC1023_S10   	040.155240	+39.071660	 720	 21	  2.62	[FAB2017] NGC1023 S10
     144	NGC1023_S11   	040.127380	+39.059400	 766	 10	  1.29	[FAB2017] NGC1023 S11
     145	NGC1023_S12   	040.127520	+39.050360	 613	 10	  1.50	[FAB2017] NGC1023 S12
     146	NGC1023_S13   	040.131370	+39.060510	 861	  8	  1.47	[FAB2017] NGC1023 S13
     147	NGC1023_S14   	040.131460	+39.056490	 714	 12	  1.52	[FAB2017] NGC1023 S14
     148	NGC1023_S15   	040.131480	+39.065110	 345	 11	  1.47	[FAB2017] NGC1023 S15
     149	NGC1023_S16   	040.132990	+39.048680	 715	 20	  1.77	[FAB2017] NGC1023 S16
     150	NGC1023_S17   	040.154250	+39.064470	 755	  3	  2.53	[FAB2017] NGC1023 S17
     151	NGC1023_S18   	040.154310	+39.078260	 744	 11	  2.68	[FAB2017] NGC1023 S18
     152	NGC1023_S19   	040.055710	+39.039850	 675	 14	  2.50	[FAB2017] NGC1023 S19
     153	NGC1023_S20   	040.081070	+39.023820	 811	  8	  2.53	[FAB2017] NGC1023 S20
     154	NGC1023_S21   	040.101400	+39.073750	 690	 10	  0.63	[FAB2017] NGC1023 S21
     155	NGC1023_S22   	040.103540	+39.058210	 570	  6	  0.35	[FAB2017] NGC1023 S22
     156	NGC1023_S23   	040.114240	+39.063350	 567	  5	  0.66	[FAB2017] NGC1023 S23
     157	NGC1023_S24   	040.177660	+39.083560	 706	  5	  3.82	[FAB2017] NGC1023 S24
     158	NGC1023_S25   	040.110320	+39.087540	 711	 24	  1.53	[FAB2017] NGC1023 S25
     159	NGC1023_S26   	039.955566	+39.012066	 558	 17	  7.40	[FAB2017] NGC1023 S26
     160	NGC1023_S27   	040.241921	+39.057297	 695	 23	  6.62	[FAB2017] NGC1023 S27
     161	NGC1023_S28   	040.085820	+39.020740	 706	 34	  2.64	[FAB2017] NGC1023 S28
     162	NGC1023_S29   	040.050770	+39.060760	 481	  9	  2.30	[FAB2017] NGC1023 S29
     163	NGC1023_S30   	040.051840	+39.064100	 417	 12	  2.25	[FAB2017] NGC1023 S30
     164	NGC1023_S31   	040.062100	+39.052590	 484	 20	  1.88	[FAB2017] NGC1023 S31
     165	NGC1023_S32   	040.064920	+39.057570	 401	 26	  1.67	[FAB2017] NGC1023 S32
     166	NGC1023_S33   	040.069390	+39.060170	 528	 13	  1.44	[FAB2017] NGC1023 S33
     167	NGC1023_S34   	040.081190	+39.070130	 539	 15	  0.97	[FAB2017] NGC1023 S34
     168	NGC1023_S35   	040.140150	+39.069970	 849	 15	  1.91	[FAB2017] NGC1023 S35
     169	NGC1023_S36   	040.083190	+39.061260	 472	  6	  0.79	[FAB2017] NGC1023 S36
     170	NGC1023_S37   	040.087000	+39.058330	 592	 14	  0.68	[FAB2017] NGC1023 S37
     171	NGC1023_S38   	040.110280	+39.062680	 885	 19	  0.48	[FAB2017] NGC1023 S38
     172	NGC1023_S39   	040.107310	+39.054190	 626	 27	  0.64	[FAB2017] NGC1023 S39
     173	NGC1023_S40   	040.045590	+39.043820	 368	 18	  2.79	[FAB2017] NGC1023 S40
     174	NGC1023_S41   	040.120620	+39.074090	 872	 19	  1.16	[FAB2017] NGC1023 S41
     175	NGC1023_S42   	040.153983	+39.057836	 737	  8	  2.53	[FAB2017] NGC1023 S42
     176	NGC1023_S43   	040.153454	+39.051417	 735	 13	  2.59	[FAB2017] NGC1023 S43
     177	NGC1023_S44   	040.157896	+39.058750	 739	 10	  2.71	[FAB2017] NGC1023 S44
     178	NGC1023_S45   	040.161700	+39.054660	 727	  5	  2.92	[FAB2017] NGC1023 S45
     179	NGC1023_S46   	040.176800	+39.034090	 604	  6	  3.98	[FAB2017] NGC1023 S46
     180	NGC1023_S47   	040.088050	+39.015220	 665	 17	  2.94	[FAB2017] NGC1023 S47
     181	NGC1023_S48   	040.039290	+39.057170	 478	 15	  2.85	[FAB2017] NGC1023 S48
     182	NGC1023_S49   	040.042270	+39.060450	 826	 39	  2.70	[FAB2017] NGC1023 S49
     183	NGC1023_S50   	040.044840	+39.062670	 563	  9	  2.57	[FAB2017] NGC1023 S50
     184	NGC1023_S51   	040.054130	+39.074940	 431	 10	  2.25	[FAB2017] NGC1023 S51
     185	NGC1023_S52   	040.058980	+39.054360	 702	 21	  1.99	[FAB2017] NGC1023 S52
     186	NGC1023_S53   	040.068100	+39.058030	 380	 17	  1.52	[FAB2017] NGC1023 S53
     187	NGC1023_S54   	040.070130	+39.064480	 638	  5	  1.40	[FAB2017] NGC1023 S54
     188	NGC1023_S55   	039.973640	+39.041400	 545	 13	  6.03	[FAB2017] NGC1023 S55
     189	NGC1023_S56   	040.201910	+39.074160	 537	 10	  4.79	[FAB2017] NGC1023 S56
     190	NGC1023_S57   	040.238560	+39.086900	 504	 13	  6.61	[FAB2017] NGC1023 S57
     191	NGC1023_S58   	040.061720	+39.092120	 684	  7	  2.49	[FAB2017] NGC1023 S58
     192	NGC1023_S59   	040.079280	+39.090970	 739	  8	  1.92	[FAB2017] NGC1023 S59
     193	NGC1023_S60   	040.085670	+39.082690	 420	  8	  1.34	[FAB2017] NGC1023 S60
     194	NGC1023_S61   	040.102570	+39.088900	 832	  6	  1.54	[FAB2017] NGC1023 S61
     195	NGC1023_S62   	040.102300	+39.042700	 869	  5	  1.24	[FAB2017] NGC1023 S62
     196	NGC1023_S63   	040.122970	+39.060700	 771	  8	  1.08	[FAB2017] NGC1023 S63
     197	NGC1023_S64   	040.123590	+39.034520	 551	 10	  2.05	[FAB2017] NGC1023 S64
     198	NGC1023_S65   	040.124230	+39.057830	 893	 17	  1.17	[FAB2017] NGC1023 S65
     199	NGC1023_S66   	040.132620	+39.045620	 677	  9	  1.85	[FAB2017] NGC1023 S66
     200	NGC1023_S67   	040.141430	+39.045220	 564	 17	  2.21	[FAB2017] NGC1023 S67
     201	NGC1023_S68   	040.149470	+39.076730	 870	  6	  2.44	[FAB2017] NGC1023 S68
     202	NGC1023_S69   	040.077610	+39.048840	 483	 35	  1.36	[FAB2017] NGC1023 S69
     203	NGC1023_S70   	040.088810	+39.040470	 699	 14	  1.47	[FAB2017] NGC1023 S70
     204	NGC1023_S71   	040.093350	+39.038040	 668	  7	  1.55	[FAB2017] NGC1023 S71
     205	NGC1023_S72   	040.087580	+39.074170	 737	  6	  0.87	[FAB2017] NGC1023 S72
     206	NGC1023_S73   	040.100430	+39.078120	 590	 12	  0.89	[FAB2017] NGC1023 S73
     207	NGC1023_S74   	040.112600	+39.064570	 683	 13	  0.59	[FAB2017] NGC1023 S74
     208	NGC1023_S75   	040.102260	+39.051100	 465	 20	  0.74	[FAB2017] NGC1023 S75
     209	NGC1023_S76   	040.103760	+39.049760	 703	  9	  0.83	[FAB2017] NGC1023 S76
     210	NGC1023_S77   	040.024090	+39.051630	 646	  7	  3.61	[FAB2017] NGC1023 S77
     211	NGC1023_S78   	040.036960	+39.043050	 713	 11	  3.18	[FAB2017] NGC1023 S78
     212	NGC1023_S79   	040.166360	+39.093520	 781	 14	  3.58	[FAB2017] NGC1023 S79
     213	NGC1023_S80   	040.184100	+39.082110	 766	  6	  4.08	[FAB2017] NGC1023 S80
     214	NGC1023_S81   	040.127310	+39.077680	 747	  9	  1.54	[FAB2017] NGC1023 S81
     215	NGC1023_S82   	040.130330	+39.059350	 323	  8	  1.43	[FAB2017] NGC1023 S82
     216	NGC1023_S83   	040.113340	+39.072870	 662	  8	  0.85	[FAB2017] NGC1023 S83
     217	NGC1023_S84   	040.056831	+39.110569	 892	  6	  3.48	[FAB2017] NGC1023 S84
     218	NGC1023_S85   	040.087799	+39.126644	 683	  8	  3.84	[FAB2017] NGC1023 S85
     219	NGC1023_S86   	040.256485	+39.076706	 549	 12	  7.33	[FAB2017] NGC1023 S86
     220	NGC1023_S87   	040.114285	+39.118507	 764	  7	  3.38	[FAB2017] NGC1023 S87
     221	NGC1023_S88   	040.212242	+39.040630	 375	 13	  5.40	[FAB2017] NGC1023 S88
     222	NGC1023_S89   	040.081341	+39.137505	 782	 11	  4.54	[FAB2017] NGC1023 S89
     223	NGC1023_S90   	040.084610	+39.193783	 820	 16	  7.86	[FAB2017] NGC1023 S90
     224	NGC1023_S91   	039.943123	+39.057114	 579	 22	  7.32	[FAB2017] NGC1023 S91
     225	NGC1023_S92   	040.110996	+39.175587	 596	 12	  6.76	[FAB2017] NGC1023 S92
     226	NGC1023_S93   	040.222916	+39.068741	 603	  8	  5.73	[FAB2017] NGC1023 S93
     227	NGC1023_S94   	039.978680	+39.088871	 719	 10	  5.86	[FAB2017] NGC1023 S94
     228	NGC1023_S95   	040.217800	+39.049725	 715	 13	  5.55	[FAB2017] NGC1023 S95
