#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:06:54 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:06:54	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/219/4/galaxies&-out=Name,PA,e_PA,Ell,e_Ell,Flag,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJS_219_4_galaxies:
#Name: J/ApJS/219/4/galaxies
#Title: Parameters of the galaxies;  center, outer orientation, sky background; and 1-component Sersic fits
#Column	Name	(a10)	Galaxy name (IDE)	[ucd=meta.id;meta.main]
#Column	PA	(F5.1)	[0.2/180]? Outer isophote position angle	[ucd=pos.posAng]
#Column	e_PA	(F4.1)	[0/63]? Standard deviation in PA	[ucd=stat.error]
#Column	Ell	(F6.3)	[0.008/1]? Outer isophote ellipticity	[ucd=src.ellipticity]
#Column	e_Ell	(F6.3)	[0/0.3]? Standard deviation in Ell	[ucd=stat.error]
#Column	Flag	(A2)	[ok uz] Uncertainty flag (1)	[ucd=meta.code.error]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
Name	PA	e_PA	Ell	e_Ell	Flag	_RA	_DE
ESO234-043	 91.3	 6.9	 0.331	 0.044	u 	308.05792	-48.52833
ESO234-049	 78.2	37.7	 0.075	 0.053	ok	308.82525	-49.86550
ESO236-039	 83.7	 1.7	 0.536	 0.013	ok	326.31250	-49.00778
ESO237-049	 37.0	 0.2	 0.814	 0.010	z 	334.01417	-47.66194
ESO237-052	 59.7	 1.2	 0.516	 0.006	ok	334.44717	-49.25996
ESO238-018	  7.5	 5.1	 0.090	 0.013	ok	338.93246	-50.89069
ESO240-004	139.7	 1.0	 0.862	 0.028	z 	351.97133	-51.13214
ESO240-011	127.4	 0.4	 0.849	 0.006	z 	354.45615	-47.72739
ESO245-005	138.1	 4.6	 0.262	 0.038	u 	026.26542	-43.59778
ESO245-007	 34.3	20.9	 0.074	 0.040	u 	027.77625	-44.44472
ESO248-002	 14.6	 0.5	 0.757	 0.013	ok	046.27586	-45.96202
ESO249-008	160.9	 4.4	 0.322	 0.032	ok	054.32860	-43.58614
ESO249-026	172.2	 2.2	 0.459	 0.002	ok	058.55375	-43.75722
ESO249-027	 85.3	 2.8	 0.668	 0.020	ok	058.62221	-44.75358
ESO249-035	 97.4	 0.4	 0.847	 0.001	z 	059.73500	-45.85889
ESO249-036	120.5	 4.7	 0.322	 0.021	u 	059.81333	-45.87056
ESO285-048	 81.8	 0.7	 0.575	 0.007	ok	311.16760	-45.97852
ESO286-044	121.0	 1.3	 0.394	 0.035	ok	316.41110	-42.78124
ESO287-009	104.8	 0.0	 0.814	 0.002	z 	320.31784	-46.15283
ESO287-037	 49.6	28.0	 0.103	 0.048	ok	323.63342	-44.31478
ESO287-043	108.0	 0.5	 0.809	 0.012	z 	324.55200	-43.93452
ESO288-013	 67.0	45.0	 0.065	 0.042	ok	327.94417	-43.12417
ESO289-010	122.5	 0.1	 0.874	 0.003	z 	334.18039	-47.11862
ESO289-026	153.2	 7.4	 0.500	 0.107	u 	335.88846	-42.27458
ESO289-048	141.4	 0.9	 0.692	 0.014	ok	340.23694	-45.66030
ESO291-024	 90.9	 0.7	 0.733	 0.006	ok	350.91937	-42.40244
ESO292-014	 84.5	 0.1	 0.902	 0.002	z 	355.64682	-44.90485
ESO293-034	 10.9	 0.3	 0.844	 0.002	z 	001.58298	-41.49990
ESO293-045	142.1	 2.5	 0.667	 0.019	u 	002.85346	-41.39822
ESO298-015	 57.1	 0.7	 0.588	 0.006	ok	032.66212	-40.91808
ESO298-023	166.9	17.5	 0.078	 0.024	ok	033.61458	-39.18611
ESO300-014	165.9	 1.4	 0.565	 0.022	ok	047.40779	-41.03047
ESO302-009	 50.0	 0.6	 0.700	 0.005	ok	056.89167	-38.57694
ESO302-014	121.5	 4.6	 0.491	 0.025	u 	057.92000	-38.45361
ESO302-021	  8.3	 0.6	 0.678	 0.010	ok	058.96908	-40.68442
ESO305-009	 53.8	 1.9	 0.254	 0.016	ok	077.03175	-38.30931
ESO305-017	 63.3	 0.3	 0.666	 0.013	ok	078.75196	-41.39267
ESO340-008	 34.0	 0.3	 0.845	 0.009	z 	304.29916	-40.92369
ESO340-009	 97.8	 1.0	 0.819	 0.007	z 	304.33548	-38.67368
ESO340-017	114.1	 2.9	 0.485	 0.028	ok	304.92367	-39.28860
ESO340-042	 71.9	22.1	 0.313	 0.041	ok	308.73292	-40.62417
ESO341-032	127.5	27.8	 0.068	 0.030	ok	315.88917	-39.44417
ESO342-013	167.0	 1.9	 0.597	 0.029	ok	317.50195	-37.50375
ESO342-050	 25.7	 1.6	 0.360	 0.028	ok	322.06275	-37.86130
ESO345-046	 66.9	22.4	 0.129	 0.048	ok	340.81542	-39.86750
ESO346-001	 64.3	 0.1	 0.857	 0.005	z 	342.14102	-39.64900
ESO346-014	 56.2	 0.2	 0.817	 0.009	z 	343.77936	-38.58331
ESO347-008	 39.1	 7.4	 0.128	 0.004	u 	350.20125	-41.73083
ESO347-017	 91.5	 0.1	 0.530	 0.013	u 	351.73500	-37.34611
ESO347-029	146.7	 3.8	 0.640	 0.015	ok	354.11346	-38.78244
ESO355-026	155.9	 0.9	 0.453	 0.005	ok	038.07295	-35.03018
ESO356-018	 77.6	 0.3	 0.743	 0.003	ok	043.80200	-36.30017
ESO357-007	131.9	 0.5	 0.790	 0.005	z 	047.60146	-33.15617
ESO357-012	129.4	 2.4	 0.378	 0.018	ok	049.22229	-35.54131
ESO357-025	 28.1	 1.0	 0.589	 0.002	ok	050.90532	-35.77838
ESO358-005	 92.8	 4.1	 0.263	 0.019	ok	051.81921	-33.48611
ESO358-015	158.4	11.4	 0.240	 0.111	ok	053.27846	-34.80881
ESO358-020	159.8	 0.6	 0.438	 0.004	ok	053.73889	-32.63979
ESO358-025	 55.6	 1.8	 0.379	 0.013	ok	053.88806	-32.46487
ESO358-051	  2.4	 0.9	 0.496	 0.009	ok	055.38586	-34.88834
ESO358-054	 80.1	 1.2	 0.365	 0.009	ok	055.75812	-36.27122
ESO358-060	 97.7	 0.4	 0.702	 0.010	u 	056.30058	-35.57092
ESO358-063	130.5	 0.8	 0.711	 0.017	ok	056.57920	-34.94356
ESO359-003	127.1	 0.6	 0.668	 0.008	ok	058.00379	-33.46761
ESO359-022	 26.3	 1.0	 0.498	 0.011	ok	062.18992	-35.38950
ESO359-029	 16.8	 2.1	 0.493	 0.010	ok	063.21112	-33.00111
ESO359-031	 43.2	 2.5	 0.090	 0.008	ok	063.29004	-34.42633
ESO361-009	 43.1	 0.9	 0.660	 0.004	u 	071.74417	-35.91750
ESO361-015	 94.8	 0.1	 0.703	 0.008	ok	072.98893	-33.17929
ESO361-019	100.0	 0.5	 0.618	 0.006	ok	073.72015	-37.32117
ESO362-009	 35.2	10.4	 0.243	 0.026	ok	077.99708	-32.97250
ESO362-011	 75.7	 0.7	 0.809	 0.010	z 	079.16167	-37.10252
ESO362-019	  0.4	 0.4	 0.690	 0.007	ok	080.26750	-36.95667
ESO399-025	158.2	 2.4	 0.288	 0.031	ok	303.36548	-37.18874
ESO400-025	142.4	 5.5	 0.518	 0.034	ok	306.90820	-32.95747
ESO402-025	 80.4	 2.2	 0.621	 0.034	ok	320.56577	-36.62768
ESO402-026	109.1	 0.4	 0.643	 0.012	ok	320.63080	-36.68159
ESO402-030	137.9	 1.4	 0.378	 0.011	ok	321.68521	-34.49904
ESO403-024	 46.5	 2.4	 0.375	 0.028	ok	326.66571	-36.20531
ESO403-031	148.2	 4.9	 0.393	 0.045	ok	327.01833	-36.77389
ESO404-003	  9.0	 1.2	 0.471	 0.018	ok	328.16556	-36.50283
ESO404-012	118.8	10.8	 0.150	 0.056	ok	329.27991	-34.58227
ESO404-017	127.7	 1.0	 0.624	 0.018	ok	330.23250	-35.28722
ESO404-018	 32.8	 0.2	 0.896	 0.005	z 	330.29233	-32.57881
ESO404-027	125.2	 0.8	 0.641	 0.011	ok	330.94940	-32.28497
ESO406-042	 69.3	 3.4	 0.438	 0.022	ok	345.55972	-37.08353
ESO407-007	168.2	 0.1	 0.805	 0.007	z 	347.41427	-36.42009
ESO407-009	 35.6	 1.2	 0.621	 0.014	ok	348.18712	-37.20792
ESO407-014	 40.1	 8.8	 0.447	 0.083	ok	349.41476	-34.79081
ESO407-018	106.0	27.9	 0.101	 0.046	ok	351.61467	-32.38875
ESO408-012	 74.4	 1.7	 0.452	 0.029	ok	354.39237	-36.99600
ESO409-015	127.7	 6.0	 0.403	 0.036	ok	001.38271	-28.09817
ESO410-012	118.2	 1.5	 0.747	 0.012	ok	007.07379	-27.98289
ESO410-018	 26.6	 5.1	 0.110	 0.000	ok	008.54654	-30.77414
ESO411-013	 39.2	 0.5	 0.725	 0.010	z 	011.77625	-31.58167
ESO411-026	 23.1	 0.9	 0.554	 0.020	u 	013.18904	-31.71814
ESO418-008	136.7	 0.6	 0.318	 0.012	ok	052.87767	-30.21333
ESO418-009	116.7	 2.5	 0.203	 0.013	ok	052.98212	-31.33822
ESO419-013	  2.1	 0.1	 0.482	 0.012	ok	060.17337	-30.83102
ESO420-006	139.4	 3.3	 0.621	 0.019	ok	062.50642	-31.25803
ESO420-009	 31.8	12.7	 0.229	 0.064	ok	062.75249	-31.40782
ESO421-019	 69.3	 2.3	 0.240	 0.007	ok	072.30042	-29.20750
ESO422-005	 22.5	 2.1	 0.277	 0.013	ok	073.02458	-28.59250
ESO422-033	134.4	 0.5	 0.630	 0.012	u 	076.70667	-27.65806
ESO422-041	 75.9	 7.9	 0.182	 0.026	ok	077.69568	-31.59714
ESO423-002	 19.8	 0.4	 0.665	 0.002	ok	078.81813	-30.52645
ESO438-017	 17.0	 2.1	 0.546	 0.025	ok	169.32384	-27.82266
ESO440-004	 76.9	20.5	 0.582	 0.072	ok	176.42633	-28.36781
ESO440-011	 32.8	11.1	 0.099	 0.035	ok	177.19079	-28.29469
ESO440-027	 79.5	 0.1	 0.823	 0.005	z 	178.35027	-28.55316
ESO440-037	 16.6	 7.4	 0.089	 0.021	ok	179.82127	-28.90494
ESO440-044	 13.1	 2.7	 0.513	 0.041	ok	180.69262	-29.09311
ESO440-046	  6.6	 4.3	 0.219	 0.030	ok	181.17157	-28.11629
ESO440-049	 63.1	 3.2	 0.212	 0.024	ok	181.39178	-31.42348
ESO441-011	137.9	 0.7	 0.798	 0.025	z 	182.35486	-28.80150
ESO441-014	151.2	 0.9	 0.659	 0.006	ok	182.55897	-30.07808
ESO441-017	 78.8	 0.9	 0.434	 0.015	ok	182.78242	-31.12704
ESO442-013	168.8	 2.0	 0.624	 0.019	ok	189.30629	-28.49142
ESO443-021	160.8	 0.1	 0.859	 0.002	z 	194.94122	-29.60027
ESO443-042	127.7	 0.0	 0.859	 0.002	z 	195.87384	-29.82881
ESO443-069	124.4	 8.3	 0.099	 0.055	ok	196.72008	-28.55344
ESO443-079	176.2	 1.1	 0.708	 0.028	u 	197.59442	-27.97531
ESO443-080	152.8	 5.2	 0.291	 0.038	u 	197.78900	-28.00900
ESO443-085	 56.8	 0.5	 0.470	 0.017	ok	198.80910	-32.25391
ESO444-033	 85.2	 0.6	 0.724	 0.007	ok	201.51779	-32.12947
ESO444-037	122.5	 1.2	 0.516	 0.006	u 	201.75192	-30.07442
ESO444-078	 29.2	 3.4	 0.478	 0.053	ok	204.12962	-29.23489
ESO445-089	117.5	14.1	 0.164	 0.034	ok	210.26680	-30.32726
ESO462-031	  5.6	 1.5	 0.588	 0.005	ok	307.96777	-30.79858
ESO466-014	 48.9	 0.1	 0.817	 0.006	z 	328.59527	-31.96917
ESO466-036	117.6	 2.8	 0.400	 0.026	ok	330.33530	-31.52974
ESO467-051	 98.5	 0.5	 0.860	 0.003	z 	335.82000	-28.98000
ESO469-008	 49.2	 2.3	 0.677	 0.015	ok	345.95917	-28.74333
ESO469-015	149.2	 0.2	 0.828	 0.013	z 	347.23172	-30.85790
ESO471-006	 46.2	 0.2	 0.684	 0.005	u 	355.93979	-31.95677
ESO476-010	 25.3	 1.3	 0.709	 0.035	ok	021.67700	-25.31422
ESO477-016	151.6	 0.9	 0.704	 0.007	z 	029.06663	-22.90113
ESO479-004	 56.1	 1.3	 0.456	 0.008	ok	036.58950	-24.28992
ESO479-025	 51.6	 0.3	 0.738	 0.010	ok	040.52912	-24.13186
ESO480-020	 15.1	 5.6	 0.449	 0.032	u 	045.61808	-22.80158
ESO480-025	 96.9	 0.2	 0.416	 0.014	ok	045.96050	-25.27236
ESO481-014	165.1	 1.2	 0.778	 0.004	ok	048.41792	-25.18811
ESO481-018	 42.6	 0.5	 0.650	 0.007	ok	049.63667	-25.83561
ESO481-030	 51.7	 0.1	 0.828	 0.003	z 	052.40937	-23.35056
ESO482-005	 79.9	 0.1	 0.795	 0.006	ok	053.25912	-24.13292
ESO482-011	 61.5	 0.4	 0.655	 0.006	ok	054.07242	-25.60470
ESO482-013	 52.9	 0.3	 0.545	 0.023	ok	054.22372	-24.91307
ESO482-035	  0.7	 1.0	 0.366	 0.008	ok	055.31104	-23.83891
ESO482-046	 69.8	 0.0	 0.843	 0.002	z 	057.42606	-26.99336
ESO483-008	 46.0	 0.4	 0.574	 0.015	ok	061.51092	-22.63114
ESO483-013	138.3	 1.6	 0.396	 0.017	ok	063.17133	-23.15889
ESO485-021	124.8	21.5	 0.016	 0.008	ok	073.22083	-25.24667
ESO486-003	 36.8	 1.0	 0.579	 0.008	ok	074.89458	-22.69944
ESO486-021	107.2	 6.9	 0.238	 0.010	ok	075.83292	-25.42389
ESO501-079	 44.0	10.2	 0.194	 0.022	ok	160.35817	-23.38339
ESO501-080	106.0	 0.8	 0.739	 0.010	z 	160.65767	-23.93558
ESO502-016	 79.5	 1.4	 0.657	 0.016	ok	166.30727	-26.62411
ESO502-020	 57.5	 3.5	 0.160	 0.024	ok	167.34362	-22.87636
ESO502-023	 71.1	 1.8	 0.536	 0.020	ok	168.05746	-24.23186
ESO503-022	118.2	 0.6	 0.480	 0.007	ok	173.37186	-26.94574
ESO504-010	 15.4	 1.1	 0.617	 0.005	ok	175.76458	-23.43250
ESO504-024	154.3	 4.8	 0.237	 0.049	ok	178.40787	-26.99581
ESO504-028	 68.2	 6.5	 0.143	 0.026	ok	178.72668	-27.25142
ESO505-002	 75.8	42.8	 0.260	 0.051	ok	180.13208	-24.72167
ESO505-003	131.1	 0.1	 0.881	 0.001	z 	180.27913	-24.56802
ESO505-008	 12.0	 0.4	 0.659	 0.008	ok	180.89572	-25.38017
ESO505-009	 78.2	 0.5	 0.633	 0.022	ok	180.96192	-27.60144
ESO505-013	 37.4	 4.4	 0.354	 0.030	u 	181.53667	-22.85056
ESO505-023	 37.2	 2.5	 0.834	 0.018	z 	182.40096	-23.41194
ESO506-018	 10.3	 0.3	 0.787	 0.002	ok	188.42375	-23.68056
ESO506-029	 18.1	 2.7	 0.362	 0.016	ok	189.81792	-26.91111
ESO506-033	177.7	 0.0	 0.619	 0.001	ok	190.05763	-25.32692
ESO507-065	 16.0	 1.2	 0.569	 0.022	ok	195.27125	-26.09222
ESO508-007	 77.9	21.8	 0.474	 0.091	ok	196.77958	-24.11194
ESO508-011	 94.8	 0.3	 0.836	 0.002	ok	196.93667	-22.85667
ESO508-015	111.4	 1.7	 0.336	 0.015	ok	197.32792	-24.38528
ESO508-019	 39.1	 1.9	 0.589	 0.028	ok	197.46162	-24.24188
ESO508-024	 81.6	 6.1	 0.147	 0.040	ok	197.69140	-23.86573
ESO508-030	135.6	 1.3	 0.781	 0.008	ok	198.72792	-23.14583
ESO508-034	133.7	 1.3	 0.542	 0.035	ok	199.23883	-25.33708
ESO508-051	 54.8	 1.0	 0.518	 0.008	ok	200.12417	-26.08528
ESO509-026	 91.9	 3.6	 0.098	 0.007	u 	202.10258	-27.57031
ESO509-074	138.4	 0.1	 0.739	 0.005	ok	203.92236	-24.07384
ESO510-026	138.9	33.4	 0.135	 0.064	u 	209.39729	-25.79178
ESO510-058	176.2	 9.1	 0.334	 0.078	ok	211.15575	-24.83315
ESO510-059	 80.9	 3.8	 0.371	 0.031	ok	211.19310	-24.82704
ESO532-014	105.3	 1.7	 0.563	 0.019	ok	330.73771	-22.47233
ESO532-022	136.2	 2.9	 0.329	 0.039	ok	332.29583	-27.16750
ESO532-032	 71.9	 1.1	 0.917	 0.006	z 	333.22000	-25.64306
ESO533-004	150.5	 0.0	 0.886	 0.003	z 	333.51257	-26.93771
ESO533-028	113.8	 0.7	 0.475	 0.010	ok	336.66403	-24.87156
ESO536-003	 51.9	 0.2	 0.802	 0.004	ok	350.56723	-23.70079
ESO539-007	 46.2	 4.8	 0.205	 0.021	u 	004.70133	-19.00772
ESO540-016	 76.8	 0.6	 0.840	 0.006	z 	010.56123	-18.16180
ESO540-031	 30.3	 3.0	 0.752	 0.007	u 	012.45542	-21.01611
ESO541-004	 24.3	 1.0	 0.537	 0.011	ok	014.74168	-18.74266
ESO541-005	 85.8	 1.9	 0.524	 0.034	ok	014.82546	-20.57897
ESO544-027	153.3	 0.1	 0.837	 0.001	z 	033.22768	-19.31692
ESO544-030	102.9	 1.4	 0.428	 0.009	ok	033.73721	-20.21161
ESO545-002	 56.4	 0.1	 0.563	 0.002	ok	034.81125	-18.93222
ESO545-003	120.2	 0.2	 0.775	 0.008	z 	034.87230	-21.43559
ESO545-005	 56.3	 0.7	 0.678	 0.009	ok	035.02543	-19.75071
ESO545-016	 36.2	 0.0	 0.224	 0.006	ok	036.49937	-21.42161
ESO546-034	109.1	 0.0	 0.550	 0.000	ok	044.65546	-18.69889
ESO547-005	 49.8	 2.7	 0.260	 0.014	ok	045.89579	-18.36631
ESO547-012	107.7	 0.4	 0.754	 0.003	z 	047.40362	-17.83139
ESO547-020	 77.7	14.2	 0.128	 0.035	ok	048.23975	-17.92944
ESO548-005	 45.3	 1.8	 0.149	 0.000	ok	050.94687	-19.75283
ESO548-009	117.8	 0.2	 0.839	 0.001	z 	051.15917	-19.29806
ESO548-016	134.5	 1.1	 0.570	 0.004	ok	051.51008	-21.34058
ESO548-021	 68.5	 0.2	 0.858	 0.001	z 	051.89820	-21.22826
ESO548-023	 23.8	 1.6	 0.479	 0.019	ok	052.06046	-17.41979
ESO548-025	 86.4	 1.1	 0.473	 0.006	ok	052.25287	-22.14658
ESO548-032	133.0	 0.9	 0.523	 0.011	u 	053.07987	-17.71794
ESO548-063	 37.6	 0.1	 0.815	 0.001	z 	054.89499	-20.01480
ESO548-082	132.2	 0.5	 0.428	 0.011	ok	055.68033	-17.50722
ESO549-002	 39.7	 1.2	 0.326	 0.013	ok	055.73892	-19.02011
ESO549-018	 19.1	 0.6	 0.393	 0.008	ok	057.05867	-21.47449
ESO549-035	 36.6	 2.3	 0.361	 0.000	ok	058.76646	-20.38350
ESO550-005	 58.4	 0.4	 0.675	 0.010	ok	061.49979	-17.77436
ESO550-024	128.4	 0.4	 0.616	 0.006	ok	065.30680	-21.84613
ESO551-016	  1.5	 0.4	 0.775	 0.004	z 	068.91871	-21.98844
ESO551-031	175.8	 0.8	 0.654	 0.005	ok	070.62046	-21.69169
ESO553-017	167.6	 0.3	 0.747	 0.005	z 	077.79792	-19.61306
ESO567-048	 47.3	 1.2	 0.735	 0.011	u 	154.92375	-17.74972
ESO569-014	152.3	 0.3	 0.845	 0.003	z 	162.84708	-19.88778
ESO570-019	 73.5	 5.9	 0.326	 0.049	ok	170.05052	-21.47063
ESO572-012	137.5	 4.4	 0.712	 0.021	u 	178.48792	-20.13788
ESO572-018	 38.3	 1.4	 0.497	 0.013	ok	178.96080	-18.19653
ESO572-022	 45.9	 1.1	 0.684	 0.013	ok	179.09373	-19.55207
ESO572-024	114.4	 2.8	 0.648	 0.019	ok	179.24822	-19.98677
ESO572-030	102.7	 3.2	 0.319	 0.027	ok	179.60583	-22.44000
ESO572-034	 28.2	 2.3	 0.525	 0.028	ok	179.74214	-19.02991
ESO572-049	 71.5	 0.5	 0.761	 0.006	ok	180.85195	-19.52271
ESO573-003	126.9	 1.5	 0.317	 0.010	u 	183.22917	-20.41972
ESO575-061	175.0	 0.3	 0.835	 0.005	z 	197.06500	-21.00222
ESO576-001	155.7	 0.3	 0.491	 0.011	ok	197.59905	-21.68409
ESO576-003	 96.3	 1.3	 0.617	 0.012	ok	197.64885	-21.74822
ESO576-005	117.3	 0.2	 0.815	 0.015	z 	197.82500	-19.82889
ESO576-008	151.3	 0.5	 0.663	 0.004	ok	198.07877	-19.44605
ESO576-011	  1.2	 0.5	 0.815	 0.001	z 	198.27129	-19.97691
ESO576-017	112.0	24.3	 0.094	 0.047	ok	198.80325	-17.96685
ESO576-026	 61.7	 0.2	 0.842	 0.003	z 	199.64465	-21.29978
ESO576-032	134.6	 2.7	 0.290	 0.029	ok	199.96665	-22.27881
