#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T18:49:41 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T18:49:41	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/709/A254/m0416&-out=ID,RAJ2000,DEJ2000,F814W,ReF814W,nF814W,F160W&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37090254
#Name: J/A+A/709/A254
#Title: 4 HFF clusters members structural parameters (Granata+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	creator=Granata G.	    First author or institution
#INFO	cites=bibcode:2026A&A...709A.254G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/709/A254	    Dataset landing page
#INFO	publication_date=2026-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_709_A254_m0416:
#Name: J/A+A/709/A254/m0416
#Title: Structural parameters for MACS J0416.1-2403 members
#Column	ID	(I3)	[1/279] Object ID number in serial order within the table (ID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	F814W	(F6.2)	Total F814W AB magnitude (MAG_F814W)	[ucd=phot.mag;em.opt.I]
#Column	ReF814W	(F6.2)	Circularised F814W effective radius in kpc (RE_F814W)	[ucd=meta.ref;pos.frame]
#Column	nF814W	(F6.2)	F814W Sersic index (N_F814W)	[ucd=stat.fit.param]
#Column	F160W	(F6.2)	Total F160W AB magnitude (MAG_F160W)	[ucd=phot.mag;em.IR.H]
ID	RAJ2000	DEJ2000	F814W	ReF814W	nF814W	F160W
 35	064.03574	-24.06968	 21.47	  0.43	  3.70	 20.13
 36	064.03419	-24.06707	 22.63	  0.77	  2.33	 21.84
 37	064.04412	-24.06653	 20.26	  3.70	  7.34	 19.50
 38	064.03480	-24.06282	 22.09	  1.70	  2.79	 21.26
 39	064.03408	-24.06674	 20.63	  1.19	  3.35	 19.63
 40	064.03445	-24.06797	 23.37	  0.53	  1.53	 22.28
 41	064.04855	-24.06571	 19.46	  3.78	  5.33	 18.63
 42	064.03275	-24.06826	 21.29	  1.74	  1.95	 20.34
 43	064.03311	-24.06796	 22.00	  0.48	  3.97	 20.88
 44	064.03572	-24.06809	 23.21	  1.33	  2.54	 22.30
 45	064.03872	-24.06610	 20.87	  1.31	  2.89	 19.90
 46	064.03758	-24.06644	 21.65	  0.44	  2.53	 20.51
 47	064.04404	-24.06607	 21.13	  2.37	  6.17	 20.23
 48	064.04612	-24.06395	 21.78	  0.72	  3.68	 20.77
 49	064.04675	-24.06421	 23.33	  0.78	  1.62	 22.49
 50	064.04253	-24.06324	 20.09	  1.43	  3.36	 19.00
 51	064.04285	-24.06222	 21.38	  1.69	  2.48	 20.43
 52	064.04183	-24.06283	 22.18	  0.79	  2.91	 21.15
 53	064.03852	-24.06207	 20.57	  2.01	  4.69	 19.59
 54	064.04519	-24.06213	 19.71	  1.90	  3.07	 18.72
 55	064.04088	-24.06035	 20.69	  1.79	  3.33	 19.89
 56	064.05061	-24.06462	 23.44	  0.98	  1.79	 22.60
 57	064.03816	-24.06312	 21.96	  1.74	  2.57	 21.09
 58	064.04412	-24.06433	 23.53	  1.59	  2.52	 22.52
 59	064.03225	-24.06576	 23.71	  1.30	  0.44	 22.86
 60	064.05262	-24.06571	 22.86	  1.54	  1.72	 22.09
 61	064.03410	-24.06470	 23.93	  0.75	  2.17	 23.06
 62	064.04871	-24.06511	 19.74	  3.67	  6.06	 18.87
 63	064.04870	-24.06457	 20.74	  2.44	  1.91	 19.72
 64	064.02968	-24.08341	 19.45	  3.88	  3.17	 17.79
 65	064.03268	-24.09048	 21.93	  0.41	  1.39	 21.16
 66	064.03687	-24.08067	 18.75	  3.96	  2.95	 18.21
 67	064.03115	-24.08909	 22.95	  1.33	  2.32	 22.05
 68	064.02845	-24.08909	 21.66	  2.81	  3.61	 20.90
 69	064.02943	-24.08940	 24.04	  1.37	  1.75	 23.44
 70	064.02734	-24.08660	 22.64	  0.46	  0.83	 21.71
 71	064.02547	-24.08510	 21.01	  1.18	  4.59	 20.03
 72	064.02966	-24.08584	 21.94	  0.88	  1.27	 20.84
 73	064.03197	-24.07743	 18.47	  6.37	  3.65	 17.53
 74	064.02322	-24.08792	 23.44	  1.23	  4.23	 22.37
 75	064.03932	-24.07686	 18.94	  5.64	  4.40	 18.02
 76	064.02504	-24.08595	 23.06	  0.81	  1.48	 22.17
 77	064.02221	-24.08526	 21.94	  1.20	  3.37	 21.03
 78	064.02447	-24.08480	 23.63	  1.26	  1.62	 22.95
 79	064.02078	-24.08455	 22.55	  2.01	  2.91	 21.80
 80	064.03356	-24.08549	 23.94	  1.35	  1.54	 22.91
 81	064.02210	-24.08262	 22.65	  1.07	  2.44	 21.69
 82	064.02849	-24.08421	 22.99	  0.85	  2.36	 21.61
 83	064.02938	-24.07901	 20.72	  1.68	  3.38	 19.77
 84	064.03043	-24.07841	 20.36	  2.22	  3.74	 19.55
 85	064.01995	-24.08318	 23.58	  1.75	  1.80	 22.84
 86	064.02965	-24.08138	 23.67	  1.15	  1.73	 22.72
 87	064.03030	-24.08320	 22.33	  1.12	  7.73	 21.58
 88	064.02452	-24.08104	 21.88	  3.44	  4.16	 21.04
 89	064.03384	-24.08056	 22.35	  1.80	  2.02	 21.49
 90	064.03250	-24.07849	 21.53	  1.11	  3.05	 20.56
 91	064.02498	-24.08067	 24.92	  0.96	  1.01	 24.25
 92	064.03820	-24.07897	 21.72	  2.70	  2.15	 21.06
 93	064.03521	-24.07724	 20.73	  1.37	  1.89	 19.79
 94	064.02445	-24.08042	 23.93	  0.97	  2.25	 23.12
 95	064.03100	-24.07855	 22.98	  1.73	  2.08	 21.79
 96	064.02889	-24.07758	 24.15	  0.96	  1.57	 23.50
 97	064.02198	-24.07786	 20.94	  0.73	  3.70	 19.92
 98	064.03398	-24.07999	 24.01	  0.92	  0.87	 23.71
 99	064.03751	-24.07962	 23.75	  0.97	  1.19	 22.71
100	064.03431	-24.07847	 22.54	  0.50	  2.46	 21.35
101	064.02534	-24.07916	 24.31	  0.85	  1.97	 23.76
102	064.03441	-24.07536	 23.18	  1.04	  1.69	 21.84
103	064.02671	-24.07639	 21.63	  1.70	  4.77	 20.89
104	064.03182	-24.07780	 20.94	  2.31	  3.36	 19.79
105	064.03252	-24.07753	 23.14	  0.19	  2.48	 21.93
106	064.02335	-24.07667	 23.32	  0.97	  2.63	 22.42
107	064.03378	-24.07617	 22.53	  0.46	  2.53	 21.49
108	064.04186	-24.07653	 23.37	  0.97	  2.04	 22.57
109	064.02888	-24.07506	 21.98	  0.78	  2.59	 21.01
110	064.02588	-24.07578	 22.84	  1.73	  2.94	 22.26
111	064.02335	-24.07646	 23.27	  2.15	  2.47	 22.73
112	064.02563	-24.07559	 24.45	  0.78	  1.31	 23.45
113	064.04918	-24.06616	 23.63	  2.46	  2.51	 22.76
114	064.04440	-24.06702	 24.74	  0.59	  0.40	 22.05
115	064.03778	-24.06615	 23.32	  1.17	  1.86	 22.55
116	064.03367	-24.07806	 24.75	  0.65	  1.11	 24.07
117	064.03430	-24.07884	 24.57	  1.29	  1.36	 23.93
118	064.02952	-24.07955	 24.75	  1.20	  1.39	 24.09
119	064.03084	-24.08251	 24.99	  0.33	  0.98	 23.92
120	064.04848	-24.09538	 22.36	  1.32	  2.69	 21.81
121	064.04331	-24.08927	 19.58	  4.97	  5.27	 18.76
122	064.04636	-24.08745	 20.95	  1.05	  4.89	 20.03
123	064.04658	-24.08853	 23.25	  1.03	  1.71	 22.31
124	064.04407	-24.08729	 23.56	  1.57	  1.22	 22.87
125	064.05073	-24.08490	 20.90	  1.52	  3.07	 20.13
126	064.04989	-24.08097	 21.92	  2.12	  2.24	 21.53
127	064.04786	-24.08383	 22.29	  1.58	  1.48	 21.49
128	064.04411	-24.08288	 21.99	  2.46	  2.64	 21.20
129	064.04380	-24.07862	 19.95	  2.53	  3.40	 19.11
130	064.04426	-24.07961	 24.10	  1.31	  1.47	 23.00
131	064.04916	-24.08009	 23.55	  1.31	  2.34	 23.23
132	064.04143	-24.07997	 24.18	  1.12	  1.87	 23.18
133	064.04769	-24.07852	 22.94	  1.42	  2.18	 22.11
134	064.03508	-24.09470	 23.33	  1.65	  1.74	 22.46
135	064.03784	-24.09380	 20.99	  1.38	  4.13	 20.09
136	064.03206	-24.09246	 20.34	  2.48	  5.53	 19.25
137	064.02202	-24.08902	 18.35	  4.59	  4.85	 18.10
138	064.02267	-24.08981	 19.59	  3.47	  2.88	 19.27
139	064.03446	-24.09133	 23.35	  1.29	  1.87	 22.85
140	064.03386	-24.09183	 24.10	  1.05	  2.08	 23.40
141	064.03707	-24.09002	 22.24	  0.68	  3.70	 21.27
142	064.03670	-24.09049	 23.54	  1.52	  1.56	 22.83
143	064.03484	-24.09087	 23.55	  0.69	  0.41	 22.84
144	064.02567	-24.09032	 24.13	  1.22	  1.84	 23.30
145	064.02482	-24.08951	 24.54	  0.79	  0.87	 23.46
146	064.03655	-24.08766	 24.05	  0.52	  2.53	 22.93
147	064.02573	-24.08432	 24.38	  1.66	  2.50	 23.79
148	064.01876	-24.08273	 24.31	  0.78	  2.11	 23.94
149	064.03124	-24.08083	 24.40	  0.69	  1.10	 23.62
150	064.03842	-24.08000	 24.28	  1.03	  1.63	 23.26
151	064.02672	-24.07951	 25.16	  1.38	  0.95	 24.47
152	064.02785	-24.07906	 25.01	  0.61	  1.34	 24.14
153	064.05197	-24.07839	 23.74	  1.96	  2.18	 23.30
154	064.05423	-24.07694	 22.26	  3.22	  1.36	 21.73
155	064.05775	-24.07388	 20.28	  1.98	  3.50	 19.41
156	064.04398	-24.07813	 23.12	  2.25	  1.33	 22.21
157	064.04760	-24.07642	 23.58	  1.74	  2.71	 23.00
158	064.04691	-24.07571	 23.67	  2.12	  2.31	 22.76
159	064.04806	-24.07497	 24.45	  1.45	  1.77	 24.23
160	064.04866	-24.07409	 23.20	  1.16	  2.54	 22.50
161	064.04085	-24.07399	 24.87	  0.68	  1.25	 24.08
162	064.05143	-24.07291	 24.35	  1.33	  1.62	 23.72
163	064.04343	-24.07247	 24.63	  0.64	  1.34	 23.68
164	064.05952	-24.07090	 24.02	  1.73	  0.89	 23.61
165	064.04757	-24.06988	 24.35	  1.14	  1.78	 23.67
166	064.04261	-24.07105	 24.42	  1.75	  3.03	 23.86
167	064.05565	-24.06028	 20.12	  2.72	  4.58	 19.36
168	064.05087	-24.06025	 21.73	  3.83	  2.94	 21.24
169	064.04315	-24.06874	 26.28	  1.14	  2.50	 25.88
170	064.04105	-24.06943	 24.80	  1.29	  2.23	 24.42
171	064.04826	-24.06423	 24.63	  1.01	  3.03	 23.68
172	064.05060	-24.06194	 24.73	  0.82	  1.92	 23.95
173	064.03998	-24.06071	 24.59	  2.27	  0.80	 24.00
174	064.05060	-24.06010	 23.59	  1.63	  1.69	 23.07
175	064.04582	-24.05897	 21.48	  3.36	  2.56	 20.52
176	064.04598	-24.05821	 28.24	  0.52	  2.50	 27.86
177	064.03987	-24.05910	 24.56	  2.13	  1.02	 23.69
178	064.04388	-24.05923	 24.02	  1.06	  2.01	 23.11
179	064.05042	-24.06131	 23.18	  1.32	  1.78	 22.30
180	064.05356	-24.06174	 23.22	  0.61	  2.51	 22.44
181	064.04501	-24.06644	 25.67	  0.45	  0.68	 24.84
182	064.04962	-24.06781	 24.09	  1.42	  2.26	 23.38
183	064.05879	-24.06848	 22.48	  1.85	  3.33	 21.71
184	064.04314	-24.07040	 24.51	  1.59	  2.84	 21.62
185	064.02056	-24.07702	 20.64	  1.35	  3.53	 19.58
186	064.03473	-24.07837	 25.32	  1.83	  0.90	 24.82
187	064.01921	-24.07581	 23.22	  0.78	  2.29	 22.28
188	064.02088	-24.07334	 21.08	  2.60	  2.34	 20.31
189	064.03654	-24.07601	 23.23	  2.22	  2.88	 22.72
190	064.03591	-24.07445	 22.47	  2.12	  2.89	 21.25
191	064.03186	-24.07207	 20.84	  1.83	  5.40	 19.82
192	064.03420	-24.07383	 21.95	  1.63	  3.09	 21.10
193	064.03253	-24.07357	 22.29	  1.32	  2.78	 21.25
194	064.02229	-24.07261	 21.49	  2.03	  2.98	 20.54
195	064.03300	-24.07432	 24.66	  0.88	  1.90	 23.97
196	064.01821	-24.07271	 22.55	  0.99	  1.70	 21.52
197	064.02656	-24.07013	 20.37	  0.79	  3.56	 19.46
198	064.02569	-24.07034	 24.97	  0.44	  1.54	 24.04
199	064.02358	-24.06866	 22.47	  2.31	  1.29	 21.91
200	064.03244	-24.06848	 22.44	  1.02	  1.18	 21.31
201	064.03602	-24.06847	 24.58	  1.92	  0.88	 24.09
202	064.03749	-24.06599	 25.49	  1.38	  0.02	 24.08
203	064.03099	-24.06407	 23.28	  1.34	  1.12	 22.68
204	064.03408	-24.05456	 24.21	  0.86	  1.82	 23.52
205	064.03781	-24.05558	 19.97	  2.58	  4.66	 19.09
206	064.03121	-24.05538	 24.07	  1.59	  1.75	 23.30
207	064.03627	-24.05712	 19.75	  1.92	  3.16	 18.72
208	064.03227	-24.05685	 19.57	  3.94	  4.98	 18.76
209	064.02514	-24.05637	 22.43	  0.86	  2.32	 21.45
210	064.03459	-24.05586	 23.79	  1.08	  2.28	 22.99
211	064.03726	-24.05700	 24.66	  1.03	  1.19	 23.61
212	064.02725	-24.05911	 22.34	  1.01	  1.61	 21.53
213	064.02554	-24.05992	 23.43	  1.47	  1.92	 22.70
214	064.02795	-24.06103	 23.91	  1.16	  2.13	 23.28
215	064.02819	-24.06255	 23.23	  1.11	  1.61	 22.41
216	064.02777	-24.06100	 22.10	  1.26	  1.50	 21.40
217	064.03897	-24.06328	 25.11	  0.90	  1.61	 24.54
218	064.03260	-24.06350	 23.01	  2.20	  2.53	 22.30
219	064.03349	-24.06567	 24.47	  1.13	  1.33	 23.64
220	064.02262	-24.06599	 23.46	  0.99	  2.40	 22.79
221	064.02573	-24.06597	 23.55	  2.11	  1.99	 22.92
222	064.02545	-24.06682	 23.11	  1.17	  2.55	 22.26
223	064.03493	-24.06838	 25.60	  0.58	  0.95	 24.75
224	064.03580	-24.06665	 24.76	  1.20	  2.50	 23.92

