#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T11:47:57 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T11:47:57	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/834/57/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18340057
#Name: J/ApJ/834/57
#Title: Milky Way molecular clouds from ^12^CO (Miville-Deschenes+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/834/57	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/834/57	    IVOID of underlying data collection
#INFO	creator=Miville-Deschenes M.-A.	    First author or institution
#INFO	cites=bibcode:2017ApJ...834...57M	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/834/57	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18340057	    Dataset identifier that can be used for citation
#INFO	publication_date=2025-08-29	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_ApJ_834_57_table1:
#Name: J/ApJ/834/57/table1
#Title: The molecular clouds catalog
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cloud	(I4)	[1/8107] Cloud number	[ucd=meta.id;meta.main]
#Column	Ncomp	(I3)	[5/600] Number of Gaussian components	[ucd=meta.number]
#Column	Npix	(I3)	[5/444] Number of pixels on the sky	[ucd=meta.number]
#Column	Area	(D12.5)	[0.07/7] Angular area	[ucd=phys.angArea]
#Column	GLON	(F10.6)	[-179/180] Baricentric Galactic longitude	[ucd=pos.galactic.lon]
#Column	Sigb	(D12.5)	[0.1/1.5] Standard deviation in GLON ({sigma}_l_)	[ucd=phys.angSize;src]
#Column	GLAT	(F10.6)	[-5.2/5] Baricentric Galactic latitude	[ucd=pos.galactic.lat]
#Column	Sigl	(D12.5)	[0.1/1.2] Standard deviation in GLAT ({sigma}_b_)	[ucd=phys.angSize]
#Column	theta	(D12.5)	? Angle with respect to b=0	[ucd=pos.posAng]
#Column	WCO	(D12.5)	[2/13929] Integrated CO emission	[ucd=phot.flux]
#Column	NH2	(D12.5)	Average column density	[ucd=meta.number]
#Column	Sigma	(D12.5)	[1.8/739] Surface density	[ucd=phot.flux.density.sb]
#Column	Vcent	(D12.5)	[-188/185] Centroid velocity	[ucd=spect.dopplerVeloc]
#Column	SigV	(D12.5)	[0.09/17] Velocity standard deviation ({sigma}_V_)	[ucd=phys.veloc.dispersion]
#Column	Rmax	(D12.5)	[0.1/3] Largest eigenvalue of the inertia matrix	[ucd=phys.angSize]
#Column	Rmin	(D12.5)	[0.1/1.5] Smallest eigenvalue of the inertia matrix	[ucd=phys.angSize;src]
#Column	Rang	(D12.5)	[0.1/1.7] Angular radius (1)	[ucd=phys.angSize]
#Column	Rgal	(D12.5)	[0.003/97] Galacto-centric radius	[ucd=phys.size.radius]
#Column	INF	(I1)	Near or far distance flag (0=near; 1=far) (2)	[ucd=meta.code]
#Column	Dnear	(D12.5)	[0.001/88.5] Near kinematic distance	[ucd=pos.distance;pos.heliocentric]
#Column	Dfar	(D12.5)	[0.01/88.5] Far kinematic distance	[ucd=pos.distance;pos.heliocentric]
#Column	znear	(D12.5)	[-2.8/1.6] Near distance to Galactic mid-plane	[ucd=pos.distance;pos.galactocentric]
#Column	zfar	(D12.5)	[-2.8/1.6] Far distance to Galactic mid-plane	[ucd=pos.distance;pos.galactocentric]
#Column	Snear	(D12.5)	[/744960] Near derived physical area	[ucd=phys.area]
#Column	Sfar	(D12.5)	[0.003/744960] Far derived physical area	[ucd=phys.area]
#Column	Rnear	(D12.5)	[0.008/470] Near derived physical size	[ucd=phys.angSize]
#Column	Rfar	(D12.5)	[0.03/470] Far derived physical size	[ucd=phys.angSize]
#Column	Mnear	(D12.5)	[0.0003/] Near derived mass	[ucd=phys.mass]
#Column	Mfar	(D12.5)	[0.01/] Far derived mass	[ucd=phys.mass]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F10.6)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F10.6)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Cloud	Ncomp	Npix	Area	GLON	Sigb	GLAT	Sigl	theta	WCO	NH2	Sigma	Vcent	SigV	Rmax	Rmin	Rang	Rgal	INF	Dnear	Dfar	znear	zfar	Snear	Sfar	Rnear	Rfar	Mnear	Mfar	Simbad	_RA.icrs	_DE.icrs
      10	  10	 31	 28	 4.37500e-01	331.560540	 1.95224e-01	-00.205116	 1.79626e-01	-2.68231e+01	 9.08115e+02	 6.48654e+21	 1.41436e+02	-8.93151e+01	 5.90780e+00	 4.67678e-01	 2.50577e-01	 3.08515e-01	 4.54361e+00	0	 5.41066e+00	 9.53789e+00	-1.93699e-02	-3.41451e-02	 3.90153e+03	 1.21238e+04	 2.91346e+01	 5.13583e+01	 5.51815e+05	 1.71474e+06	Simbad	243.211262	-51.518476
      11	  11	 64	 57	 8.90625e-01	336.865150	 2.53801e-01	-00.360090	 3.05127e-01	-3.44367e+01	 7.29487e+02	 2.55960e+21	 5.58109e+01	-7.60245e+01	 5.81185e+00	 7.07661e-01	 3.59563e-01	 4.50600e-01	 4.47560e+00	0	 4.83696e+00	 1.07963e+01	-3.03989e-02	-6.78514e-02	 6.34740e+03	 3.16226e+04	 3.80408e+01	 8.49085e+01	 3.54254e+05	 1.76488e+06	Simbad	249.128206	-47.839214
      12	  12	  5	  5	 7.81250e-02	359.413714	 1.25000e-01	-00.341240	 1.25000e-01	 9.01514e+00	 2.44513e+02	 9.78051e+21	 2.13259e+02	-7.07643e+01	 9.12281e+00	 1.44557e-01	 1.25000e-01	 1.31206e-01	 2.30972e-01	1	 8.28573e+00	 8.71368e+00	-4.93475e-02	-5.18963e-02	 1.63383e+03	 1.80696e+03	 1.89741e+01	 1.99541e+01	 3.48430e+05	 3.85351e+05	Simbad	266.388660	-29.614382
      13	  13	 57	 37	 5.78125e-01	328.162700	 2.33132e-01	-00.361581	 1.62713e-01	-9.26949e+00	 1.24534e+03	 6.73155e+21	 1.46778e+02	-7.23806e+01	 5.86435e+00	 4.77216e-01	 3.09141e-01	 3.57280e-01	 5.21176e+00	0	 4.56461e+00	 9.87801e+00	-2.88061e-02	-6.23375e-02	 3.66932e+03	 1.71837e+04	 2.84640e+01	 6.15973e+01	 5.38576e+05	 2.52219e+06	Simbad	239.193398	-53.895456
      14	  14	 57	 49	 7.65625e-01	337.198740	 1.54590e-01	-00.144932	 2.81553e-01	 1.26398e+01	 1.25693e+03	 5.13034e+21	 1.11865e+02	-6.93237e+01	 7.88843e+00	 5.64929e-01	 3.05837e-01	 3.75254e-01	 4.64634e+00	1	 4.55894e+00	 1.11126e+01	-1.15320e-02	-2.81098e-02	 4.84729e+03	 2.88010e+04	 2.98588e+01	 7.27823e+01	 5.42240e+05	 3.22181e+06	Simbad	249.224410	-47.447586
      15	  15	 26	 26	 4.06250e-01	359.651596	 1.46198e-01	-00.130298	 2.01717e-01	-1.98109e+01	 1.38269e+03	 1.06361e+22	 2.31914e+02	-6.45040e+01	 1.20843e+01	 4.16573e-01	 2.73351e-01	 3.14565e-01	 1.49651e-01	1	 8.35942e+00	 8.64031e+00	-1.90103e-02	-1.96491e-02	 8.64773e+03	 9.23864e+03	 4.58953e+01	 4.74375e+01	 2.00553e+06	 2.14257e+06	Simbad	266.324367	-29.301413
      16	  16	 78	 64	 1.00000e+00	339.013360	 2.77803e-01	+00.662794	 1.77001e-01	-4.71023e+00	 8.06017e+02	 2.51880e+21	 5.49212e+01	-6.14401e+01	 4.33515e+00	 5.58714e-01	 3.49077e-01	 4.08329e-01	 4.73710e+00	0	 4.30704e+00	 1.15663e+01	 4.98225e-02	 1.33795e-01	 5.65086e+03	 4.07517e+04	 3.06955e+01	 8.24308e+01	 3.10352e+05	 2.23813e+06	Simbad	250.109646	-45.557081
      17	  17	312	240	 3.75000e+00	333.411580	 4.80618e-01	-00.431689	 4.03883e-01	-5.68249e+00	 6.61640e+03	 5.51366e+21	 1.20223e+02	-5.23436e+01	 4.78794e+00	 9.75797e-01	 7.90114e-01	 8.47708e-01	 5.53835e+00	0	 3.57629e+00	 1.16263e+01	-2.69449e-02	-8.75963e-02	 1.46101e+04	 1.54408e+05	 5.29161e+01	 1.72027e+02	 1.75646e+06	 1.85634e+07	Simbad	245.569645	-50.391056
      18	  18	121	102	 1.59375e+00	337.907850	 1.80962e-01	+00.098496	 4.50188e-01	-3.00119e+01	 1.32066e+03	 2.58954e+21	 5.64635e+01	-5.90867e+01	 8.77079e+00	 9.04986e-01	 3.50239e-01	 4.80608e-01	 4.92592e+00	1	 4.12827e+00	 1.16236e+01	 7.09683e-03	 1.99819e-02	 8.27396e+03	 6.55931e+04	 3.46295e+01	 9.75033e+01	 4.67177e+05	 3.70362e+06	Simbad	249.656181	-46.757861
      19	  19	175	132	 2.06250e+00	111.690500	 2.52435e-01	+00.557955	 2.92632e-01	-4.37563e+00	 1.66520e+03	 2.52304e+21	 5.50135e+01	-5.35731e+01	 3.38516e+00	 5.88794e-01	 5.00748e-01	 5.28527e-01	 1.18415e+01	0	 5.68145e+00	 5.68145e+00	 5.53259e-02	 5.53259e-02	 2.02800e+04	 2.02800e+04	 5.24102e+01	 5.24102e+01	 1.11568e+06	 1.11568e+06	Simbad	348.894360	+61.319814
      20	  20	 38	 28	 4.37500e-01	340.274370	 1.86809e-01	-00.298212	 1.38385e-01	-1.66597e+01	 1.02556e+03	 7.32545e+21	 1.59728e+02	-5.01552e+01	 4.90504e+00	 4.00513e-01	 2.36181e-01	 2.81645e-01	 5.04427e+00	0	 3.85228e+00	 1.21504e+01	-2.00502e-02	-6.32398e-02	 1.97774e+03	 1.96750e+04	 1.89365e+01	 5.97272e+01	 3.15899e+05	 3.14263e+06	Simbad	252.318516	-45.228881
      21	  21	109	 81	 1.26562e+00	314.724290	 2.64879e-01	-00.004894	 2.87865e-01	-1.85532e+01	 1.66607e+03	 4.11375e+21	 8.96981e+01	-4.67480e+01	 5.72410e+00	 6.35306e-01	 4.56613e-01	 5.09753e-01	 6.57348e+00	0	 3.38567e+00	 8.57717e+00	-2.89206e-04	-7.32668e-04	 4.41926e+03	 2.83628e+04	 3.01226e+01	 7.63119e+01	 3.96399e+05	 2.54409e+06	Simbad	217.463826	-60.603462
      22	  22	 61	 42	 6.56250e-01	312.720320	 1.82817e-01	-00.011762	 2.06708e-01	-1.07659e+01	 1.50175e+03	 7.15117e+21	 1.55928e+02	-4.80239e+01	 6.75617e+00	 4.28727e-01	 3.47556e-01	 3.72744e-01	 6.58374e+00	0	 3.68115e+00	 7.85200e+00	-7.55724e-04	-1.61198e-03	 2.70889e+03	 1.23250e+04	 2.39484e+01	 5.10827e+01	 4.22391e+05	 1.92180e+06	Simbad	213.591338	-61.297537
      23	  23	 39	 31	 4.84375e-01	340.626600	 1.66160e-01	-00.741615	 2.31821e-01	-1.79058e+01	 8.98441e+02	 5.79639e+21	 1.26387e+02	-4.41990e+01	 5.16542e+00	 4.75376e-01	 3.15305e-01	 3.61548e-01	 5.27289e+00	0	 3.56333e+00	 1.24754e+01	-4.61211e-02	-1.61472e-01	 1.87349e+03	 2.29640e+04	 2.24857e+01	 7.87235e+01	 2.36785e+05	 2.90236e+06	Simbad	253.122467	-45.240851
      24	  24	166	 96	 1.50000e+00	309.000510	 2.41168e-01	-00.310903	 3.40738e-01	-9.00114e+00	 2.64910e+03	 5.51895e+21	 1.20338e+02	-4.41369e+01	 7.63294e+00	 6.85659e-01	 4.76371e-01	 5.37856e-01	 6.79613e+00	0	 3.75178e+00	 6.94694e+00	-2.03581e-02	-3.76959e-02	 6.43166e+03	 2.20513e+04	 3.52204e+01	 6.52154e+01	 7.73972e+05	 2.65361e+06	Simbad	206.120119	-62.556021
      25	  25	101	 71	 1.10938e+00	318.068370	 2.29773e-01	-00.578473	 2.62512e-01	-7.52992e+00	 1.41238e+03	 3.97852e+21	 8.67497e+01	-4.28934e+01	 4.58617e+00	 5.34843e-01	 4.48080e-01	 4.75312e-01	 6.61226e+00	0	 2.93858e+00	 9.70909e+00	-2.96682e-02	-9.80238e-02	 2.91817e+03	 3.18560e+04	 2.43783e+01	 8.05461e+01	 2.53150e+05	 2.76350e+06	Simbad	224.058295	-59.731332
      26	  26	 53	 46	 7.18750e-01	359.356801	 2.93047e-01	-00.251974	 1.71413e-01	-9.08775e+00	 2.37778e+03	 1.03382e+22	 2.25419e+02	-4.10675e+01	 9.24792e+00	 5.96789e-01	 3.23849e-01	 3.97041e-01	 4.35628e-01	0	 8.07449e+00	 8.92460e+00	-3.55096e-02	-3.92482e-02	 1.42746e+04	 1.74386e+04	 5.59544e+01	 6.18455e+01	 3.21776e+06	 3.93098e+06	Simbad	266.266909	-29.616382
      27	  27	 39	 32	 5.00000e-01	340.806930	 1.72837e-01	-00.111808	 2.04150e-01	 1.06366e+01	 1.09114e+03	 6.81964e+21	 1.48699e+02	-4.43428e+01	 7.14848e+00	 4.19132e-01	 3.32456e-01	 3.59148e-01	 5.24734e+00	0	 3.58616e+00	 1.24689e+01	-6.99811e-03	-2.43322e-02	 1.95878e+03	 2.36802e+04	 2.24794e+01	 7.81603e+01	 2.91268e+05	 3.52122e+06	Simbad	252.598679	-44.700610
      28	  28	179	128	 2.00000e+00	326.296490	 4.37594e-01	+00.459024	 4.55090e-01	-3.68944e+01	 2.99199e+03	 4.67498e+21	 1.01936e+02	-4.26382e+01	 4.12136e+00	 1.17176e+00	 4.70494e-01	 6.37748e-01	 6.31920e+00	0	 2.86596e+00	 1.12771e+01	 2.29603e-02	 9.03455e-02	 5.00409e+03	 7.74790e+04	 3.19017e+01	 1.25529e+02	 5.10095e+05	 7.89786e+06	Simbad	235.829724	-54.422549
      29	  29	 22	 16	 2.50000e-01	334.023490	 1.67220e-01	-00.121894	 1.73439e-01	-2.69156e+00	 6.33404e+02	 7.91755e+21	 1.72638e+02	-4.27042e+01	 5.35689e+00	 3.50485e-01	 3.30657e-01	 3.37139e-01	 5.89184e+00	0	 3.07478e+00	 1.22078e+01	-6.54144e-03	-2.59715e-02	 7.19988e+02	 1.13494e+04	 1.80928e+01	 7.18337e+01	 1.24297e+05	 1.95933e+06	Simbad	245.898827	-49.738562
      30	  30	 48	 27	 4.21875e-01	316.758620	 1.63459e-01	-00.295943	 1.66073e-01	 1.29419e+01	 8.96768e+02	 6.64272e+21	 1.44841e+02	-4.33771e+01	 5.63009e+00	 3.64991e-01	 2.89789e-01	 3.12955e-01	 6.63335e+00	0	 3.01519e+00	 9.36904e+00	-1.55739e-02	-4.83925e-02	 1.16834e+03	 1.12805e+04	 1.64694e+01	 5.11750e+01	 1.69223e+05	 1.63388e+06	Simbad	221.468141	-60.059320
      31	  31	127	 87	 1.35938e+00	305.484570	 2.99288e-01	+00.156386	 3.27801e-01	-3.02968e+01	 2.02672e+03	 4.65913e+21	 1.01590e+02	-3.68083e+01	 6.12047e+00	 7.78735e-01	 4.26237e-01	 5.21071e-01	 7.10548e+00	0	 3.32684e+00	 6.54143e+00	 9.08042e-03	 1.78545e-02	 4.58309e+03	 1.77190e+04	 3.02564e+01	 5.94920e+01	 4.65596e+05	 1.80008e+06	Simbad	198.414126	-62.605189
      32	  32	 14	 13	 2.03125e-01	358.848598	 1.25742e-01	-00.446572	 1.58323e-01	 1.02626e+01	 1.00340e+03	 1.54369e+22	 3.36594e+02	-3.35795e+01	 1.29368e+01	 3.21746e-01	 2.44925e-01	 2.68242e-01	 9.19918e-01	1	 7.59459e+00	 9.40249e+00	-5.91928e-02	-7.32837e-02	 3.56885e+03	 5.47023e+03	 3.55559e+01	 4.40200e+01	 1.20126e+06	 1.84125e+06	Simbad	266.152084	-30.151375
      33	  33	106	 74	 1.15625e+00	340.788850	 2.67732e-01	-01.069482	 2.50294e-01	-5.57781e+00	 1.75357e+03	 4.73939e+21	 1.03340e+02	-3.06839e+01	 3.92276e+00	 5.49526e-01	 4.85109e-01	 5.05695e-01	 5.97533e+00	0	 2.74682e+00	 1.33093e+01	-5.12690e-02	-2.48417e-01	 2.65746e+03	 6.23904e+04	 2.42442e+01	 1.17472e+02	 2.74622e+05	 6.44742e+06	Simbad	253.629271	-45.322420
      34	  34	169	129	 2.01562e+00	343.754420	 3.12134e-01	-00.544401	 5.31085e-01	-4.20790e+01	 2.37305e+03	 3.67915e+21	 8.02220e+01	-3.04415e+01	 7.78789e+00	 1.12651e+00	 4.98901e-01	 6.54517e-01	 5.68103e+00	1	 3.00132e+00	 1.33206e+01	-2.85169e-02	-1.26565e-01	 5.53084e+03	 1.08947e+05	 3.42870e+01	 1.52174e+02	 4.43695e+05	 8.73995e+06	Simbad	255.615226	-42.671205
