#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T18:49:40 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T18:49:40	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/709/A254/as1063&-out=ID,RAJ2000,DEJ2000,F814W,ReF814W,nF814W,F160W&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37090254
#Name: J/A+A/709/A254
#Title: 4 HFF clusters members structural parameters (Granata+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	creator=Granata G.	    First author or institution
#INFO	cites=bibcode:2026A&A...709A.254G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/709/A254	    Dataset landing page
#INFO	publication_date=2026-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_709_A254_as1063:
#Name: J/A+A/709/A254/as1063
#Title: Structural parameters for Abell S1063 members
#Column	ID	(I3)	[1/279] Object ID number in serial order within the table (ID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	F814W	(F6.2)	Total F814W AB magnitude (MAG_F814W)	[ucd=phot.mag;em.opt.I]
#Column	ReF814W	(F6.2)	Circularised F814W effective radius in kpc (RE_F814W)	[ucd=meta.ref;pos.frame]
#Column	nF814W	(F6.2)	F814W Sersic index (N_F814W)	[ucd=stat.fit.param]
#Column	F160W	(F6.2)	Total F160W AB magnitude (MAG_F160W)	[ucd=phot.mag;em.IR.H]
ID	RAJ2000	DEJ2000	F814W	ReF814W	nF814W	F160W
 35	342.18322	-44.53088	 17.33	  9.91	  2.10	 16.20
 36	342.17368	-44.53278	 21.79	  1.08	  1.86	 21.26
 37	342.19156	-44.53334	 21.75	  0.64	  3.22	 20.73
 38	342.19543	-44.53245	 22.52	  1.55	  2.21	 21.94
 39	342.18811	-44.53280	 22.39	  1.48	  1.59	 21.57
 40	342.17646	-44.53366	 20.90	  0.81	  2.95	 19.78
 41	342.18555	-44.53319	 22.28	  0.81	  4.91	 21.45
 42	342.17793	-44.53239	 20.99	  1.00	  2.78	 20.03
 43	342.18814	-44.52972	 20.11	  1.05	  3.33	 19.04
 44	342.19670	-44.52909	 22.88	  1.36	  2.28	 22.01
 45	342.19461	-44.53227	 23.39	  0.39	  1.31	 22.57
 46	342.18353	-44.53006	 20.02	  1.68	  3.46	 19.41
 47	342.18109	-44.52920	 22.72	  0.64	  2.03	 21.79
 48	342.19186	-44.52965	 22.11	  0.83	  2.90	 21.20
 49	342.18664	-44.53108	 22.80	  0.58	  1.94	 21.67
 50	342.18570	-44.53051	 22.95	  0.96	  2.54	 22.29
 51	342.18916	-44.52953	 20.39	  1.21	  4.78	 19.43
 52	342.18293	-44.53046	 20.30	  0.75	  4.16	 18.89
 53	342.17450	-44.52900	 22.10	  0.43	  2.19	 21.03
 54	342.18813	-44.52595	 19.90	  0.94	  5.25	 18.87
 55	342.18678	-44.52781	 20.71	  1.60	  6.00	 20.01
 56	342.19551	-44.52599	 18.89	  3.96	  7.91	 18.21
 57	342.19330	-44.52643	 20.44	  0.93	  3.23	 19.41
 58	342.18453	-44.52930	 24.51	  0.36	  1.15	 23.31
 59	342.17967	-44.52853	 23.22	  2.22	  1.92	 22.47
 60	342.18405	-44.52693	 20.48	  1.53	  3.52	 19.60
 61	342.20016	-44.52722	 22.33	  1.58	  2.44	 21.68
 62	342.19821	-44.52740	 22.52	  1.56	  2.12	 21.70
 63	342.20029	-44.52520	 20.40	  1.98	  3.22	 19.47
 64	342.18255	-44.52687	 21.80	  0.72	  3.12	 20.91
 65	342.20084	-44.52722	 23.74	  0.99	  1.08	 23.17
 66	342.18908	-44.52643	 24.47	  0.70	  1.44	 23.54
 67	342.18901	-44.52469	 20.84	  2.73	 17.29	 20.95
 68	342.17726	-44.52501	 23.26	  1.49	  1.55	 22.52
 69	342.17891	-44.52472	 21.81	  1.07	  2.05	 20.89
 70	342.17962	-44.52305	 21.26	  0.83	  1.05	 20.77
 71	342.18419	-44.52028	 22.13	  2.15	  1.53	 21.36
 72	342.19420	-44.52212	 22.48	  1.58	  0.79	 21.93
 73	342.19329	-44.51782	 19.78	  0.94	  5.30	 18.78
 74	342.20137	-44.52076	 21.98	  0.77	  2.60	 21.00
 75	342.18667	-44.52058	 23.86	  1.50	  1.24	 23.21
 76	342.19368	-44.51852	 22.36	  0.98	  2.21	 21.45
 77	342.19281	-44.51496	 21.81	  2.49	  2.29	 20.94
 78	342.19019	-44.51651	 24.79	  0.54	  0.83	 24.29
 79	342.18543	-44.51863	 19.47	  1.60	  6.29	 18.46
 80	342.18844	-44.51774	 23.21	  0.96	  1.07	 22.93
 81	342.18901	-44.51923	 22.59	  1.21	  1.30	 22.06
 82	342.19269	-44.51977	 23.03	  0.68	  2.23	 22.05
 83	342.19294	-44.52207	 22.24	  1.63	  0.70	 21.73
 84	342.19727	-44.52327	 20.38	  1.19	  4.64	 19.41
 85	342.18665	-44.52247	 20.89	  0.83	  4.83	 19.92
 86	342.18916	-44.52367	 23.56	  0.60	  2.85	 22.59
 87	342.17795	-44.52406	 21.25	  1.46	  1.52	 20.34
 88	342.19002	-44.52411	 22.55	  0.73	  5.80	 21.68
 89	342.20124	-44.52405	 23.33	  1.04	  2.23	 22.44
 90	342.19326	-44.52412	 24.41	  0.79	  1.60	 23.66
 91	342.18294	-44.52491	 22.79	  1.48	  4.12	 22.13
 92	342.20418	-44.52524	 20.55	  1.31	  3.46	 19.67
 93	342.18569	-44.52601	 22.30	  1.35	  3.75	 21.56
 94	342.20490	-44.52587	 23.53	  1.28	  1.98	 22.88
 95	342.18855	-44.52670	 24.98	  0.42	  1.35	 24.52
 96	342.19836	-44.54877	 20.71	  2.77	  3.38	 20.10
 97	342.18077	-44.55124	 23.06	  1.35	  1.32	 22.05
 98	342.18099	-44.54933	 22.11	  1.26	  3.15	 21.24
 99	342.20333	-44.54529	 22.46	  1.55	  1.55	 21.63
100	342.18049	-44.54861	 22.91	  1.94	  2.32	 22.17
101	342.19426	-44.54714	 21.84	  1.08	  1.91	 20.80
102	342.18563	-44.54630	 21.39	  1.75	  3.02	 20.53
103	342.19939	-44.54544	 20.75	  0.98	  3.58	 19.72
104	342.20199	-44.54025	 19.02	  5.75	  5.49	 18.18
105	342.18873	-44.54441	 22.45	  0.92	  3.51	 21.65
106	342.20373	-44.54225	 21.24	  2.96	  1.25	 20.78
107	342.20042	-44.54446	 24.62	  0.86	  1.35	 23.72
108	342.18951	-44.54129	 20.60	  1.10	  4.00	 19.61
109	342.18887	-44.54453	 23.52	  0.88	  1.39	 22.15
110	342.21066	-44.54067	 21.66	  2.83	  1.91	 20.93
111	342.19658	-44.53996	 21.64	  2.26	  1.86	 20.80
112	342.20647	-44.53908	 23.63	  1.07	  1.87	 22.72
113	342.19293	-44.53791	 21.86	  0.68	  2.41	 20.83
114	342.18558	-44.53858	 23.16	  1.18	  3.11	 22.57
115	342.18491	-44.53867	 24.22	  0.81	  1.29	 23.49
116	342.20940	-44.53901	 24.02	  0.91	  1.47	 23.26
117	342.21001	-44.53892	 23.79	  1.19	  2.19	 23.25
118	342.18118	-44.53790	 23.41	  1.41	  1.54	 22.95
119	342.20411	-44.53705	 22.40	  1.58	  2.30	 21.53
120	342.19305	-44.53798	 22.56	  0.70	  2.50	 21.11
121	342.20788	-44.53587	 23.43	  1.95	  2.42	 22.68
122	342.20466	-44.53570	 22.16	  1.64	  2.66	 21.30
123	342.19078	-44.53627	 20.79	  1.45	  1.31	 22.99
124	342.18578	-44.53457	 20.16	  2.92	  6.27	 19.73
125	342.20053	-44.53465	 23.13	  1.64	  1.50	 22.83
126	342.21123	-44.53411	 19.99	  3.66	  7.45	 19.35
127	342.19119	-44.53511	 23.49	  0.76	  2.07	 22.83
128	342.19109	-44.53293	 24.37	  1.15	  0.93	 23.78
129	342.20117	-44.53256	 23.39	  1.04	  2.09	 22.68
130	342.17697	-44.55365	 20.79	  3.33	  2.41	 19.98
131	342.17764	-44.55454	 24.12	  1.23	  1.00	 23.45
132	342.17607	-44.55403	 23.96	  1.08	  0.87	 23.51
133	342.17973	-44.55359	 24.07	  0.97	  1.17	 23.27
134	342.16418	-44.55004	 23.40	  2.12	  1.32	 22.85
135	342.16797	-44.54902	 23.29	  1.78	  1.30	 22.67
136	342.16717	-44.54925	 24.02	  0.56	  1.50	 23.22
137	342.17215	-44.54758	 22.82	  1.44	  1.18	 21.81
138	342.16017	-44.54430	 24.12	  1.34	  1.04	 23.53
139	342.16757	-44.54619	 23.77	  0.89	  1.60	 22.90
140	342.16163	-44.54374	 21.12	  1.11	  3.61	 20.14
141	342.17394	-44.54515	 24.38	  0.97	  1.14	 23.74
142	342.17975	-44.54341	 24.23	  1.14	  1.31	 23.57
143	342.16726	-44.54327	 23.61	  0.90	  1.95	 22.76
144	342.17183	-44.54230	 24.16	  1.76	  1.34	 23.64
145	342.15952	-44.53730	 24.49	  1.02	  1.31	 23.72
146	342.16714	-44.53467	 20.67	  2.23	  2.71	 20.39
147	342.16243	-44.53655	 24.85	  0.62	  1.58	 24.18
148	342.17695	-44.53411	 18.57	  2.65	 10.19	 18.57
149	342.16876	-44.53398	 23.67	  1.28	  1.23	 23.02
150	342.15717	-44.53267	 20.25	  2.35	  4.40	 19.36
151	342.16465	-44.53431	 23.86	  0.78	  1.39	 23.14
152	342.20041	-44.53183	 23.27	  1.20	  1.95	 22.55
153	342.18275	-44.53137	 20.59	  1.73	  1.53	 19.62
154	342.18649	-44.53026	 24.01	  3.50	  2.50	 23.65
155	342.20445	-44.52891	 22.12	  1.78	  2.40	 21.30
156	342.18426	-44.52805	 18.99	  5.11	 10.74	 18.74
157	342.19793	-44.52783	 23.63	  1.28	  2.15	 23.30
158	342.20551	-44.52813	 24.49	  0.94	  1.10	 24.07
159	342.20849	-44.52562	 20.51	  1.06	  3.22	 19.54
160	342.19577	-44.52414	 24.39	  1.13	  1.15	 22.25
161	342.20465	-44.52169	 20.18	  5.09	  6.65	 19.49
162	342.18022	-44.51349	 19.67	  2.26	  5.75	 18.75
163	342.18653	-44.50931	 23.54	  0.86	  2.13	 22.97
164	342.18178	-44.51081	 23.68	  1.48	  3.28	 22.68
165	342.19654	-44.51975	 24.03	  1.39	  1.54	 23.32
166	342.18762	-44.51019	 23.47	  1.40	  2.50	 23.19
167	342.20625	-44.51205	 18.06	  8.04	  5.28	 17.89
168	342.20518	-44.51714	 18.29	  8.01	  5.90	 17.49
169	342.20245	-44.51248	 22.30	  0.80	  1.90	 21.36
170	342.20373	-44.51234	 24.17	  1.41	  1.04	 23.25
171	342.20912	-44.51354	 22.36	  1.01	  3.13	 21.40
172	342.19407	-44.51493	 22.79	  1.81	  2.12	 22.01
173	342.20303	-44.51494	 19.22	  3.42	  3.92	 18.22
174	342.19890	-44.51493	 23.36	  1.17	  2.00	 22.43
175	342.19580	-44.51624	 20.90	  0.44	  3.93	 20.09
176	342.19537	-44.51676	 23.81	  2.06	  3.57	 23.12
177	342.18646	-44.51458	 24.72	  0.74	  1.40	 24.02
178	342.18196	-44.51520	 22.89	  1.35	  1.41	 22.15
179	342.20010	-44.51610	 21.75	  1.17	  2.33	 20.86
180	342.19851	-44.51683	 22.98	  1.89	  1.33	 22.11
181	342.18441	-44.51764	 21.87	  1.49	  3.36	 21.09
182	342.20274	-44.51982	 20.34	  1.34	  4.67	 19.34
183	342.18134	-44.51970	 20.28	  1.78	  2.50	 19.41
184	342.21147	-44.52153	 21.64	  1.50	  5.14	 21.62
185	342.19209	-44.52281	 23.98	  1.42	  1.42	 23.05
186	342.19711	-44.52466	 23.30	  1.08	  1.80	 22.57
187	342.16190	-44.52997	 19.27	  3.78	  3.37	 19.21
188	342.16424	-44.53146	 24.62	  0.94	  1.22	 23.72
189	342.16708	-44.52982	 23.72	  2.07	  0.91	 23.08
190	342.16586	-44.52790	 22.19	  1.86	  2.71	 21.52
191	342.17939	-44.52791	 21.26	  2.13	  1.90	 20.47
192	342.16457	-44.52884	 24.50	  1.11	  1.95	 24.05
193	342.15216	-44.52167	 17.90	 11.18	  5.60	 18.43
194	342.16480	-44.52797	 23.55	  1.03	  2.35	 22.91
195	342.16642	-44.52724	 22.81	  1.30	  1.64	 22.17
196	342.16829	-44.52834	 25.45	  0.40	  0.72	 23.92
197	342.16702	-44.52688	 24.04	  0.88	  2.08	 23.38
198	342.16827	-44.52611	 23.21	  1.36	  1.69	 22.46
199	342.14892	-44.52326	 20.66	  2.03	  3.65	 20.66
200	342.16301	-44.52448	 23.84	  1.47	  1.47	 23.13
201	342.17381	-44.52458	 22.12	  1.22	  1.69	 21.27
202	342.16619	-44.52197	 22.97	  3.07	  1.98	 23.07
203	342.17942	-44.52001	 23.17	  1.18	  1.76	 22.44
204	342.17639	-44.51139	 18.05	  3.99	  6.52	 17.63
205	342.17512	-44.51052	 19.29	  4.22	  6.11	 18.66
206	342.15938	-44.51384	 23.32	  1.57	  1.85	 22.78
207	342.15555	-44.52363	 23.14	  1.64	  2.48	 22.14
208	342.16731	-44.51396	 19.89	  3.73	  0.64	 19.24
209	342.16247	-44.51321	 20.30	  1.66	  3.15	 19.25
210	342.16239	-44.51336	 19.96	  2.27	  6.19	 19.15
211	342.15953	-44.51643	 23.44	  0.64	  2.28	 22.50
212	342.17589	-44.51589	 22.85	  0.96	  1.48	 22.07
213	342.16251	-44.51599	 23.45	  1.19	  1.54	 22.38
214	342.17995	-44.51528	 23.42	  2.03	  2.44	 22.96
215	342.17763	-44.51839	 23.86	  1.03	  1.63	 23.16
216	342.15983	-44.51874	 24.34	  0.70	  1.22	 23.68
217	342.17689	-44.51767	 24.35	  1.18	  1.28	 23.70
218	342.16552	-44.51910	 23.55	  1.72	  1.50	 22.89
219	342.17271	-44.52140	 23.18	  1.45	  1.69	 22.46
220	342.15974	-44.52353	 20.55	  0.93	  4.48	 19.58
221	342.17276	-44.52422	 23.75	  0.75	  1.61	 22.87
222	342.15112	-44.52460	 23.42	  1.39	  1.38	 22.83

