#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T18:49:39 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T18:49:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/709/A254/a2744&-out=ID,RAJ2000,DEJ2000,F814W,ReF814W,nF814W,F160W&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37090254
#Name: J/A+A/709/A254
#Title: 4 HFF clusters members structural parameters (Granata+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	creator=Granata G.	    First author or institution
#INFO	cites=bibcode:2026A&A...709A.254G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/709/A254	    Dataset landing page
#INFO	publication_date=2026-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_709_A254_a2744:
#Name: J/A+A/709/A254/a2744
#Title: Structural parameters for Abell 2744 members
#Column	ID	(I3)	[1/279] Object ID number in serial order within the table (ID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	F814W	(F6.2)	Total F814W AB magnitude (MAG_F814W)	[ucd=phot.mag;em.opt.I]
#Column	ReF814W	(F6.2)	Circularised F814W effective radius in kpc (RE_F814W)	[ucd=meta.ref;pos.frame]
#Column	nF814W	(F6.2)	F814W Sersic index (N_F814W)	[ucd=stat.fit.param]
#Column	F160W	(F6.2)	Total F160W AB magnitude (MAG_F160W)	[ucd=phot.mag;em.IR.H]
ID	RAJ2000	DEJ2000	F814W	ReF814W	nF814W	F160W
 35	003.59468	-30.40590	 22.97	  0.83	  3.20	 22.05
 36	003.57851	-30.40338	 18.95	  2.71	  4.93	 18.08
 37	003.59028	-30.40740	 21.79	  0.38	  2.68	 20.85
 38	003.58648	-30.40700	 23.69	  1.82	  1.92	 23.31
 39	003.59896	-30.39753	 19.58	  7.26	  6.25	 18.47
 40	003.58704	-30.40495	 20.84	  0.58	  3.08	 19.97
 41	003.58852	-30.40632	 23.97	  0.60	  2.31	 23.45
 42	003.60125	-30.40488	 22.54	  2.32	  2.57	 21.85
 43	003.58797	-30.40425	 22.10	  0.57	  2.30	 21.22
 44	003.58943	-30.40423	 23.89	  0.75	  1.46	 23.44
 45	003.60527	-30.40081	 20.34	  0.44	  4.82	 19.41
 46	003.59818	-30.40483	 23.40	  1.23	  0.99	 22.86
 47	003.57213	-30.40505	 24.08	  0.63	  1.62	 23.96
 48	003.58504	-30.40331	 21.20	  0.95	  4.24	 20.48
 49	003.58794	-30.40085	 20.07	  2.31	  2.67	 19.17
 50	003.60528	-30.40293	 21.08	  1.71	  1.96	 20.25
 51	003.58851	-30.40421	 24.14	  1.10	  1.56	 23.63
 52	003.57478	-30.40367	 22.97	  1.28	  1.67	 22.30
 53	003.58438	-30.40289	 21.53	  0.91	  2.92	 20.66
 54	003.59645	-30.40328	 23.74	  1.12	  1.53	 23.18
 55	003.60468	-30.40435	 25.30	  0.37	  2.06	 25.47
 56	003.58814	-30.40198	 21.71	  0.60	  2.28	 20.81
 57	003.59483	-30.40213	 22.03	  1.21	  1.33	 21.19
 58	003.58884	-30.40174	 23.31	  0.99	  0.37	 22.54
 59	003.58850	-30.40210	 22.48	  0.43	  2.26	 21.59
 60	003.60435	-30.40012	 19.56	  2.44	  4.80	 18.68
 61	003.59300	-30.39933	 19.31	  1.34	  2.42	 18.50
 62	003.56841	-30.40202	 24.06	  1.76	  1.32	 23.77
 63	003.58391	-30.40202	 23.99	  0.88	  0.89	 23.76
 64	003.57859	-30.39911	 21.38	  1.28	  1.61	 20.60
 65	003.58766	-30.39640	 18.45	  4.66	  4.93	 17.55
 66	003.59446	-30.40035	 20.71	  0.62	  3.40	 19.79
 67	003.59480	-30.39165	 17.83	  7.38	  3.98	 17.02
 68	003.58656	-30.39938	 19.48	  2.56	  5.96	 18.56
 69	003.57281	-30.40053	 21.83	  0.59	  3.07	 20.95
 70	003.59676	-30.40051	 22.06	  0.90	  2.90	 21.21
 71	003.56736	-30.40088	 22.74	  1.12	  3.24	 22.11
 72	003.58216	-30.39857	 19.68	  1.75	  2.94	 18.60
 73	003.57490	-30.39838	 19.13	  3.17	  2.76	 18.18
 74	003.56948	-30.39995	 24.06	  0.99	  2.67	 23.67
 75	003.57907	-30.40009	 21.87	  1.76	  1.38	 21.36
 76	003.58474	-30.39982	 24.18	  0.55	  1.34	 22.64
 77	003.59773	-30.40060	 24.17	  0.76	  1.42	 23.67
 78	003.58398	-30.39926	 20.84	  1.39	  1.47	 20.17
 79	003.58160	-30.39910	 23.45	  0.99	  2.00	 22.61
 80	003.59341	-30.40003	 22.72	  1.58	  3.55	 21.90
 81	003.57886	-30.39711	 20.04	  2.76	  3.45	 19.20
 82	003.60383	-30.39912	 22.84	  0.90	  3.13	 22.17
 83	003.59575	-30.39997	 23.18	  0.93	  1.74	 22.51
 84	003.58292	-30.39970	 22.44	  2.08	  0.73	 22.24
 85	003.58838	-30.39836	 19.77	  1.50	  3.69	 18.76
 86	003.60271	-30.39757	 21.70	  1.59	  3.37	 20.89
 87	003.58446	-30.39834	 22.56	  1.11	  1.33	 21.89
 88	003.60186	-30.39866	 22.74	  1.26	  1.78	 22.10
 89	003.58112	-30.39858	 24.46	  3.10	  0.29	 24.24
 90	003.58079	-30.39858	 25.71	  2.45	  0.02	 25.49
 91	003.58393	-30.39859	 23.44	  1.05	  1.00	 23.02
 92	003.58552	-30.39715	 20.85	  2.98	  1.40	 20.08
 93	003.58133	-30.39887	 25.34	  0.55	  1.07	 25.53
 94	003.58868	-30.39608	 19.53	  1.23	  5.62	 18.74
 95	003.60220	-30.39699	 21.49	  1.39	  4.18	 20.79
 96	003.58539	-30.39428	 18.53	  1.72	  3.16	 17.62
 97	003.59287	-30.39635	 22.25	  1.00	  3.76	 21.46
 98	003.57895	-30.39412	 20.15	  3.19	  7.25	 19.47
 99	003.58815	-30.39507	 19.09	  3.18	  5.51	 18.20
100	003.58331	-30.39654	 22.58	  1.38	  1.93	 21.95
101	003.59730	-30.39605	 22.78	  1.13	  2.38	 21.97
102	003.60083	-30.39490	 21.01	  1.66	  3.34	 20.17
103	003.57207	-30.39597	 23.16	  1.41	  1.99	 22.32
104	003.58139	-30.39393	 20.34	  1.37	  3.66	 19.49
105	003.60391	-30.39614	 25.26	  0.90	  0.40	 25.24
106	003.58447	-30.39605	 23.29	  0.71	  1.71	 22.67
107	003.59722	-30.39553	 24.12	  1.36	  1.69	 23.49
108	003.58498	-30.39288	 20.63	  0.66	  3.85	 19.94
109	003.56904	-30.39496	 23.09	  1.12	  1.74	 22.44
110	003.58520	-30.39465	 19.68	  1.56	  4.56	 18.64
111	003.56998	-30.39463	 23.14	  1.45	  1.76	 22.48
112	003.57987	-30.39439	 23.79	  0.84	  1.93	 23.00
113	003.57150	-30.39043	 19.53	  4.70	  5.51	 18.78
114	003.57266	-30.39363	 23.80	  0.88	  1.62	 23.18
115	003.59011	-30.39158	 24.01	  1.18	  1.13	 23.22
116	003.58037	-30.39220	 20.79	  1.07	  2.68	 20.08
117	003.60517	-30.39261	 23.34	  2.55	  1.20	 22.72
118	003.58095	-30.39081	 19.94	  1.78	  0.69	 19.12
119	003.58530	-30.38756	 19.30	  2.57	  3.61	 18.50
120	003.59034	-30.39094	 19.81	  1.54	  6.03	 19.10
121	003.58438	-30.39175	 22.48	  0.83	  2.32	 21.63
122	003.59388	-30.39084	 21.56	  1.50	  1.30	 20.75
123	003.58922	-30.38984	 19.33	  2.21	  5.95	 18.35
124	003.57017	-30.38645	 18.91	  5.40	 10.11	 18.48
125	003.57835	-30.38946	 21.69	  1.79	  1.89	 20.81
126	003.58499	-30.39087	 23.14	  1.12	  2.11	 22.54
127	003.59471	-30.38912	 20.14	  2.58	  4.46	 18.77
128	003.60505	-30.39167	 24.10	  0.57	  1.42	 23.59
129	003.58545	-30.39131	 24.34	  1.50	  1.49	 23.71
130	003.59317	-30.39035	 21.82	  1.61	  2.22	 21.24
131	003.58189	-30.39048	 24.08	  1.66	  1.32	 23.31
132	003.59424	-30.39046	 20.69	  0.83	  3.00	 19.79
133	003.60593	-30.39017	 23.67	  1.63	  2.03	 23.10
134	003.57731	-30.39030	 23.63	  1.35	  1.31	 23.10
135	003.58952	-30.38950	 20.88	  2.26	  2.42	 20.29
136	003.58919	-30.38740	 19.41	  1.91	  6.37	 18.44
137	003.59551	-30.38868	 20.66	  1.21	  2.60	 19.86
138	003.59877	-30.38802	 20.47	  1.16	  4.11	 19.60
139	003.58372	-30.38467	 20.05	  3.51	  4.06	 19.42
140	003.59626	-30.38851	 22.05	  1.90	  1.58	 21.48
141	003.59255	-30.38531	 20.40	  0.78	  4.20	 19.51
142	003.57106	-30.38816	 22.03	  2.32	  2.23	 21.36
143	003.58407	-30.38890	 23.48	  1.70	  1.22	 23.33
144	003.57834	-30.38710	 21.01	  1.01	  4.32	 20.42
145	003.58814	-30.38501	 19.91	  1.52	  5.03	 19.08
146	003.57301	-30.38726	 22.94	  1.24	  2.02	 22.23
147	003.60809	-30.38706	 23.13	  1.38	  1.74	 22.94
148	003.59347	-30.38760	 22.47	  1.32	  2.72	 22.09
149	003.59328	-30.38438	 19.39	  2.11	  1.96	 18.49
150	003.60543	-30.38484	 19.78	  1.20	  4.14	 18.78
151	003.59122	-30.38671	 23.16	  1.54	  2.02	 22.62
152	003.57338	-30.38631	 21.06	  2.26	  1.52	 20.21
153	003.57373	-30.38598	 20.71	  2.08	  3.33	 20.04
154	003.60439	-30.38496	 21.39	  1.36	  1.08	 20.69
155	003.58983	-30.38564	 23.35	  1.10	  2.02	 22.73
156	003.59028	-30.38269	 20.60	  1.46	  3.78	 19.68
157	003.58683	-30.38463	 23.19	  1.71	  1.38	 22.58
158	003.57369	-30.38568	 22.51	  1.05	  2.10	 21.89
159	003.57752	-30.38481	 23.65	  0.79	  2.01	 23.02
160	003.57874	-30.38423	 22.81	  1.76	  2.24	 22.16
161	003.58804	-30.38256	 20.81	  2.08	  2.38	 20.03
162	003.59875	-30.38446	 23.14	  0.97	  2.17	 22.50
163	003.58908	-30.38381	 23.89	  1.25	  0.30	 23.65
164	003.57086	-30.38200	 21.06	  0.85	  2.49	 20.30
165	003.59302	-30.38297	 22.90	  1.55	  1.71	 22.35
166	003.57847	-30.38132	 21.68	  0.74	  3.22	 20.91
167	003.60265	-30.41696	 19.59	  3.73	  5.91	 18.91
168	003.60429	-30.41455	 19.92	  1.59	  3.48	 19.04
169	003.60701	-30.40348	 19.59	  2.75	  2.44	 19.35
170	003.60367	-30.40431	 26.53	  1.18	  2.50	 27.77
171	003.58551	-30.39901	 22.44	  1.01	  2.50	 21.71
172	003.57962	-30.39409	 23.72	  1.90	  1.99	 23.72
173	003.56635	-30.38826	 19.15	  1.79	  3.06	 18.27
174	003.57360	-30.38719	 22.97	  2.22	  1.96	 22.97
175	003.56555	-30.38710	 19.46	  3.73	  6.59	 18.95
176	003.59066	-30.38638	 26.95	  1.17	  2.50	 26.84
177	003.56931	-30.38424	 20.63	  2.17	  1.40	 20.33
178	003.58248	-30.38500	 27.29	  0.80	  0.22	 27.29
179	003.56535	-30.38295	 20.18	  0.90	  2.97	 19.22
180	003.57508	-30.37707	 19.15	  2.74	  3.21	 18.30
181	003.57344	-30.37794	 20.45	  2.34	  5.21	 19.76
182	003.57673	-30.41463	 23.74	  1.86	  1.70	 23.48
183	003.58061	-30.41411	 24.19	  1.68	  2.50	 23.65
184	003.57566	-30.41350	 24.13	  1.54	  1.52	 23.19
185	003.60680	-30.40559	 21.03	  1.00	  1.40	 20.37
186	003.58161	-30.40744	 23.93	  1.16	  1.30	 23.52
187	003.57809	-30.40574	 24.27	  1.00	  1.26	 23.67
188	003.59034	-30.40037	 19.32	  4.40	  2.77	 18.24
189	003.59717	-30.40226	 24.72	  0.40	  1.91	 23.92
190	003.59571	-30.40086	 24.43	  1.19	  1.94	 23.96
191	003.57487	-30.39718	 24.15	  1.04	  1.59	 23.80
192	003.60719	-30.39723	 23.89	  0.75	  1.93	 23.47
193	003.58742	-30.39329	 19.71	  5.30	  1.99	 18.72
194	003.56600	-30.39392	 21.73	  0.86	  2.27	 21.02
195	003.60002	-30.38972	 18.59	  5.39	  2.11	 17.76
196	003.58919	-30.39156	 23.53	  1.54	  2.50	 22.44
197	003.60799	-30.39072	 23.67	  1.18	  1.57	 23.00
198	003.57303	-30.38529	 20.73	  2.21	  2.38	 19.51
199	003.58376	-30.39028	 24.57	  0.65	  1.47	 24.05
200	003.57439	-30.38365	 18.88	  4.04	  2.33	 18.09
201	003.60954	-30.38211	 18.82	  2.77	  3.20	 17.79
202	003.56887	-30.38531	 20.99	  1.75	  2.76	 20.15
203	003.59540	-30.38040	 19.97	  3.04	  3.54	 19.44
204	003.59866	-30.38310	 24.09	  0.82	  1.08	 23.45
205	003.60132	-30.38250	 23.82	  1.09	  1.38	 23.33
206	003.57082	-30.38293	 24.06	  0.89	  1.20	 23.58
207	003.57699	-30.37948	 20.65	  2.50	  3.23	 19.70
208	003.59363	-30.38210	 24.00	  0.71	  1.48	 23.29
209	003.58774	-30.38133	 23.51	  1.81	  1.33	 22.95
210	003.59764	-30.37920	 21.19	  1.41	  3.10	 20.40
211	003.57119	-30.38094	 23.85	  1.15	  1.70	 23.22
212	003.57029	-30.38077	 24.53	  0.91	  0.01	 24.34
213	003.57579	-30.38040	 24.14	  1.20	  1.69	 23.62
214	003.57922	-30.38019	 24.04	  1.54	  0.99	 23.59
215	003.57754	-30.37887	 22.01	  1.19	  1.58	 21.23
216	003.59437	-30.37866	 22.96	  1.76	  1.73	 22.42
217	003.57972	-30.37953	 23.79	  1.24	  1.27	 23.27
218	003.58919	-30.37895	 23.21	  1.50	  1.93	 22.70
219	003.57167	-30.37971	 24.02	  0.58	  2.19	 23.47
220	003.57514	-30.37852	 21.66	  3.67	  4.22	 21.37
221	003.57886	-30.37943	 24.25	  1.10	  1.25	 23.80
222	003.57190	-30.37739	 22.12	  1.44	  1.42	 21.46
223	003.57370	-30.37680	 23.21	  2.47	  2.67	 22.73
224	003.59282	-30.37843	 24.26	  0.77	  1.66	 24.10
225	003.58157	-30.37652	 19.99	  1.89	  4.58	 20.13

