#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:08:19 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:08:19	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/131/2089/table56&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51312089
#Name: J/AJ/131/2089
#Title: Planetary nebulae in NGC 3379 and NGC 3384 (Sluis+, 2006)
#INFO	ivoid=ivo://cds.vizier/j/aj/131/2089	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/131/2089	    IVOID of underlying data collection
#INFO	creator=Sluis A.P.N.	    First author or institution
#INFO	cites=bibcode:2006AJ....131.2089S	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2006	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/131/2089	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51312089	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-11-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_131_2089_table56:
#Name: J/AJ/131/2089/table56
#Title: Planetary nebulae in NGC 3379 and NGC 3384 (tables 5 and 6 of the paper)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Galaxy	(a8)	Simbad column added by the CDS	[ucd=meta.id.parent]
#Column	ID	(A3)	Source identification (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000) (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000) (2)	[ucd=pos.eq.dec;meta.main]
#Column	lambda	(F6.1)	Peak wavelength in Angstroms	[ucd=em.wl;stat.max]
#Column	HRV	(I4)	Heliocentric line-of-sight velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HRV	(I2)	Uncertainty in HRV	[ucd=stat.error]
#Column	Flux	(F5.2)	Emission line flux in units of 10^-16^erg/s/cm^2^	[ucd=phot.flux]
#Column	5007mag	(F5.2)	Emission line magnitude (3)	[ucd=phot.mag;em.line.OIII]
#Column	e_5007mag	(F5.2)	Uncertainty in 5007mag	[ucd=stat.error]
#Column	S	(F5.1)	The likelihood ratio test statistic (4)	[ucd=stat.likelihood]
#Column	Num	(I2)	? Number of data points in spectrum	[ucd=meta.number]
#Column	S/N	(F4.1)	Signal-to-noise ratio	[ucd=stat.snr]
#Column	C89ID	(I2)	? Ciardullo et al. (1989, J/ApJ/344/715) identification	[ucd=meta.id]
#Column	C89mag	(F5.2)	? Ciardullo et al. (1989, J/ApJ/344/715) emission line magnitude	[ucd=phot.mag;em.line.OIII]
#Column	C89HRV	(I4)	? Ciardullo et al. (1989, J/ApJ/344/715) heliocentric line-of-sight velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
recno	Galaxy	ID	RAJ2000	DEJ2000	lambda	HRV	e_HRV	Flux	5007mag	e_5007mag	S	Num	S/N	C89ID	C89mag	C89HRV
      23	NGC 3379	E23	10 47 56.07	+12 35 42.0	5015.2	 510	17	 1.46	25.85	 0.22	 23.8	  	 5.4	  	     	
      24	NGC 3379	E24	10 47 56.86	+12 36 14.5	5019.2	 748	21	 1.16	26.10	 0.27	 17.0	  	 4.3	28	25.98	
      25	NGC 3379	E25	10 47 56.90	+12 34 20.7	5015.4	 521	17	 1.30	25.97	 0.27	 15.8	  	 4.6	  	     	
      26	NGC 3379	E26	10 47 56.92	+12 35 31.2	5021.9	 910	14	 1.36	25.93	 0.20	 28.5	  	 6.2	39	26.15	
      27	NGC 3379	E27	10 47 58.10	+12 34 42.2	5011.6	 291	23	 1.71	25.68	 0.30	 22.1	  	 5.4	  	     	
      28	NGC 3379	E28	10 47 59.21	+12 35 10.6	5018.7	 719	13	 1.79	25.63	 0.20	 29.8	  	 6.8	10	25.68	
      29	NGC 3379	W01	10 47 41.41	+12 35 12.0	5020.0	 797	17	 1.09	26.17	 0.22	 23.9	  	 3.6	  	     	
      30	NGC 3379	W02	10 47 41.67	+12 34 05.5	5018.7	 720	17	 1.15	26.11	 0.23	 22.7	  	 5.5	  	     	
      31	NGC 3379	W03	10 47 41.71	+12 34 32.2	5023.4	1004	15	 1.32	25.96	 0.20	 28.4	  	 6.9	48	26.26	
      32	NGC 3379	W04	10 47 42.55	+12 35 31.7	5015.3	 517	17	 1.12	26.14	 0.25	 18.6	  	 4.3	  	     	
      33	NGC 3379	W05	10 47 42.56	+12 35 08.9	5023.8	1025	13	 1.39	25.91	 0.15	 52.0	  	 8.9	41	26.18	
      34	NGC 3379	W06	10 47 42.92	+12 35 09.6	5022.0	 919	15	 1.25	26.02	 0.21	 28.1	  	 6.8	62	26.40	
      35	NGC 3379	W07	10 47 44.73	+12 35 07.6	5024.0	1039	12	 1.17	26.09	 0.19	 34.7	  	 7.4	  	     	
      36	NGC 3379	W08	10 47 45.21	+12 34 59.7	5023.1	 982	12	 1.48	25.83	 0.17	 39.5	  	 7.2	29	25.99	 977
      37	NGC 3379	W09	10 47 45.26	+12 35 17.3	5018.7	 720	11	 1.50	25.82	 0.16	 48.2	  	 8.6	19	25.83	 716
      38	NGC 3379	W10	10 47 45.39	+12 33 37.9	5018.2	 691	18	 1.24	26.03	 0.23	 25.0	  	 4.7	50	26.28	 726
      39	NGC 3379	W11	10 47 45.67	+12 34 13.4	5017.4	 640	18	 1.36	25.93	 0.23	 25.2	  	 4.9	63	26.40	
      40	NGC 3379	W12	10 47 45.83	+12 35 06.7	5025.7	1138	15	 1.06	26.19	 0.21	 27.6	  	 7.3	  	     	
      41	NGC 3379	W13	10 47 46.23	+12 33 37.5	5026.9	1212	16	 1.02	26.24	 0.24	 20.4	  	 5.5	40	26.15	
      42	NGC 3379	W14	10 47 46.24	+12 34 10.5	5024.7	1078	15	 1.08	26.18	 0.22	 25.0	  	 5.7	59	26.37	
      43	NGC 3379	W15	10 47 46.72	+12 33 18.7	5015.6	 531	20	 1.16	26.10	 0.26	 17.9	  	 4.3	  	     	
      44	NGC 3379	W16	10 47 46.94	+12 34 06.0	5024.2	1050	16	 1.01	26.25	 0.22	 24.0	  	 4.4	  	     	
      45	NGC 3379	W17	10 47 47.25	+12 35 01.3	5028.6	1310	11	 1.53	25.80	 0.18	 36.2	  	 6.9	11	25.75	
      46	NGC 3379	W18	10 47 47.29	+12 34 47.1	5026.2	1168	12	 1.48	25.83	 0.18	 37.6	  	 7.4	  	     	
      47	NGC 3379	W19	10 47 48.10	+12 35 00.1	5020.0	 797	13	 1.54	25.79	 0.23	 22.2	  	 5.9	  	     	
      48	NGC 3379	W20	10 47 48.34	+12 34 38.0	5024.3	1053	13	 1.91	25.56	 0.15	 54.0	  	 9.8	 7	25.63	1060
      49	NGC 3379	W21	10 47 48.58	+12 33 32.9	5019.3	 757	18	 1.37	25.92	 0.21	 27.0	  	 5.5	49	26.28	
      50	NGC 3379	W22	10 47 48.65	+12 35 03.5	5022.3	 932	10	 2.40	25.31	 0.14	 61.5	  	 9.4	  	     	
      51	NGC 3379	W23	10 47 48.85	+12 34 41.6	5020.2	 807	17	 1.58	25.76	 0.25	 21.4	  	 4.5	  	     	
      52	NGC 3379	W24	10 47 48.94	+12 33 40.3	5023.4	1001	14	 1.22	26.04	 0.19	 33.4	  	 6.3	27	25.96	 985
      53	NGC 3379	W25	10 47 48.97	+12 34 27.6	5019.4	 758	15	 1.67	25.70	 0.18	 39.0	  	 7.3	42	26.20	
      54	NGC 3379	W26	10 47 49.97	+12 34 38.8	5021.0	 858	16	 1.95	25.54	 0.21	 30.6	  	 5.9	  	     	
      55	NGC 3384	E01	10 48 21.63	+12 38 43.9	5015.2	 497	14	 1.32	25.96	 0.21	 27.5	19	 5.8	49	26.38	
      56	NGC 3384	E02	10 48 24.42	+12 38 43.6	5016.5	 576	11	 1.55	25.78	 0.18	 38.0	19	 6.8	 1	25.59	
      57	NGC 3384	E03	10 48 25.18	+12 39 36.2	5016.3	 564	13	 1.07	26.19	 0.23	 23.4	19	 6.4	11	25.93	
      58	NGC 3384	W01	10 48 09.00	+12 37 44.6	5020.8	 812	13	 1.10	26.16	 0.24	 21.4	19	 6.7	21	26.05	
      59	NGC 3384	W02	10 48 09.63	+12 37 36.7	5021.2	 838	 8	 1.79	25.63	 0.16	 48.9	18	 9.8	10	25.90	
      60	NGC 3384	W03	10 48 10.43	+12 36 54.5	5021.3	 844	12	 1.31	25.97	 0.21	 26.8	19	 8.2	56	26.43	
      61	NGC 3384	W04	10 48 11.56	+12 37 32.9	5020.6	 800	10	 1.35	25.93	 0.14	 61.5	45	12.4	 7	25.81	
      62	NGC 3384	W05	10 48 11.85	+12 37 21.2	5021.5	 857	 5	 2.58	25.23	 0.08	172.6	44	17.1	 6	25.73	
      63	NGC 3384	W06	10 48 11.97	+12 36 27.4	5022.0	 886	 8	 1.90	25.56	 0.16	 48.6	18	 9.5	 8	25.85	
      64	NGC 3384	W07	10 48 12.29	+12 36 53.1	5021.2	 838	17	 0.90	26.37	 0.20	 28.8	35	 8.4	68	26.58	
      65	NGC 3384	W08	10 48 12.80	+12 36 53.8	5022.2	 896	 8	 1.92	25.55	 0.11	107.0	42	16.6	 2	25.63	
      66	NGC 3384	W09	10 48 13.25	+12 38 02.3	5022.6	 920	12	 0.80	26.51	 0.17	 39.4	61	 9.6	46	26.36	
      67	NGC 3384	W10	10 48 13.28	+12 37 52.1	5020.6	 800	 9	 0.95	26.32	 0.16	 45.8	62	 9.6	43	26.34	
      68	NGC 3384	W11	10 48 13.41	+12 38 06.9	5018.9	 698	13	 0.92	26.36	 0.18	 37.2	61	 8.7	12	25.94	
      69	NGC 3384	W12	10 48 13.49	+12 37 10.5	5021.0	 826	11	 1.29	25.99	 0.15	 59.9	51	10.9	28	26.11	
      70	NGC 3384	W13	10 48 13.51	+12 37 02.8	5022.6	 923	14	 0.86	26.42	 0.23	 24.3	44	 7.2	14	25.96	
      71	NGC 3384	W14	10 48 13.64	+12 36 46.1	5021.9	 883	 7	 1.88	25.57	 0.10	112.8	42	15.0	 9	25.86	
      72	NGC 3384	W15	10 48 14.17	+12 36 39.0	5019.8	 754	17	 0.86	26.43	 0.21	 26.4	45	 6.9	  	     	
      73	NGC 3384	W16	10 48 14.25	+12 37 04.6	5020.6	 800	11	 1.01	26.25	 0.17	 39.5	63	 8.9	59	26.45	
      74	NGC 3384	W17	10 48 14.37	+12 36 47.7	5021.3	 842	11	 1.01	26.25	 0.18	 34.6	44	 8.2	37	26.30	
      75	NGC 3384	W18	10 48 14.38	+12 37 23.9	5021.0	 826	11	 1.07	26.19	 0.16	 45.3	64	10.5	  	     	
      76	NGC 3384	W19	10 48 14.60	+12 36 59.9	5021.2	 839	11	 1.23	26.03	 0.17	 39.4	47	 8.3	  	     	
      77	NGC 3384	W20	10 48 14.87	+12 37 25.8	5021.4	 847	 9	 1.65	25.71	 0.11	 93.2	62	13.5	 3	25.66	
      78	NGC 3384	W21	10 48 15.12	+12 38 08.3	5019.5	 735	11	 0.99	26.28	 0.19	 33.0	62	 8.9	94	26.96	
      79	NGC 3384	W22	10 48 16.00	+12 37 03.3	5020.3	 781	14	 0.78	26.54	 0.22	 22.9	64	 7.1	  	     	
      80	NGC 3384	W23	10 48 16.03	+12 38 02.9	5020.9	 821	11	 1.22	26.04	 0.18	 36.9	61	 8.4	24	26.07	
      81	NGC 3384	W24	10 48 16.12	+12 37 17.0	5023.2	 956	 9	 1.16	26.10	 0.16	 46.3	63	10.9	34	26.20	
      82	NGC 3384	W25	10 48 16.17	+12 37 09.2	5021.0	 824	14	 0.94	26.32	 0.21	 27.5	61	 9.1	  	     	
      83	NGC 3384	W26	10 48 16.55	+12 38 09.9	5019.8	 752	17	 0.93	26.34	 0.20	 28.4	59	 8.1	33	26.18	
      84	NGC 3384	W27	10 48 16.81	+12 37 20.1	5023.1	 951	11	 1.42	25.88	 0.16	 45.9	59	10.4	18	25.99	
      85	NGC 3384	W28	10 48 17.03	+12 38 27.3	5019.6	 741	11	 1.38	25.91	 0.16	 44.8	43	 9.9	 4	25.67	
      86	NGC 3384	W29	10 48 17.52	+12 37 10.5	5021.4	 847	11	 1.20	26.06	 0.16	 45.7	44	 9.6	57	26.44	
      87	NGC 3384	W30	10 48 17.58	+12 38 07.8	5018.8	 696	15	 1.17	26.09	 0.23	 23.3	42	 7.0	 5	25.71	
      88	NGC 3384	W31	10 48 17.91	+12 38 09.3	5018.6	 679	20	 0.90	26.37	 0.26	 17.5	46	 6.3	  	     	
      89	NGC 3384	W32	10 48 17.98	+12 38 22.2	5017.2	 599	14	 1.04	26.22	 0.21	 28.8	45	 7.9	  	     	
      90	NGC 3384	W33	10 48 18.07	+12 38 44.0	5018.4	 671	11	 1.76	25.65	 0.19	 31.4	25	 7.3	  	     	
      91	NGC 3384	W34	10 48 18.12	+12 36 36.5	5019.4	 729	14	 1.36	25.93	 0.21	 27.2	25	 7.2	22	26.06	
      92	NGC 3384	W35	10 48 18.58	+12 38 18.8	5018.5	 676	10	 1.51	25.81	 0.17	 42.0	43	 9.1	16	25.98	
      93	NGC 3384	W36	10 48 18.83	+12 37 15.4	5019.3	 721	11	 1.09	26.17	 0.21	 28.2	41	 8.2	  	     	
      94	NGC 3384	W37	10 48 19.18	+12 37 30.5	5018.4	 672	18	 0.85	26.43	 0.25	 19.8	41	 6.9	50	26.38	
      95	NGC 3384	W38	10 48 19.40	+12 38 16.4	5017.3	 606	16	 1.03	26.23	 0.24	 22.4	44	 6.4	  	     	
      96	NGC 3384	W39	10 48 19.64	+12 37 26.0	5019.7	 747	16	 1.10	26.15	 0.23	 26.0	42	 6.6	  	     	
      97	NGC 3384	W40	10 48 19.73	+12 36 44.5	5020.7	 809	11	 1.33	25.95	 0.18	 38.6	27	 7.9	44	26.35	
      98	NGC 3384	W41	10 48 19.73	+12 38 16.1	5016.9	 583	10	 1.26	26.01	 0.18	 38.5	45	 8.8	40	26.31	
      99	NGC 3384	W42	10 48 20.41	+12 38 03.5	5018.2	 659	16	 0.91	26.36	 0.26	 18.8	44	 6.1	  	     	
     100	NGC 3384	W43	10 48 20.50	+12 38 53.7	5018.0	 643	13	 1.52	25.81	 0.23	 21.8	19	 6.5	20	26.04	
     101	NGC 3384	W44	10 48 20.75	+12 38 21.7	5016.8	 572	11	 1.29	25.99	 0.18	 36.0	45	 8.6	19	26.01	
     102	NGC 3384	W45	10 48 20.88	+12 37 29.0	5020.0	 766	 8	 1.42	25.88	 0.14	 62.3	45	10.8	83	26.73	
     103	NGC 3384	W46	10 48 20.92	+12 38 05.7	5018.0	 648	19	 1.00	26.26	 0.22	 24.2	44	 6.6	53	26.41	
     104	NGC 3384	W47	10 48 20.93	+12 38 08.1	5017.4	 607	12	 1.03	26.23	 0.23	 23.3	43	 6.8	  	     	

