#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:08:18 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:08:18	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/384/943/table2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_73840943
#Name: J/MNRAS/384/943
#Title: Velocities of NGC 1023 planetary nebulae (Noordermeer+, 2008)
#INFO	ivoid=ivo://cds.vizier/j/mnras/384/943	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/384/943	    IVOID of underlying data collection
#INFO	creator=Noordermeer E.	    First author or institution
#INFO	cites=bibcode:2008MNRAS.384..943N	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2008	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/384/943	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.73840943	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-06	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_384_943_table2:
#Name: J/MNRAS/384/943/table2
#Title: Catalogue of PNe in NGC 1023 and NGC 1023A
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	[NMC2008]	(I3)	Object name ([NMC2008] NGC 1023 NNN in Simbad)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	HV	(I4)	Heliocentric velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	e_HV	(I2)	rms uncertainty on HV	[ucd=stat.error]
#Column	n_HV	(A1)	[abc] Note on HV (1)	[ucd=meta.note]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
recno	[NMC2008]	RAJ2000	DEJ2000	HV	e_HV	n_HV	Simbad
      46	 46	02 40 15.11	+39 04 30.8	 560	13	 	Simbad
      47	 47	02 40 15.25	+39 03 09.1	 372	13	 	Simbad
      48	 48	02 40 15.33	+39 02 55.0	 346	13	 	Simbad
      49	 49	02 40 16.03	+39 03 00.6	 486	13	 	Simbad
      50	 50	02 40 16.17	+39 03 07.8	 545	13	 	Simbad
      51	 51	02 40 16.31	+39 04 22.8	 440	13	 	Simbad
      52	 52	02 40 16.33	+39 02 54.8	 581	13	 	Simbad
      53	 53	02 40 16.35	+39 02 38.8	 775	13	 	Simbad
      54	 54	02 40 16.41	+39 02 06.0	 381	16	 	Simbad
      55	 55	02 40 16.49	+39 04 57.3	 474	14	 	Simbad
      56	 56	02 40 16.60	+39 03 19.1	 460	13	 	Simbad
      57	 57	02 40 16.86	+39 02 19.4	 570	19	 	Simbad
      58	 58	02 40 17.05	+39 01 02.3	 591	13	 	Simbad
      59	 59	02 40 17.17	+39 03 00.3	 467	14	 	Simbad
      60	 60	02 40 17.30	+39 04 03.0	 389	14	 	Simbad
      61	 61	02 40 17.36	+39 04 11.0	 540	13	 	Simbad
      62	 62	02 40 17.56	+39 03 47.3	 635	13	 	Simbad
      63	 63	02 40 17.56	+39 04 09.4	 338	14	 	Simbad
      64	 64	02 40 17.95	+39 04 10.0	 495	13	 	Simbad
      65	 65	02 40 18.09	+39 04 50.2	 466	13	 	Simbad
      66	 66	02 40 18.18	+39 03 55.4	 376	16	 	Simbad
      67	 67	02 40 18.19	+39 03 42.3	 386	17	 	Simbad
      68	 68	02 40 18.31	+39 04 13.9	 348	14	 	Simbad
      69	 69	02 40 18.35	+39 03 58.7	 461	13	 	Simbad
      70	 70	02 40 18.42	+39 03 28.5	 334	13	 	Simbad
      71	 71	02 40 19.22	+39 05 59.3	 898	13	 	Simbad
      72	 72	02 40 19.31	+39 02 51.7	 494	14	 	Simbad
      73	 73	02 40 19.39	+39 03 52.2	 366	13	 	Simbad
      74	 74	02 40 20.20	+39 03 16.4	 427	13	 	Simbad
      75	 75	02 40 20.35	+39 05 01.0	 485	14	 	Simbad
      76	 76	02 40 20.39	+39 04 00.9	 561	18	 	Simbad
      77	 77	02 40 20.40	+39 03 15.2	 444	14	 	Simbad
      78	 78	02 40 20.97	+39 03 49.9	 442	13	 	Simbad
      79	 79	02 40 21.11	+39 03 47.5	 442	14	 	Simbad
      80	 80	02 40 21.12	+39 04 11.7	 543	13	 	Simbad
      81	 81	02 40 21.22	+39 03 08.3	 535	16	 	Simbad
      82	 82	02 40 21.81	+39 01 11.6	 787	18	 	Simbad
      83	 83	02 40 21.85	+39 05 09.1	 619	13	 	Simbad
      84	 84	02 40 21.95	+39 05 25.9	 603	13	 	Simbad
      85	 85	02 40 22.26	+39 02 31.7	 606	13	 	Simbad
      86	 86	02 40 22.27	+39 02 03.8	 661	15	 	Simbad
      87	 87	02 40 22.28	+39 02 51.2	 537	13	 	Simbad
      88	 88	02 40 22.31	+39 04 20.2	 592	13	 	Simbad
      89	 89	02 40 22.32	+39 04 29.5	 586	14	 	Simbad
      90	 90	02 40 22.60	+39 04 39.9	 696	13	 	Simbad
      91	 91	02 40 22.64	+39 04 13.9	 485	14	 	Simbad
      92	 92	02 40 23.06	+39 04 09.2	 675	14	 	Simbad
      93	 93	02 40 23.51	+39 03 26.8	 599	15	 	Simbad
      94	 94	02 40 23.84	+39 04 31.8	 499	13	 	Simbad
      95	 95	02 40 24.05	+39 02 47.4	 582	31	 	Simbad
      96	 96	02 40 24.22	+39 05 27.5	 768	13	 	Simbad
      97	 97	02 40 24.41	+39 03 15.2	 742	14	 	Simbad
      98	 98	02 40 24.49	+39 08 11.0	 737	14	 	Simbad
      99	 99	02 40 25.05	+39 04 47.8	 738	14	 	Simbad
     100	100	02 40 25.06	+39 04 22.4	 588	14	 	Simbad
     101	101	02 40 25.24	+39 04 07.8	 512	17	 	Simbad
     102	102	02 40 25.31	+39 03 16.9	 612	14	 	Simbad
     103	103	02 40 25.33	+39 04 20.9	 571	13	 	Simbad
     104	104	02 40 25.48	+39 04 22.7	 729	14	 	Simbad
     105	105	02 40 25.59	+39 04 53.2	 745	13	 	Simbad
     106	106	02 40 25.78	+39 03 01.5	 531	14	 	Simbad
     107	107	02 40 25.80	+39 03 32.0	 534	13	 	Simbad
     108	108	02 40 25.83	+39 03 35.1	 573	16	 	Simbad
     109	109	02 40 25.94	+39 03 09.6	 591	13	 	Simbad
     110	110	02 40 26.03	+39 02 42.6	 688	13	 	Simbad
     111	111	02 40 26.05	+39 04 30.6	 672	13	 	Simbad
     112	112	02 40 26.22	+39 02 19.8	 566	13	 	Simbad
     113	113	02 40 26.26	+39 02 33.6	 662	13	 	Simbad
     114	114	02 40 26.39	+39 04 47.6	 681	13	 	Simbad
     115	115	02 40 26.82	+39 03 17.4	 691	14	 	Simbad
     116	116	02 40 26.92	+39 04 02.8	 928	13	 	Simbad
     117	117	02 40 27.01	+39 03 46.0	 740	13	 	Simbad
     118	118	02 40 27.08	+39 04 12.6	 767	13	 	Simbad
     119	119	02 40 27.12	+39 03 51.0	 854	17	 	Simbad
     120	120	02 40 27.33	+39 04 01.5	 724	13	 	Simbad
     121	121	02 40 27.35	+39 04 08.4	 801	13	 	Simbad
     122	122	02 40 27.48	+39 04 35.5	 736	13	 	Simbad
     123	123	02 40 27.51	+39 04 39.0	 794	13	 	Simbad
     124	124	02 40 27.52	+39 03 10.9	 625	18	 	Simbad
     125	125	02 40 27.60	+39 04 15.5	 846	13	 	Simbad
     126	126	02 40 28.11	+39 04 06.0	 802	15	 	Simbad
     127	127	02 40 28.18	+39 02 03.1	 410	14	 	Simbad
     128	128	02 40 28.65	+39 03 54.8	 773	13	 	Simbad
     129	129	02 40 28.77	+39 03 47.1	 684	13	 	Simbad
     130	130	02 40 28.87	+39 04 00.2	 846	13	 	Simbad
     131	131	02 40 29.07	+39 03 22.5	 859	13	 	Simbad
     132	132	02 40 29.20	+39 04 35.7	 762	13	 	Simbad
     133	133	02 40 29.31	+39 03 42.2	 726	13	 	Simbad
     134	134	02 40 29.38	+39 04 17.0	 725	16	 	Simbad
     135	135	02 40 29.39	+39 04 21.9	 859	14	 	Simbad
     136	136	02 40 29.43	+39 03 28.4	 745	14	 	Simbad
     137	137	02 40 29.49	+39 03 05.4	 765	13	 	Simbad
     138	138	02 40 29.53	+39 04 45.7	 683	14	 	Simbad
     139	139	02 40 29.65	+39 03 58.8	 649	13	 	Simbad
     140	140	02 40 29.72	+39 02 23.8	 741	13	 	Simbad
     141	141	02 40 30.06	+39 04 00.0	 833	13	 	Simbad
     142	142	02 40 30.25	+39 03 51.4	 835	13	 	Simbad
     143	143	02 40 30.44	+39 04 03.8	 661	17	 	Simbad
     144	144	02 40 30.58	+39 05 54.7	 450	13	 	Simbad
     145	145	02 40 30.60	+39 03 39.0	 855	13	 	Simbad
     146	146	02 40 30.74	+39 03 20.3	 812	13	 	Simbad
     147	147	02 40 31.08	+39 04 38.2	 868	13	 	Simbad
     148	148	02 40 31.29	+39 03 27.2	 809	13	 	Simbad
     149	149	02 40 31.76	+39 03 34.2	 766	14	 	Simbad
     150	150	02 40 31.77	+39 03 41.1	 874	13	 	Simbad
     151	151	02 40 32.48	+39 03 54.6	 772	14	 	Simbad
     152	152	02 40 32.77	+39 04 11.8	 856	13	 	Simbad
     153	153	02 40 32.85	+39 04 49.2	 745	13	 	Simbad
     154	154	02 40 33.21	+39 03 37.7	 776	13	 	Simbad
     155	155	02 40 33.30	+39 03 29.8	 780	13	 	Simbad
     156	156	02 40 33.35	+39 03 47.0	 823	16	 	Simbad
     157	157	02 40 33.39	+39 03 10.6	 786	14	 	Simbad
     158	158	02 40 33.68	+39 04 46.5	 728	13	 	Simbad
     159	159	02 40 33.68	+39 03 24.7	 765	15	 	Simbad
     160	160	02 40 33.76	+39 03 10.5	 810	14	c	Simbad
     161	161	02 40 34.04	+39 04 35.2	 618	13	 	Simbad
     162	162	02 40 34.40	+39 02 37.0	 755	14	c	Simbad
     163	163	02 40 34.50	+39 04 02.9	 813	13	 	Simbad
     164	164	02 40 34.68	+39 03 57.4	 832	17	 	Simbad
     165	165	02 40 34.83	+39 03 43.4	 812	13	 	Simbad
     166	166	02 40 35.53	+39 03 12.3	 745	13	c	Simbad
     167	167	02 40 35.70	+39 03 45.2	 753	13	 	Simbad
     168	168	02 40 35.74	+39 03 26.3	 830	13	c	Simbad
     169	169	02 40 35.76	+39 03 32.8	 777	14	c	Simbad
     170	170	02 40 36.76	+39 03 14.6	 723	13	c	Simbad
     171	171	02 40 36.83	+39 03 46.9	 767	13	c	Simbad
     172	172	02 40 36.86	+39 02 52.3	 741	13	c	Simbad
     173	173	02 40 37.07	+39 03 03.6	 771	14	c	Simbad
     174	174	02 40 37.44	+39 03 23.7	 732	13	c	Simbad
     175	175	02 40 37.55	+39 03 43.2	 722	13	c	Simbad
     176	176	02 40 37.79	+39 03 41.8	 828	13	c	Simbad
     177	177	02 40 37.87	+39 02 25.6	 750	13	c	Simbad
     178	178	02 40 38.01	+39 03 01.5	 744	13	c	Simbad
     179	179	02 40 38.13	+39 03 35.5	 808	13	c	Simbad
     180	180	02 40 38.16	+39 04 14.2	 748	13	 	Simbad
     181	181	02 40 38.79	+39 03 34.8	 848	13	c	Simbad
     182	182	02 40 39.41	+39 04 49.7	 750	13	 	Simbad
     183	183	02 40 39.91	+39 04 12.1	 822	13	c	Simbad
     184	184	02 40 40.04	+39 03 45.9	 736	13	c	Simbad
     185	185	02 40 40.24	+39 05 29.0	 716	13	 	Simbad
     186	186	02 40 40.52	+39 07 01.3	 664	13	 	Simbad
     187	187	02 40 40.71	+39 03 50.4	 781	13	c	Simbad
     188	188	02 40 40.74	+39 05 51.1	 769	13	 	Simbad
     189	189	02 40 40.78	+39 04 38.4	 787	13	 	Simbad
     190	190	02 40 40.85	+39 06 33.6	 700	35	 	Simbad
     191	191	02 40 41.09	+39 04 21.1	 419	13	a	Simbad
     192	192	02 40 41.41	+39 05 17.1	 717	14	 	Simbad
     193	193	02 40 41.67	+39 08 17.0	 610	13	 	Simbad
     194	194	02 40 41.89	+39 01 28.3	 757	13	 	Simbad
     195	195	02 40 42.40	+39 03 43.5	 748	13	c	Simbad
     196	196	02 40 42.54	+39 04 25.3	 813	16	 	Simbad
     197	197	02 40 43.07	+39 02 38.0	 741	13	 	Simbad
     198	198	02 40 43.09	+39 04 04.8	 658	13	 	Simbad
     199	199	02 40 44.40	+39 03 43.5	 785	13	 	Simbad
     200	200	02 40 44.73	+39 02 07.0	1703	13	b	Simbad
     201	201	02 40 44.77	+39 04 07.6	 545	13	 	Simbad
     202	202	02 40 46.40	+39 01 03.4	 452	13	 	Simbad
     203	203	02 40 47.71	+39 06 05.1	 804	13	 	Simbad
     204	204	02 40 48.98	+39 03 58.8	 734	13	 	Simbad

