#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T02:47:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T02:47:29	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/247/31/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22470031
#Name: J/ApJS/247/31
#Title: Dark matter halo models for SPARC galaxies (Li+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	creator=Li P.	    First author or institution
#INFO	cites=bibcode:2020ApJS..247...31L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/247/31	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22470031	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_247_31_table1:
#Name: J/ApJS/247/31/table1
#Title: The best-fit parameters for the 175 SPARC galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy Name	[ucd=meta.id;meta.main]
#Column	Model	(A12)	Dark matter halo profile (1)	[ucd=meta.id;stat.fit]
#Column	Ydisk	(F5.2)	[0.1/4.3] Stellar mass-to-light ratio for disks	[ucd=phys.composition.massLightRatio]
#Column	e_Ydisk	(F5.2)	[0.01/0.6] Error on Ydisk	[ucd=stat.error]
#Column	Ybul	(F5.2)	[0/2.1] Stellar mass-to-light ratio for bulges	[ucd=phys.composition.massLightRatio]
#Column	e_Ybul	(F5.2)	[0/0.3] Error on Ybul	[ucd=stat.error]
#Column	Dist	(F6.2)	[0.02/129] Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/15.1] Error in Dist	[ucd=stat.error]
#Column	inc	(F4.1)	[5.4/90] Disk inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.6/14.3] Error in inc	[ucd=stat.error]
#Column	V200	(F6.2)	[10/500] Rotation velocity at r_200_ (2)	[ucd=phys.veloc.rotat]
#Column	e_V200	(F6.2)	[0.7/158] Error in V200	[ucd=stat.error]
#Column	C200	(F6.2)	[1/999.3] Halo concentration (2)	[ucd=meta.note]
#Column	e_C200	(F6.2)	[0.01/334.2] Error in C200	[ucd=stat.error]
#Column	rs	(F6.2)	[0.02/672] Halo scale radius	[ucd=phys.size.radius;instr.scale]
#Column	e_rs	(F8.2)	[0.01/17815] Error in rs	[ucd=stat.error]
#Column	log(rhos)	(F5.2)	[-5/3.3] Volume density of dark matter halos	[ucd=meta.bib.volume]
#Column	e_log(rhos)	(F6.2)	[0.06/271] Error in log(rhos)	[ucd=stat.error]
#Column	log(M200)	(F5.2)	[8.5/13.6] Halo mass (2)	[ucd=phys.mass]
#Column	e_log(M200)	(F5.2)	[0.02/20.3] Error in log(M200)	[ucd=stat.error]
#Column	alpha	(F5.2)	[0/2] Shape parameter for the Einasto model	[ucd=stat.param]
#Column	e_alpha	(F5.2)	[0/0.75] Error in alpha	[ucd=stat.error;pos.eq.ra]
#Column	chi2	(F5.2)	[0.02/36.6]? Reduced {Chi}^2^ (infinite when blank)	[ucd=stat.fit.chi2]
recno	Name	Model	Ydisk	e_Ydisk	Ybul	e_Ybul	Dist	e_Dist	inc	e_inc	V200	e_V200	C200	e_C200	rs	e_rs	log(rhos)	e_log(rhos)	log(M200)	e_log(M200)	alpha	e_alpha	chi2
      16	D512-2     	NFW-LCDM    	 0.49	 0.12	 0.00	 0.00	 11.05	 3.55	51.1	 9.2	 47.16	  4.80	  8.43	  2.26	  7.66	    2.19	-2.36	  0.40	10.52	 0.13	 0.00	 0.00	
      17	D512-2     	Einasto-Flat	 0.49	 0.15	 0.00	 0.00	 15.78	 4.84	55.0	10.4	 16.42	 90.19	 10.43	  4.88	  2.16	   11.88	-2.20	 10.14	 9.15	 7.16	 1.05	 0.52	
      18	D512-2     	Einasto-LCDM	 0.47	 0.12	 0.00	 0.00	  7.83	 4.07	48.0	10.6	 42.76	  6.21	 11.46	  4.08	  5.11	    1.96	-2.64	  0.54	10.40	 0.19	 0.19	 0.06	
      19	D512-2     	DC14-Flat   	 0.51	 0.14	 0.00	 0.00	 14.72	 5.16	57.5	11.0	 30.11	 69.96	 16.47	 22.70	  2.50	    6.77	-1.98	  4.01	 9.94	 3.03	 0.00	 0.00	
      20	D512-2     	DC14-LCDM   	 0.60	 0.14	 0.00	 0.00	 20.19	 3.00	60.6	 8.9	 57.37	  4.22	 10.19	  2.43	  7.71	    1.93	-2.60	  0.26	10.78	 0.10	 0.00	 0.00	
      21	D512-2     	coreNFW-Flat	 0.49	 0.13	 0.00	 0.00	 15.47	 4.66	55.8	10.2	 23.52	 15.63	 45.11	267.02	  0.71	    4.25	-0.50	  7.86	 9.62	 0.87	 0.00	 0.00	
      22	D512-2     	coreNFW-LCDM	 0.52	 0.13	 0.00	 0.00	 14.58	 3.36	52.8	 8.5	 51.28	  4.17	  8.19	  2.14	  8.58	    2.34	-2.39	  0.38	10.63	 0.11	 0.00	 0.00	
      23	D512-2     	Lucky13-Flat	 0.48	 0.14	 0.00	 0.00	 15.65	 4.67	56.1	10.5	 28.84	 57.33	 22.96	 15.21	  1.72	    3.61	-1.17	  3.77	 9.88	 2.59	 0.00	 0.00	
      24	D512-2     	Lucky13-LCDM	 0.55	 0.14	 0.00	 0.00	 18.63	 3.29	60.4	 8.5	 55.39	  4.33	 10.75	  2.60	  7.06	    1.80	-1.96	  0.35	10.73	 0.10	 0.00	 0.00	
      25	D564-8     	pISO-Flat   	 0.49	 0.13	 0.00	 0.00	  8.79	 0.28	63.2	 7.2	 32.69	 41.13	 33.77	  7.86	  1.33	    1.70	-1.93	  2.34	10.05	 1.64	 0.00	 0.00	 0.26
      26	D564-8     	Burkert-Flat	 0.49	 0.14	 0.00	 0.00	  8.81	 0.28	62.6	 7.2	 21.59	 74.02	 13.61	  2.50	  2.17	    7.46	-1.88	  6.32	 9.51	 4.47	 0.00	 0.00	 0.27
      27	D564-8     	NFW-Flat    	 0.48	 0.12	 0.00	 0.00	  8.79	 0.28	61.2	 7.1	 97.31	 25.15	  1.04	  1.03	128.54	  131.93	-4.26	  1.49	11.47	 0.34	 0.00	 0.00	 3.70
      28	D564-8     	NFW-LCDM    	 0.45	 0.11	 0.00	 0.00	  8.69	 0.28	48.7	 5.9	 36.53	  2.14	  5.27	  1.06	  9.49	    1.98	-2.84	  0.29	10.19	 0.08	 0.00	 0.00	 6.70
      29	D564-8     	Einasto-Flat	 0.50	 0.14	 0.00	 0.00	  8.74	 0.28	63.1	 7.2	 12.33	 97.94	  7.67	  2.10	  2.20	   17.50	-2.52	 14.64	 8.78	10.35	 1.41	 0.49	 6.70
      30	D564-8     	Einasto-LCDM	 0.47	 0.12	 0.00	 0.00	  8.65	 0.28	51.1	 7.6	 37.23	  2.20	  5.56	  0.97	  9.17	    1.68	-3.31	  0.26	10.22	 0.08	 0.35	 0.08	 6.70
      31	D564-8     	DC14-Flat   	 0.51	 0.13	 0.00	 0.00	  8.79	 0.28	62.3	 7.0	 23.24	 18.37	 15.99	  5.00	  1.99	    1.69	-2.16	  1.32	 9.60	 1.03	 0.00	 0.00	 0.35
      32	D564-8     	DC14-LCDM   	 0.52	 0.13	 0.00	 0.00	  8.80	 0.28	64.1	 6.6	 38.09	  2.32	 11.83	  1.33	  4.41	    0.56	-2.43	  0.15	10.25	 0.08	 0.00	 0.00	 2.99
      33	D564-8     	coreNFW-Flat	 0.47	 0.11	 0.00	 0.00	  8.79	 0.28	61.9	 7.2	 55.00	 26.16	  2.18	  2.71	 34.50	   45.84	-3.66	  1.92	10.72	 0.62	 0.00	 0.00	 3.00
      34	D564-8     	coreNFW-LCDM	 0.46	 0.11	 0.00	 0.00	  8.66	 0.28	46.2	 5.9	 36.53	  2.15	  6.21	  1.48	  8.06	    1.98	-2.67	  0.34	10.19	 0.08	 0.00	 0.00	 2.61
      35	D564-8     	Lucky13-Flat	 0.49	 0.13	 0.00	 0.00	  8.81	 0.28	61.8	 7.2	 29.15	 57.07	 13.03	  2.79	  3.06	    6.04	-1.77	  3.62	 9.90	 2.55	 0.00	 0.00	 0.55
      36	D564-8     	Lucky13-LCDM	 0.52	 0.13	 0.00	 0.00	  8.81	 0.28	63.1	 6.6	 37.68	  2.26	 11.14	  1.33	  4.63	    0.62	-1.93	  0.19	10.23	 0.08	 0.00	 0.00	 1.42
      37	D631-7     	pISO-Flat   	 0.40	 0.08	 0.00	 0.00	  7.65	 0.18	56.7	 3.0	 97.03	 10.38	 31.06	  2.63	  4.28	    0.58	-2.00	  0.23	11.46	 0.14	 0.00	 0.00	 0.85
      38	D631-7     	Burkert-Flat	 0.40	 0.08	 0.00	 0.00	  7.69	 0.18	57.0	 3.0	 64.01	  8.79	 12.80	  0.89	  6.85	    1.05	-1.95	  0.27	10.92	 0.18	 0.00	 0.00	 0.95
      39	D631-7     	NFW-Flat    	 0.33	 0.06	 0.00	 0.00	  7.63	 0.18	53.6	 3.0	272.79	 41.59	  1.00	  0.30	372.83	  124.27	-4.29	  0.51	12.81	 0.20	 0.00	 0.00	 6.05
      40	D631-7     	NFW-LCDM    	 0.39	 0.07	 0.00	 0.00	  7.62	 0.18	57.9	 2.7	 54.53	  2.56	  5.59	  0.48	 13.35	    1.31	-2.78	  0.14	10.71	 0.06	 0.00	 0.00	12.21
      41	D631-7     	Einasto-Flat	 0.42	 0.08	 0.00	 0.00	  7.66	 0.18	57.2	 3.0	 31.07	 23.72	  7.39	  0.68	  5.76	    4.43	-2.49	  1.41	 9.98	 0.99	 1.95	 0.38	12.21
      42	D631-7     	Einasto-LCDM	 0.40	 0.08	 0.00	 0.00	  7.65	 0.18	54.9	 3.0	 47.98	  2.68	  6.95	  0.34	  9.45	    0.70	-2.81	  0.13	10.55	 0.07	 0.82	 0.11	12.21
      43	D631-7     	DC14-Flat   	 0.42	 0.08	 0.00	 0.00	  7.67	 0.18	56.7	 2.9	 62.42	  6.75	 15.28	  1.57	  5.59	    0.83	-2.17	  0.20	10.89	 0.14	 0.00	 0.00	 1.42
      44	D631-7     	DC14-LCDM   	 0.45	 0.08	 0.00	 0.00	  7.71	 0.18	59.4	 2.7	 52.08	  2.35	 16.51	  0.95	  4.32	    0.32	-2.13	  0.09	10.65	 0.06	 0.00	 0.00	 2.05
      45	D631-7     	coreNFW-Flat	 0.33	 0.06	 0.00	 0.00	  7.58	 0.18	52.1	 3.1	138.65	 54.69	  2.52	  0.96	 75.51	   41.40	-3.54	  0.89	11.93	 0.51	 0.00	 0.00	 5.01
      46	D631-7     	coreNFW-LCDM	 0.36	 0.07	 0.00	 0.00	  7.51	 0.18	52.9	 2.8	 50.14	  2.50	  8.27	  0.94	  8.30	    1.04	-2.38	  0.18	10.60	 0.07	 0.00	 0.00	 7.43
      47	D631-7     	Lucky13-Flat	 0.40	 0.08	 0.00	 0.00	  7.70	 0.18	56.8	 3.0	 96.88	 21.38	 11.55	  1.03	 11.49	    2.73	-1.89	  0.42	11.46	 0.29	 0.00	 0.00	 1.18
      48	D631-7     	Lucky13-LCDM	 0.43	 0.08	 0.00	 0.00	  7.67	 0.18	59.6	 2.7	 54.97	  2.59	 14.49	  0.92	  5.20	    0.41	-1.66	  0.12	10.72	 0.06	 0.00	 0.00	 3.58
      49	DDO064     	pISO-Flat   	 0.51	 0.13	 0.00	 0.00	  7.00	 2.15	60.1	 5.0	 63.26	 64.31	 66.22	 45.78	  1.31	    1.61	-1.35	  2.10	10.91	 1.32	 0.00	 0.00	 0.48
      50	DDO064     	Burkert-Flat	 0.49	 0.14	 0.00	 0.00	  6.92	 2.11	60.1	 5.0	 32.80	 84.30	 24.24	 10.77	  1.85	    4.83	-1.24	  4.77	10.05	 3.35	 0.00	 0.00	 0.45
      51	DDO064     	NFW-Flat    	 0.49	 0.12	 0.00	 0.00	  7.56	 2.01	61.2	 5.0	289.31	109.22	  1.08	  1.89	365.87	  653.61	-4.23	  2.56	12.89	 0.49	 0.00	 0.00	 0.69
      52	DDO064     	NFW-LCDM    	 0.50	 0.12	 0.00	 0.00	  7.00	 1.32	60.1	 4.7	 47.77	  3.40	  7.88	  1.83	  8.30	    2.01	-2.43	  0.33	10.54	 0.09	 0.00	 0.00	 1.05
      53	DDO064     	Einasto-Flat	 0.47	 0.14	 0.00	 0.00	  7.20	 2.14	58.7	 5.0	 17.09	133.27	 11.90	  4.91	  1.97	   15.36	-1.88	 14.38	 9.20	10.16	 1.85	 0.48	 1.05
      54	DDO064     	Einasto-LCDM	 0.50	 0.13	 0.00	 0.00	  5.52	 1.56	59.8	 5.0	 44.39	  4.44	 10.05	  3.18	  6.05	    2.01	-2.67	  0.46	10.45	 0.13	 0.30	 0.08	 1.05
      55	DDO064     	DC14-Flat   	 0.49	 0.13	 0.00	 0.00	  7.06	 1.96	60.5	 5.0	 37.45	 42.16	 27.84	 14.50	  1.84	    2.29	-1.58	  1.90	10.22	 1.47	 0.00	 0.00	 0.41
      56	DDO064     	DC14-LCDM   	 0.58	 0.15	 0.00	 0.00	 10.50	 1.39	62.8	 4.7	 53.71	  3.86	 14.21	  3.25	  5.18	    1.24	-2.28	  0.25	10.69	 0.09	 0.00	 0.00	 0.60
      57	DDO064     	coreNFW-Flat	 0.49	 0.13	 0.00	 0.00	  6.99	 2.06	59.8	 5.1	 34.62	 86.60	 18.22	 13.53	  2.60	    6.79	-1.53	  4.71	10.12	 3.26	 0.00	 0.00	 0.45
      58	DDO064     	coreNFW-LCDM	 0.48	 0.12	 0.00	 0.00	  7.43	 1.22	60.2	 4.7	 48.27	  3.22	  9.79	  2.42	  6.76	    1.73	-2.20	  0.35	10.55	 0.09	 0.00	 0.00	 0.44
      59	DDO064     	Lucky13-Flat	 0.50	 0.14	 0.00	 0.00	  7.16	 2.02	60.0	 5.1	 48.26	 84.32	 22.05	  8.62	  3.00	    5.37	-1.21	  3.26	10.55	 2.28	 0.00	 0.00	 0.48
      60	DDO064     	Lucky13-LCDM	 0.53	 0.14	 0.00	 0.00	  9.98	 1.44	62.7	 4.7	 53.02	  3.78	 13.90	  2.93	  5.23	    1.16	-1.70	  0.31	10.68	 0.09	 0.00	 0.00	 0.50
      61	DDO154     	pISO-Flat   	 0.41	 0.08	 0.00	 0.00	  4.09	 0.20	64.8	 3.0	 56.65	  1.78	 49.26	  3.59	  1.58	    0.13	-1.61	  0.12	10.76	 0.04	 0.00	 0.00	 3.23
      62	DDO154     	Burkert-Flat	 0.43	 0.08	 0.00	 0.00	  4.08	 0.20	64.3	 3.0	 34.87	  0.95	 18.05	  0.99	  2.65	    0.16	-1.57	  0.09	10.13	 0.04	 0.00	 0.00	 1.63
      63	DDO154     	NFW-Flat    	 0.27	 0.05	 0.00	 0.00	  4.23	 0.20	66.2	 2.9	 59.42	  3.32	  4.92	  0.44	 16.53	    1.74	-2.91	  0.16	10.82	 0.07	 0.00	 0.00	13.70
      64	DDO154     	NFW-LCDM    	 0.33	 0.05	 0.00	 0.00	  4.24	 0.19	70.0	 2.6	 49.18	  1.63	  5.83	  0.39	 11.55	    0.87	-2.74	  0.11	10.58	 0.04	 0.00	 0.00	16.57
      65	DDO154     	Einasto-Flat	 0.48	 0.11	 0.00	 0.00	  4.02	 0.20	63.7	 3.0	 22.69	  1.02	  9.13	  0.41	  3.40	    0.22	-2.34	  0.11	 9.57	 0.06	 1.19	 0.16	16.57
      66	DDO154     	Einasto-LCDM	 0.30	 0.06	 0.00	 0.00	  4.07	 0.20	62.9	 3.1	 34.84	  1.90	  8.45	  0.50	  5.64	    0.46	-2.73	  0.13	10.13	 0.07	 0.49	 0.04	16.57
      67	DDO154     	DC14-Flat   	 0.48	 0.09	 0.00	 0.00	  4.08	 0.20	64.5	 2.9	 38.57	  1.04	 21.72	  1.11	  2.43	    0.14	-1.83	  0.07	10.26	 0.04	 0.00	 0.00	 1.68
      68	DDO154     	DC14-LCDM   	 0.42	 0.08	 0.00	 0.00	  4.16	 0.19	64.8	 2.7	 38.72	  0.98	 21.13	  1.03	  2.51	    0.14	-1.86	  0.06	10.27	 0.03	 0.00	 0.00	 1.64
      69	DDO154     	coreNFW-Flat	 0.29	 0.05	 0.00	 0.00	  3.97	 0.21	64.3	 3.1	 53.70	  2.84	  6.16	  0.59	 11.95	    1.31	-2.68	  0.16	10.69	 0.07	 0.00	 0.00	 9.69
      70	DDO154     	coreNFW-LCDM	 0.34	 0.06	 0.00	 0.00	  3.96	 0.21	67.7	 2.7	 46.41	  1.58	  7.02	  0.55	  9.06	    0.77	-2.55	  0.12	10.50	 0.04	 0.00	 0.00	11.88
      71	DDO154     	Lucky13-Flat	 0.36	 0.07	 0.00	 0.00	  4.11	 0.20	64.7	 2.9	 41.52	  1.22	 19.16	  1.12	  2.97	    0.19	-1.36	  0.09	10.36	 0.04	 0.00	 0.00	 4.08
      72	DDO154     	Lucky13-LCDM	 0.39	 0.07	 0.00	 0.00	  4.19	 0.19	66.6	 2.7	 41.17	  1.09	 18.48	  1.01	  3.05	    0.18	-1.40	  0.09	10.35	 0.03	 0.00	 0.00	 4.18
      73	DDO161     	pISO-Flat   	 0.50	 0.11	 0.00	 0.00	  8.16	 1.46	71.4	 9.1	 75.20	  5.54	 20.13	  7.59	  5.12	    1.96	-2.36	  0.54	11.13	 0.10	 0.00	 0.00	 0.36
      74	DDO161     	Burkert-Flat	 0.51	 0.11	 0.00	 0.00	  7.53	 1.51	71.0	 8.6	 54.53	  4.34	 10.03	  2.32	  7.45	    1.82	-2.21	  0.34	10.71	 0.10	 0.00	 0.00	 0.29
      75	DDO161     	NFW-Flat    	 0.33	 0.08	 0.00	 0.00	  7.74	 1.44	71.4	 8.7	 96.97	 14.87	  2.10	  1.09	 63.34	   34.25	-3.70	  0.77	11.46	 0.20	 0.00	 0.00	 1.01
      76	DDO161     	NFW-LCDM    	 0.47	 0.11	 0.00	 0.00	  4.78	 0.90	81.1	 5.2	 61.54	  2.97	  6.24	  1.50	 13.50	    3.32	-2.67	  0.33	10.87	 0.06	 0.00	 0.00	 1.99
      77	DDO161     	Einasto-Flat	 0.55	 0.12	 0.00	 0.00	  8.00	 1.51	70.5	 8.5	 37.78	  6.24	  5.25	  0.92	  9.87	    2.38	-3.01	  0.39	10.24	 0.22	 1.43	 0.38	 1.99
      78	DDO161     	Einasto-LCDM	 0.46	 0.11	 0.00	 0.00	  3.34	 1.17	69.5	 9.4	 44.28	  4.70	 10.64	  2.23	  5.70	    1.34	-2.48	  0.34	10.44	 0.14	 0.43	 0.06	 1.99
      79	DDO161     	DC14-Flat   	 0.50	 0.11	 0.00	 0.00	  7.46	 1.40	69.7	 8.6	 57.20	  4.33	 11.62	  2.85	  6.74	    1.73	-2.48	  0.27	10.78	 0.10	 0.00	 0.00	 0.25
      80	DDO161     	DC14-LCDM   	 0.48	 0.10	 0.00	 0.00	  7.98	 1.08	70.5	 7.4	 57.57	  3.01	 10.47	  1.87	  7.53	    1.40	-2.58	  0.19	10.78	 0.07	 0.00	 0.00	 0.25
