#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:04:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:04:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/160/271/table1&-out.max=unlimited&-out=AGC,Flag,RAJ2000,DEJ2000,RVel,Dist,e_Dist,b/a,e_b/a,imag	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51600271
#Name: J/AJ/160/271
#Title: A catalog of ~30000 galaxies with ALFALFA-SDSS (Durbala+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/aj/160/271	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/160/271	    IVOID of underlying data collection
#INFO	creator=Durbala A.	    First author or institution
#INFO	cites=bibcode:2020AJ....160..271D	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/160/271	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51600271	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_160_271_table1:
#Name: J/AJ/160/271/table1
#Title: Basic optical properties of cross-listed objects in the ALFALFA-SDSS catalog
#Column	AGC	(I6)	[1/749512] AGC catalog identifier	[ucd=meta.id;meta.main]
#Column	Flag	(I1)	[0/3] Photometry flag (1)	[ucd=meta.code.error]
#Column	RAJ2000	(F10.6)	[0.003/360] Right Ascension (J2000) (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	[-0.21/36.4] Declination (J2000) (2)	[ucd=pos.eq.dec;meta.main]
#Column	RVel	(I5)	[-430/17823] HI profile midpoint heliocentric radial velocity	[ucd=spect.dopplerVeloc;spect.line;pos.heliocentric]
#Column	Dist	(F5.1)	[0.3/260] Distance from Haynes+, 2018, J/ApJ/861/49	[ucd=pos.distance]
#Column	e_Dist	(F4.1)	[0/30.9] Uncertainty in Dist	[ucd=stat.error]
#Column	b/a	(F5.2)	[0.05/1]? Axial ratio b/a from SDSS r band	[ucd=phys.angSize;arith.ratio]
#Column	e_b/a	(F6.2)	[0.01/865]? Uncertainty in b/a (4)	[ucd=stat.error]
#Column	imag	(F5.2)	[9.58/30.89]? SDSS i band cmodel magnitude	[ucd=phot.mag;em.opt.I]
AGC	Flag	RAJ2000	DEJ2000	RVel	Dist	e_Dist	b/a	e_b/a	imag
    43	1	001.510000	+14.41722	 5291	 74.8	 2.2	 0.39	  0.01	15.95
    44	1	001.579580	+19.73472	 6238	 88.5	 2.3	 0.87	  0.02	15.46
    46	1	001.589580	+17.43000	 5461	 77.3	 2.3	 0.28	  0.01	14.92
    47	2	001.660000	+17.28444	  877	 12.9	 2.4	 0.58	  0.21	21.05
    49	1	001.657500	+08.36750	 5232	 73.9	 2.3	 0.69	  0.01	14.27
    50	1	001.667080	+26.15389	 7556	103.1	 2.4	 0.49	  0.01	13.70
    51	1	001.667920	+05.11333	 5367	 95.9	19.3	 0.72	  0.01	13.49
    52	1	001.706250	+08.62806	 5257	 71.5	14.1	 0.84	  0.01	12.71
    53	1	001.709580	+19.32139	 7890	107.7	 2.2	 0.91	  0.01	15.01
    56	1	001.756670	+14.10611	 5429	 83.6	15.9	 0.75	  0.01	14.78
    57	1	001.816250	+27.70778	 4550	 74.1	15.3	 0.82	  0.01	12.30
    58	1	001.820000	+08.30167	 3832	 53.9	 2.3	 0.56	  0.01	12.62
    59	1	001.821250	+27.67778	 7559	103.2	 2.4	 0.53	  0.01	13.45
    60	1	001.831250	+32.60889	 5076	 75.2	15.0	 0.27	  0.01	12.61
    63	1	001.961670	+35.96584	  441	  7.5	 2.2	 0.58	  0.01	15.22
    65	1	002.006670	+33.07028	 4893	 68.9	 4.3	 0.57	  0.01	12.92
    66	1	002.028330	+09.71750	 6416	 86.5	 2.3	 0.52	  0.01	13.25
    67	1	002.061250	+07.78000	11828	163.9	 2.3	 0.39	  0.01	13.15
    69	1	002.045420	+27.52750	 4637	 44.1	 8.9	 0.74	  0.01	13.58
    74	1	002.186250	+04.61250	 3932	 55.3	 2.3	 0.77	  0.01	12.64
    75	1	002.192920	+15.81639	  855	  5.7	 1.1	 0.64	  0.01	12.48
    76	1	002.205420	+24.54000	 4583	 65.5	12.5	 0.42	  0.01	15.62
    77	1	002.198750	+33.43250	 4820	 59.4	12.3	 0.63	  0.01	12.61
    78	1	002.227920	+23.81722	 4534	 64.0	 2.3	 0.45	  0.01	14.20
    79	1	002.268330	+25.61806	 4336	 67.6	13.6	 0.66	  0.01	14.32
    81	1	002.267920	+10.91889	 6682	 90.4	 2.3	 0.45	  0.01	13.74
    86	1	002.450830	+27.83195	 8312	114.0	 2.1	 0.67	  0.01	12.73
    88	1	002.466670	+04.67444	 4105	 57.7	 2.4	 0.70	  0.01	13.28
    89	1	002.472080	+25.92389	 4569	 53.7	10.6	 0.63	  0.01	11.60
    90	1	002.507080	+16.94028	  906	 13.2	 2.3	 0.20	  0.01	16.25
    91	1	002.513750	+28.14972	 8203	112.4	 2.3	 0.27	  0.01	14.08
    92	1	002.508330	+28.21000	 8171	112.0	 2.3	 0.87	  0.01	13.57
    93	1	002.570000	+30.84945	 4952	 70.0	 2.3	 0.70	  0.01	13.64
    94	1	002.608330	+25.83195	 4592	 68.5	14.9	 0.69	  0.01	12.86
    95	1	002.610000	+28.98778	 7852	107.4	 2.2	 0.27	  0.01	14.38
    96	1	002.636250	+28.99639	 7022	 95.6	 2.2	 0.41	  0.01	13.07
    97	1	002.649170	+28.68167	 8125	111.3	 2.4	 0.63	  0.01	13.28
    98	1	002.670000	+32.98250	 4789	 63.4	13.1	 0.56	  0.01	13.00
    99	1	002.669580	+13.70944	 1739	 24.5	 2.3	 0.74	  0.01	14.81
   100	1	002.695830	+33.35250	 4769	 68.8	 4.2	 0.49	  0.01	12.94
   101	1	002.737500	+25.56000	10230	141.3	 2.2	 0.51	  0.01	13.71
   102	1	002.754580	+30.05194	 6788	 92.3	 2.3	 0.62	  0.01	12.75
   105	1	002.809580	+28.90639	 8055	110.3	 2.3	 0.58	  0.01	13.42
   106	1	002.843330	+06.38917	 6027	 69.8	13.6	 0.77	  0.01	12.35
   107	1	002.908750	+27.94778	 7437	101.5	 2.2	 0.27	  0.01	14.35
   108	1	002.937920	+28.49889	 7912	108.3	 2.4	 0.54	  0.01	13.67
   110	1	003.005420	+26.39305	 4507	 55.0	10.9	 0.61	  0.01	14.63
   111	1	003.037080	+12.04556	 6347	 65.2	12.6	 0.34	  0.01	14.58
   113	1	003.065420	+22.32111	 7616	103.9	 2.3	 0.37	  0.01	13.27
   114	1	003.078750	+31.06083	 4856	 67.6	 4.3	 0.88	  0.01	13.06
   116	1	003.159580	+05.50500	 8479	116.0	 2.2	 0.31	  0.01	14.16
   117	1	003.226670	+33.36083	 4759	 67.1	 2.3	 0.71	  0.01	14.09
   119	1	003.262920	+14.40944	 2026	 28.4	 2.4	 0.51	  0.01	13.61
   122	3	003.323330	+17.02917	  853	 12.6	 4.4	     	      	
   123	1	003.362500	+17.48639	 5018	 73.6	 4.1	 0.72	  0.01	12.86
   127	1	003.485420	+26.96750	 4683	 66.0	 2.3	 0.63	  0.01	15.53
   128	1	003.461670	+35.99333	 4535	 63.9	 2.5	 0.55	  0.01	15.07
   129	1	003.483330	+03.71361	11843	164.1	 2.4	 0.64	  0.01	13.84
   132	1	003.503330	+12.96389	 1678	 23.6	 2.3	 0.35	  0.01	14.40
   135	1	003.553750	+07.41083	 5833	 73.8	14.9	 0.18	  0.01	15.57
   140	1	003.667500	+18.58195	 5399	 76.2	 2.1	 0.28	  0.01	12.56
   143	1	003.813750	+05.88750	13316	185.2	 2.3	 0.58	  0.01	14.10
   148	1	003.964170	+16.08945	 4203	 46.3	 9.6	 0.27	  0.01	13.08
   149	1	003.989580	+14.07611	 5478	 83.6	16.3	 0.32	  0.01	14.48
   152	1	004.118750	+29.92361	 4860	 66.1	12.8	 0.31	  0.01	14.85
   154	1	004.171670	+02.46111	 4114	 57.7	 2.3	 0.70	  0.02	16.36
   155	1	004.184170	+07.07639	 3967	 58.6	11.7	 0.24	  0.01	12.58
   156	2	004.200830	+12.35000	 1135	 16.2	 4.4	 0.45	  0.04	14.74
   157	1	004.224170	+27.84778	 9089	125.1	 2.4	 0.58	  0.01	13.55
   159	1	004.316670	+17.52250	 1006	 14.5	 2.3	 0.80	  0.05	16.73
   160	2	004.265420	+34.49944	 4670	 65.8	 2.3	 0.63	  0.07	19.02
   161	2	004.291670	+06.71889	 5693	 80.3	 2.3	 0.62	  0.05	16.83
   163	1	004.330000	+06.72222	 5643	 93.8	18.9	 0.96	  0.01	14.75
   164	1	004.349170	+18.08389	 5452	 76.9	 2.3	 0.34	  0.01	13.65
   165	1	004.424170	+24.66750	 6042	 84.3	17.4	 0.27	  0.01	14.01
   166	1	004.399170	+30.20472	 4831	 58.6	11.5	 0.48	  0.01	13.93
   167	1	004.439580	+11.45028	 1155	 18.2	 1.8	 0.64	  0.01	11.72
   168	1	004.544170	+18.29222	 5542	 78.2	 2.2	 0.39	  0.01	13.92
   169	1	004.577500	+19.39278	 5439	 76.7	 2.4	 0.93	  0.01	13.33
   172	1	004.602080	+17.83417	 5584	 78.8	 2.3	 0.22	  0.01	15.41
   174	1	004.593750	+30.07944	 7181	 94.3	 4.3	 0.73	  0.01	12.30
   179	1	004.752500	+23.47611	 4462	 58.6	12.0	 0.56	  0.01	14.22
   180	1	004.784580	+15.74944	10907	150.8	 2.3	 0.33	  0.01	13.54
   181	1	004.750830	+19.39778	 5351	 75.5	 2.2	 0.40	  0.01	13.74
   184	1	004.862080	+13.16083	 5252	 74.0	 2.2	 0.52	  0.03	16.11
   186	1	004.952920	+23.77222	 5822	 82.3	 2.3	 0.42	  0.01	13.26
   187	1	004.947080	+09.16667	 5439	 76.6	 2.3	 0.37	  0.01	14.18
   188	1	004.998750	+20.00472	 7818	106.8	 2.2	 0.50	  0.01	15.70
   189	1	004.989580	+15.09194	 7620	103.9	 2.2	 0.58	  0.01	14.82
   191	1	005.021250	+10.87917	 1144	 16.1	 4.4	 0.66	  0.01	14.80
   194	1	005.114170	+00.83306	 5511	 77.5	 2.3	 0.67	  0.01	12.78
   195	1	005.083750	+07.70000	 5713	 67.6	13.1	 0.27	  0.01	13.99
   197	1	005.202500	+20.03111	 7697	105.0	 2.3	 0.72	  0.01	13.71
   198	1	005.231250	+21.86583	 5595	 82.2	 4.2	 0.83	  0.01	13.00
   199	1	005.215830	+12.85583	 1802	 25.2	 2.5	 0.35	  0.05	16.30
   200	1	005.243330	+17.68778	 5232	 73.7	 2.4	 0.58	  0.02	17.65
   201	1	005.249580	+07.62167	11833	164.0	 2.3	 0.25	  0.01	15.14
   204	1	005.322920	+23.09083	 5709	 70.2	13.9	 0.65	  0.01	13.41
   205	1	005.333750	+17.34083	 5277	 56.8	11.0	 0.43	  0.01	14.60
   207	1	005.379580	+29.66194	 7026	 95.7	 2.3	 0.32	  0.01	14.29
   208	1	005.463750	+22.39972	 5352	 82.2	 4.3	 0.87	  0.01	13.23
   209	1	005.513330	+22.40805	 5688	 82.2	 4.3	 0.48	  0.01	12.25
   210	1	005.520830	+23.73667	 4488	 71.5	15.0	 0.44	  0.01	14.20
   211	1	005.563330	+20.60833	 5635	 79.5	 2.3	 0.21	  0.01	15.69
   214	1	005.556670	+10.49111	 5381	 75.7	 2.3	 0.77	  0.01	12.14
   215	1	005.610000	+29.50361	 7091	 96.6	 2.3	 0.53	  0.01	13.11
   217	1	005.637500	+28.12028	 4755	 66.8	 2.2	 0.74	  0.02	15.68
   218	1	005.707500	+06.96389	12144	168.5	 2.3	 0.97	  0.01	12.98
   219	1	005.737920	+16.25278	 5235	 87.9	18.5	 0.33	  0.01	14.56
   221	1	005.795420	+27.43194	 3904	 54.6	 2.4	 0.73	  0.01	14.19
   222	1	005.782920	+35.14722	 6108	 86.5	 2.4	 0.20	  0.01	16.71
   223	1	005.815000	+20.26583	 5717	 80.7	 2.3	 0.62	  0.01	15.00
   226	1	005.950830	+14.68361	 5314	 64.6	13.1	 0.38	  0.01	14.00
   228	1	005.985830	+24.30583	 5682	 85.5	17.1	 0.67	  0.01	13.53
   229	1	005.972500	+28.33250	 7218	 98.4	 2.2	 0.56	  0.01	14.75
   230	1	005.997500	+15.77056	 5312	 74.8	 2.3	 0.83	  0.01	13.42
   231	1	006.010830	+16.48611	  842	 18.4	 3.8	 0.15	  0.01	13.55
   232	1	006.161250	+33.25583	 4839	 68.0	 2.3	 0.62	  0.01	13.21
   233	1	006.178330	+14.82444	 5281	 74.3	 2.2	 0.88	  0.01	13.82
   234	1	006.193330	+29.55972	 4669	 58.6	12.2	 0.41	  0.01	14.66
   238	1	006.263750	+31.34417	 6801	 92.6	 2.3	 0.31	  0.01	13.13
   240	1	006.292500	+06.49056	 8668	118.8	 2.3	 0.46	  0.01	13.39
   241	1	006.320420	+12.88361	 5168	 72.7	 2.2	 0.79	  0.01	12.90
   242	1	006.370420	+20.23722	 4392	 61.5	 2.3	 0.72	  0.01	12.82
   244	1	006.375000	+24.81083	 4553	 55.5	11.4	 0.52	  0.01	13.92
   245	1	006.458750	+05.41500	11756	162.9	 2.3	 0.36	  0.01	14.07
   246	1	006.499170	+29.21167	 4766	 66.9	 2.4	 0.73	  0.01	11.89
   247	1	006.495830	+14.34778	11183	154.8	 2.3	 0.25	  0.01	15.20
   248	1	006.529580	+25.72528	10170	140.5	 2.3	 0.42	  0.01	13.84
   249	1	006.542920	+13.65361	 5274	 74.2	 2.4	 0.57	  0.01	14.05
   250	1	006.529170	+16.43667	12718	176.7	 2.3	 0.77	  0.01	13.81
   252	1	006.604170	+01.02000	 5344	 75.0	 2.2	 0.65	  0.01	15.25
   253	1	006.610420	+06.28222	11441	158.4	 2.4	 0.53	  0.01	14.19
   255	1	006.702920	+31.70306	 6294	 86.7	17.1	 0.42	  0.01	13.30
   260	2	006.762080	+11.58389	 2133	 29.1	 5.8	 0.20	  0.02	17.04
   261	1	006.821670	+24.16917	 7409	101.1	 2.3	 0.69	  0.01	13.26
   265	1	006.809580	+20.07167	 5597	 78.9	 2.3	 0.62	  0.01	13.62
   268	1	006.897920	+08.87722	13011	180.9	 2.3	 0.69	  0.01	13.76
   270	1	006.988750	+32.77500	 4923	 69.2	 2.2	 0.28	  0.01	15.16
   273	1	007.027920	+25.99639	 5600	 78.9	 2.3	 0.52	  0.01	15.98
   275	1	006.994170	+02.50722	 4388	 42.3	 8.7	 0.56	  0.01	13.50
   277	1	007.057500	+03.23333	 4360	 61.3	 4.3	 0.51	  0.01	14.06
   278	1	007.088330	+27.36889	 9591	132.3	 2.4	 0.27	  0.01	14.46
   279	1	007.063750	+30.80250	 6308	 84.3	17.8	 0.33	  0.01	13.13
   281	1	007.092080	+02.52667	 4291	 64.0	12.4	 0.38	  0.01	14.78
   282	1	007.077080	+03.38361	 4086	 57.1	 2.1	 0.71	  0.01	14.12
   283	1	007.090000	+03.38917	 3991	 55.7	 2.1	 0.60	  0.01	14.39
   284	1	007.143330	+33.27195	 4733	 76.6	14.8	 0.67	  0.01	13.87
   286	1	007.209170	+02.83833	 5274	 74.9	 4.1	 0.93	  0.01	12.31
   287	1	007.227080	+10.17417	 5558	 78.2	 2.4	 0.90	  0.01	13.94
   290	1	007.285000	+15.89889	  764	 12.8	 2.5	 0.29	  0.01	16.02
   291	1	007.302500	+33.10389	 4817	 67.6	 2.2	 0.71	  0.02	15.58
   294	1	007.347080	+31.38194	 6334	 85.9	 2.2	 0.10	  0.01	15.61
   297	1	007.433750	+21.47556	 5592	 78.7	 2.3	 0.22	  0.01	13.68
   299	1	007.472500	+31.39305	 6307	121.9	24.8	 0.57	  0.01	13.85
   300	1	007.517500	+03.51278	 1345	 18.6	 2.4	 0.92	  0.03	15.89
   301	1	007.544580	+02.09306	 5360	 74.8	 4.4	 0.69	  0.01	12.16
   302	1	007.608750	+25.14222	 5413	 76.2	 2.4	 0.87	  0.02	15.48
   305	1	007.642500	+13.36583	 9974	137.5	 2.1	 0.82	  0.01	13.45
   307	1	007.718750	+10.67139	 5200	 73.0	 2.2	 0.62	  0.01	14.19
   310	1	007.824170	+28.99306	 4657	 50.4	10.3	 0.29	  0.01	14.62
   311	1	007.835420	+30.79222	 6430	 87.3	 2.2	 0.77	  0.01	13.09
   312	1	007.849580	+08.46667	 4360	 53.7	10.3	 0.32	  0.01	13.35
   313	1	007.858330	+06.20639	 2101	 29.1	 2.3	 0.60	  0.01	13.47
   316	1	007.899580	+14.61195	11432	158.4	 2.2	 0.12	  0.01	14.31
   317	1	007.930000	+00.90056	 5362	 75.2	 2.3	 0.77	  0.02	15.90
   319	1	008.050420	+31.68139	 6344	 86.1	 2.2	 0.61	  0.01	14.23
   320	1	008.128750	+02.57389	 2373	 39.8	 7.9	 0.19	  0.01	15.22
   321	1	008.135000	+23.39444	 4665	 58.9	11.2	 0.31	  0.01	15.29
   323	1	008.210420	+11.73611	 4907	 59.4	11.5	 0.31	  0.01	14.08
   325	1	008.267080	+22.20139	 7757	106.0	 2.3	 0.88	  0.01	14.66
   327	1	008.314170	+07.90472	 5397	 79.4	15.8	 0.42	  0.01	14.48
   329	1	008.400830	+02.68056	 4388	 53.2	10.6	 0.52	  0.01	14.22
   334	1	008.478330	+31.45000	 4625	 64.7	 2.3	 0.54	  0.01	15.35
   337	1	008.603330	+24.60361	 5334	 74.9	 2.2	 0.83	  0.02	15.54
   340	1	008.602500	+12.26750	 9511	131.0	 2.4	 0.29	  0.01	13.32
   342	1	008.636250	+03.60194	 6419	 86.8	 2.4	 0.60	  0.01	14.16
   345	1	008.703750	+28.41000	 4178	 53.0	10.8	 0.31	  0.01	15.11
   346	1	008.733330	+31.94861	 5912	 77.3	15.0	 0.42	  0.01	13.89
   348	1	008.863330	+02.93500	 4214	 58.8	 2.3	 0.72	  0.01	14.66
   349	1	008.850830	+03.39583	 6442	 87.1	 2.1	 0.47	  0.01	14.36
   351	1	008.902080	+09.12361	 5316	 93.3	18.8	 0.56	  0.01	12.03
   352	1	008.944170	+24.23722	 5149	 74.5	15.2	 0.77	  0.01	15.11
   353	1	008.914170	+08.99722	 5073	 79.1	16.0	 0.42	  0.01	14.25
   354	3	008.991250	+24.03750	 5612	 78.9	 2.3	     	      	
   355	1	008.982500	+31.87056	 6349	 86.2	 2.4	 0.45	  0.01	13.42
   356	1	009.016670	+23.95861	 5247	 82.8	16.0	 0.63	  0.01	11.99
   357	1	009.042080	+21.46417	 9263	127.5	 2.3	 0.56	  0.01	14.52
   358	1	009.054170	+01.71194	 5447	 76.4	 2.2	 0.96	  0.01	13.88
   359	1	009.044170	+04.63500	 4993	 38.4	 7.6	 0.32	  0.01	14.37
   362	1	009.142080	+32.74639	 6067	 85.7	 2.3	 0.50	  0.02	16.02
   364	1	009.187920	+21.56639	 8902	122.4	 2.4	 0.40	  0.01	13.41
   365	1	009.214580	+23.99139	 4607	 97.7	19.2	 0.33	  0.01	11.99
   369	1	009.302080	+01.94167	 4366	 60.9	 2.3	 0.77	  0.01	12.27
   370	1	009.294170	+13.05250	 4509	 63.0	 2.3	 0.84	  0.01	15.22
   371	1	009.338330	+29.14889	 5275	 74.1	13.4	 0.18	  0.01	14.16
   373	1	009.391670	+09.55639	12037	167.0	 2.4	 0.31	  0.01	13.87
   374	1	009.416250	+10.35750	 4588	 64.1	 2.2	 0.77	  0.01	13.50
   376	1	009.475420	+32.68889	 4821	 74.8	15.1	 0.22	  0.01	15.51
   377	1	009.447080	+04.02389	 5334	 74.8	 2.3	 0.56	  0.01	15.67
   379	1	009.490420	+05.14778	 5226	 60.8	12.2	 0.24	  0.01	15.75
   380	1	009.490420	+08.63444	 5281	 60.8	11.7	 0.65	  0.01	12.18
   382	1	009.552080	+02.72806	 5257	 73.9	 4.3	 0.72	  0.01	12.03
   384	1	009.592080	+32.63778	 4703	 65.8	 2.2	 0.73	  0.01	13.91
   385	1	009.602920	+13.48556	11141	154.3	 2.3	 0.51	  0.01	15.14
   386	1	009.598750	+15.03917	 5380	 38.7	 7.2	 0.77	  0.01	13.54
   388	1	009.632500	+30.28944	 5401	 82.0	16.5	 0.49	  0.01	14.57
   393	1	009.665830	+17.40250	 5431	125.3	25.5	 0.47	  0.01	13.81
   397	1	009.727920	+07.06278	12127	168.3	 2.4	 0.89	  0.01	13.01
   398	1	009.738750	+25.63917	 4613	 63.8	 4.3	 0.82	  0.01	13.33
   399	1	009.771250	+06.02083	 5238	 42.1	 8.3	 0.45	  0.01	13.82
   400	1	009.826250	+29.65805	 5506	 77.4	 2.2	 0.81	  0.01	14.21
   401	1	009.805830	+00.86361	 4111	 59.0	 4.2	 0.33	  0.01	11.99
   402	1	009.827920	+03.95222	 5291	 74.1	 2.3	 0.82	  0.01	13.22
   403	1	009.825420	+13.09944	10398	143.7	 2.3	 0.30	  0.01	15.04
   404	1	009.839170	+13.11333	10610	146.7	 2.4	 0.37	  0.01	15.95
   409	1	009.852080	+04.56861	 5163	 72.3	 2.3	 0.58	  0.01	14.48
   414	1	009.845830	+02.79750	 5249	 73.8	 4.4	 0.95	  0.01	12.23
   415	1	009.888330	+03.13861	 4586	 64.0	 2.3	 0.73	  0.01	12.61
   416	1	009.887080	+03.93306	 4742	 66.3	 2.3	 0.67	  0.01	15.16
   417	1	009.866250	+04.17500	 6291	 88.5	 2.2	 0.78	  0.03	16.68
