#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:45:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:45:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out=Name,P1T,P2T,%3CT%3E,%3CF%3E,%3CType%3E,AC,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
Name	P1T	P2T	<T>	<F>	<Type>	AC	_RA	_DE
NGC 115   	S\underline{A}B(s)d                          	SAB(s)d                                      	 7.0	 0.38	SAB(s)d                                                  	F	006.69282	-33.67710
UGC 260   	SBd sp                                       	Sc sp pec / E(d)7-8                          	 6.0	 1.00	SB:cd sp pec / E(d)7-8                                   	 	006.76213	+11.58381
ESO 410-12	Sd: sp                                       	dIm sp                                       	 8.5	     	Sd\underline{m}: sp                                      	 	007.07379	-27.98289
UGC 290   	Im sp                                        	dIm sp                                       	10.0	     	Im sp                                                    	 	007.28487	+15.89911
NGC 131   	SAB(r\underline{s})b:                        	SAB(r\underline{s})cd:                       	 4.5	 0.50	SAB(r\underline{s})b\underline{c}:                       	F	007.41050	-33.25972
NGC 134   	S\underline{A}B(rs)bc                        	SA(rs)bc                                     	 4.0	 0.12	SA(rs)bc                                                 	M	007.59122	-33.24535
UGC 313   	(R_1_')SB_a(s)b /Sph                         	(R_1_')SAB_a(s)bc / Sph                      	 3.5	 0.75	(R_1_')SA\underline{B}_a_(s)\underline{b}c / Sph         	G	007.85883	+06.20676
ESO 79-3  	SB_x(s:)a spw                                	SAB_x0/a spw / E(d)5                         	 0.5	 0.75	SA\underline{B}_x_(s:)0/\underline{a} spw / E(d)5        	 	008.00888	-64.25347
UGC 320   	Sd: sp                                       	SABd sp                                      	 7.0	 0.50	SAB:d: sp                                                	 	008.12887	+02.57417
IC 1553   	Sc: spw                                      	Scd spw / E5-6                               	 5.5	     	S\underline{c}d: spw / E5-6                              	 	008.16715	-25.60753
ESO 410-18	SA(s)dm                                      	SA(s)m                                       	 8.5	 0.00	SA(s)d\underline{m}                                      	F	008.54654	-30.77414
NGC 150   	SAB(r\underline{s})ab                        	S\underline{A}B(r\underline{s})ab            	 2.0	 0.38	SAB(r\underline{s})ab                                    	G	008.56450	-27.80366
NGC 148   	(L)S\underline{A}B(r,nl)0^+^                 	(L)SA(r,nd)0^+^                              	-1.0	 0.12	(L)SA(r,nd)0^+^                                          	 	008.56455	-31.78599
IC 1555   	SA(s)dm:                                     	SAd                                          	 7.5	 0.00	SA(s:)\underline{d}m:                                    	 	008.63643	-30.01794
NGC 157   	SA(s)bc                                      	SA(s)c                                       	 4.5	 0.00	SA(s)b\underline{c}                                      	G	008.69480	-08.39649
IC 1558   	SA(s)dm                                      	SA(s)dm                                      	 8.0	 0.00	SA(s)dm                                                  	 	008.94371	-25.37222
NGC 178   	Pec (merger)                                 	S pec                                        	    	     	S pec (merger?)                                          	F	009.78497	-14.17285
NGC 210   	(R_1_',R_2_'L)SAB(r'l,nr)ab                  	(R_1_'L2)SAB(r'l,nl)ab                       	 2.0	 0.50	(R_1_',R_2_'L)SAB(r'l,nrl)ab                             	G	010.14592	-13.87280
ESO 79-5  	SB(s)m                                       	SA\underline{B}(s)m                          	 9.0	 0.88	SB(s)m                                                   	F	010.18523	-63.44029
NGC 216   	SA\underline{B}(s)dm                         	SAB(s)dm:                                    	 8.0	 0.62	SAB(s)dm:                                                	 	010.36202	-21.04803
PGC 2492  	SAB(\underline{r}s)d                         	SAB(r'l)dm                                   	 7.5	 0.50	SAB(r'l)\underline{d}m                                   	F	010.43983	-16.86081
ESO 540-16	SB(s)dm sp                                   	SAB(s)d sp                                   	 7.5	 0.75	SA\underline{B}(s)\underline{d}m sp                      	 	010.56123	-18.16180
IC 1574   	IBm sp?                                      	dIm                                          	10.0	 1.00	IB:m                                                     	 	010.76592	-22.24689
NGC 244   	(L)SA(rs:)m                                  	SA(s)m                                       	 9.0	 0.00	(L)SA(r\underline{s})m:                                  	 	011.44346	-15.59688
PGC 2689  	IB(s)m                                       	SB(s)m                                       	 9.5	 1.00	S/IB(s)m                                                 	 	011.51417	-11.50556
UGC 477   	SB(s)d sp                                    	SB(s)d sp                                    	 7.0	 1.00	SB(s)d sp                                                	 	011.55482	+19.48990
IC 51     	PRG                                          	SA(s)b sp / SA0^o^ (PRG?)                    	 3.0	 0.00	SA(s)b sp / SA0^o^ (PRG?)                                	 	011.60090	-13.44240
ESO 411-13	SB(s)m: sp                                   	SB(s)m sp                                    	 9.0	 1.00	SB(s)m: sp                                               	 	011.77625	-31.58167
NGC 247   	SAB(s)d                                      	SA(s)dm                                      	 7.5	 0.25	S\underline{A}B(s)\underline{d}m                         	F	011.78564	-20.76040
NGC 254   	(R)SAB(l)0^+^                                	(RL)S\underline{A}B(l)0^+^                   	-1.0	 0.38	(\underline{R}L)SAB(l)0^+^                               	 	011.86498	-31.42170
NGC 253   	SB(\underline{r}s)bc sp                      	SB(\underline{r}s)bc                         	 4.0	 1.00	SB(\underline{r}s)bc sp                                  	G	011.88806	-25.28880
NGC 255   	SB(rs)cd                                     	SB(rs)d                                      	 6.5	 1.00	SB(rs)c\underline{d}                                     	F	011.94712	-11.46870
PGC 2805  	SB(s)dm sp                                   	SB(s)m sp                                    	 8.5	 1.00	SB(s)d\underline{m} sp                                   	 	011.94808	-09.89953
ESO 540-31	Im                                           	dIm                                          	10.0	     	Im                                                       	 	012.45542	-21.01611
ESO 79-7  	SB(s)dm                                      	SB(s)dm                                      	 8.0	 1.00	SB(s)dm                                                  	F	012.51717	-66.55275
NGC 274   	(R)SA(l)0^-^                                 	(R)SA0^-^                                    	-3.0	 0.00	(R)SA(l:)0^-^                                            	 	012.75780	-07.05687
NGC 275   	S pec                                        	SB(s)dm pec                                  	 8.0	     	Sdm pec                                                  	F	012.76708	-07.06447
PGC 3062  	dIm /Sph                                     	Im: sp / Sph                                 	10.0	     	Im: sp / Sph                                             	 	013.07179	-03.96661
NGC 289   	(R:,R'L)SA\underline{B}(rs,\underline{r}s)ab 	(R'L)SAB(rs,rs)a                             	 1.5	 0.62	(R',R'L)SAB(rs,rs)\underline{a}b:                        	M	013.17652	-31.20583
ESO 411-26	SB(s)dm                                      	dIm                                          	 9.0	 1.00	SB:(s:)m                                                 	F	013.18904	-31.71814
IC 1596   	SA(rs)bc:                                    	SA(s)b:                                      	 3.5	 0.00	SA(r\underline{s})\underline{b}c:                        	 	013.67843	+21.52265
NGC 300   	SA(s)dm                                      	SA(s)dm                                      	 8.0	 0.00	SA(s)dm                                                  	M	013.72283	-37.68438
NGC 298   	SB(s)dm                                      	SB(s)dm                                      	 8.0	 1.00	SB(s)dm                                                  	F	013.75978	-07.33309
ESO 541-4 	SAB(s)b                                      	SA(s)bc                                      	 3.5	 0.25	S\underline{A}B(s)\underline{b}c                         	M	014.74168	-18.74266
ESO 541-5 	SB(s)m                                       	SB(s)m                                       	 9.0	 1.00	SB(s)m                                                   	F	014.82546	-20.57897
NGC 337   	SAB(s)cd: pec                                	SAB(rs)cd pec                                	 6.0	 0.50	SAB(r\underline{s})cd: pec                               	F	014.95871	-07.57796
UGC 634   	dIAB(s)m ,N                                  	Im                                           	10.0	 0.50	IAB:(s:)m                                                	 	015.35496	+07.62603
PGC 3667  	SB(s)dm                                      	                                             	 8.0	 1.00	SB(s)dm                                                  	 	015.35496	+07.62603
NGC 337A  	SAB(s)m                                      	SAB(s)m                                      	 9.0	 0.50	SAB(s)m                                                  	F	015.39161	-07.58854
NGC 360   	SB(s)bc sp                                   	SA(s)bc                                      	 4.0	 0.50	SAB(s)bc sp                                              	M	015.71436	-65.60999
IC 1613   	dIm                                          	dIm                                          	10.0	     	dIm                                                      	 	016.19917	+02.11778
PGC 3853  	(R')SB(\underline{r}s)cd                     	SA\underline{B}(rs)cd                        	 6.0	 0.88	(R')SB(rs)cd                                             	M	016.27032	-06.21238
PGC 3855  	dSB0 ,N /Sph                                 	SBm: sp                                      	 9.0	 1.00	SBm: sp                                                  	 	016.28600	-06.27931
NGC 406   	SAB(s)dm                                     	SAB(s)dm                                     	 8.0	 0.50	SAB(s)dm                                                 	F	016.85442	-69.87924
UGC 711   	Sm: sp                                       	Sdm sp                                       	 8.5	     	Sd\underline{m}: sp                                      	 	017.15529	+01.64053
PGC 4143  	dSAB0^o^ /Sph                                	dSA0^o^ / Sph                                	11.0	     	dS0: /Sph                                                	 	017.42308	-02.26669
NGC 428   	SAB(s)dm                                     	S\underline{A}B(s)dm                         	 8.0	 0.38	SAB(s)dm                                                 	F	018.23212	+00.98158
NGC 450   	SAB(s)cd                                     	SAB(s)d                                      	 6.5	 0.50	SAB(s)c\underline{d}                                     	F	018.87696	-00.86083
UGC 807   	SA(s)b                                       	SA(s)b                                       	 3.0	 0.00	SA(s)b                                                   	 	018.89585	-00.84777
NGC 470   	S\underline{A}B(r\underline{s})ab            	(R')SA(s)ab                                  	 2.0	 0.12	(R')SA(s)ab                                              	M	019.93685	+03.40997
NGC 473   	(L)SA(r)0^+^                                 	SA(r)0^+^                                    	-1.0	 0.00	(L)SA(r)0^+^                                             	 	019.97947	+16.54464
NGC 474   	(R')SAB(l)0/a pec                            	(R')S\underline{A}B(s)0/a pec                	 0.0	 0.38	(R')SAB(r'l)0/a pec                                      	 	020.02790	+03.41527
UGC 866   	SAm: sp                                      	SAd                                          	 8.0	 0.00	SAdm: sp                                                 	 	020.02862	-00.20581
UGC 882   	I\underline{A}B(s)m                          	Im                                           	10.0	 0.25	I\underline{A}B:(s:)m                                    	 	020.23179	+06.57408
UGC 891   	IAB(s)m:                                     	SAB(s)dm sp                                  	 9.0	 0.50	SAB(s)m: sp                                              	F	020.32954	+12.41172
PGC 90540 	Sdm sp                                       	dIm sp                                       	 9.0	     	Sm sp                                                    	 	020.34921	-01.86281
NGC 485   	SB(r\underline{s})c                          	(R')SAB(s)c                                  	 5.0	 0.75	(R')SA\underline{B}(s)c                                  	G	020.36497	+07.01806
NGC 488   	SA(rl)a                                      	SA(rs,r)0/a                                  	 0.5	 0.00	SA(rs,\underline{r}l)0/\underline{a}                     	M	020.44520	+05.25672
UGC 903   	Sb sp / E(d)4                                	Sa sp / E(d)6                                	 2.0	     	Sab sp / E(d)5                                           	 	020.44914	+17.59238
NGC 489   	(R)S0^+^ sp                                  	SA(rl)0^+^ sp                                	-1.0	 0.00	(R)SA:(rl:)0^+^ sp                                       	 	020.47460	+09.20649
NGC 493   	SA(rs)d sp                                   	SA(s)d                                       	 7.0	 0.00	SA(r\underline{s})d sp                                   	M	020.53744	+00.94534
UGC 941   	dIm                                          	Im                                           	10.0	     	Im                                                       	 	020.88508	+06.96056
NGC 514   	S\underline{A}B(s)c                          	SA(s)c                                       	 5.0	 0.12	SA(s)c                                                   	M	021.01627	+12.91735
IC 101    	SA(s)a                                       	SA(s)a                                       	 1.0	 0.00	SA(s)a                                                   	 	021.03560	+09.93056
UGC 964   	SB(s)dm sp                                   	Sdm sp / E(d)6-7                             	 8.0	 1.00	SB:(s:)dm sp / E(d)6-7                                   	 	021.14606	+07.72124
NGC 518   	S\underline{A}B(s,nd)0^+^ sp                 	SA(r'l,nd)0^+^                               	-1.0	 0.12	SA(r'l,nd)0^+^ sp                                        	 	021.07343	+09.33096
UGC 958   	SB(s)m sp                                    	Sd spw                                       	 8.0	 1.00	SB:(s:)dm spw                                            	 	021.14261	+16.53696
NGC 520   	Pec (merger)                                 	Pec (merger)                                 	    	     	Pec (merger)                                             	 	021.14613	+03.79241
NGC 522   	S0^o^ sp                                     	SAB_xa spw                                   	-0.5	 0.50	SAB:_x_\underline{0}/a spw                               	 	021.19106	+09.99462
NGC 532   	SAB_xa_(r)0^+^                               	SAB_xa_(\underline{r}s)0/a                   	-0.5	 0.50	SAB_{xa}_(r)\underline{0}/a                              	 	021.32228	+09.26409
PGC 5329  	SB(s)m                                       	Im:                                          	 9.5	 1.00	S/Im:                                                    	 	021.49158	-03.98172
PGC 5341  	SB(s)c sp                                    	SA(s)c sp                                    	 5.0	 0.50	SAB(s)c sp                                               	 	021.56008	-06.09417
UGC 1014  	SAB(s)m                                      	Im                                           	 9.5	 0.50	S/IAB:(s:)m                                              	F	021.59846	+06.27722
ESO 476-10	Im: sp                                       	Im sp                                        	10.0	     	Im: sp                                                   	 	021.67700	-25.31422
UGC 1020  	SB_a0^o^                                     	SAB_a0^o^                                    	-2.0	 0.75	SA\underline{B}_a_0^o^                                   	 	021.68332	+17.26448
NGC 578   	SB(s)cd                                      	SA\underline{B}(s)cd                         	 6.0	 0.88	SB(s)cd                                                  	M	022.61895	-22.66721
IC 1711   	SB_x0/a sp                                   	SAB_x(l:)0^o^                                	-1.0	 0.75	SA\underline{B}_x_0^+^: sp                               	 	022.73028	+17.18848
NGC 584   	S\underline{A}B0^-^                          	SA(l)0^-^ /E(d)2                             	-3.0	 0.12	SA(l:)0^-^ / E(d)2                                       	 	022.83648	-06.86806
UGC 1104  	dE /Sph                                      	SA(s)d                                       	 7.0	 0.00	SA(s)d / Sph                                             	 	023.17722	+18.31710
ESO 13-16 	SB(rs)cd                                     	SB(rs)cd                                     	 6.0	 1.00	SB(rs)cd                                                 	F	023.20167	-79.47389
NGC 600   	SB(r\underline{s})d                          	SB(r\underline{s})cd                         	 6.5	 1.00	SB(r\underline{s})c\underline{d}                         	M	023.27205	-07.31141
UGC 1110  	SB(s)d sp                                    	SB(s)d                                       	 7.0	 1.00	SB(s)d sp                                                	 	023.32361	+13.33244
UGC 1112  	IB(s)m                                       	SAB(s)m                                      	 9.5	 0.75	S/IA\underline{B}(s)m                                    	 	023.32829	+03.07058
NGC 613   	SB(\underline{r}s,nr)b                       	SB(\underline{r}s,bl,nr)b                    	 3.0	 1.00	SB(\underline{r}s,bl,nr)b                                	M	023.57598	-29.41849
UGC 1133  	dIm                                          	Im                                           	10.0	     	Im                                                       	 	023.76200	+04.38125
NGC 625   	IBm / Sph                                    	IABm                                         	10.0	 0.75	IA\underline{B}m                                         	 	023.76930	-41.43620
NGC 615   	(R_2_')S\underline{A}B_x(\underline{r}l)a    	(R')SA(r)ab                                  	 1.5	 0.12	(R')SA_x_(r)\underline{a}b                               	M	023.77365	-07.34030
PGC 90553 	Sm: sp                                       	dIm sp                                       	 9.5	     	S/Im: sp                                                 	 	023.88208	+02.03139
NGC 628   	SA(s)c                                       	SA(s)c                                       	 5.0	 0.00	SA(s)c                                                   	M	024.17405	+15.78346
PGC 6048  	dIm/dS0 /Sph                                 	Im / Sph                                     	10.0	     	Im / Sph                                                 	 	024.49942	-07.56658
UGC 1176  	Im                                           	dIm / Sph                                    	10.0	     	Im / Sph                                                 	 	025.04329	+15.90517
PGC 6190  	SA\underline{B}(s)d sp                       	SAB(s)cd                                     	 6.5	 0.62	SAB(s)c\underline{d} sp                                  	 	025.11596	-05.52056
PGC 6228  	SB(r\underline{s})dm                         	(R'L)SB(r\underline{s})dm                    	 8.0	 1.00	(R'L)SB(r\underline{s})dm                                	M	025.27962	-05.56811
PGC 6244  	SAB(s)m pec                                  	SAB(s)dm                                     	 8.5	 0.50	SAB(s)d\underline{m} pec                                 	F	025.40000	-16.14639
NGC 658   	SA(r\underline{s})bc                         	SA(rs)bc                                     	 4.0	 0.00	SA(rs)bc                                                 	M	025.54024	+12.60193
UGC 1195  	SB(s)m                                       	SABdm                                        	 8.5	 0.75	SA\underline{B}(s:)d\underline{m}                        	F	025.61246	+13.97697
UGC 1197  	SB(s)m sp                                    	SB(s)m sp                                    	 9.0	 1.00	SB(s)m sp                                                	 	025.63769	+18.30569
UGC 1200  	dE/dIm                                       	Im / dE3                                     	11.0	     	dIm / dE3                                                	 	025.70162	+13.15556
NGC 660   	PRG                                          	SAB_xa_ab / PRG                              	 2.0	 0.50	SAB_{xa}_ab / PRG                                        	 	025.75979	+13.64568
ESO 245-5 	IAB(s)m                                      	SAB(s)m                                      	 9.5	 0.50	S/IAB(s)m                                                	 	026.26542	-43.59778
UGC 1240  	Im sp                                        	Sdm: sp                                      	 9.0	     	Sm: sp                                                   	 	026.58612	+04.26392
ESO 114-7 	IB(s)m                                       	SAB(s)m / clump group                        	 9.5	 0.75	S/IA\underline{B}(s)m / clump group                      	 	026.62654	-58.67417
IC 1727   	SB(s)m                                       	SB(s)m                                       	 9.0	 1.00	SB(s)m                                                   	 	026.87454	+27.33335
NGC 685   	SB(s)cd                                      	SB(s)d                                       	 6.5	 1.00	SB(s)c\underline{d}                                      	F	026.92834	-52.76176
NGC 672   	(R')SB(s)d                                   	(R')SB(s)d                                   	 7.0	 1.00	(R')SB(s)d                                               	F	026.97718	+27.43278
PGC 6626  	                                             	SA\underline{B}(rs)cd                        	 6.0	 0.75	SA\underline{B}(rs)cd                                    	F	027.10708	-12.38194
PGC 6629  	SAB(s)b                                      	SA(s)b                                       	 3.0	 0.25	S\underline{A}B(s)b                                      	 	027.13378	-12.38747
NGC 676   	SA(r)0^+^ sp                                 	SA(r)0^+^                                    	-1.0	 0.00	SA(r)0^+^ sp                                             	 	027.23908	+05.90714
PGC 6706  	dE3 ,N /Sph                                  	IAm / Sph                                    	10.0	     	IAm / Sph                                                	 	027.41708	-12.82472
PGC 6667  	SB(s)dm                                      	SAB(s)d                                      	 7.5	 0.75	SA\underline{B}(s)\underline{d}m                         	F	027.29327	-10.06071
NGC 681   	Sb sp / E(d)3                                	SA(s)bc sp / E(d)3                           	 3.5	 0.00	SA:(s:)\underline{b}c sp / E(d)3                         	 	027.29520	-10.42654
IC 163    	SB(s)m                                       	SB(s)dm                                      	 8.5	 1.00	SB(s)d\underline{m}                                      	F	027.31243	+20.71132
NGC 678   	S\underline{A}B(s,nd)0/a sp                  	SAB(s,nd)a sp                                	 0.5	 0.38	SAB(s,nd)0/\underline{a} sp                              	 	027.35358	+21.99730
PGC 6703  	SB(s)d sp                                    	(RL)SABd sp                                  	 7.0	 0.75	(RL)SA\underline{B}(s:)d sp                              	 	027.40803	-13.57093
NGC 680   	SA(l)0^o^ pec                                	SA(rs)0^o^ pec                               	-2.0	 0.00	SA(r'l)0^o^ pec                                          	 	027.44703	+21.97083
NGC 693   	S0^o^[d] sp                                  	S0^o^[d] / E(d)5                             	-2.0	     	S0^o^[d] sp / E(d)5                                      	 	027.62853	+06.14521
NGC 691   	(R)SA(rs,r)ab                                	(R)SA(rs,l)ab                                	 2.0	 0.00	(R)SA(rs,rl)ab                                           	M	027.67384	+21.75990
NGC 701   	SB(\underline{r}s)d                          	SB(rs)d                                      	 7.0	 1.00	SB(rs)d                                                  	M	027.76603	-09.70259
ESO 245-7 	Im                                           	dIm                                          	10.0	     	Im                                                       	 	027.77625	-44.44472
IC 167    	SB(s)cd                                      	SAB(s)cd                                     	 6.0	 0.75	SA\underline{B}(s)cd                                     	G	027.78604	+21.91244
PGC 6864  	SB(s)m sp                                    	Sm:                                          	 9.0	 1.00	SB:(s:)m: sp                                             	 	027.86817	-06.51706
PGC 6898  	SB(s)m sp                                    	SAB(s)m sp                                   	 9.0	 0.75	SA\underline{B}(s)m sp                                   	F	027.95875	-05.49753
PGC 6909  	SA(s)m                                       	SA(s)m:                                      	 9.0	 0.00	SA(s)m:                                                  	 	028.00713	-05.50358
NGC 718   	(R')SAB(rs,nl)a                              	(LR_1_')SAB(r'l,nl)a                         	 1.0	 0.50	(L,R')SAB(rs,nl)a                                        	G	028.30548	+04.19592
NGC 723   	(R')SA(s)bc                                  	SA(rs)c                                      	 4.5	 0.00	(R')SA(r\underline{s})b\underline{c}                     	F	028.44032	-23.75777
