#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-15T18:49:42 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-15T18:49:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/A+A/709/A254/m1149&-out=ID,RAJ2000,DEJ2000,F814W,ReF814W,nF814W,F160W&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_37090254
#Name: J/A+A/709/A254
#Title: 4 HFF clusters members structural parameters (Granata+, 2026)
#INFO	ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/709/a254	    IVOID of underlying data collection
#INFO	creator=Granata G.	    First author or institution
#INFO	cites=bibcode:2026A&A...709A.254G	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2026	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/709/A254	    Dataset landing page
#INFO	publication_date=2026-05-25	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_709_A254_m1149:
#Name: J/A+A/709/A254/m1149
#Title: Structural parameters for MACS J1149.6+2223 members
#Column	ID	(I3)	[1/279] Object ID number in serial order within the table (ID)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F9.5)	Right Ascension (J2000) (RA)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000) (DEC)	[ucd=pos.eq.dec;meta.main]
#Column	F814W	(F6.2)	Total F814W AB magnitude (MAG_F814W)	[ucd=phot.mag;em.opt.I]
#Column	ReF814W	(F6.2)	Circularised F814W effective radius in kpc (RE_F814W)	[ucd=meta.ref;pos.frame]
#Column	nF814W	(F6.2)	F814W Sersic index (N_F814W)	[ucd=stat.fit.param]
#Column	F160W	(F6.2)	Total F160W AB magnitude (MAG_F160W)	[ucd=phot.mag;em.IR.H]
ID	RAJ2000	DEJ2000	F814W	ReF814W	nF814W	F160W
 35	177.40544	+22.39787	 20.56	  2.28	  4.79	 19.44
 36	177.40239	+22.39803	 23.39	  1.25	  1.58	 22.46
 37	177.39860	+22.39808	 21.91	  1.82	  3.47	 20.91
 38	177.40752	+22.40305	 19.80	  2.50	  4.46	 18.56
 39	177.39453	+22.40063	 22.32	  2.73	  3.09	 21.58
 40	177.40040	+22.39821	 22.73	  0.44	  2.28	 21.21
 41	177.40172	+22.39880	 22.81	  0.56	  2.49	 21.72
 42	177.40226	+22.39975	 21.32	  1.39	  2.75	 20.25
 43	177.40748	+22.39912	 23.09	  1.11	  1.66	 22.47
 44	177.40120	+22.40033	 20.56	  1.33	  4.44	 19.64
 45	177.39752	+22.39954	 21.76	  1.30	  3.22	 20.79
 46	177.39965	+22.39961	 22.09	  1.18	  2.97	 20.89
 47	177.39796	+22.40105	 20.23	  2.60	  4.55	 19.10
 48	177.40516	+22.39977	 22.84	  0.92	  2.62	 21.71
 49	177.39097	+22.40168	 20.95	  1.49	  5.03	 19.89
 50	177.39726	+22.40030	 23.05	  2.37	  2.06	 22.28
 51	177.39527	+22.40105	 22.12	  1.13	  3.56	 21.03
 52	177.39138	+22.40107	 22.54	  0.65	  2.47	 21.44
 53	177.39920	+22.40090	 24.05	  1.27	  2.63	 23.24
 54	177.40402	+22.40213	 23.03	  1.39	  3.25	 21.99
 55	177.39886	+22.40181	 21.64	  1.27	  3.80	 20.62
 56	177.39217	+22.40128	 22.91	  0.49	  2.07	 21.78
 57	177.40288	+22.40201	 22.96	  1.55	  2.95	 21.98
 58	177.39381	+22.40231	 22.67	  1.31	  4.13	 21.69
 59	177.40404	+22.40304	 21.87	  2.98	  0.95	 21.44
 60	177.39762	+22.40288	 22.88	  1.40	  1.92	 21.89
 61	177.40372	+22.40458	 20.62	  2.37	  4.35	 19.47
 62	177.39015	+22.40390	 21.81	  1.01	  4.74	 20.66
 63	177.39109	+22.40491	 20.31	  3.02	  7.93	 19.34
 64	177.40306	+22.40438	 21.55	  1.08	  3.73	 20.52
 65	177.39792	+22.40394	 23.14	  1.41	  1.47	 22.16
 66	177.39183	+22.40529	 21.22	  0.99	  3.82	 19.98
 67	177.39846	+22.40536	 22.56	  1.29	  2.51	 21.44
 68	177.40629	+22.40541	 22.57	  0.86	  0.57	 21.66
 69	177.40291	+22.37792	 22.35	  1.48	  0.99	 21.64
 70	177.40242	+22.37604	 23.54	  1.10	  1.54	 22.56
 71	177.39958	+22.37614	 24.75	  1.22	  1.00	 23.79
 72	177.40344	+22.37789	 22.15	  3.06	  3.15	 21.21
 73	177.39902	+22.38020	 20.83	  1.95	  3.21	 19.95
 74	177.40268	+22.37871	 23.75	  2.10	  1.04	 22.82
 75	177.39928	+22.38142	 19.99	  4.30	  5.50	 18.97
 76	177.41221	+22.38331	 19.31	  5.94	  5.04	 18.28
 77	177.40131	+22.37972	 24.07	  1.70	  2.23	 22.77
 78	177.40602	+22.38105	 22.50	  2.34	  1.79	 21.95
 79	177.41047	+22.38024	 22.45	  1.19	  1.82	 21.44
 80	177.41187	+22.38241	 20.40	  2.38	  3.27	 19.20
 81	177.40473	+22.38222	 21.63	  1.18	  2.05	 20.53
 82	177.41407	+22.38362	 21.15	  2.21	  4.47	 19.97
 83	177.41043	+22.38404	 20.75	  2.53	  2.48	 19.63
 84	177.40217	+22.38283	 24.08	  1.07	  1.29	 23.47
 85	177.40125	+22.38364	 24.26	  1.53	  1.44	 23.34
 86	177.41795	+22.38553	 21.15	  3.57	  1.38	 20.42
 87	177.41071	+22.38590	 20.25	  4.21	  4.56	 19.20
 88	177.40675	+22.38745	 21.16	  3.74	  3.85	 20.31
 89	177.40261	+22.38406	 23.73	  0.60	  1.13	 23.78
 90	177.40413	+22.38533	 22.58	  1.37	  2.66	 21.48
 91	177.40405	+22.38638	 21.08	  1.24	  3.32	 19.74
 92	177.41864	+22.38959	 20.13	  2.33	  4.32	 18.99
 93	177.41427	+22.39025	 22.66	  3.57	  1.49	 22.50
 94	177.41042	+22.38593	 24.18	  0.77	  1.54	 22.72
 95	177.40368	+22.38839	 21.99	  0.88	  2.39	 21.02
 96	177.41013	+22.38940	 20.90	  1.39	  2.97	 19.72
 97	177.40447	+22.38957	 24.44	  1.60	  1.02	 23.78
 98	177.41179	+22.39050	 23.13	  1.04	  1.71	 22.10
 99	177.41625	+22.39233	 21.36	  1.18	  4.17	 20.17
100	177.40259	+22.39108	 24.51	  1.01	  1.77	 23.55
101	177.40951	+22.39284	 21.94	  1.35	  3.72	 20.84
102	177.40850	+22.39322	 22.31	  1.27	  2.21	 21.32
103	177.41464	+22.39432	 21.17	  1.36	  4.05	 19.85
104	177.41288	+22.39365	 21.81	  2.72	  4.23	 21.11
105	177.42014	+22.39443	 22.54	  0.88	  2.35	 21.59
106	177.40367	+22.39406	 24.47	  1.62	  1.00	 23.80
107	177.40921	+22.39438	 22.94	  1.98	  2.30	 22.53
108	177.41064	+22.39513	 22.29	  0.92	  2.53	 21.22
109	177.41182	+22.39605	 22.50	  1.50	  2.41	 21.45
110	177.40945	+22.39536	 23.06	  0.79	  3.43	 22.01
111	177.41201	+22.39761	 22.11	  0.77	  3.65	 20.95
112	177.41380	+22.39792	 21.56	  3.16	  7.24	 20.80
113	177.40887	+22.39664	 24.37	  0.80	  2.15	 23.55
114	177.41593	+22.39695	 23.85	  0.88	  1.82	 22.72
115	177.40727	+22.39789	 24.15	  1.27	  1.29	 23.24
116	177.40988	+22.39783	 23.33	  1.43	  1.93	 22.31
117	177.39693	+22.37792	 21.42	  2.67	  0.69	 20.00
118	177.39679	+22.37850	 22.32	  1.23	  2.49	 21.66
119	177.38849	+22.38666	 17.04	  8.46	  4.19	 16.29
120	177.39469	+22.37862	 22.15	  1.56	  3.68	 21.16
121	177.38044	+22.38118	 19.32	  7.42	  0.82	 18.58
122	177.39691	+22.37773	 24.69	  0.62	  0.79	 23.24
123	177.39034	+22.38076	 21.55	  1.36	  3.41	 20.31
124	177.39347	+22.37981	 24.65	  0.91	  1.51	 23.75
125	177.38060	+22.38194	 22.49	  0.83	  5.73	 20.81
126	177.38918	+22.38208	 23.92	  1.11	  1.46	 22.89
127	177.37877	+22.38249	 21.06	  2.18	  1.18	 20.50
128	177.38900	+22.38480	 22.91	  0.76	  2.25	 22.12
129	177.38398	+22.38474	 21.44	  0.99	  3.43	 20.21
130	177.39676	+22.38379	 23.51	  1.28	  1.35	 22.47
131	177.39610	+22.38410	 23.09	  1.44	  2.10	 22.03
132	177.38275	+22.39024	 20.53	  2.12	  1.48	 19.06
133	177.38467	+22.38703	 20.34	  3.17	  4.51	 19.26
134	177.37945	+22.38389	 23.85	  0.96	  1.13	 23.19
135	177.38759	+22.38759	 22.06	  2.92	  4.91	 21.32
136	177.38758	+22.38702	 20.84	  1.90	  1.92	 20.49
137	177.39549	+22.38767	 22.12	  1.28	  3.79	 21.22
138	177.39736	+22.38962	 22.80	  1.88	  1.60	 21.62
139	177.38770	+22.39375	 21.44	  3.00	  5.46	 20.53
140	177.38412	+22.39385	 20.26	  2.36	  1.45	 18.92
141	177.37617	+22.39166	 22.70	  2.16	  3.65	 21.99
142	177.38743	+22.39471	 20.58	  2.40	  5.05	 19.60
143	177.37311	+22.39300	 21.87	  2.49	  2.45	 21.00
144	177.37972	+22.39510	 22.80	  1.71	  1.85	 21.99
145	177.39362	+22.39482	 23.72	  0.72	  2.07	 22.21
146	177.37871	+22.39281	 23.54	  1.25	  1.91	 22.64
147	177.37692	+22.39462	 21.91	  1.46	  5.29	 20.99
148	177.38781	+22.39540	 22.00	  0.67	  3.02	 20.95
149	177.38169	+22.39699	 19.78	  4.30	  4.67	 18.77
150	177.38510	+22.39670	 24.12	  2.11	  1.24	 23.71
151	177.39626	+22.39691	 24.64	  1.85	  1.12	 24.08
152	177.38053	+22.39789	 22.28	  0.99	  2.37	 21.18
153	177.39524	+22.39699	 24.26	  1.18	  1.40	 23.42
154	177.38705	+22.39737	 23.87	  1.09	  2.50	 23.11
155	177.38245	+22.39867	 22.06	  1.54	  2.52	 21.03
156	177.41823	+22.39936	 21.02	  6.34	  2.00	 20.21
157	177.41748	+22.39980	 19.79	  3.82	  5.56	 18.81
158	177.41383	+22.40845	 19.63	  4.41	  5.48	 18.58
159	177.40612	+22.39912	 23.29	  1.88	  3.73	 22.58
160	177.41735	+22.40113	 20.23	  2.06	  3.75	 19.01
161	177.41328	+22.39996	 23.72	  1.59	  2.06	 22.72
162	177.41524	+22.40231	 24.19	  1.39	  1.21	 23.57
163	177.39959	+22.40231	 23.90	  1.55	  1.14	 23.09
164	177.39830	+22.40314	 23.94	  1.40	  1.12	 23.14
165	177.42237	+22.40329	 23.87	  0.99	  3.08	 23.32
166	177.40834	+22.40771	 21.40	  2.74	  1.42	 20.23
167	177.39797	+22.40457	 23.70	  1.82	  1.71	 22.92
168	177.40662	+22.40449	 24.42	  1.34	  1.59	 23.36
169	177.39815	+22.40741	 20.54	  2.18	  5.20	 19.60
170	177.40358	+22.40561	 23.67	  0.89	  1.47	 22.93
171	177.39861	+22.40717	 23.87	  1.70	  1.37	 22.85
172	177.39907	+22.42246	 20.13	  2.79	  3.11	 19.19
173	177.39775	+22.42193	 24.00	  2.50	  1.26	 23.13
174	177.41052	+22.40785	 24.29	  1.11	  1.60	 23.17
175	177.41817	+22.40737	 23.14	  0.71	  2.87	 22.34
176	177.39961	+22.42091	 23.63	  0.69	  2.05	 22.83
177	177.39900	+22.41839	 20.99	  2.59	  5.65	 19.94
178	177.40127	+22.41887	 21.49	  3.11	  4.73	 20.38
179	177.40253	+22.41888	 21.81	  1.56	  1.92	 21.26
180	177.39978	+22.41846	 23.72	  0.97	  2.10	 22.30
181	177.40496	+22.41087	 24.07	  1.35	  1.67	 23.23
182	177.41780	+22.41518	 20.80	  1.52	  4.89	 19.72
183	177.40484	+22.41679	 22.52	  4.40	  1.41	 22.21
184	177.41870	+22.41573	 21.87	  2.95	  5.20	 21.05
185	177.39813	+22.41596	 23.17	  0.79	  1.94	 22.23
186	177.39831	+22.41602	 23.59	  0.76	  1.80	 22.53
187	177.39820	+22.41628	 22.20	  0.75	  2.37	 21.09
188	177.40126	+22.41560	 23.67	  2.38	  1.49	 22.92
189	177.40909	+22.41550	 21.62	  2.43	  4.70	 20.65
190	177.39943	+22.41545	 20.35	  3.59	  3.49	 19.29
191	177.39981	+22.41489	 20.23	  4.18	  3.94	 19.09
192	177.41844	+22.41324	 23.50	  2.20	  1.96	 22.76
193	177.40315	+22.41448	 23.38	  0.90	  2.68	 22.48
194	177.41425	+22.41402	 23.67	  1.51	  2.99	 22.85
195	177.40999	+22.41351	 21.06	  2.83	  4.83	 20.03
196	177.39935	+22.41330	 23.53	  1.05	  2.20	 22.57
197	177.39826	+22.41079	 20.10	  3.80	  5.47	 19.16
198	177.39950	+22.41228	 23.14	  2.73	  2.63	 22.39
199	177.40292	+22.41169	 21.82	  3.86	  3.16	 21.70
200	177.40159	+22.41130	 22.36	  1.05	  2.77	 21.28
201	177.40253	+22.41046	 22.14	  2.08	  2.68	 20.66
202	177.40165	+22.40947	 23.01	  2.51	  4.50	 22.36
203	177.41991	+22.40671	 23.40	  1.54	  2.33	 22.74
204	177.39926	+22.40594	 23.47	  1.29	  3.08	 22.56
205	177.38734	+22.39896	 21.08	  3.13	  4.65	 20.08
206	177.38472	+22.40049	 20.78	  3.07	  5.73	 19.79
207	177.38486	+22.39885	 22.57	  1.10	  3.13	 21.56
208	177.38390	+22.39971	 23.02	  2.00	  2.00	 22.46
209	177.37965	+22.39958	 24.04	  1.12	  1.14	 23.41
210	177.38843	+22.39993	 24.11	  0.92	  1.70	 23.14
211	177.38338	+22.40050	 24.02	  1.70	  1.91	 23.11
212	177.38873	+22.40034	 24.29	  1.01	  1.69	 23.41
213	177.38109	+22.40114	 23.35	  0.90	  1.92	 22.30
214	177.37766	+22.40312	 22.18	  2.83	  0.89	 21.14
215	177.38829	+22.40226	 24.01	  0.95	  1.38	 23.13
216	177.38633	+22.40354	 24.01	  1.03	  1.58	 22.93
217	177.39104	+22.40328	 23.44	  2.31	  3.36	 22.68
218	177.39210	+22.40341	 23.86	  1.57	  1.76	 22.84
219	177.37655	+22.40522	 21.20	  2.64	  3.75	 20.24
220	177.38947	+22.40638	 21.03	  2.08	  3.14	 19.99
221	177.39313	+22.41132	 20.90	  2.75	  1.76	 20.33
222	177.38400	+22.40668	 22.63	  1.56	  3.09	 21.62
223	177.38297	+22.40693	 22.80	  1.21	  3.52	 21.79
224	177.39350	+22.42041	 24.33	  0.88	  2.19	 23.11
225	177.39471	+22.41873	 23.78	  2.70	  2.04	 22.72
226	177.38811	+22.40841	 20.06	  3.48	  4.41	 19.13
227	177.37934	+22.40891	 23.56	  0.62	  3.48	 22.76
228	177.39579	+22.41822	 24.67	  0.64	  0.94	 23.68
229	177.38359	+22.41072	 24.04	  1.23	  2.07	 23.06
230	177.38708	+22.41906	 22.62	  1.77	  2.46	 21.84
231	177.38816	+22.41933	 22.55	  1.28	  1.87	 21.61
232	177.39288	+22.41820	 22.68	  1.35	  3.79	 21.64
233	177.38372	+22.41709	 23.25	  0.80	  1.14	 22.27
234	177.38390	+22.41028	 20.75	  2.00	  4.33	 19.63
235	177.38961	+22.41672	 24.25	  1.00	  1.41	 23.41
236	177.39691	+22.41810	 23.65	  1.14	  1.25	 22.57
237	177.38246	+22.41652	 22.23	  3.04	  0.55	 22.00
238	177.38706	+22.41104	 22.76	  1.93	  2.24	 21.98
239	177.39768	+22.41618	 22.47	  1.73	  1.99	 21.45
240	177.39408	+22.41272	 22.47	  2.20	  2.71	 21.73
241	177.39219	+22.41477	 23.38	  2.02	  1.06	 22.96
242	177.39256	+22.41059	 22.51	  1.70	  2.56	 21.68
243	177.39011	+22.41570	 23.18	  1.66	  1.60	 22.25
244	177.39421	+22.41246	 21.98	  1.18	  4.16	 20.89
245	177.38316	+22.41592	 23.20	  1.17	  1.33	 22.20
246	177.38354	+22.41494	 21.29	  1.84	  3.65	 20.86
247	177.39524	+22.41493	 21.32	  2.17	  4.30	 20.19
248	177.38887	+22.41415	 22.05	  0.95	  1.39	 21.13
249	177.39294	+22.41188	 20.05	  3.52	  4.80	 18.89
250	177.39772	+22.41521	 22.31	  0.99	  1.06	 21.21
251	177.39334	+22.41043	 23.28	  1.52	  2.55	 22.27
252	177.39383	+22.41169	 19.86	  5.04	  5.29	 18.81
253	177.38467	+22.41496	 23.34	  2.51	  1.93	 22.53
254	177.39472	+22.41441	 21.34	  2.30	  3.16	 20.34
255	177.38811	+22.41376	 21.00	  1.36	  4.27	 19.84
256	177.39468	+22.41331	 24.20	  1.38	  1.69	 23.33
257	177.39030	+22.41397	 24.04	  1.38	  1.45	 23.13
258	177.39659	+22.41333	 20.35	  2.08	  6.97	 19.44
259	177.38662	+22.41365	 22.14	  1.17	  2.93	 21.09
260	177.38638	+22.41371	 22.76	  1.16	  2.52	 22.03
261	177.39472	+22.41137	 23.22	  0.60	  2.73	 22.58
262	177.38275	+22.41310	 21.93	  1.11	  2.67	 20.92
263	177.38252	+22.41310	 23.95	  1.19	  2.20	 23.31
264	177.37692	+22.41163	 20.94	  1.82	  3.73	 19.96
265	177.39682	+22.41074	 24.23	  1.20	  2.22	 23.45
266	177.38236	+22.41170	 22.76	  1.08	  2.35	 21.79
267	177.38803	+22.41181	 21.63	  2.61	  4.52	 20.77
268	177.39703	+22.41156	 21.89	  0.82	  3.43	 20.92
269	177.38831	+22.41170	 22.43	  2.08	  2.62	 21.45
270	177.38436	+22.40929	 23.92	  1.43	  2.60	 23.18
271	177.39680	+22.41001	 23.23	  1.74	  1.48	 22.70
272	177.38994	+22.40964	 23.24	  0.90	  1.48	 22.69
273	177.39073	+22.40943	 24.37	  0.68	  2.63	 23.59
274	177.39405	+22.40844	 21.35	  1.50	  3.02	 20.26
275	177.39705	+22.40760	 24.82	  0.51	  0.91	 24.52
276	177.39427	+22.40756	 21.75	  2.17	  1.67	 21.26
277	177.38253	+22.40717	 23.71	  1.69	  1.81	 22.83
278	177.39134	+22.40779	 23.00	  0.94	  1.87	 21.95
279	177.39683	+22.41746	 19.86	  7.73	  6.29	 19.01

