#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-06-05T23:06:22 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-06-05T23:06:22	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/199/26&-out=RAJ2000,DEJ2000,cz,Ktmag&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21990026
#Name: J/ApJS/199/26
#Title: The 2MASS Redshift Survey (2MRS) (Huchra+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	creator=Huchra J.P.	    First author or institution
#INFO	cites=bibcode:2012ApJS..199...26H	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/199/26	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21990026	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_199_26_table3:
#Name: J/ApJS/199/26/table3
#Title: 2MRS catalog
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I5)	? Redshift, corrected to solar system barycenter reference frame	[ucd=phys.veloc;pos.heliocentric]
#Column	Ktmag	(F6.3)	Extinction-corrected total extrapolated Ks mag	[ucd=phot.mag;em.IR.K]
RAJ2000	DEJ2000	cz	Ktmag
054.23773	-35.50664	 1265	 7.421
169.01950	-76.21632	 1680	 7.423
189.98309	+10.17610	 1870	 7.455
052.78383	-33.62864	 1918	 7.395
170.27855	+03.23482	 1251	 7.503
194.83864	-15.04217	 1353	 7.451
212.09892	-47.97081	 1415	 7.463
052.08195	-31.06818	 1106	 7.393
154.52351	+21.83194	 1271	 7.448
181.39246	+50.53903	  757	 7.472
205.75877	-48.16941	 3004	 7.446
147.59264	+72.27865	 1322	 7.350
168.65417	+12.81802	  640	 7.410
063.18019	-57.73796	 1148	 7.438
193.07318	+11.31366	 1347	 7.403
225.29694	+01.70197	 1972	 7.393
181.66989	-29.76021	 1884	 7.500
204.16269	-33.96588	 3737	 7.479
133.38644	+51.31358	  692	 7.426
172.88330	-30.30774	 1776	 7.495
287.84848	-57.04957	 3166	 7.499
188.58463	+08.19776	 1964	 7.377
200.30356	-43.70469	 3421	 7.516
060.11570	+68.57774	 1102	 7.552
161.92667	+13.98564	  665	 7.429
344.30655	-43.39614	 1689	 7.450
181.76303	+43.06539	  807	 7.548
226.35944	+02.09932	 1359	 7.562
050.98499	-36.46466	 1266	 7.447
189.14288	+11.23863	 2232	 7.505
154.57077	+41.42438	  592	 7.219
180.36205	+61.89570	 1445	 7.554
349.04486	-42.58483	 1600	 7.531
081.69839	-63.76002	 1100	 7.491
185.63350	+29.89532	  963	 7.445
196.45383	-08.02041	 1407	 7.589
017.36280	+35.71796	  -48	 7.511
146.81441	+67.91638	    2	 7.499
179.85495	+50.96169	  930	 7.576
208.36134	+40.28308	 2325	 7.621
192.41232	+15.16549	 1125	 7.557
101.92880	-26.75436	 2037	 7.471
185.30371	+18.38240	  900	 7.465
008.69484	-08.39644	 1685	 7.665
192.09550	+08.48730	 1009	 7.555
027.23879	+05.90598	 1506	 7.634
295.89349	-58.65571	 2107	 7.657
137.70609	-08.89070	 1819	 7.687
160.87979	+24.92222	  580	 7.425
155.39616	-34.26680	 2858	 7.545
178.30719	+60.67556	 1259	 7.516
188.61304	+02.18788	 1808	 7.510
179.63091	+43.94702	  835	 7.628
315.88995	+29.89740	  779	 7.643
183.96208	+47.09179	 1027	 7.576
210.91154	-33.97839	 4126	 7.492
060.97617	-43.34885	  898	 7.481
047.43964	-20.57930	 1651	 7.372
186.32426	-39.75972	 3378	 7.624
295.66910	-10.32370	 1671	 7.591
301.83115	-48.37022	 2720	 7.689
056.32115	+76.63830	 2536	 7.625
062.10057	-47.89704	 1212	 7.625
113.08536	+85.70886	 1905	 7.592
178.66710	-13.97504	 1738	 7.651
046.03325	-26.06963	 1649	 7.671
162.72208	+13.41214	  841	 7.660
177.30507	-29.27674	 1684	 7.655
198.25421	-19.51830	 2687	 7.700
062.46600	-56.11845	  764	 7.619
171.18182	+38.76278	 2049	 7.675
156.63451	-39.94394	 2774	 7.674
223.49016	+03.54451	 1677	 7.748
067.70494	+64.84792	 -104	 7.613
146.06685	-21.27829	 2296	 7.618
189.22249	+07.24663	 1730	 7.684
181.59631	+52.71095	  846	 7.708
056.13298	-44.64483	 1168	 7.655
304.57977	-70.85881	 4010	 7.685
349.77002	-08.48514	 2214	 7.627
263.10126	+07.06027	 1665	 7.484
208.91676	+40.46177	 2539	 7.609
186.73515	+15.04742	 -261	 7.725
118.96465	-52.30678	  946	 7.721
196.07124	-30.52628	 3197	 7.702
199.24370	-16.63485	 1744	 7.560
184.53465	+28.17532	 1071	 7.719
194.18013	-50.34687	 2064	 7.712
155.87753	+19.86495	 1157	 7.631
202.45346	-17.96649	 1501	 7.600
186.23096	+11.70427	  943	 7.705
197.23845	-15.51629	 1297	 7.722
083.34065	-21.94577	 -248	 7.667
354.97446	-12.29301	 1766	 7.676
176.53242	+47.49450	  906	 7.738
177.31404	+56.08435	 1176	 7.648
116.89188	-41.45214	 1131	 7.749
200.10402	-20.61099	 1818	 7.778
198.84987	-16.38553	 2782	 7.685
013.01798	+47.55051	  627	 7.769
053.75563	-24.93311	 1405	 7.621
224.59462	-01.09108	 1905	 7.693
063.41961	-31.64541	 1384	 7.721
187.24588	+03.57060	  882	 7.769
185.99094	+16.69335	 1200	 7.805
153.67546	-28.87206	 1082	 7.760
054.87851	-18.68817	  530	 7.788
330.66592	-20.81282	 2620	 7.760
094.76109	+03.16428	 2902	 7.802
194.50517	+01.57558	 1108	 7.787
124.69003	-25.49952	 1637	 7.718
187.06429	+28.62030	  661	 7.805
038.55573	+29.31127	 1543	 7.825
180.79036	+44.53126	  700	 7.665
050.68454	-37.10379	 1941	 7.730
049.92116	-19.41136	 1620	 7.553
138.46037	-69.64500	 1652	 7.765
185.42699	+14.59776	 1098	 7.814
113.71317	-69.28413	 1367	 7.799
182.40031	+42.53419	  958	 7.848
204.51266	-17.88403	 1355	 7.494
209.46098	-43.93130	 2425	 7.891
189.35431	+74.19189	 1980	 7.748
085.51990	+69.37838	 3934	 7.686
186.90549	-39.33781	 2934	 7.825
215.26534	+03.27099	 1487	 7.816
113.48438	-50.44302	 1085	 7.819
189.99742	+61.60919	  136	 7.757
038.39312	-39.04506	 1933	 7.772
184.93866	+12.79833	 1009	 7.825
190.98599	+13.12635	 1048	 7.726
149.60246	-26.92660	 2580	 7.856
061.01133	-54.10006	 1175	 7.830
049.96339	-26.06059	 1710	 7.819
156.82657	+28.50740	 1314	 7.853
173.14558	+53.06783	  993	 7.756
183.21712	+01.29968	 1256	 7.909
172.43512	-36.39130	 2977	 7.869
032.08808	+10.99492	 1735	 7.861
157.79832	-46.25127	 2822	 7.882
008.30050	+48.50874	 -193	 7.140
105.66829	-28.69725	 2185	 7.850
188.99037	+27.95976	  807	 7.578
188.02586	+11.17643	 1342	 7.871
049.56686	-66.49826	  470	 7.530
169.60532	+58.78622	 1704	 7.904
326.06717	-75.11132	 2381	 7.841
199.72836	-21.03910	  668	 7.513
189.11247	+11.43929	 1142	 7.925
194.86308	+14.17105	 1988	 7.907
218.19521	+49.45784	 2096	 7.903
181.50484	+47.47836	  555	 7.800
041.49969	-07.57864	 1435	 7.921
177.15913	+48.71082	  967	 7.883
300.86264	-55.94717	 4434	 7.907
064.39906	-62.78367	 1304	 8.007
145.64680	+58.85121	 1337	 7.906
185.08968	+05.38640	 2711	 7.932
332.11414	+48.44078	 1103	 7.913
161.79169	+72.83967	 2837	 7.939
225.23209	-07.45736	 1894	 7.932
172.53107	+09.27663	 1018	 7.903
139.04623	-16.31273	 2103	 7.957
194.20375	-08.52529	 1069	 7.923
140.85019	-63.81256	 2881	 7.946
014.45378	+30.35236	 4942	 7.932
199.74973	-47.90866	 3005	 7.958
308.58569	-31.98089	 2791	 7.964
175.24477	+11.47112	  990	 7.936
154.97913	+45.54969	  667	 7.775
305.20682	-48.23908	 2958	 7.936
111.76688	+80.17807	 2204	 7.690
173.33823	+47.02909	  866	 7.771
169.65051	+57.99997	 2034	 7.999
140.36455	-11.90949	 1793	 7.951
339.35223	+23.79833	 1172	 7.999
332.14288	-57.44259	 1655	 7.913
023.21629	-07.03156	 1872	 7.962
154.60374	+21.89397	 1399	 7.967
162.81761	+27.97500	 1414	 7.972
088.04749	-07.45620	 2410	 8.012
330.53522	-31.98982	 2502	 8.002
328.17700	-48.25390	 1939	 7.951
124.74310	+57.80309	 1039	 8.023
192.51636	-41.38203	 4661	 7.971
013.17652	-31.20583	 1629	 7.990
181.53584	+49.58231	 1074	 8.026
178.20605	+44.12073	  809	 7.801
187.26254	+13.18385	 1931	 8.006
045.89479	+46.38635	 2387	 7.988
350.06049	+08.20626	 3762	 8.004
190.92764	+16.39338	  788	 8.020
284.12366	-54.30577	 2659	 8.042
086.75787	-34.25060	  883	 8.038
066.90880	-55.02779	 1510	 8.047
141.07729	+34.51338	 1687	 8.032
147.53401	-73.92220	 1220	 7.872
184.37358	+37.80711	  244	 7.717
229.55650	-24.09793	 2120	 8.017
119.56254	-49.85141	 1119	 7.945
029.92765	-05.96419	 1362	 8.055
049.18761	+80.79332	 2342	 8.038
142.11032	-60.80177	 2281	 8.074
350.17722	+08.21700	 3405	 8.007
095.23224	-08.49562	  732	 8.019
288.81738	-54.13249	 2847	 8.124
156.96364	-43.90382	 2836	 8.058
067.91609	-05.08612	 4681	 8.026
209.47607	-29.31573	 2625	 8.001
054.19257	-35.99924	  907	 8.062
296.31311	-54.34414	 2522	 8.091
187.36670	+08.75016	  588	 8.030
091.42652	-86.63202	 1867	 8.091
095.46039	+00.36621	 2733	 8.085
179.71759	+42.72241	  703	 8.116
074.23473	-04.86575	 3891	 8.073
150.17017	-31.66449	 2582	 8.051
186.44508	+12.66207	 2524	 7.992
192.53069	+72.87448	 1623	 8.017
184.11385	-43.32426	 1999	 8.046
063.65226	-56.06081	 1238	 8.048
189.91455	-05.34421	 2698	 7.976
169.24567	+18.14860	 1253	 8.089
229.65219	-24.06859	 2565	 8.045
011.78564	-20.76040	  156	 7.424
214.60713	+36.49362	 3213	 8.078
056.61356	-03.96879	 3909	 8.082
150.05891	-19.63644	 3964	 8.079
149.78607	-34.22523	 2592	 8.095
070.36762	-02.85804	  820	 7.960
207.27213	-30.29586	 4517	 8.034
053.01260	-20.81916	 1545	 8.097
190.88559	+11.58247	 1395	 8.040
224.85045	-16.62399	 2863	 8.109
157.61037	-35.35950	 3804	 8.116
131.77258	-33.76406	 2257	 7.988
181.01595	+31.89579	  760	 8.204
198.21608	-43.09623	 3121	 8.106
058.00346	-83.83068	 1753	 8.072
330.17181	+17.73807	 1140	 8.145
198.55682	-42.96127	 3765	 8.091
215.30455	-46.29790	 1691	 8.132
176.76906	-16.85460	 1196	 8.011
184.04887	+47.88337	  916	 8.127
213.31209	-03.20756	 1853	 8.167
295.91959	+56.10946	 3386	 8.149
194.53265	-46.26424	 2181	 8.145
093.04019	-21.80595	 2306	 8.101
234.66582	+59.35588	 3017	 8.145
209.05002	+05.01446	 1241	 7.792
333.34042	-46.01761	 1936	 8.167
237.45645	-29.38683	 2112	 8.140
186.71091	+09.58418	  854	 8.164
193.64874	-12.56861	 4618	 8.058
054.68694	-44.10061	  993	 8.149
191.13326	+11.19052	 1083	 8.194
057.56205	+70.09470	 1232	 8.187
190.30534	+10.15575	 1864	 8.151
281.82559	-63.33116	 4507	 8.129
040.81271	+32.42497	 5190	 8.131
220.59970	-17.25317	 2921	 8.135
157.50273	-35.32546	 2790	 8.117
185.86642	+46.99382	  770	 8.174
190.69762	+11.44247	 1164	 8.200
170.01582	+18.35681	 1493	 8.151
248.80881	-58.08003	 2741	 8.139
219.79607	+05.36355	 1505	 8.128
243.94202	-60.91871	 3839	 8.155
053.81914	-35.22625	 1475	 8.157
056.26214	-18.26604	 1597	 8.166
193.21164	-42.65993	 2094	 8.192
203.16920	-77.84463	 2950	 8.174
171.26030	-09.79538	 1885	 8.252
281.27634	-62.29723	 1185	 8.181
199.42786	-32.10170	 2310	 8.184
228.44048	-14.26982	 1957	 8.127
055.58097	-35.39263	 1410	 8.135
211.66864	-55.35730	 3792	 8.077
193.47064	-39.71432	 2995	 8.187
182.37411	+43.68529	  888	 8.197
183.89279	-35.62975	 2948	 8.132
139.08228	-23.63324	 2559	 8.202
274.94339	+74.56837	 1484	 8.266
165.84903	-23.08679	 1125	 8.044
243.76605	-60.90725	 5448	 8.170
142.90256	-16.73476	 2137	 8.197
199.88187	-12.65701	 2806	 8.199
101.94249	+74.48183	 4059	 8.182
319.13492	-48.36355	 2036	 8.198
139.65295	-38.01009	 2530	 8.172
229.18007	+55.40926	 3306	 8.241
183.91322	+36.32689	  291	 7.900
176.52693	-56.39111	 1831	 8.175
186.48178	+18.21393	  922	 8.151
281.82846	+45.55064	 2461	 8.219
150.62094	-31.67741	 2673	 8.206
201.32727	-21.13416	 1752	 8.156
220.23495	-00.31823	 1725	 8.220
214.61380	-43.38826	 1193	 8.096
338.94263	-26.05025	 1428	 8.181
341.94791	-22.31210	 3295	 8.173
045.65661	-22.86716	 1384	 8.093
067.68935	+00.86368	 3793	 8.209
190.23004	-40.97640	 2585	 8.307
032.88100	+70.77241	 3223	 8.229
035.50419	+33.26607	 3978	 8.218
197.41936	-07.83341	 1820	 8.214
054.01647	-35.44121	 1363	 8.234
166.95212	-46.52607	 1068	 8.205
346.23605	+12.32289	 2381	 8.162
080.64352	-11.49954	 2743	 8.252
184.67932	+65.89808	 2528	 8.236
063.11806	+27.70187	 4053	 8.207
348.68277	+04.53393	 2689	 8.327
252.77838	-58.99346	 1564	 8.224
139.47044	-22.35468	  892	 7.882
253.47231	-58.77807	 2648	 8.284
043.61413	+41.57961	 5194	 8.200
165.09978	+28.97482	  681	 7.994
331.47839	-50.11933	 2923	 8.265
275.57285	-85.40205	 2437	 8.218
213.97789	-48.11485	 4123	 8.236
234.90454	+59.33195	 2517	 8.147
217.41827	+03.23339	 1676	 8.241
142.49353	-62.18325	 2915	 8.262
165.79671	+27.97250	 1525	 8.264
226.78198	+01.54428	 2544	 8.084
196.05476	-05.55162	 1291	 8.204
049.95098	+41.51168	 5264	 8.068
178.52789	-39.86706	 2960	 7.999
345.24982	+30.14478	  812	 8.160
029.08735	+05.62887	 5561	 8.276
359.74915	-55.45834	 3321	 8.268
348.98959	+06.68752	 3608	 8.287
193.65741	+46.53115	  891	 8.294
218.02322	+57.92143	 1898	 8.277
192.88266	-26.45209	 3215	 8.280
124.69157	-25.36976	 1844	 8.305
183.91402	+13.90151	  -81	 8.363
230.48567	+05.07054	 1480	 8.082
304.23535	-70.76825	 4555	 8.256
159.17842	-27.52834	 3864	 8.074
046.51253	-15.61121	 2664	 8.310
284.23306	-54.54544	 2740	 8.298
341.84232	-65.05849	 3189	 8.374
344.50757	-33.74221	 1657	 8.374
101.20464	-27.63861	 1892	 8.219
159.06779	+37.32463	 1567	 8.376
157.25610	-44.65685	 2512	 8.204
170.26227	+53.16943	 1156	 7.979
055.23690	-22.56448	 1658	 8.281
272.96347	+14.98177	 2282	 8.349
330.50790	-31.86989	 2557	 8.308
208.60094	-48.51253	 2752	 8.323
157.22322	-35.60551	 2769	 8.278
310.98917	-80.00085	 2721	 8.287
354.73785	-12.96109	 1800	 8.266
357.85367	+20.11182	 4277	 8.322
157.96703	-34.85370	 3437	 8.275
160.88759	-36.41070	 2937	 8.355
065.86292	+75.29557	 2461	 8.232
134.33546	+02.92140	 3894	 8.299
193.05544	-29.84066	 2833	 8.394
267.95337	+23.07194	 3936	 8.336
187.57260	+12.32854	 1349	 8.346
324.12027	-54.55732	  830	 8.156
195.24887	-14.51363	 2673	 8.300
000.99545	+20.75235	 2309	 8.400
184.87743	+14.87769	 1359	 8.343
053.01423	+68.36839	 1679	 8.173
057.11308	-16.39290	 1394	 8.322
144.18689	-21.12815	 2268	 8.283
206.75168	+60.97308	 2041	 8.356
147.81438	-32.75256	 2727	 8.334
176.69371	-27.92218	 2094	 8.349
184.40326	+29.60801	  869	 8.304
333.91455	+37.29871	 5750	 8.279
094.09206	-21.37272	 2741	 8.159
110.33326	-69.00148	 1363	 8.359
288.46808	-56.30996	 3404	 8.329
185.89709	+16.72226	  950	 8.312
305.93692	-19.32542	 3234	 8.307
234.10945	-66.85975	 3510	 8.249
353.31857	-45.01596	 3081	 8.272
356.24683	-42.91093	 3010	 8.319
146.57774	-30.43748	 2393	 8.319
160.53145	+13.74693	 1296	 8.120
042.33170	+08.09264	 3424	 8.350
192.95015	-10.45473	 1270	 8.371
039.84861	+01.09379	 2694	 8.366
145.72600	+31.84726	 1328	 8.348
020.91642	+33.25613	 4934	 8.280
109.16273	-35.37344	 2790	 8.351
218.87370	+48.74154	 2160	 8.386
211.18013	+54.89262	 2026	 8.354
040.93477	-29.00336	 1501	 8.336
030.06218	+31.42939	 5015	 8.350
