#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-16T12:26:23 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-16T12:26:23	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table1&-out.max=999&-out=Name&-out=Dist&-out=e_Dist&-out=f_Dist&-out=L3.6&-out=MHI&-out=SimbadName&-out=_RA&-out=_DE	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table1:
#Name: J/AJ/152/157/table1
#Title: *Galaxy sample
#Column	Name	(a11)	Galaxy name	[ucd=meta.id;meta.main]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/12.8] Mean error on Dist	[ucd=stat.error]
#Column	f_Dist	(I1)	[1/5] Flag giving the distance method (2)	[ucd=meta.code]
#Column	L3.6	(F7.3)	[0/490] Total luminosity at 3.6{mu}m (L_[3.6]_)	[ucd=phys.luminosity;em.IR]
#Column	MHI	(F7.3)	[0.01/40.1] Total HI mass (M_HI_)	[ucd=phys.mass]
#Column	SimbadName	(a13)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Position from SIMBAD database (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Position from SIMBAD database (declination part)	[ucd=pos.eq.dec;meta.main]
Name	Dist	e_Dist	f_Dist	L3.6	MHI	SimbadName	_RA	_DE
F579-V1    	 89.50	 8.95	1	 11.848	  2.245	VLSB F579-V01	218.20042	+22.76611
F583-1     	 35.40	 8.85	1	  0.986	  2.126	LSB F583-1   	239.36451	+20.66642
F583-4     	 53.30	10.70	1	  1.715	  0.641	LSB F583-4   	238.05000	+18.78500
IC2574     	  3.91	 0.20	2	  1.016	  1.036	IC2574       	157.09784	+68.41214
IC4202     	100.40	10.00	1	179.749	 12.326	IC4202       	197.13159	+24.70083
KK98-251   	  6.80	 2.04	1	  0.085	  0.115	[KK98a] 251  	307.63708	+60.35472
NGC0024    	  7.30	 0.36	2	  3.889	  0.676	NGC0024      	002.48559	-24.96313
NGC0055    	  2.11	 0.11	2	  4.628	  1.565	NGC0055      	003.72334	-39.19663
NGC0100    	 13.50	 4.05	1	  3.232	  1.990	NGC0100      	006.01182	+16.48639
NGC0247    	  3.70	 0.19	2	  7.332	  1.746	NGC0247      	011.78564	-20.76040
NGC0289    	 20.80	 5.20	1	 72.065	 27.469	NGC0289      	013.17652	-31.20583
NGC0300    	  2.08	 0.10	2	  2.922	  0.936	NGC0300      	013.72283	-37.68438
NGC0801    	 80.70	 8.07	1	312.570	 23.201	NGC0801      	030.93687	+38.25867
NGC0891    	  9.91	 0.50	2	138.340	  4.462	NGC0891      	035.63711	+42.34832
NGC1003    	 11.40	 3.42	1	  6.820	  5.880	NGC1003      	039.82039	+40.87229
NGC1090    	 37.00	 9.25	1	 72.045	  8.783	NGC1090      	041.64132	-00.24704
NGC1705    	  5.73	 0.29	2	  0.533	  0.139	NGC1705      	073.55625	-53.36106
NGC2366    	  3.27	 0.16	2	  0.236	  0.647	NGC2366      	112.21604	+69.20864
NGC2403    	  3.16	 0.16	2	 10.041	  3.199	NGC2403      	114.21415	+65.60255
NGC2683    	  9.81	 0.49	2	 80.415	  1.406	NGC2683      	133.17227	+33.42180
NGC2841    	 14.10	 1.40	3	188.121	  9.775	NGC2841      	140.51106	+50.97648
NGC2903    	  6.60	 1.98	1	 81.863	  2.552	NGC2903      	143.04213	+21.50083
NGC2915    	  4.06	 0.20	2	  0.641	  0.508	NGC2915      	141.54805	-76.62632
NGC2955    	 97.90	 9.80	1	319.422	 28.949	NGC2955      	145.31917	+35.88212
NGC2976    	  3.58	 0.18	2	  3.371	  0.172	NGC2976      	146.81441	+67.91638
NGC2998    	 68.10	10.20	1	150.902	 23.451	NGC2998      	147.18179	+44.08129
NGC3109    	  1.33	 0.07	2	  0.194	  0.477	NGC3109      	150.77865	-26.15957
NGC3198    	 13.80	 1.40	3	 38.279	 10.869	NGC3198      	154.97912	+45.54969
NGC3521    	  7.70	 2.30	1	 84.836	  4.154	NGC3521      	166.45247	-00.03590
NGC3726    	 18.00	 2.50	4	 70.234	  6.473	NGC3726      	173.33822	+47.02909
NGC3741    	  3.21	 0.17	2	  0.028	  0.182	NGC3741      	174.02397	+45.28415
NGC3769    	 18.00	 2.50	4	 18.679	  5.529	NGC3769      	174.43377	+47.89309
NGC3877    	 18.00	 2.50	4	 72.535	  1.483	NGC3877      	176.53242	+47.49450
NGC3893    	 18.00	 2.50	4	 58.525	  5.799	NGC3893      	177.15920	+48.71079
NGC3917    	 18.00	 2.50	4	 21.966	  1.888	NGC3917      	177.68953	+51.82421
NGC3949    	 18.00	 2.50	4	 38.067	  3.371	NGC3949      	178.42395	+47.85878
NGC3953    	 18.00	 2.50	4	141.301	  2.832	NGC3953      	178.45428	+52.32654
NGC3972    	 18.00	 2.50	4	 14.353	  1.214	NGC3972      	178.93799	+55.32067
NGC3992    	 23.70	 2.30	5	226.932	 16.599	NGC3992      	179.39993	+53.37452
NGC4010    	 18.00	 2.50	4	 17.193	  2.832	NGC4010      	179.65830	+47.26131
NGC4013    	 18.00	 2.50	4	 79.094	  2.967	NGC4013      	179.63090	+43.94702
NGC4051    	 18.00	 2.50	4	 95.268	  2.697	NGC4051      	180.79036	+44.53126
NGC4068    	  4.37	 0.22	2	  0.236	  0.154	NGC4068      	181.01360	+52.59057
NGC4085    	 18.00	 2.50	4	 21.724	  1.349	NGC4085      	181.34460	+50.35275
NGC4088    	 18.00	 2.50	4	107.286	  8.226	NGC4088      	181.39245	+50.53903
NGC4100    	 18.00	 2.50	4	 59.394	  3.102	NGC4100      	181.53584	+49.58231
NGC4138    	 18.00	 2.50	4	 44.111	  1.483	NGC4138      	182.37412	+43.68532
NGC4157    	 18.00	 2.50	4	105.620	  8.226	NGC4157      	182.76819	+50.48468
NGC4183    	 18.00	 2.50	4	 10.838	  3.506	NGC4183      	183.32025	+43.69827
NGC4214    	  2.87	 0.14	2	  1.141	  0.486	NGC4214      	183.91322	+36.32689
NGC4217    	 18.00	 2.50	4	 85.299	  2.562	NGC4217      	183.96208	+47.09179
NGC4389    	 18.00	 2.50	4	 21.328	  0.539	NGC4389      	186.39624	+45.68467
NGC4559    	  9.00	 2.70	1	 19.377	  5.811	NGC4559      	188.99037	+27.95976
NGC5005    	 16.90	 1.50	5	178.720	  1.280	NGC5005      	197.73463	+37.05894
NGC5033    	 15.70	 4.70	1	110.509	 11.314	NGC5033      	198.36473	+36.59365
NGC5055    	  9.90	 0.30	2	152.922	 11.722	NGC5055      	198.95554	+42.02929
NGC5371    	 39.70	 9.92	1	340.393	 11.180	NGC5371      	208.91676	+40.46177
NGC5585    	  7.06	 2.12	1	  2.943	  1.683	NGC5585      	214.95085	+56.72905
NGC5907    	 17.30	 0.90	2	175.425	 21.025	NGC5907      	228.97370	+56.32885
NGC5985    	 39.70	 9.90	1	208.728	 11.586	NGC5985      	234.90454	+59.33195
NGC6015    	 17.00	 5.10	1	 32.129	  5.834	NGC6015      	237.85513	+62.31003
NGC6195    	127.80	12.80	1	391.076	 20.907	NGC6195      	249.13555	+39.02800
NGC6503    	  6.26	 0.31	2	 12.845	  1.744	NGC6503      	267.36047	+70.14434
NGC6674    	 51.20	10.20	1	214.654	 32.165	NGC6674      	279.64120	+25.37511
NGC6789    	  3.52	 0.18	2	  0.100	  0.017	NGC6789      	289.17154	+63.97331
NGC6946    	  5.52	 1.66	2	 66.173	  5.670	NGC6946      	308.71805	+60.15368
NGC7331    	 14.70	 1.50	3	250.631	 11.067	NGC7331      	339.26709	+34.41592
NGC7793    	  3.61	 0.18	2	  7.050	  0.861	NGC7793      	359.45761	-32.59103
NGC7814    	 14.40	 0.66	2	 74.529	  1.070	NGC7814      	000.81228	+16.14523
PGC51017   	 13.60	 1.40	2	  0.155	  0.201	PGC51017     	214.25733	+43.50372
UGC00128   	 64.50	 9.70	1	 12.020	  7.431	UGC00128     	003.46221	+35.99350
UGC00191   	 17.10	 5.10	1	  2.004	  1.343	UGC00191     	005.02150	+10.87931
UGC00634   	 30.90	 7.70	1	  2.989	  3.663	UGC00634     	015.35488	+07.62599
UGC00731   	 12.50	 3.75	1	  0.323	  1.807	UGC00731     	017.68333	+49.60219
UGC00891   	 10.20	 3.10	1	  0.374	  0.428	UGC00891     	020.32954	+12.41172
UGC01230   	 53.70	10.70	1	  7.620	  6.430	UGC01230     	026.38438	+25.52147
UGC01281   	  5.27	 0.24	2	  0.353	  0.294	UGC01281     	027.38212	+32.58783
UGC02023   	 10.40	 3.10	1	  1.308	  0.477	UGC02023     	038.32550	+33.49042
UGC02259   	 10.50	 3.10	1	  1.725	  0.494	UGC02259     	041.98082	+37.53844
UGC02455   	  6.92	 2.08	1	  3.649	  0.803	UGC02455     	044.92849	+25.24119
UGC02487   	 69.10	10.40	1	489.955	 17.963	UGC02487     	045.42649	+35.20565
UGC02885   	 80.60	 8.06	1	403.525	 40.075	UGC02885     	058.26017	+35.58947
UGC02916   	 65.40	 9.80	1	124.153	 23.273	UGC02916     	060.64098	+71.70592
UGC02953   	 16.50	 4.95	1	259.518	  7.678	UGC02953     	061.94545	+69.81243
UGC03205   	 50.00	10.00	1	113.642	  9.677	UGC03205     	074.06173	+30.05219
UGC03546   	 28.70	 7.20	1	101.336	  2.675	UGC03546     	102.53610	+60.84569
UGC03580   	 20.70	 5.20	1	 13.266	  4.370	UGC03580     	103.87864	+69.56300
UGC04278   	  9.51	 2.85	1	  1.307	  1.116	UGC04278     	123.49545	+45.74215
UGC04305   	  3.45	 0.17	2	  0.736	  0.690	UGC04305     	124.77074	+70.72003
UGC04325   	  9.60	 2.88	1	  2.026	  0.678	UGC04325     	124.83554	+50.00961
UGC04483   	  3.34	 0.31	2	  0.013	  0.032	UGC04483     	129.26371	+69.77478
UGC04499   	 12.50	 3.75	1	  1.552	  1.100	UGC04499     	129.42287	+51.65238
UGC05005   	 53.70	10.70	1	  4.100	  3.093	UGC05005     	141.12245	+22.27482
UGC05253   	 22.90	 5.72	1	171.582	 16.396	UGC05253     	147.59264	+72.27865
UGC05414   	  9.40	 2.82	1	  1.123	  0.574	UGC05414     	150.98827	+40.76151
UGC05716   	 21.30	 5.30	1	  0.588	  1.094	UGC05716     	157.93028	+25.30761
UGC05721   	  6.18	 1.85	1	  0.531	  0.562	UGC05721     	158.07200	+27.66877
UGC05750   	 58.70	11.70	1	  3.336	  1.099	UGC05750     	158.93796	+20.99019
UGC05764   	  7.47	 2.24	1	  0.085	  0.163	UGC05764     	159.17976	+31.54726
UGC05829   	  8.64	 2.59	1	  0.564	  1.023	UGC05829     	160.67828	+34.44928
UGC05918   	  7.66	 2.30	1	  0.233	  0.297	UGC05918     	162.40172	+65.53363
UGC05986   	  8.63	 2.59	1	  4.695	  2.667	UGC05986     	163.12972	+36.61878
UGC05999   	 47.70	 9.50	1	  3.384	  2.022	UGC05999     	163.24438	+07.61980
UGC06399   	 18.00	 2.50	4	  2.296	  0.674	UGC06399     	170.84677	+50.89268
UGC06446   	 12.00	 3.60	1	  0.988	  1.379	UGC06446     	171.66854	+53.74667
UGC06614   	 88.70	 8.87	1	124.350	 21.888	UGC06614     	174.81185	+17.14358
UGC06628   	 15.10	 4.53	1	  3.739	  1.500	UGC06628     	175.02392	+45.94216
UGC06667   	 18.00	 2.50	4	  1.397	  0.809	UGC06667     	175.60962	+51.59801
UGC06786   	 29.30	 7.32	1	 73.407	  5.030	UGC06786     	177.28931	+27.02207
UGC06787   	 21.30	 5.32	1	 98.256	  5.030	UGC06787     	177.31404	+56.08435
UGC06818   	 18.00	 2.50	4	  1.588	  1.079	UGC06818     	177.69564	+45.80720
UGC06917   	 18.00	 2.50	4	  6.832	  2.023	UGC06917     	179.11989	+50.42839
UGC06923   	 18.00	 2.50	4	  2.890	  0.809	UGC06923     	179.20636	+53.16034
UGC06930   	 18.00	 2.50	4	  8.932	  3.237	UGC06930     	179.32248	+49.28325
UGC06973   	 18.00	 2.50	4	 53.870	  1.753	UGC06973     	179.71760	+42.72240
UGC06983   	 18.00	 2.50	4	  5.298	  2.967	UGC06983     	179.78639	+52.70779
UGC07089   	 18.00	 2.50	4	  3.585	  1.214	UGC07089     	181.49061	+43.14336
UGC07125   	 19.80	 5.90	1	  2.712	  4.629	UGC07125     	182.17297	+36.80230
UGC07151   	  6.87	 0.34	2	  2.284	  0.616	UGC07151     	182.49417	+46.45718
UGC07232   	  2.83	 0.17	2	  0.113	  0.046	UGC07232     	183.43399	+36.63127
UGC07261   	 13.10	 3.93	1	  1.753	  1.388	UGC07261     	183.80983	+20.65908
UGC07323   	  8.00	 2.40	1	  4.109	  0.722	UGC07323     	184.37572	+45.61929
UGC07399   	  8.43	 2.53	1	  1.156	  0.745	UGC07399     	185.15883	+46.29102
UGC07524   	  4.74	 0.24	2	  2.436	  1.779	UGC07524     	186.45384	+33.54675
UGC07559   	  4.97	 0.25	2	  0.109	  0.169	UGC07559     	186.77319	+37.14177
UGC07577   	  2.59	 0.13	2	  0.045	  0.044	UGC07577     	186.92453	+43.49947
UGC07603   	  4.70	 1.41	1	  0.376	  0.258	UGC07603     	187.18380	+22.82044
UGC07608   	  8.21	 2.46	1	  0.264	  0.535	UGC07608     	187.18366	+43.22383
UGC07690   	  8.11	 2.43	1	  0.858	  0.390	UGC07690     	188.11206	+42.70412
UGC07866   	  4.57	 0.23	2	  0.124	  0.118	UGC07866     	190.56315	+38.50163
UGC08286   	  6.50	 0.21	2	  1.255	  0.642	UGC08286     	198.04916	+44.03802
UGC08490   	  4.65	 0.53	2	  1.017	  0.720	UGC08490     	202.40212	+58.41873
UGC08550   	  6.70	 2.00	1	  0.289	  0.288	UGC08550     	203.51180	+47.91547
UGC08699   	 39.30	 9.82	1	 50.302	  3.738	UGC08699     	206.28612	+41.50330
UGC08837   	  7.21	 0.36	2	  0.501	  0.320	UGC08837     	208.69001	+53.90557
UGC09037   	 83.60	 8.40	1	 68.614	 19.078	UGC09037     	212.12127	+07.05800
UGC09133   	 57.10	11.40	1	282.926	 33.428	UGC09133     	214.03213	+35.34372
UGC09992   	 10.70	 3.21	1	  0.336	  0.318	UGC09992     	235.45004	+67.25389
UGC10310   	 15.20	 4.60	1	  1.741	  1.196	UGC10310     	244.07459	+47.04532
UGC11455   	 78.60	11.80	1	374.322	 13.335	UGC11455     	292.48440	+72.11282
UGC11557   	 24.20	 6.05	1	 12.101	  2.605	UGC11557     	306.00286	+60.19484
UGC11820   	 18.10	 5.43	1	  0.970	  1.977	UGC11820     	327.36933	+14.23094
UGC11914   	 16.90	 5.10	1	150.028	  0.888	UGC11914     	331.96820	+31.35926
UGC12506   	100.60	10.10	1	139.571	 35.556	UGC12506     	349.87698	+16.07479
UGC12632   	  9.77	 2.93	1	  1.301	  1.744	UGC12632     	352.49492	+40.99033
UGC12732   	 13.20	 4.00	1	  1.667	  3.660	UGC12732     	355.16650	+26.23606
UGCA281    	  5.68	 0.28	2	  0.194	  0.062	UGCA281      	186.56675	+48.49350
UGCA442    	  4.35	 0.22	2	  0.140	  0.263	UGCA442      	355.93979	-31.95677
UGCA444    	  0.98	 0.05	2	  0.012	  0.067	UGCA444      	000.49125	-15.46389

