#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-16T12:34:24 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-16T12:34:24	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/416/2840/catalog&-out.max=999999&-out=Name&-out=Ksmag&-out=Vcmb&-out=c11.5&-out=c12.5&-out=M1&-out=M2&-out=Ref&-out=_RA&-out=_DE	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74162840
#Name: J/MNRAS/416/2840
#Title: The 2M++ galaxy redshift catalogue (Lavaux+, 2011)
#INFO	ivoid=ivo://cds.vizier/j/mnras/416/2840	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/416/2840	    IVOID of underlying data collection
#INFO	creator=Lavaux G.	    First author or institution
#INFO	cites=bibcode:2011MNRAS.416.2840L	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2011	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/416/2840	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74162840	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-07-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_416_2840_catalog:
#Name: J/MNRAS/416/2840/catalog
#Title: *The 2M++ catalogue
#Column	Name	(A16)	Name of the galaxy as given in the 2MASS-XSC database (Cat. VII/233), or ZOA fake galaxy	[ucd=meta.id;meta.main]
#Column	Ksmag	(F5.2)	Apparent magnitude in band K_S as defined in Section 2.2.	[ucd=phot.mag;em.IR.K]
#Column	Vcmb	(I5)	Total apparent velocity in CMB rest frame (G1)	[ucd=phys.veloc;pos.cmb]
#Column	c11.5	(F5.2)	Redshift incompleteness at magnitude K2M++<=11.5	[ucd=stat.fit.param]
#Column	c12.5	(F5.2)	? Redshift incompleteness at magnitude KM2++<=12.5 (2)	[ucd=stat.fit.param]
#Column	M1	(I1)	[0/1] Flag to indicate whether this galaxy lies in the non-exclusion region covered by the SDSS	[ucd=meta.code]
#Column	M2	(I1)	[0/1] Flag to indicate whether this galaxy lies in the non-exclusion region covered by the 6dFGRS	[ucd=meta.code]
#Column	Ref	(A19)	Reference bibcode ("zoa" for fake galaxies in the Zone of Avoidance)	[ucd=meta.bib.bibcode]
#Column	_RA	(F9.5)	Simbad column added by the CDS	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Simbad column added by the CDS	[ucd=pos.eq.dec;meta.main]
Name	Ksmag	Vcmb	c11.5	c12.5	M1	M2	Ref	_RA	_DE
14483852-8553452	11.21	12382	 1.00	 0.00	0	1	20096dF...C...0000J	222.16050	-85.89589
01092646-8552376	12.45	 4966	 1.00	 0.83	0	1	20096dF...C...0000J	017.36025	-85.87711
23054906-8545110	12.45	19788	 1.00	 0.67	0	1	none               	346.45442	-85.75306
07243410-8543223	11.51	 5361	 1.00	 0.71	0	1	20096dF...C...0000J	111.14208	-85.72286
00344356-8542339	12.07	14407	 1.00	 0.83	0	1	20096dF...C...0000J	008.68150	-85.70942
06253176-8541548	11.49	12545	 1.00	 0.64	0	1	20096dF...C...0000J	096.38233	-85.69856
15132488-8541382	12.17	12911	 1.00	 0.67	0	1	20096dF...C...0000J	228.35367	-85.69394
07511205-8540159	12.44	26053	 1.00	 0.62	0	1	none               	117.80021	-85.67108
03403012-8540119	12.41	12749	 1.00	 0.62	0	1	20096dF...C...0000J	055.12550	-85.66997
07400785-8539307	11.09	 5246	 1.00	 0.69	0	1	2008ApJ...685.1320C	115.03271	-85.65853
03355460-8537067	11.90	12736	 1.00	 0.70	0	1	none               	053.97750	-85.61853
03355693-8535597	11.56	12901	 1.00	 0.70	0	1	2006MNRAS.366..267F	053.98721	-85.59992
10551725-8535329	10.56	 4632	 1.00	 0.00	0	1	1992ApJS...81..413M	163.82187	-85.59247
02253804-8532596	10.88	 4937	 1.00	 0.89	0	1	20096dF...C...0000J	036.40850	-85.54989
02424452-8532127	12.23	12787	 1.00	 0.92	0	1	20096dF...C...0000J	040.68550	-85.53686
01004587-8531226	11.72	 4510	 1.00	 0.86	0	1	20096dF...C...0000J	015.19112	-85.52294
07243632-8529493	10.62	 5715	 1.00	 0.69	0	1	20096dF...C...0000J	111.15133	-85.49703
02400338-8526396	11.61	12738	 1.00	 0.91	0	1	20112MRS.CTIO.0000H	040.01408	-85.44433
15443591-8526148	12.29	24959	 1.00	 0.75	0	1	none               	236.14962	-85.43744
07420104-8525161	10.31	 5213	 1.00	 0.69	0	1	20096dF...C...0000J	115.50433	-85.42114
03061317-8524138	11.99	13005	 1.00	 1.00	0	1	20096dF...C...0000J	046.55487	-85.40383
18221738-8524074	 8.45	 2473	 1.00	 1.00	0	1	1989ESOLV.C...0000L	275.57242	-85.40206
06120070-8522331	11.02	 5778	 1.00	 0.64	0	1	20112MRS.CTIO.0000H	093.00292	-85.37586
18120205-8521340	12.40	30332	 1.00	 1.00	0	1	20096dF...C...0000J	273.00854	-85.35944
02090195-8520255	11.52	12699	 1.00	 0.88	0	1	20112MRS.CTIO.0000H	032.25812	-85.34042
22104239-8519120	11.53	11774	 1.00	 0.69	0	1	20096dF...C...0000J	332.67662	-85.32000
17393146-8518375	 9.25	 2460	 1.00	 1.00	0	1	1992ApJS...81..413M	264.88108	-85.31042
03145291-8518346	12.15	25133	 1.00	 0.82	0	1	20096dF...C...0000J	048.72046	-85.30961
01320070-8510396	 9.84	 4007	 1.00	 0.78	0	1	20096dF...C...0000J	023.00292	-85.17767
09020725-8509111	12.34	20280	 1.00	 0.82	0	1	20096dF...C...0000J	135.53021	-85.15308
01572978-8505536	12.06	12696	 1.00	 0.89	0	1	20096dF...C...0000J	029.37408	-85.09822
19174694-8504574	11.81	13279	 1.00	 0.75	0	1	20096dF...C...0000J	289.44558	-85.08261
01593024-8503253	12.33	12696	 1.00	 0.89	0	1	none               	029.87600	-85.05703
21352679-8503002	12.00	 5026	 1.00	 0.69	0	1	20096dF...C...0000J	323.86162	-85.05006
21263177-8501284	12.33	43511	 1.00	 0.75	0	1	none               	321.63237	-85.02456
21273105-8500377	10.85	 5516	 1.00	 0.75	0	1	20096dF...C...0000J	321.87937	-85.01047
21281621-8459008	12.37	27636	 1.00	 0.75	0	1	none               	322.06754	-84.98356
08203036-8458360	 9.88	 4775	 1.00	 0.82	0	1	20096dF...C...0000J	125.12650	-84.97667
17140481-8458290	11.99	 5059	 1.00	 0.62	0	1	20096dF...C...0000J	258.52004	-84.97472
21595303-8458263	11.80	17819	 1.00	 0.75	0	1	20096dF...C...0000J	329.97096	-84.97397
07175097-8458121	12.44	21354	 1.00	 0.71	0	1	20096dF...C...0000J	109.46237	-84.97003
04462315-8458004	11.82	15841	 1.00	 0.50	0	1	20096dF...C...0000J	071.59646	-84.96678
04471185-8457277	11.84	12993	 1.00	 0.57	0	1	20096dF...C...0000J	071.79937	-84.95769
16314966-8457276	10.64	13148	 1.00	 0.64	0	1	20112MRS.CTIO.0000H	247.95692	-84.95767
00095529-8454200	11.60	18232	 1.00	 0.58	0	1	20096dF...C...0000J	002.48037	-84.90556
21174247-8450426	12.32	11305	 1.00	 0.73	0	1	20096dF...C...0000J	319.42696	-84.84517
19201567-8447355	10.87	 5077	 1.00	 0.60	0	1	20096dF...C...0000J	290.06529	-84.79319
22245408-8447189	12.01	17511	 1.00	 0.73	0	1	none               	336.22533	-84.78858
05474773-8446347	11.94	 5987	 1.00	 0.62	0	1	20096dF...C...0000J	086.94887	-84.77631
22552594-8446268	12.21	15518	 1.00	 0.57	0	1	20096dF...C...0000J	343.85808	-84.77411
06375921-8446211	12.24	 5727	 1.00	 0.57	0	1	20096dF...C...0000J	099.49671	-84.77253
01232754-8444140	12.09	 8321	 1.00	 0.73	0	1	20096dF...C...0000J	020.86475	-84.73722
22033170-8442252	12.37	 9540	 1.00	 0.79	0	1	20096dF...C...0000J	330.88208	-84.70700
22172135-8439054	12.38	14939	 1.00	 0.75	0	1	20096dF...C...0000J	334.33896	-84.65150
00033294-8436298	12.35	15172	 1.00	 0.58	0	1	20096dF...C...0000J	000.88725	-84.60828
06123552-8434577	10.55	 4838	 1.00	 1.00	0	1	20112MRS.m507.0000H	093.14800	-84.58269
16455059-8434065	12.19	13282	 1.00	 0.58	0	1	20096dF...C...0000J	251.46079	-84.56847
16401807-8432591	12.12	13346	 1.00	 0.58	0	1	20096dF...C...0000J	250.07529	-84.54975
20092310-8431114	12.45	15142	 1.00	 0.80	0	1	20096dF...C...0000J	302.34625	-84.51983
07261851-8431110	10.73	 4718	 1.00	 0.67	0	1	20096dF...C...0000J	111.57712	-84.51972
10094972-8430305	11.76	12304	 1.00	 0.50	0	1	20096dF...C...0000J	152.45717	-84.50847
08423963-8430223	11.70	12357	 1.00	 1.00	0	1	none               	130.66512	-84.50619
20303663-8429251	11.90	14929	 1.00	 0.92	0	1	20096dF...C...0000J	307.65262	-84.49031
08431792-8429053	12.35	12357	 1.00	 1.00	0	1	none               	130.82467	-84.48481
03144720-8428366	11.73	 4900	 1.00	 1.00	0	1	20096dF...C...0000J	048.69667	-84.47683
08424060-8427453	11.96	12357	 1.00	 1.00	0	1	none               	130.66917	-84.46258
08302482-8427142	12.50	12497	 1.00	 1.00	0	1	20096dF...C...0000J	127.60342	-84.45394
08413513-8427118	12.08	12357	 1.00	 1.00	0	1	20096dF...C...0000J	130.39637	-84.45328
20210808-8426489	12.42	17712	 1.00	 0.91	0	1	20096dF...C...0000J	305.28367	-84.44692
14261549-8423461	12.07	12685	 1.00	 1.00	0	1	20096dF...C...0000J	216.56454	-84.39614
02541731-8423353	11.55	10917	 1.00	 1.00	0	1	20096dF...C...0000J	043.57212	-84.39314
16025800-8423242	12.33	22242	 1.00	 0.73	0	1	20096dF...C...0000J	240.74167	-84.39006
23065118-8422546	11.86	15177	 1.00	 0.62	0	1	20096dF...C...0000J	346.71325	-84.38183
04003720-8422001	11.53	 4894	 1.00	 0.67	0	1	20096dF...C...0000J	060.15500	-84.36669
09261742-8421330	11.83	19036	 1.00	 0.83	0	1	20096dF...C...0000J	141.57258	-84.35917
05403278-8419579	12.13	12729	 1.00	 0.86	0	1	20096dF...C...0000J	085.13658	-84.33275
20584319-8419096	11.38	13910	 1.00	 0.91	0	1	20112MRS.CTIO.0000H	314.67996	-84.31933
16060954-8418328	12.21	22119	 1.00	 0.82	0	1	20096dF...C...0000J	241.53975	-84.30911
22162247-8417046	11.56	18015	 1.00	 0.71	0	1	20112MRS.CTIO.0000H	334.09362	-84.28461
14052054-8416219	10.45	 2788	 1.00	 0.67	0	1	20096dF...C...0000J	211.33558	-84.27275
20064549-8413515	12.32	15374	 1.00	 0.80	0	1	none               	301.68954	-84.23097
19294638-8412199	12.27	14513	 1.00	 0.76	0	1	20096dF...C...0000J	292.44325	-84.20553
20042800-8411240	11.68	15347	 1.00	 0.79	0	1	20096dF...C...0000J	301.11667	-84.19000
20075627-8411193	12.36	15374	 1.00	 0.80	0	1	20096dF...C...0000J	301.98446	-84.18869
03240665-8409372	12.47	 4984	 1.00	 1.00	0	1	20096dF...C...0000J	051.02771	-84.16033
16340904-8408342	10.51	 2609	 1.00	 0.50	0	1	20096dF...C...0000J	248.53767	-84.14283
22495673-8407248	11.90	17939	 1.00	 0.73	0	1	none               	342.48637	-84.12356
22042681-8406326	11.63	17433	 1.00	 0.62	0	1	20112MRS.CTIO.0000H	331.11171	-84.10906
07301981-8406241	11.58	 5412	 1.00	 0.86	0	1	20096dF...C...0000J	112.58254	-84.10669
03594913-8405378	 9.91	 4969	 1.00	 0.70	0	1	20096dF...C...0000J	059.95471	-84.09383
00200350-8405129	11.75	17408	 1.00	 0.86	0	1	20096dF...C...0000J	005.01458	-84.08692
07323177-8404202	 9.37	 5109	 1.00	 0.86	0	1	20096dF...C...0000J	113.13237	-84.07228
00553749-8404067	12.14	17110	 1.00	 0.83	0	1	none               	013.90621	-84.06853
20314600-8403303	11.20	14840	 1.00	 0.80	0	1	20096dF...C...0000J	307.94167	-84.05842
23544656-8402096	11.79	15475	 1.00	 0.69	0	1	20096dF...C...0000J	358.69400	-84.03600
04343421-8401434	12.48	24646	 1.00	 0.64	0	1	20096dF...C...0000J	068.64254	-84.02872
00543197-8401032	11.86	17110	 1.00	 0.80	0	1	20096dF...C...0000J	013.63321	-84.01756
02064942-8400477	12.25	14743	 1.00	 1.00	0	1	20096dF...C...0000J	031.70592	-84.01325
02001675-8359156	 9.60	 3575	 1.00	 0.89	0	1	20096dF...C...0000J	030.06979	-83.98767
05360039-8357552	12.37	12659	 1.00	 0.89	0	1	20096dF...C...0000J	084.00162	-83.96533
21333460-8357500	12.03	18129	 1.00	 0.69	0	1	none               	323.39417	-83.96389
02444326-8357237	11.98	12780	 1.00	 1.00	0	1	none               	041.18025	-83.95658
21361245-8356574	11.48	18091	 1.00	 0.69	0	1	20112MRS.CTIO.0000H	324.05187	-83.94928
22501996-8356298	12.29	18223	 1.00	 0.88	0	1	20096dF...C...0000J	342.58317	-83.94161
21390275-8356174	12.20	18129	 1.00	 0.62	0	1	none               	324.76146	-83.93817
17423114-8356111	11.73	14587	 1.00	 0.56	0	1	20096dF...C...0000J	265.62975	-83.93642
07100433-8355364	11.73	12424	 1.00	 1.00	0	1	20096dF...C...0000J	107.51804	-83.92678
00142140-8354434	12.26	15655	 1.00	 0.84	0	1	20096dF...C...0000J	003.58917	-83.91206
15400174-8353511	11.91	12225	 1.00	 0.60	0	1	20096dF...C...0000J	235.00725	-83.89753
00554475-8353257	10.64	 4461	 1.00	 0.69	0	1	2008ApJ...685.1320C	013.93646	-83.89047
00113489-8353013	11.71	11399	 1.00	 0.82	0	1	20096dF...C...0000J	002.89537	-83.88369
00115745-8351474	12.27	11399	 1.00	 0.82	0	1	20096dF...C...0000J	002.98937	-83.86317
00524107-8351185	 9.67	 4698	 1.00	 0.81	0	1	2003AJ....126.2268W	013.17112	-83.85514
07322976-8351055	12.11	 5009	 1.00	 1.00	0	1	20096dF...C...0000J	113.12400	-83.85153
19393605-8351019	12.39	17497	 1.00	 0.80	0	1	none               	294.90021	-83.85053
03520081-8349503	 8.21	 1767	 1.00	 0.78	0	1	20096dF...C...0000J	058.00337	-83.83064
22252275-8348588	11.50	10716	 1.00	 0.80	0	1	20096dF...C...0000J	336.34479	-83.81633
01445772-8348442	11.29	 8357	 1.00	 0.75	0	1	20096dF...C...0000J	026.24050	-83.81228
15470202-8348288	12.40	20658	 1.00	 0.64	0	1	20096dF...C...0000J	236.75842	-83.80800
00592147-8347500	11.97	18152	 1.00	 0.67	0	1	none               	014.83946	-83.79722
05111852-8346063	12.19	12749	 1.00	 0.82	0	1	20096dF...C...0000J	077.82717	-83.76842
22045424-8346028	12.04	23096	 1.00	 0.76	0	1	20096dF...C...0000J	331.22600	-83.76744
19515995-8344333	12.36	15626	 1.00	 0.83	0	1	20096dF...C...0000J	297.99979	-83.74258
17363043-8344301	12.43	18422	 1.00	 0.56	0	1	20096dF...C...0000J	264.12679	-83.74169
03233849-8343481	12.38	17562	 1.00	 1.00	0	1	20096dF...C...0000J	050.91037	-83.73003
17462338-8343427	11.87	14179	 1.00	 0.67	0	1	20096dF...C...0000J	266.59742	-83.72853
21371093-8343146	11.27	17701	 1.00	 0.69	0	1	20112MRS.CTIO.0000H	324.29554	-83.72072
00374907-8341548	12.39	17032	 1.00	 0.81	0	1	20096dF...C...0000J	009.45446	-83.69856
20182471-8337574	12.29	17359	 1.00	 0.83	0	1	none               	304.60296	-83.63261
20170219-8336234	11.57	17359	 1.00	 0.83	0	1	20096dF...C...0000J	304.25912	-83.60650
19433647-8335557	12.25	16469	 1.00	 0.82	0	1	20096dF...C...0000J	295.90196	-83.59881
15393387-8335215	11.41	22775	 0.75	 0.54	0	1	20112MRS.CTIO.0000H	234.89112	-83.58931
11152553-8334275	12.24	12204	 1.00	 0.60	0	1	20096dF...C...0000J	168.85637	-83.57431
19442117-8334216	12.05	16469	 1.00	 0.82	0	1	none               	296.08821	-83.57267
04272886-8333027	12.16	 4872	 1.00	 0.50	0	1	20096dF...C...0000J	066.87025	-83.55075
19322826-8329503	12.33	18869	 1.00	 0.76	0	1	20096dF...C...0000J	293.11775	-83.49731
01581150-8329244	12.20	 8438	 1.00	 1.00	0	1	20096dF...C...0000J	029.54792	-83.49011
05294455-8327561	11.37	12485	 1.00	 0.92	0	1	20096dF...C...0000J	082.43562	-83.46558
08363808-8327490	11.35	 5392	 1.00	 1.00	0	1	20096dF...C...0000J	129.15867	-83.46361
00203378-8327216	12.34	11215	 1.00	 0.73	0	1	20096dF...C...0000J	005.14075	-83.45600
19173512-8326002	12.49	17780	 1.00	 0.85	0	1	20096dF...C...0000J	289.39633	-83.43339
21581599-8325504	12.48	18080	 1.00	 0.76	0	1	20096dF...C...0000J	329.56662	-83.43067
20301303-8325359	11.43	17577	 1.00	 0.81	0	1	20096dF...C...0000J	307.55429	-83.42664
00053426-8324293	11.25	 8604	 1.00	 0.88	0	1	20096dF...C...0000J	001.39275	-83.40814
00444201-8324003	12.33	17435	 1.00	 0.77	0	1	20096dF...C...0000J	011.17504	-83.40008
01462204-8323584	11.00	 4664	 1.00	 0.82	0	1	20096dF...C...0000J	026.59183	-83.39956
00580032-8322589	11.42	12770	 1.00	 0.59	0	1	20096dF...C...0000J	014.50133	-83.38303
01384774-8321515	11.06	 4960	 1.00	 0.80	0	1	20096dF...C...0000J	024.69892	-83.36431
18175964-8321414	10.23	 5093	 1.00	 1.00	0	1	20096dF...C...0000J	274.49850	-83.36150
21392738-8320069	11.11	17256	 1.00	 0.73	0	1	20096dF...C...0000J	324.86408	-83.33525
03052468-8318199	12.02	11478	 1.00	 1.00	0	1	20096dF...C...0000J	046.35283	-83.30553
20123052-8316520	11.91	17974	 1.00	 0.81	0	1	20096dF...C...0000J	303.12717	-83.28111
05230592-8316373	11.97	19801	 1.00	 0.85	0	1	20096dF...C...0000J	080.77467	-83.27703
00151713-8315592	12.26	17249	 1.00	 0.74	0	1	20096dF...C...0000J	003.82137	-83.26644
19310831-8312541	12.22	17304	 1.00	 0.82	0	1	20096dF...C...0000J	292.78462	-83.21503
01413344-8312439	10.73	 4589	 1.00	 0.80	0	1	20096dF...C...0000J	025.38933	-83.21219
11051855-8312265	12.08	12105	 1.00	 1.00	0	1	20096dF...C...0000J	166.32729	-83.20736
10411310-8309033	11.80	12206	 1.00	 0.86	0	1	20096dF...C...0000J	160.30458	-83.15092
02533585-8308318	 9.96	 4897	 1.00	 1.00	0	1	20096dF...C...0000J	043.39937	-83.14217
22462401-8308247	12.37	13297	 1.00	 0.78	0	1	20096dF...C...0000J	341.60004	-83.14019
10491903-8307096	11.97	12246	 1.00	 1.00	0	1	20096dF...C...0000J	162.32929	-83.11933
00080300-8306574	12.44	27701	 1.00	 0.76	0	1	20096dF...C...0000J	002.01250	-83.11594
10213480-8306486	12.44	25601	 1.00	 0.80	0	1	20096dF...C...0000J	155.39500	-83.11350
00182593-8306394	11.20	 4537	 1.00	 0.74	0	1	20096dF...C...0000J	004.60804	-83.11094
19513945-8305557	11.60	 5260	 1.00	 0.75	0	1	20096dF...C...0000J	297.91437	-83.09881
23292013-8305488	11.86	18520	 1.00	 0.71	0	1	20096dF...C...0000J	352.33387	-83.09689
20030678-8305480	11.74	16448	 1.00	 0.76	0	1	20096dF...C...0000J	300.77825	-83.09667
20044237-8305375	12.24	15865	 1.00	 0.75	0	1	20096dF...C...0000J	301.17654	-83.09375
20030121-8305310	12.15	15585	 1.00	 0.76	0	1	20096dF...C...0000J	300.75504	-83.09194
01520887-8303071	12.30	31922	 1.00	 0.89	0	1	none               	028.03696	-83.05197
15533416-8302589	11.56	13797	 0.75	 0.58	0	1	20112MRS.CTIO.0000H	238.39233	-83.04969
03360969-8302083	10.92	 4676	 1.00	 0.64	0	1	2008ApJ...685.1320C	054.04037	-83.03564
20513695-8301592	12.09	17675	 1.00	 1.00	0	1	20096dF...C...0000J	312.90396	-83.03311
16194083-8301061	12.13	15722	 1.00	 0.55	0	1	20096dF...C...0000J	244.92012	-83.01836
22183478-8301001	12.20	17917	 1.00	 0.89	0	1	20096dF...C...0000J	334.64492	-83.01669
05334845-8300402	12.29	17457	 1.00	 0.80	0	1	20096dF...C...0000J	083.45187	-83.01117
17413333-8300241	11.47	 5135	 1.00	 0.78	0	1	20096dF...C...0000J	265.38887	-83.00669
06265303-8259489	12.44	31348	 1.00	 1.00	0	1	20096dF...C...0000J	096.72096	-82.99692
05322639-8258356	12.42	17457	 1.00	 0.80	0	1	none               	083.10996	-82.97656
05314822-8257437	12.05	19873	 1.00	 0.69	0	1	none               	082.95092	-82.96214
16153251-8257177	12.35	12431	 1.00	 0.61	0	1	20096dF...C...0000J	243.88546	-82.95492
05383525-8255033	12.24	19619	 1.00	 0.85	0	1	20096dF...C...0000J	084.64687	-82.91758
15593664-8254574	11.94	 2620	 1.00	 0.58	0	1	20096dF...C...0000J	239.90267	-82.91594
21353224-8254075	 9.78	 2529	 1.00	 0.75	0	1	20096dF...C...0000J	323.88433	-82.90208
02090683-8253514	11.79	17301	 1.00	 1.00	0	1	20096dF...C...0000J	032.27846	-82.89761
23475594-8253275	12.29	27282	 1.00	 0.85	0	1	20096dF...C...0000J	356.98308	-82.89097
