| row | canonical | alt | registered (can/alt) | unit | lane | formula | verdict |
| rho_ph(R0 = 8.2 kpc), MW | 0.0078192 | 0.00858235 | 0.0078 / 0.0086 | Msun/pc^3 | G031 PART 4 (registered 0.0078/0.0086); G003 as-run 0.0062/0.0071; ClearPotential 0.0084 | rho_ph(R0) = sqrt(G Mb a0)/(4 pi G R0^2), Mb = 6.5e10 Msun, R0 = 8.2 kpc (Msun/pc^3) | PASS (canon +0.25% / alt +0.21%) |
| z_c layer half-width | 140.629 | 169.42 | 140.6 / 169.4 | pc | G024_slab_limit V1 (registered 140.6/169.4 pc) | z_c = a0/(16 pi G rho_b), rho_b = 0.095 Msun/pc^3 | PASS (canon +0.02% / alt +0.01%) |
| z* = 4 z_c (branch crossover) | 562.517 | 677.678 | 562.5 / 677.7 | pc | G024_slab_limit V7 (z*/z_c = 4.0000, sympy) | z* = 4 z_c exactly (the sqrt-vertical to Newtonian crossover) | PASS (canon +0.00% / alt +0.00%) |
| peak two-sided phantom column | 26.7196 | 32.1897 | 26.7 / 32.19 | Msun/pc^2 | G024_slab_limit V2 (canonical col = 26.72 = a0/(8 pi G) exactly; alt print 32.19) | col_ph = a0/(8 pi G) in Msun/pc^2 (each footing's own lane print) | PASS (canon +0.07% / alt +0.00%) |
| nu_layer | 2 | 2 | 2 / 2 | - | G024_slab_limit V2 (column identity, sympy-exact; Lean G024_slab.lean) | nu_layer = (baryon + phantom column)/baryon column = 2 exactly | PASS (canon +0.00% / alt +0.00%) |
| gamma_v (22-30 kAU binned mean, G018 population; registered 1.047) | 1.04665 | 1.04665 | 1.047 / 1.047 | - | G018 PART B bin 22-30 kAU mean 1.0467 (exact seed 20260914); G026 E6; L240 PART F additive law | population mean of sqrt(1/[1-(1+Y_i+Y_e)^-2]) over G018's 22-30 kAU bin; Y_i = 2 g_N/s_DE, Y_e = 2 g_ext/s_DE | PASS (canon +0.03% / alt +0.03%) |
| EFE cap a_break | 7.4357 | 7.4357 | 7.4 / 7.4 | kAU | G014 PART A (the break semimajor axis, registered 7.4 kAU) | a_break = sqrt(G M_pair/g_ext), M_pair = 2 Msun, g_ext = (233 km/s)^2/8.2 kpc | PASS (canon +0.48% / alt +0.48%) |
| Omega_Lambda from a0 (canonical) | 0.685 | 0.685 | 0.6857 / 0.6857 | - | G052 Vc (G052_unified_cosmology.out; ratio to Planck 1.0015, +0.07%) | Omega_L = Lambda^4/rho_crit = 4 a0^2/(G rho_crit c^2) (canonical, the Z-theorem) | PASS (canon +0.10% / alt +0.10%) |
| Omega_Lambda from a0 (alt footing; G052's registered FAIL row) | 0.994182 | 0.994182 | 0.9953 / 0.9953 | - | G052 Va (the alt-footing mismatch is itself a registered finding) | same formula, alt footing: does NOT land on Planck (G052's recorded FAIL, ratio 1.4537) | PASS (canon +0.11% / alt +0.11%) |
| growth raise, D(0)/D_LCDM (L180 kernel) | 1.01092 | 1.01538 | 1.0109 / 1.0154 | - | L180 E2 (registered sigma8 ratios 1.0109 canonical / 1.0154 alt) | G_eff/G = nu(cH/a0), nu(x) = 1/(1-e^{-sqrt(x)}); linear growth ODE in ln a | PASS (canon +0.00% / alt +0.00%) |
| RAR total scatter, deep-regime pooled rms | 0.15 | 0.174 | 0.15 / 0.174 | dex | G002 V11 (0.150 canonical, 155 curves); G036 V1 (0.174 deep, SPARC ingest); G049 comparator | pooled per-point rms of delta = log10(g_obs/g_th) in the deep regime (r/r_M > 2) | CITED (data outcome (measurement), lane-cited) |
| RAR scatter floor with per-galaxy M/L freedom | 0.064 | 0.094 | 0.064 / 0.094 | dex | G013 V1 (0.0639 median); G040 V3 (0.0939 M/L-adjusted median over 171 galaxies; alt 0.0984) | median per-galaxy rms with stellar M/L freed in [0.2, 1.2] | CITED (data outcome (measurement), lane-cited) |
| Within-galaxy white-noise floor | 0.045 | 0.052 | 0.045 / 0.052 | dex | G036 V4a (0.0447 within-galaxy); G044 V1E (0.0524/0.0538); registered band 0.045-0.052 | within-galaxy pooled rms after per-galaxy offset (and line) removed | CITED (data outcome (measurement), lane-cited) |
| Population-mean deep sag | -0.13 | -0.13 | -0.13 / -0.13 | dex/dex | G036 V4d (-0.1310 canonical / -0.1380 alt); G049 V0 anchor; registered -0.13 | mean per-galaxy deep-regime slope d(delta)/d log10(r/r_M), one sign, 4-5 sigma | CITED (data outcome (measurement), lane-cited) |
