g03g production: alt, a0 = 1.130e-10, xi = 0.05 pc, g_ext,obs = 1.778e-10 (y_e = 1.574); box 144 kAU/192^3 (s <= 15 kAU) or 288 kAU/256^3
  M_tot = 1.0 s =  10.0 kAU theta =  90: gamma_force = 1.0279  tangential 0.000  ((21, 21, 16) it, dpsi 8e-07, common 1.0e-02)  [431 s]
  M_tot = 1.0 s =  15.0 kAU theta =   0: gamma_force = 1.0313  tangential 0.000  ((21, 21, 16) it, dpsi 6e-07, common 6.4e-03)  [462 s]
  M_tot = 1.0 s =  15.0 kAU theta =  45: gamma_force = 1.0405  tangential 0.037  ((21, 21, 16) it, dpsi 7e-07, common 1.3e-02)  [493 s]
  M_tot = 1.0 s =  15.0 kAU theta =  90: gamma_force = 1.0484  tangential 0.000  ((21, 21, 16) it, dpsi 6e-07, common 1.3e-02)  [524 s]
  M_tot = 1.0 s =  20.0 kAU theta =   0: gamma_force = 1.0523  tangential 0.000  ((21, 21, 15) it, dpsi 8e-07, common 1.1e-02)  [674 s]
  M_tot = 1.0 s =  20.0 kAU theta =  45: gamma_force = 1.0594  tangential 0.056  ((21, 21, 16) it, dpsi 5e-07, common 1.6e-02)  [779 s]
  M_tot = 1.0 s =  20.0 kAU theta =  90: gamma_force = 1.0647  tangential 0.000  ((21, 21, 15) it, dpsi 8e-07, common 1.4e-02)  [885 s]
  M_tot = 1.0 s =  30.0 kAU theta =   0: gamma_force = 1.0917  tangential 0.000  ((21, 21, 15) it, dpsi 5e-07, common 1.8e-02)  [983 s]
  M_tot = 1.0 s =  30.0 kAU theta =  45: gamma_force = 1.0895  tangential 0.092  ((21, 21, 15) it, dpsi 7e-07, common 1.9e-02)  [1080 s]
  M_tot = 1.0 s =  30.0 kAU theta =  90: gamma_force = 1.0842  tangential 0.000  ((21, 21, 14) it, dpsi 9e-07, common 1.4e-02)  [1174 s]
  M_tot = 2.0 s =   3.0 kAU theta =   0: gamma_force = 1.0003  tangential 0.000  ((21, 21, 18) it, dpsi 6e-07, common 9.7e-04)  [1227 s]
  M_tot = 2.0 s =   3.0 kAU theta =  90: gamma_force = 1.0014  tangential 0.000  ((21, 21, 18) it, dpsi 5e-07, common 1.2e-03)  [1262 s]
  M_tot = 2.0 s =   5.0 kAU theta =   0: gamma_force = 1.0012  tangential 0.000  ((21, 21, 18) it, dpsi 5e-07, common 1.7e-03)  [1296 s]
  M_tot = 2.0 s =   5.0 kAU theta =  90: gamma_force = 1.0048  tangential 0.000  ((21, 21, 17) it, dpsi 9e-07, common 2.8e-03)  [1329 s]
  M_tot = 2.0 s =   7.0 kAU theta =   0: gamma_force = 1.0036  tangential 0.000  ((21, 21, 17) it, dpsi 9e-07, common 2.1e-03)  [1363 s]
  M_tot = 2.0 s =   7.0 kAU theta =  90: gamma_force = 1.0119  tangential 0.000  ((21, 21, 17) it, dpsi 7e-07, common 6.0e-03)  [1396 s]
  M_tot = 2.0 s =  10.0 kAU theta =   0: gamma_force = 1.0106  tangential 0.000  ((21, 21, 17) it, dpsi 7e-07, common 8.8e-04)  [1429 s]
  M_tot = 2.0 s =  10.0 kAU theta =  90: gamma_force = 1.0257  tangential 0.000  ((21, 21, 17) it, dpsi 5e-07, common 1.1e-02)  [1462 s]
  M_tot = 2.0 s =  15.0 kAU theta =   0: gamma_force = 1.0278  tangential 0.000  ((21, 21, 17) it, dpsi 5e-07, common 5.2e-03)  [1495 s]
  M_tot = 2.0 s =  15.0 kAU theta =  90: gamma_force = 1.0464  tangential 0.000  ((21, 21, 16) it, dpsi 1e-06, common 1.5e-02)  [1528 s]
  M_tot = 2.0 s =  20.0 kAU theta =   0: gamma_force = 1.0494  tangential 0.000  ((21, 21, 16) it, dpsi 7e-07, common 1.1e-02)  [1683 s]
  M_tot = 2.0 s =  20.0 kAU theta =  90: gamma_force = 1.0628  tangential 0.000  ((21, 21, 16) it, dpsi 7e-07, common 1.7e-02)  [1773 s]
  M_tot = 2.0 s =  30.0 kAU theta =   0: gamma_force = 1.0898  tangential 0.000  ((21, 21, 15) it, dpsi 1e-06, common 2.1e-02)  [1858 s]
  M_tot = 2.0 s =  30.0 kAU theta =  90: gamma_force = 1.0825  tangential 0.000  ((21, 21, 15) it, dpsi 9e-07, common 1.7e-02)  [1943 s]
done
