g03g production: canonical, a0 = 9.360e-11, xi = 0.03 pc, g_ext,obs = 1.778e-10 (y_e = 1.900); box 144 kAU/192^3 (s <= 15 kAU) or 288 kAU/256^3
  M_tot = 1.0 s =  10.0 kAU theta =  90: gamma_force = 1.0306  tangential 0.000  ((21, 21, 17) it, dpsi 6e-07, common 1.2e-02)  [436 s]
  M_tot = 1.0 s =  15.0 kAU theta =   0: gamma_force = 1.0368  tangential 0.000  ((21, 21, 16) it, dpsi 9e-07, common 1.3e-02)  [467 s]
  M_tot = 1.0 s =  15.0 kAU theta =  45: gamma_force = 1.0407  tangential 0.054  ((21, 21, 17) it, dpsi 6e-07, common 1.7e-02)  [498 s]
  M_tot = 1.0 s =  15.0 kAU theta =  90: gamma_force = 1.0414  tangential 0.000  ((21, 21, 16) it, dpsi 1e-06, common 1.4e-02)  [530 s]
  M_tot = 1.0 s =  20.0 kAU theta =   0: gamma_force = 1.0605  tangential 0.000  ((21, 21, 16) it, dpsi 6e-07, common 1.7e-02)  [682 s]
  M_tot = 1.0 s =  20.0 kAU theta =  45: gamma_force = 1.0542  tangential 0.076  ((21, 21, 16) it, dpsi 8e-07, common 1.9e-02)  [786 s]
  M_tot = 1.0 s =  20.0 kAU theta =  90: gamma_force = 1.0443  tangential 0.000  ((21, 21, 16) it, dpsi 6e-07, common 1.4e-02)  [894 s]
  M_tot = 1.0 s =  30.0 kAU theta =   0: gamma_force = 1.0987  tangential 0.000  ((21, 21, 15) it, dpsi 8e-07, common 2.0e-02)  [991 s]
  M_tot = 1.0 s =  30.0 kAU theta =  45: gamma_force = 1.0709  tangential 0.106  ((21, 21, 15) it, dpsi 1e-06, common 1.9e-02)  [1087 s]
  M_tot = 1.0 s =  30.0 kAU theta =  90: gamma_force = 1.0397  tangential 0.000  ((21, 21, 15) it, dpsi 6e-07, common 1.1e-02)  [1184 s]
  M_tot = 2.0 s =   3.0 kAU theta =   0: gamma_force = 1.0001  tangential 0.000  ((21, 21, 18) it, dpsi 7e-07, common 7.6e-04)  [1237 s]
  M_tot = 2.0 s =   3.0 kAU theta =  90: gamma_force = 1.0017  tangential 0.000  ((21, 21, 18) it, dpsi 7e-07, common 1.0e-03)  [1271 s]
  M_tot = 2.0 s =   5.0 kAU theta =   0: gamma_force = 1.0004  tangential 0.000  ((21, 21, 18) it, dpsi 7e-07, common 1.2e-03)  [1305 s]
  M_tot = 2.0 s =   5.0 kAU theta =  90: gamma_force = 1.0060  tangential 0.000  ((21, 21, 18) it, dpsi 6e-07, common 2.7e-03)  [1339 s]
  M_tot = 2.0 s =   7.0 kAU theta =   0: gamma_force = 1.0020  tangential 0.000  ((21, 21, 18) it, dpsi 6e-07, common 8.6e-04)  [1374 s]
  M_tot = 2.0 s =   7.0 kAU theta =  90: gamma_force = 1.0148  tangential 0.000  ((21, 21, 17) it, dpsi 1e-06, common 6.1e-03)  [1407 s]
  M_tot = 2.0 s =  10.0 kAU theta =   0: gamma_force = 1.0092  tangential 0.000  ((21, 21, 18) it, dpsi 5e-07, common 2.2e-03)  [1441 s]
  M_tot = 2.0 s =  10.0 kAU theta =  90: gamma_force = 1.0296  tangential 0.000  ((21, 21, 17) it, dpsi 8e-07, common 1.2e-02)  [1474 s]
  M_tot = 2.0 s =  15.0 kAU theta =   0: gamma_force = 1.0299  tangential 0.000  ((21, 21, 17) it, dpsi 8e-07, common 1.1e-02)  [1507 s]
  M_tot = 2.0 s =  15.0 kAU theta =  90: gamma_force = 1.0412  tangential 0.000  ((21, 21, 17) it, dpsi 8e-07, common 1.5e-02)  [1541 s]
  M_tot = 2.0 s =  20.0 kAU theta =   0: gamma_force = 1.0545  tangential 0.000  ((21, 21, 17) it, dpsi 5e-07, common 1.8e-02)  [1697 s]
  M_tot = 2.0 s =  20.0 kAU theta =  90: gamma_force = 1.0442  tangential 0.000  ((21, 21, 17) it, dpsi 6e-07, common 1.5e-02)  [1788 s]
  M_tot = 2.0 s =  30.0 kAU theta =   0: gamma_force = 1.0948  tangential 0.000  ((21, 21, 16) it, dpsi 7e-07, common 2.3e-02)  [1875 s]
  M_tot = 2.0 s =  30.0 kAU theta =  90: gamma_force = 1.0394  tangential 0.000  ((21, 21, 16) it, dpsi 6e-07, common 1.3e-02)  [1963 s]
done
