name,z,sigma,sigma_err,sigma_flag,logMstar,logMstar_err,IMF,logMgas,logMdyn,re_kpc,v_over_sigma,kinematic_type,tracer,instrument,sigma_definition,rotation_removed,source_arXiv,table_or_section,notes
J0217,6.203,111,29.5,det,10.47,,unstated,,,,,unclear,[OIII]88,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 111 +27/-32 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=0.8 kpc (Table 1 col 6; not an effective radius); Vmax=<227 km/s; Vmax/sigma printed as <2.8; M* printed without error; M* ref Harikane+2020 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; log M_rot printed as <10.4; kinematic_type unclear: only an upper limit on V/sigma"
VR7,6.517,57,15,det,10.23,,unstated,,10.5,,3.31,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 57 +15/-15 km/s; Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=2.3 kpc (Table 1 col 6; not an effective radius); Vmax=189 +79/-56 km/s; Vmax/sigma = 3.31 +3.06/-1.46; M* printed without error; M* ref Matthee+2017 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
UVISTA-Z-349,6.564,77,17,det,9.79,1.005,unstated,,9.7,,1.05,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 77 +13/-21 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=1.5 kpc (Table 1 col 6; not an effective radius); Vmax=81 +128/-56 km/s; Vmax/sigma = 1.05 +2.68/-0.77; log M* = 9.79 +0.74/-1.27; M* ref Dayal+2022 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.8/-1.0; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
UVISTA-Z-004,6.669,37,21.5,det,9.83,0.19,unstated,,10.4,,4.64,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 37 +24/-19 km/s; Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=1.7 kpc (Table 1 col 6; not an effective radius); Vmax=172 +78/-54 km/s; Vmax/sigma = 4.64 +9.24/-2.71; M* ref Dayal+2022 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
UVISTA-Z-049,6.716,51,39,det,9.76,0.36,unstated,,10.4,,3.27,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 51 +46/-32 km/s; Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=1.0 kpc (Table 1 col 6; not an effective radius); Vmax=208 +94/-64 km/s; Vmax/sigma = 3.27 +4.3/-1.83; log M* = 9.76 +0.35/-0.37; M* ref Dayal+2022 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
UVISTA-Z-019,6.74,52,19,det,9.51,0.185,unstated,,10.5,,3.61,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 52 +21/-17 km/s; Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=2.6 kpc (Table 1 col 6; not an effective radius); Vmax=188 +78/-55 km/s; Vmax/sigma = 3.61 +3.98/-1.79; log M* = 9.51 +0.19/-0.18; M* ref Schouws+2022 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
COS-29,6.794,37,11.5,det,9.23,0.355,unstated,,9.5,,1.89,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 37 +10/-13 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=1.5 kpc (Table 1 col 6; not an effective radius); Vmax=70 +83/-44 km/s; Vmax/sigma = 1.89 +4.48/-1.34; log M* = 9.23 +0.11/-0.6; M* ref Smit+2018 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.6/-0.8; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
COS-30,6.84,68,13.5,det,9.14,0.44,unstated,,10.7,,3.88,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 68 +14/-13 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=1.3 kpc (Table 1 col 6; not an effective radius); Vmax=264 +34/-55 km/s; Vmax/sigma = 3.88 +1.54/-1.33; log M* = 9.14 +0.18/-0.7; M* ref Smit+2018 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.2/-0.1; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
COS-30,6.851,125,,lower,9.14,0.44,unstated,,10.2,,,unclear,[OIII]88,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas printed as >125 km/s (lower limit); Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=1.5 kpc (Table 1 col 6; not an effective radius); Vmax=145 +63/-44 km/s; Vmax/sigma printed as <1.16; log M* = 9.14 +0.18/-0.7; M* ref Smit+2018 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type unclear: only an upper limit on V/sigma"
UVISTA-Z-001,7.057,51,33,det,9.58,0.22,unstated,,10.5,,3.94,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 51 +34/-32 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=1.3 kpc (Table 1 col 6; not an effective radius); Vmax=201 +234/-116 km/s; Vmax/sigma = 3.94 +18.95/-2.94; log M* = 9.58 +0.09/-0.35; M* ref Schouws+2022 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.6/-0.7; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
UVISTA-Y-004,7.077,61,23,det,9.9,0.295,unstated,,10.1,,2.03,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 61 +16/-30 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=1.7 kpc (Table 1 col 6; not an effective radius); Vmax=124 +144/-85 km/s; Vmax/sigma = 2.03 +6.61/-1.53; log M* = 9.9 +0.25/-0.34; M* ref Dayal+2022 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.7/-1.0; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
UVISTA-Y-003,7.293,63,25,det,10.1,0.165,unstated,,10.7,,4.46,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 63 +23/-27 km/s; Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=1.6 kpc (Table 1 col 6; not an effective radius); Vmax=281 +120/-84 km/s; Vmax/sigma = 4.46 +6.67/-2.16; log M* = 10.1 +0.15/-0.18; M* ref Dayal+2022 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution); same object as REBELS-25 (Rowland+2024)"
UVISTA-Y-879,7.357,119,42,det,9,0.69,unstated,,10.6,,1.78,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 119 +36/-48 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=3.3 kpc (Table 1 col 6; not an effective radius); Vmax=212 +215/-159 km/s; Vmax/sigma = 1.78 +4.23/-1.44; M* ref Dayal+2022 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.6/-1.2; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
SUPER8,7.351,74,76.5,det,9.69,0.72,unstated,,10.2,,1.59,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 74 +100/-53 km/s; Method II (KinMS forward model of flux map + integrated spectrum, 1D); Method-II sigma already divided by the paper's 1.6 correction factor (Sect. 3.4/App. C); exp. disk scale radius r_D=2.2 kpc (Table 1 col 6; not an effective radius); Vmax=134 +61/-40 km/s; Vmax/sigma = 1.59 +8.78/-1.22; log M* = 9.69 +0.45/-0.99; M* ref Dayal+2022 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.3/-0.3; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
UVISTA-Y-001,7.66,79,14.5,det,9.7,0.645,unstated,,9.8,,1.14,rotation,[CII]158,ALMA,"forward-modelled (KinMS) intrinsic gas dispersion, constant-sigma disk",yes,2304.00036,Table 1 (tab:results) col 11; M* Table 2 (tab:properties),"sigma_gas = 79 +11/-18 km/s; Method I (KinMS forward model of 3 moment maps, 2D); exp. disk scale radius r_D=1.5 kpc (Table 1 col 6; not an effective radius); Vmax=90 +139/-59 km/s; Vmax/sigma = 1.14 +1.22/-0.79; log M* = 9.7 +0.56/-0.73; M* ref Dayal+2022 (Table 2 col 3); Table 2 footnote says masses derived from UV luminosity per the refs; logMdyn = log M_rot (disk dyn. mass within 5 kpc) +0.8/-0.9; kinematic_type from Vmax/sigma>1 (paper fits only rotating-disk models; notes mergers cannot be excluded at this resolution)"
CRISTAL-02,5.294,67.1,5.1,det,10.3,0.28,Chabrier,,,2.7,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 67.1 +7.8/-2.4 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 129.0 +36.6/-37.2 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.5 +0.1/-0.2; CRISTAL class: Disk (Table 2); R_e,disk = 2.7 +0.5/-0.5 kpc; M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias DEIMOS_COSMOS_848185/HZ6/LBG-1; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-03,5.689,77.8,14.35,det,10.4,0.29,Chabrier,,,1.5,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 77.8 +28.5/-0.2 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 165.3 +20.6/-65.5 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.4 +0.1/-0.2; CRISTAL class: Best Disk (Table 2); R_e,disk = 1.5 +0.9/-0.2 kpc; M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias DEIMOS_COSMOS_536534/HZ1; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-06b,4.562,80.8,9.45,det,9.19,0.46,Chabrier,,,1.8,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 80.8 +12.5/-6.4 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 136.3 +44.6/-136.3 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.5 +0.1/-0.3; CRISTAL class: Disk (Table 2); R_e,disk = 1.8 +0.7/-0.7 kpc; M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias companion of vuds_cosmos_5100541407; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-07a,5.154,63.1,6.1,det,10,0.33,Chabrier,,,3.0,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 63.1 +5.0/-7.2 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 132.6 +41.7/-73.5 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.2 +0.4/-0.2; CRISTAL class: Disk (Table 2); R_e,disk = 3.0 +0.9/-1.0 kpc; M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias DEIMOS_COSMOS_873321/HZ8; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-08,4.43,62.4,11.85,det,9.85,0.36,Chabrier,,,3.4,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 62.4 +10.9/-12.8 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 183.6 +50.2/-61.0 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.5 +0.3/-0.2; CRISTAL class: Best Disk (Table 2); R_e,disk = 3.4 +0.9/-0.9 kpc; M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias vuds_efdcs_530029038; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
CRISTAL-09a,5.575,93.2,19.7,det,9.84,0.39,Chabrier,,,1.2,,rotation,[CII]158,ALMA,"DysmalPy 3D forward-modelled intrinsic dispersion sigma0 (isotropic, constant)",yes,2507.11600,"Table 3 (tab:dysmalpy_results) col e; class Table 2; z,M* Table 1","sigma0 = 93.2 +26.2/-13.2 km/s; DysmalPy flat prior sigma0 in [20,200] km/s (lower prior bound 20 km/s); V_rot(R_e) = 153.1 +70.0/-153.1 km/s (intrinsic, after Burkert+2010 pressure-support correction; V/sigma not tabulated); log M_tot (DysmalPy baryonic mass per Sect. 5.1) = 10.4 +0.1/-0.6; CRISTAL class: Disk (Table 2); Table 3 labels this galaxy ""09""; Table 1/2 name CRISTAL-09a; R_e,disk = 1.2 +0.2/-0.2 kpc; M* from Table 1 (no error there); error taken from Herrera-Camus+2025 (2505.06340) Table 1 which lists the identical CIGALE value; alias DEIMOS_COSMOS_519281; IMF Chabrier per 2505.06340 Sect. 1 (same M* catalogue)"
