name,z,sigma,sigma_err,sigma_flag,logMstar,logMstar_err,IMF,logMgas,logMdyn,re_kpc,v_over_sigma,kinematic_type,tracer,instrument,sigma_definition,rotation_removed,source_arXiv,table_or_section,notes
HFLS3 W1,6.3549,137.6,5.9,det,,,,,,,,merger,"[OIII]4959,5007 (tied)",NIRSpec IFU G395H R2700,intrinsic (LSF-convolved model) FWHM of integrated component spectrum /2.355,no,2308.16620,table 'Best fit FWHM and integrated fluxes' (label specfittab),[OIII] FWHM 324+-14 km/s /2.355; Hbeta/Halpha FWHM 332+-27 km/s; NO stellar mass tabulated for any HFLS3 companion; no magnification correction applied; paper notes S1/S2 and W1/W2 pairs meet close-pair (merger) criteria
HFLS3 W2,6.3627,57.3,3.4,det,,,,,,,,merger,"[OIII]4959,5007 (tied)",NIRSpec IFU G395H R2700,intrinsic (LSF-convolved model) FWHM of integrated component spectrum /2.355,no,2308.16620,table 'Best fit FWHM and integrated fluxes' (label specfittab),[OIII] FWHM 135+-8 km/s /2.355; Hbeta/Halpha FWHM 172+-16 km/s; NO stellar mass tabulated for any HFLS3 companion; no magnification correction applied; paper notes S1/S2 and W1/W2 pairs meet close-pair (merger) criteria
SPT0311-58 C1,6.92655,99,8,det,9.204,0.063,Kroupa,,9.87,0.64,,unclear,[OIII]+Hbeta (R2700),NIRSpec IFU G395H R2700,integrated velocity dispersion of R2700 [OIII]-Hbeta aperture spectrum after deconvolving instrumental profile,no,2312.00899,"table 'Kinematic properties and dynamical mass estimates' (sigma, R_e, Mdyn) + table 'ISM properties, star formation, and stellar masses' (label tab:Table_SFR; M* in 1e9 Msun)","M* (1.6+-0.23)e9 Msun converted to log (SED of R100 spectrum, magnification+aperture corrected; mu~1.06-1.62 per table mag_factors); Mdyn 7.4(+10/-2.7)e9; Mdyn uses K=5 plus Ubler+23/Bezanson+18 gas->stellar sigma correction; R_e from 2D Gaussian, 30-50% uncertainty"
SPT0311-58 C2,6.92419,57,5,det,9.459,0.105,Kroupa,,9.41,0.69,,unclear,[OIII]+Hbeta (R2700),NIRSpec IFU G395H R2700,integrated velocity dispersion of R2700 [OIII]-Hbeta aperture spectrum after deconvolving instrumental profile,no,2312.00899,"table 'Kinematic properties and dynamical mass estimates' (sigma, R_e, Mdyn) + table 'ISM properties, star formation, and stellar masses' (label tab:Table_SFR; M* in 1e9 Msun)","M* (2.88+-0.68)e9 Msun converted to log (SED of R100 spectrum, magnification+aperture corrected; mu~1.06-1.62 per table mag_factors); Mdyn 2.6(+3.7/-1.0)e9; Mdyn uses K=5 plus Ubler+23/Bezanson+18 gas->stellar sigma correction; R_e from 2D Gaussian, 30-50% uncertainty"
SPT0311-58 C3,6.90638,106,15,det,9.533,0.123,Kroupa,,10.0,0.75,,unclear,[OIII]+Hbeta (R2700),NIRSpec IFU G395H R2700,integrated velocity dispersion of R2700 [OIII]-Hbeta aperture spectrum after deconvolving instrumental profile,no,2312.00899,"table 'Kinematic properties and dynamical mass estimates' (sigma, R_e, Mdyn) + table 'ISM properties, star formation, and stellar masses' (label tab:Table_SFR; M* in 1e9 Msun)","M* (3.41+-0.94)e9 Msun converted to log (SED of R100 spectrum, magnification+aperture corrected; mu~1.06-1.62 per table mag_factors); Mdyn 10(+20/-3.7)e9; near FoV edge; Mdyn uses K=5 plus Ubler+23/Bezanson+18 gas->stellar sigma correction; R_e from 2D Gaussian, 30-50% uncertainty"
SPT0311-58 L1,6.89941,66,2,det,8.544,0.05,Kroupa,,9.58,0.73,,unclear,[OIII]+Hbeta (R2700),NIRSpec IFU G395H R2700,integrated velocity dispersion of R2700 [OIII]-Hbeta aperture spectrum after deconvolving instrumental profile,no,2312.00899,"table 'Kinematic properties and dynamical mass estimates' (sigma, R_e, Mdyn) + table 'ISM properties, star formation, and stellar masses' (label tab:Table_SFR; M* in 1e9 Msun)","M* (0.35+-0.04)e9 Msun converted to log (SED of R100 spectrum, magnification+aperture corrected; mu~1.06-1.62 per table mag_factors); Mdyn 3.8(+4.7/-1.4)e9; Mdyn uses K=5 plus Ubler+23/Bezanson+18 gas->stellar sigma correction; R_e from 2D Gaussian, 30-50% uncertainty"
SPT0311-58 L2,6.89256,64,12,det,8.708,0.06,Kroupa,,9.4,0.51,,unclear,[OIII]+Hbeta (R2700),NIRSpec IFU G395H R2700,integrated velocity dispersion of R2700 [OIII]-Hbeta aperture spectrum after deconvolving instrumental profile,no,2312.00899,"table 'Kinematic properties and dynamical mass estimates' (sigma, R_e, Mdyn) + table 'ISM properties, star formation, and stellar masses' (label tab:Table_SFR; M* in 1e9 Msun)","M* (0.51+-0.07)e9 Msun converted to log (SED of R100 spectrum, magnification+aperture corrected; mu~1.06-1.62 per table mag_factors); Mdyn 2.5(+5.8/-0.9)e9; faint; Mdyn uses K=5 plus Ubler+23/Bezanson+18 gas->stellar sigma correction; R_e from 2D Gaussian, 30-50% uncertainty"
SPT0311-58 L3,6.88632,36,7,det,9.17,0.105,Kroupa,,9.0,0.68,,unclear,[OIII]+Hbeta (R2700),NIRSpec IFU G395H R2700,integrated velocity dispersion of R2700 [OIII]-Hbeta aperture spectrum after deconvolving instrumental profile,no,2312.00899,"table 'Kinematic properties and dynamical mass estimates' (sigma, R_e, Mdyn) + table 'ISM properties, star formation, and stellar masses' (label tab:Table_SFR; M* in 1e9 Msun)","M* (1.48+-0.35)e9 Msun converted to log (SED of R100 spectrum, magnification+aperture corrected; mu~1.06-1.62 per table mag_factors); Mdyn 1.0(+2.0/-0.4)e9; near FoV edge; Mdyn uses K=5 plus Ubler+23/Bezanson+18 gas->stellar sigma correction; R_e from 2D Gaussian, 30-50% uncertainty"
SPT0311-58 L4,6.92425,99,24,det,9.1,0.066,Kroupa,,9.9,0.7,,unclear,[OIII]+Hbeta (R2700),NIRSpec IFU G395H R2700,integrated velocity dispersion of R2700 [OIII]-Hbeta aperture spectrum after deconvolving instrumental profile,no,2312.00899,"table 'Kinematic properties and dynamical mass estimates' (sigma, R_e, Mdyn) + table 'ISM properties, star formation, and stellar masses' (label tab:Table_SFR; M* in 1e9 Msun)","M* (1.26+-0.19)e9 Msun converted to log (SED of R100 spectrum, magnification+aperture corrected; mu~1.06-1.62 per table mag_factors); Mdyn 7.9(+20/-2.9)e9; R_e badly defined; Mdyn uses K=5 plus Ubler+23/Bezanson+18 gas->stellar sigma correction; R_e from 2D Gaussian, 30-50% uncertainty"
SPT0311-58 L5,6.9094,36,3,det,9.068,0.067,Kroupa,,,,,unclear,[OIII]+Hbeta (R2700),NIRSpec IFU G395H R2700,integrated velocity dispersion of R2700 [OIII]-Hbeta aperture spectrum after deconvolving instrumental profile,no,2312.00899,"table 'Kinematic properties and dynamical mass estimates' (sigma, R_e, Mdyn) + table 'ISM properties, star formation, and stellar masses' (label tab:Table_SFR; M* in 1e9 Msun)","M* (1.17+-0.18)e9 Msun converted to log (SED of R100 spectrum, magnification+aperture corrected; mu~1.06-1.62 per table mag_factors); near FoV edge; R_e and Mdyn not estimated; Mdyn uses K=5 plus Ubler+23/Bezanson+18 gas->stellar sigma correction; R_e from 2D Gaussian, 30-50% uncertainty"
SPT0311-58 L6,6.9183,45,10,det,8.748,0.095,Kroupa,,9.15,0.58,,unclear,[OIII]+Hbeta (R2700),NIRSpec IFU G395H R2700,integrated velocity dispersion of R2700 [OIII]-Hbeta aperture spectrum after deconvolving instrumental profile,no,2312.00899,"table 'Kinematic properties and dynamical mass estimates' (sigma, R_e, Mdyn) + table 'ISM properties, star formation, and stellar masses' (label tab:Table_SFR; M* in 1e9 Msun)","M* (0.56+-0.12)e9 Msun converted to log (SED of R100 spectrum, magnification+aperture corrected; mu~1.06-1.62 per table mag_factors); Mdyn 1.4(+2.8/-0.5)e9; Mdyn uses K=5 plus Ubler+23/Bezanson+18 gas->stellar sigma correction; R_e from 2D Gaussian, 30-50% uncertainty"
SPT0311-58 L7,6.92644,93,15,det,,,Kroupa,,9.72,0.53,,unclear,[OIII]+Hbeta (R2700),NIRSpec IFU G395H R2700,integrated velocity dispersion of R2700 [OIII]-Hbeta aperture spectrum after deconvolving instrumental profile,no,2312.00899,"table 'Kinematic properties and dynamical mass estimates' (sigma, R_e, Mdyn) + table 'ISM properties, star formation, and stellar masses' (label tab:Table_SFR; M* in 1e9 Msun)","M* (None+-None)e9 Msun converted to log (SED of R100 spectrum, magnification+aperture corrected; mu~1.06-1.62 per table mag_factors); Mdyn 5.3(+1.8/-1.6)e9; kinematics from 2D decomposition with E; no M* (continuum contaminated by E); Mdyn uses K=5 plus Ubler+23/Bezanson+18 gas->stellar sigma correction; R_e from 2D Gaussian, 30-50% uncertainty"
SPT0311-58 E,6.91956,113,19,det,10.549,0.053,Kroupa,,10.77,2.12,,unclear,[OIII]+Hbeta,NIRSpec IFU G395H R2700,"median intrinsic spaxel dispersion sigma_0 over the galaxy (resolved maps, 2-component decomposition with L7)",yes,2312.00899,Subsect. 'E galaxy' text ('median intrinsic velocity dispersion (sigma_0) ... is 113+-19 km/s') + kinematic & stellar-mass tables,"'unsettled disc': irregular velocity field, v/sigma_0 ~1 (approximate, not tabulated); integrated sigma 155+-3 km/s (kinematic table) includes velocity gradient; 3x3-binned median sigma_0=120; M* 35.4+-4.3e9 (CIGALE alt: 21.0+-5.2e9); Mdyn 59(+70/-21)e9 in kinematic table (text: 6.0+-2e10)"
B14-65666 core E,7.1526,66.2,5.5,det,,,Chabrier (paper-wide),,,,,merger,"narrow component, all lines tied ([OII],[NeIII],Hbeta,[OIII],HeI)",NIRSpec IFU G395M R1000 (flag: medium resolution),intrinsic (LSF-corrected) FWHM of NARROW component in narrow+broad fit of core aperture /2.355,no,2412.15027,table 'Best-fit continuum and observed line properties' (label specfittable),narrow FWHM 156+-13 km/s /2.355; broad components FWHM 653/698 km/s (tidal/outflow); per-core M* NOT tabulated (only system log M*=9.78+0.16-0.18 from Sugahara+24)
B14-65666 core W,7.1487,98.1,3.4,det,,,Chabrier (paper-wide),,,,,merger,"narrow component, all lines tied ([OII],[NeIII],Hbeta,[OIII],HeI)",NIRSpec IFU G395M R1000 (flag: medium resolution),intrinsic (LSF-corrected) FWHM of NARROW component in narrow+broad fit of core aperture /2.355,no,2412.15027,table 'Best-fit continuum and observed line properties' (label specfittable),narrow FWHM 231+-8 km/s /2.355; broad components FWHM 653/698 km/s (tidal/outflow); per-core M* NOT tabulated (only system log M*=9.78+0.16-0.18 from Sugahara+24)
GN20,4.055,89,10,det,11.04,,"unstated (literature value, Tan+14)",11.11,11.68,3.6,5.3,rotation,Halpha,NIRSpec IFU G395H R2700,sigma_0 from DysmalPy 3D forward model (disc+bulge+DM halo); min uncertainty 10 km/s adopted,yes,2403.03192,table t:model (best-fit disc+bulge+halo model); inflow model table t:inflow,"M* 1.1e11 (Tan+14; literature range 1.1-2.3e11) converted to log, no error given; logMgas = M_H2 1.3e11 (Hodge+12, alpha_CO=0.8); R_e fixed to 3.6 kpc; Mdyn(<2Re); inflow model: sigma_0 89+-10, v/sigma 5.0+-0.6, Mdyn 11.51; SMG with AGN evidence"
HZ10-E,5.6436,54.8,1.7,det,,,,,,,,merger,[OIII]5007 narrow component,NIRSpec IFU G395H R2700,"NARROW-component FWHM (model intrinsic width, LSF added in fit) of narrow+broad fit to r=0.125"" aperture /2.355",no,2405.12955,table 'Best-fit line properties for HZ10' (label linetable_CA),"narrow [OIII] FWHM 129+-4 km/s; narrow Balmer FWHM 136+-6 km/s; broad component also present in every aperture; z = narrow-component redshift; no per-component M* (system log M*=10.39+-0.17, Capak+15; ALPINE-CRISTAL-JWST gives HZ10-E 10.35)"
HZ10-C,5.6524,45.4,5.5,det,,,,,,,,merger,[OIII]5007 narrow component,NIRSpec IFU G395H R2700,"NARROW-component FWHM (model intrinsic width, LSF added in fit) of narrow+broad fit to r=0.125"" aperture /2.355",no,2405.12955,table 'Best-fit line properties for HZ10' (label linetable_CA),"narrow [OIII] FWHM 107+-13 km/s; narrow Balmer FWHM 151+-13 km/s; broad component also present in every aperture; z = narrow-component redshift; no per-component M* (system log M*=10.39+-0.17, Capak+15; ALPINE-CRISTAL-JWST gives HZ10-E 10.35)"
HZ10-W,5.6504,127.4,17.0,det,,,,,,,,merger,[OIII]5007 narrow component,NIRSpec IFU G395H R2700,"NARROW-component FWHM (model intrinsic width, LSF added in fit) of narrow+broad fit to r=0.125"" aperture /2.355",no,2405.12955,table 'Best-fit line properties for HZ10' (label linetable_CA),"narrow [OIII] FWHM 300+-40 km/s; narrow Balmer FWHM 300+-29 km/s; broad component also present in every aperture; z = narrow-component redshift; no per-component M* (system log M*=10.39+-0.17, Capak+15; ALPINE-CRISTAL-JWST gives HZ10-E 10.35)"
"HZ4 (DC_494057, system)",5.544,76.4,0.8,det,9.75,0.075,unstated (Bagpipes),,,,,merger,"narrow component tied across Halpha,Hbeta,[OIII],[NII]",NIRSpec IFU G395H R2700,NARROW-component FWHM of narrow+broad fit to integrated spectrum /2.355 (LSF deconvolution not explicitly stated for this value),no,2407.19008,"table 'R2700 line fluxes' (label tab:r2700_fluxes, FWHM rows) + table tab:integratedproperties_bagpipes (M*)","FWHM 180+-2 km/s; broad (outflow) FWHM 430+-10; M* +0.05/-0.10; sub-clump M*: North 8.90, Center 8.69, South 9.24 (no per-clump sigma); ALMA-CRISTAL calls HZ4 a [CII] 'Best Disk' but this paper argues multi-component/merging ionised-gas kinematics"
GS_3073 (broad-line AGN host),5.55,82.9,0.7,det,9.52,0.13,Chabrier,,9.4,0.18,,unclear,Halpha narrow component,NIRSpec IFU G395H R2700,narrow-component FWHM corrected for instrumental resolution /2.355 (integrated),no,2302.06647,table t:fit (FWHM) + Mdyn table + Sect. 'Host galaxy dynamical mass' (s:mdyn; M* 9.52+-0.13),"paper quotes sigma_Halpha,narrow=83 km/s; Hbeta narrow FWHM 224.7+-0.6; AGN (BLR FWHM 3370) - narrow lines may include NLR; M* from R100 continuum assuming host-dominated; Mdyn 9.4(+0.7/-0.2); R_e=0.18 kpc (vdWel+12 H-band)"
RXCJ0600-z6 (Cosmic Grapes),6.072,65.4,0.4,det,8.653,0.163,Kroupa (per paper SED methods; global M* from Gimenez-Arteaga+24),9.04,9.23,0.68,2.6,rotation,[OIII]5008,NIRSpec IFU G395H R2700,"intrinsic integrated FWHM (sqrt(obs^2-100^2), assumed 100 km/s resolution) /2.355 in 0.7"" aperture",no,2402.18543,"Extended Data Table 2 (line FWHM), ED Table 3 (M*, Mdyn, Mgas, r_e), ED Table 5 (resolved V, sigma)","lensed mu=32.5(+0.7/-6.8), all ED Table 3 values intrinsic/delensed; M* 4.5(+2.7/-1.1)e8 -> log; Halpha integrated FWHM 148+-1 (sigma 62.8); RESOLVED 3DBarolo sigma(R): Halpha 70,59,52,44,55 km/s at R=0.09-0.77 kpc (errors ~10-13); [OIII] 70,66,59,42,22(+12/-13) at 0.10-0.92 kpc; paper adopts [CII] sigma_0 (V/sigma_0=3.58+-0.74) as fiducial because ionised sigma may be feedback/LSF-inflated; v_over_sigma here = [OIII] V_max/sigma_0=2.60+-0.52 (Halpha 2.77+-0.42); Mdyn(<2r_e) and Mgas from [CII]"
MACS0416 z6.14 LAE D1 (total),6.1439,27.9,2.5,det,7.394,0.062,"Kroupa (BPASS, Bagpipes)",,,,,unclear,Halpha (text: [OIII] unresolved in D1),NIRSpec IFU G395H R2700,resolution-corrected integrated line width of D1 aperture spectrum,no,2407.20331,"appendix table tab:clump_properties_spec (sigma) + appendix table tab:clump_properties_phot (M*, R_eff, mu)","lensed mu=17.2(+0.0/-0.7); M* (24.8+2.4/-4.4)e6 Msun delensed, converted to log; table column is labelled sigma_[OIII] but text states D1 value derives from Halpha because [OIII] is unresolved; D1 and T1 differ by 42+-3 km/s (rotating disc or interacting satellites); sub-galactic star-forming complex of a faint LAE"
MACS0416 z6.14 LAE D1a,6.1441,19.1,6.1,det,6.041,0.088,"Kroupa (BPASS, Bagpipes)",,,,,unclear,[OIII] (table column sigma_[OIII]),NIRSpec IFU G395H R2700,resolution-corrected integrated line width of sub-region spectrum,no,2407.20331,"appendix table tab:clump_properties_spec (sigma) + appendix table tab:clump_properties_phot (M*, R_eff, mu)","lensed mu=17.0; M* (1.1+0.1/-0.3)e6 Msun delensed, converted to log; sub-region of D1"
MACS0416 z6.14 LAE D1bc,6.1438,32.0,3.5,det,,,"Kroupa (BPASS, Bagpipes)",,,,,unclear,[OIII] (table column sigma_[OIII]),NIRSpec IFU G395H R2700,resolution-corrected integrated line width of merged D1b+D1c mask,no,2407.20331,"appendix table tab:clump_properties_spec (sigma) + appendix table tab:clump_properties_phot (M*, R_eff, mu)","lensed mu=17.4-17.5; M* (None+0/-0)e6 Msun delensed, converted to log; no combined M* (D1b 1.2(+0.7/-0.3)e6, D1c 1.7(+3.9/-0.0)e6 separately)"
MACS0416 z6.14 LAE D1d,6.1438,22.1,5.1,det,6.255,0.261,"Kroupa (BPASS, Bagpipes)",,,,,unclear,[OIII] (table column sigma_[OIII]),NIRSpec IFU G395H R2700,resolution-corrected integrated line width of sub-region spectrum,no,2407.20331,"appendix table tab:clump_properties_spec (sigma) + appendix table tab:clump_properties_phot (M*, R_eff, mu)","lensed mu=17.2; M* (1.8+1.2/-0.9)e6 Msun delensed, converted to log; sub-region of D1"
MACS0416 z6.14 LAE T1 (total),6.1449,20.0,8.6,det,6.0,0.044,"Kroupa (BPASS, Bagpipes)",,,0.0186,,unclear,[OIII]5007,NIRSpec IFU G395H R2700,resolution-corrected integrated line width (observed FWHM 15.8+-0.9 A vs nominal 14.7 A element),no,2407.20331,"appendix table tab:clump_properties_spec (sigma) + appendix table tab:clump_properties_phot (M*, R_eff, mu)","lensed mu=21.0(+0.4/-0.9); M* (1.0+0.1/-0.1)e6 Msun delensed, converted to log; Halpha deconvolved sigma=30.8+-3.8 km/s (text); R_eff=18.6(+1.0/-0.6) pc; age <~2 Myr, possibly non-virialised; compact HII-region-like system"
MACS0416 z6.14 LAE T1_core,6.145,20.9,8.5,det,5.301,0.37,"Kroupa (BPASS, Bagpipes)",,,0.0036,,unclear,[OIII] (table column sigma_[OIII]),NIRSpec IFU G395H R2700,resolution-corrected integrated line width of core mask,no,2407.20331,"appendix table tab:clump_properties_spec (sigma) + appendix table tab:clump_properties_phot (M*, R_eff, mu)","lensed mu=21.0; M* (0.2+0.9/-0.0)e6 Msun delensed, converted to log; R_eff=3.6(+2.6/-1.4) pc (single star cluster scale); M* error highly asymmetric (+0.9/-0.0 e6)"
Twister-z5 (FRESCO GOODS-S),5.38,100,,upper,10.4,0.4,Kroupa,,11.0,2.25,2,rotation,Halpha,NIRCam WFSS F444W grism R~1600 (not IFU),disk-average LOS dispersion from grism line width minus LSF and spatial extent in quadrature (includes beam smearing; not forward-modelled),no,2310.06887,Sect. 'Kinematics' text ('average velocity dispersion of ~100 km/s in the disk') + Fig. 4 caption,"paper: disk sigma ~100 km/s (range 50-150), 'likely an upper limit because dynamical forward-modeling has not been performed'; center ~225 km/s; V/sigma~2 (approximate, as printed); no formal sigma error; Mdyn 11.0+-0.2; V_rot 240+-50"
MACS0416-Y3 (MAGNIF),8.343,40,28,det,8.6,0.1,unstated,,8.4,0.29,1.6,rotation,[OIII]5007,NIRCam WFSS F480M grism C R~1600 (not IFU),v_sigma from grism dynamical forward model,yes,2310.09327,deluxetable 'Physical properties of MACS0416-Y3',"sigma 40(+30/-26); tentative rotator (chi2 best 1.18 vs no-rotation 1.27); v_rot 58(+53/-35); v/sigma 1.6(+1.9/-0.9); Mdyn 8.4(+0.5/-0.7); M*, R_e corrected for mu=1.49"
BR1202-0725 LAE1a,4.7007,160,7,det,,,,,,,,unclear,narrow component (integrated),NIRSpec IFU G235H+G395H R2700,integrated narrow-component velocity dispersion corrected for instrumental broadening,no,2412.02751,"table label tab:Comp (coordinates, z, sigma of companions)",companion of the z=4.69 QSO/SMG pair in a dense overdensity; NO stellar mass tabulated; Mdyn quoted as upper limits (ionised-gas sizes)
BR1202-0725 LAE1b,4.712,167,4,det,,,,,,,,unclear,narrow component (integrated),NIRSpec IFU G235H+G395H R2700,integrated narrow-component velocity dispersion corrected for instrumental broadening,no,2412.02751,"table label tab:Comp (coordinates, z, sigma of companions)",companion of the z=4.69 QSO/SMG pair in a dense overdensity; NO stellar mass tabulated; Mdyn quoted as upper limits (ionised-gas sizes)
BR1202-0725 LAE2,4.7066,160,10,det,,,,,,,,unclear,narrow component (integrated),NIRSpec IFU G235H+G395H R2700,integrated narrow-component velocity dispersion corrected for instrumental broadening,no,2412.02751,"table label tab:Comp (coordinates, z, sigma of companions)",companion of the z=4.69 QSO/SMG pair in a dense overdensity; NO stellar mass tabulated; Mdyn quoted as upper limits (ionised-gas sizes)
BR1202-0725 C1,4.7145,143,8,det,,,,,,,,unclear,narrow component (integrated),NIRSpec IFU G235H+G395H R2700,integrated narrow-component velocity dispersion corrected for instrumental broadening,no,2412.02751,"table label tab:Comp (coordinates, z, sigma of companions)",companion of the z=4.69 QSO/SMG pair in a dense overdensity; NO stellar mass tabulated; Mdyn quoted as upper limits (ionised-gas sizes)
