name,z,sigma,sigma_err,sigma_flag,logMstar,logMstar_err,IMF,logMgas,logMdyn,re_kpc,v_over_sigma,kinematic_type,tracer,instrument,sigma_definition,rotation_removed,source_arXiv,table_or_section,notes
GO1871-29,5.0191,72.0,0.7,det,9.24,0.22,Kroupa,,9.96,0.839,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=839+/-83 pc; Mdyn err +/-0.04; logM* err +/-0.22 (bagpipes)
GO1871-40,7.0948,60.6,5.9,det,8.47,0.53,Kroupa,,9.73,0.74,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)","single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=740+/-45 pc; Mdyn err +/-0.07; logM* err +/-0.53 (bagpipes); gas-flow candidate: 2-Gaussian narrow sigma=60.35+/-5.61, broad sigma=259.15 (Tab. data_gasflow; LSF correction of these not stated)"
GO1871-63,5.5872,45.0,,upper,7.84,0.34,Kroupa,,<=9.66,<=0.442,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); source unresolved in NIRCam (PSF model): table lists sigma and Mdyn as <= values; logM* err +/-0.34 (bagpipes); IMBH / narrow-line AGN candidate (Chisholm+24) - EXCLUDED from paper's analysis
GO1871-70,7.0302,41.3,8.0,det,8.85,0.41,Kroupa,,9.42,0.659,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=659+/-52 pc; Mdyn err +/-0.12; logM* err +/-0.41 (bagpipes)
GO1871-105,6.5669,49.9,1.4,det,7.81,0.79,Kroupa,,9.34,0.393,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)","single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=393+/-41 pc; Mdyn err +/-0.05; logM* err +/-0.79 (bagpipes); gas-flow candidate: 2-Gaussian narrow sigma=57.32+/-1.98, broad sigma=103.17 (Tab. data_gasflow; LSF correction of these not stated)"
GO1871-451,4.4615,40.7,2.5,det,7.99,0.59,Kroupa,,9.37,0.556,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=556+/-66 pc; Mdyn err +/-0.06; logM* err +/-0.59 (bagpipes)
GO1871-545,4.0416,96.4,1.4,det,9.41,0.41,Kroupa,,10.11,0.828,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=828+/-88 pc; Mdyn err +/-0.05; logM* err +/-0.41 (bagpipes)
GO1871-912,6.7161,44.4,1.9,det,9.69,0.2,Kroupa,,9.68,0.97,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=970+/-59 pc; Mdyn err +/-0.04; logM* err +/-0.2 (bagpipes)
GO1871-918,6.9062,62.1,,upper,8.78,0.58,Kroupa,,<=9.73,<=0.393,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); source unresolved in NIRCam (PSF model): table lists sigma and Mdyn as <= values; logM* err +/-0.58 (bagpipes)
GO1871-969,6.5613,57.5,,upper,7.8,0.55,Kroupa,,<=9.71,<=0.405,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); source unresolved in NIRCam (PSF model): table lists sigma and Mdyn as <= values; logM* err +/-0.55 (bagpipes)
GO1871-1032,7.0889,37.3,12.1,det,9.07,0.24,Kroupa,,9.41,0.6,,unresolved (integrated),[OIII]5008,NIRSpec MSA G395H R2700,"integrated single-Gaussian line sigma, LSF-subtracted in quadrature (msafit LSF)",no,2501.17145,"App. Tab. data_sample (z,M*), Tab. data_morphology (r_phys, sigma*_gas, Mdyn); Mdyn=K(n)K(q) sigma^2 re/G (Sec. 3.2)",single-Gaussian [OIII]5008 width minus msafit LSF (sigma_res 26.7-38.5) in quadrature; paper treats sigma_gas as UPPER LIMIT to intrinsic dispersion (rotation not removed); r_phys=600+/-37 pc; Mdyn err +/-0.16; logM* err +/-0.24 (bagpipes)
JADES-1028887,5.19,68.0,13.0,det,9.56,0.19,unstated (Prospector; JADES default Chabrier),,9.88,1.12,0.3,dispersion,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 68.0 +12.0/-14.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 0.3 +0.3/-0.2; re(Halpha) 1.12 +0.11/-0.1 kpc; logM* +0.19/-0.19; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1002030,5.18,122.0,34.5,det,9.48,0.21,unstated (Prospector; JADES default Chabrier),,10.5,1.37,0.6,dispersion,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 122.0 +34.0/-35.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 0.6 +0.4/-0.3; re(Halpha) 1.37 +0.19/-0.18 kpc; logM* +0.18/-0.24; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-191250,5.39,39.0,,upper,10.17,0.195,unstated (Prospector; JADES default Chabrier),,10.8,2.45,13.9,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <39 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 13.9 +5.0/-5.0; re(Halpha) 2.45 +0.06/-0.06 kpc; logM* +0.3/-0.09; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1002222,5.29,73.0,10.0,det,9.47,0.31,unstated (Prospector; JADES default Chabrier),,9.91,0.98,0.5,dispersion,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 73.0 +9.0/-11.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 0.5 +0.4/-0.3; re(Halpha) 0.98 +0.17/-0.13 kpc; logM* +0.18/-0.44; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-214966,5.54,108.0,27.5,det,9.54,0.185,unstated (Prospector; JADES default Chabrier),,10.4,1.41,0.5,dispersion,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 108.0 +25.0/-30.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 0.5 +0.3/-0.3; re(Halpha) 1.41 +0.1/-0.1 kpc; logM* +0.16/-0.21; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1025527,5.3,118.0,30.0,det,9.39,0.36,unstated (Prospector; JADES default Chabrier),,10.6,1.06,1.9,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 118.0 +25.0/-35.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.9 +1.1/-0.6; re(Halpha) 1.06 +0.18/-0.14 kpc; logM* +0.16/-0.56; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1001674,5.18,199.0,34.5,det,9.92,0.15,unstated (Prospector; JADES default Chabrier),,11.0,1.6,0.5,dispersion,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 199.0 +36.0/-33.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 0.5 +0.4/-0.4; re(Halpha) 1.6 +0.18/-0.17 kpc; logM* +0.17/-0.13; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-201125,5.82,136.0,14.5,det,9.96,0.13,unstated (Prospector; JADES default Chabrier),,10.8,1.86,0.8,dispersion,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 136.0 +15.0/-14.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 0.8 +0.3/-0.3; re(Halpha) 1.86 +0.16/-0.15 kpc; logM* +0.1/-0.16; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1094616,4.06,187.0,8.5,det,9.4,0.26,unstated (Prospector; JADES default Chabrier),,11.0,1.35,1.3,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 187.0 +9.0/-8.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.3 +0.2/-0.2; re(Halpha) 1.35 +0.12/-0.1 kpc; logM* +0.16/-0.36; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1088814,4.41,87.0,31.5,det,10.6,0.245,unstated (Prospector; JADES default Chabrier),,10.6,2.39,1.5,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 87.0 +27.0/-36.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.5 +1.2/-0.4; re(Halpha) 2.39 +0.08/-0.08 kpc; logM* +0.13/-0.36; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1087148,4.38,63.0,,upper,8.24,0.305,unstated (Prospector; JADES default Chabrier),,9.82,1.05,2.4,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <63 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 2.4 +3.3/-1.6; re(Halpha) 1.05 +0.24/-0.19 kpc; logM* +0.28/-0.33; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1015956,4.02,32.0,,upper,9.54,0.235,unstated (Prospector; JADES default Chabrier),,9.08,1.4,1.7,rotation,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 <32 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 1.7 +4.6/-1.3; re(Halpha) 1.4 +0.15/-0.14 kpc; logM* +0.12/-0.35; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1085659,4.06,51.0,18.5,det,10.17,0.275,unstated (Prospector; JADES default Chabrier),,9.76,1.47,0.3,dispersion,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 51.0 +16.0/-21.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 0.3 +0.4/-0.2; re(Halpha) 1.47 +0.11/-0.1 kpc; logM* +0.13/-0.42; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
JADES-1083165,4.15,111.0,12.5,det,9.78,0.11,unstated (Prospector; JADES default Chabrier),,10.3,1.12,0.6,dispersion,Halpha,"NIRCam WFSS grism F444W/F356W R~1400-1650 (medium-res, not NIRSpec)","forward-modelled (geko) intrinsic constant dispersion sigma_0 of thin rotating disc, PSF+LSF modelled",yes,2503.21863,App. A Tab. results-gold (gold sample),"sigma_0 111.0 +12.0/-13.0 (upper limits: 16th pct <30 km/s, value is the 1-sigma bound per Sec.5 footnote); v/sigma_0 0.6 +0.2/-0.2; re(Halpha) 1.12 +0.07/-0.07 kpc; logM* +0.09/-0.13; Mdyn=1.8 re vc^2/G (vc with 3.36 sigma_0^2 pressure term); grism LSF FWHM~80 km/s (sigma_inst~34), LSF 10% uncertainty not marginalised"
