# MEASURED velocity dispersion profiles of Galactic globular clusters (line-of-sight RV and proper-motion bins).
# Source: https://people.smp.uq.edu.au/HolgerBaumgardt/globular/veldis.html   Retrieved 2026-09-03.
# Radius is in arcsec.  Type RV = line-of-sight radial velocities.  These are the DATA, not model curves.
ClusterName	R[arcsec]	N_star	sigma[km/s]	dsigma_up	dsigma_low	Type
2MS-GC02	66.16	7	6.69	2.30	1.47	RV
Arp 2	48.57	25	1.97	0.39	0.31	RV
Arp 2	129.82	24	1.33	0.36	0.29	RV
BH 140	86.91	205	2.23	0.16	0.15	VB21
BH 140	190.50	205	1.96	0.14	0.13	VB21
BH 140	298.53	180	1.98	0.16	0.15	VB21
BH 140	337.76	24	1.41	0.91	0.64	RV
BH 261	40.25	22	2.99	0.62	0.49	VB21
Crater	21.36	33	1.96	0.99	0.71	RV
Djor 1	37.89	8	2.91	1.03	0.68	RV
Djor 1	41.42	38	5.05	0.89	0.75	VB21
Djor 1	52.16	91	3.28	0.34	0.30	P22
Djor 2	55.96	52	2.91	0.58	0.49	VB21
Djor 2	81.91	14	2.79	0.77	0.58	RV
E 3	80.97	50	1.02	0.30	0.26	VB21
E 3	108.25	15	0.96	0.36	0.28	RV
ESO 280-SC06	54.87	18	1.70	0.40	0.30	RV
ESO 452-SC11	39.58	14	1.38	0.45	0.31	RV
ESO 452-SC11	50.93	48	1.16	0.39	0.33	VB21
FSR 1716	79.75	28	3.16	0.70	0.60	VB21
FSR 1716	82.00	14	1.99	0.73	0.58	RV
FSR 1758	119.97	150	5.04	0.43	0.39	VB21
FSR 1758	152.95	23	3.62	0.68	0.53	RV
FSR 1758	276.36	154	4.47	0.36	0.34	VB21
FSR 1758	392.75	16	2.72	0.79	0.56	RV
Gran 3	91.48	8	3.88	1.58	1.04	RV
Gran 5	10.00		3.68	0.32	0.32	G22
Gran 5	28.01	24	2.87	0.70	0.55	VB21
HP 1	40.02	75	5.57	0.57	0.51	VB21
HP 1	67.77	28	4.90	0.79	0.63	RV
HP 1	128.83	41	3.59	0.54	0.45	VB21
IC 1276	56.25	150	3.49	0.24	0.23	VB21
IC 1276	103.26	16	2.83	0.72	0.55	RV
IC 1276	124.24	150	3.25	0.23	0.22	VB21
IC 1276	256.84	17	2.55	1.03	0.88	RV
IC 4499	67.51	70	2.58	0.55	0.50	VB21
IC 4499	80.73	37	2.54	0.38	0.31	RV
IC 4499	176.24	64	2.47	0.56	0.48	VB21
IC 4499	242.98	31	1.95	0.33	0.28	RV
Laevens 3	22.47	9	0.70	1.56	0.70	RV
Liller 1	13.07	22	20.02	3.49	2.72	RV
Liller 1	24.14	22	17.43	3.03	2.36	RV
Liller 1	44.80	22	16.26	2.82	2.19	RV
Liller 1	100.61	16	12.61	2.63	1.96	RV
Lynga 7	56.69	160	3.44	0.31	0.28	VB21
Lynga 7	117.73	26	2.81	0.74	0.62	RV
Lynga 7	120.88	134	3.06	0.37	0.33	VB21
NGC 104	6.45	200	11.54	0.61	0.57	RV
NGC 104	8.02	23	14.14	1.52	1.52	LI22
NGC 104	11.67	200	12.57	0.67	0.61	RV
NGC 104	16.61	269	12.52	0.39	0.39	LI22
NGC 104	21.42	400	11.61	0.44	0.41	RV
NGC 104	22.70	386	12.75	0.32	0.32	LI22
NGC 104	25.61	400	11.23	0.42	0.40	RV
NGC 104	26.65	386	12.02	0.30	0.30	LI22
NGC 104	30.15	386	12.67	0.32	0.32	LI22
NGC 104	30.99	800	11.19	0.29	0.28	RV
NGC 104	33.89	386	12.19	0.32	0.32	LI22
NGC 104	37.17	800	11.68	0.31	0.29	RV
NGC 104	37.41	386	11.72	0.30	0.30	LI22
NGC 104	40.99	386	12.15	0.30	0.30	LI22
NGC 104	42.75	800	11.06	0.29	0.28	RV
NGC 104	44.54	386	12.02	0.30	0.30	LI22
NGC 104	47.91	800	11.64	0.30	0.30	RV
NGC 104	48.13	386	12.11	0.30	0.30	LI22
NGC 104	51.74	386	11.57	0.28	0.28	LI22
NGC 104	53.01	800	11.20	0.30	0.28	RV
NGC 104	55.60	386	11.89	0.30	0.30	LI22
NGC 104	58.69	800	11.02	0.29	0.28	RV
NGC 104	59.19	386	11.36	0.28	0.28	LI22
NGC 104	62.97	386	11.79	0.30	0.30	LI22
NGC 104	65.22	800	10.81	0.28	0.27	RV
NGC 104	66.92	386	11.89	0.30	0.30	LI22
NGC 104	70.62	386	11.74	0.30	0.30	LI22
NGC 104	74.41	800	11.14	0.29	0.28	RV
NGC 104	74.91	386	11.64	0.30	0.30	LI22
NGC 104	79.12	386	11.40	0.28	0.28	LI22
NGC 104	79.14	200	10.66	0.57	0.53	RV
NGC 104	82.17	200	11.00	0.59	0.54	RV
NGC 104	83.76	385	11.53	0.30	0.30	LI22
NGC 104	85.38	200	10.25	0.55	0.51	RV
NGC 104	88.94	385	11.19	0.28	0.28	LI22
NGC 104	94.50	385	11.38	0.30	0.30	LI22
NGC 104	100.00	385	10.97	0.28	0.28	LI22
NGC 104	106.31	385	10.69	0.28	0.28	LI22
NGC 104	109.85	200	9.38	0.50	0.46	RV
NGC 104	113.47	385	10.48	0.28	0.28	LI22
NGC 104	121.58	385	10.42	0.26	0.26	LI22
NGC 104	130.10	385	10.33	0.26	0.26	LI22
NGC 104	140.63	385	10.18	0.26	0.26	LI22
NGC 104	151.14	200	9.54	0.50	0.47	RV
NGC 104	158.59	385	9.86	0.26	0.26	LI22
NGC 104	174.75	700	9.14	0.26	0.24	VB21
NGC 104	194.71	200	9.05	0.48	0.44	RV
NGC 104	223.74	700	8.62	0.24	0.24	VB21
NGC 104	244.11	200	8.19	0.44	0.41	RV
NGC 104	263.81	700	8.26	0.24	0.23	VB21
NGC 104	292.48	200	8.62	0.46	0.43	RV
NGC 104	298.44	700	8.08	0.23	0.22	VB21
NGC 104	329.37	700	7.73	0.22	0.21	VB21
NGC 104	334.58	200	8.12	0.44	0.40	RV
NGC 104	356.93	700	7.82	0.23	0.21	VB21
NGC 104	377.02	200	8.01	0.43	0.39	RV
NGC 104	383.70	700	7.07	0.23	0.22	VB21
NGC 104	410.27	700	7.48	0.21	0.21	VB21
NGC 104	422.41	200	7.74	0.41	0.38	RV
NGC 104	435.65	700	7.49	0.22	0.21	VB21
NGC 104	459.74	700	7.05	0.21	0.20	VB21
NGC 104	467.44	200	7.29	0.40	0.35	RV
NGC 104	486.26	700	7.26	0.21	0.20	VB21
NGC 104	512.59	700	6.69	0.21	0.21	VB21
NGC 104	517.71	200	7.34	0.39	0.36	RV
NGC 104	542.26	700	6.79	0.20	0.20	VB21
NGC 104	571.44	700	6.77	0.20	0.19	VB21
NGC 104	573.74	200	6.29	0.34	0.31	RV
NGC 104	601.09	700	6.26	0.18	0.18	VB21
NGC 104	632.46	700	6.23	0.18	0.18	VB21
NGC 104	642.08	200	6.61	0.35	0.33	RV
NGC 104	665.91	700	6.20	0.18	0.18	VB21
NGC 104	703.64	700	5.79	0.18	0.17	VB21
NGC 104	726.12	200	5.59	0.31	0.28	RV
NGC 104	746.39	700	5.86	0.18	0.17	VB21
NGC 104	796.54	700	5.91	0.18	0.17	VB21
NGC 104	831.35	200	5.44	0.31	0.28	RV
NGC 104	851.91	700	5.73	0.18	0.17	VB21
NGC 104	919.44	700	5.20	0.15	0.15	VB21
NGC 104	971.75	200	5.16	0.29	0.27	RV
NGC 104	991.01	700	5.26	0.16	0.15	VB21
NGC 104	1076.29	700	5.20	0.15	0.15	VB21
NGC 104	1137.84	300	4.89	0.21	0.20	VB21
NGC 104	1180.70	200	4.24	0.25	0.24	RV
NGC 104	1421.25	42	3.81	0.60	0.50	VB21
NGC 104	1705.71	168	3.87	0.25	0.23	RV
NGC 288	13.89	42	3.15	0.30	0.30	LI22
NGC 288	32.00	112	2.90	0.17	0.17	LI22
NGC 288	48.90	111	2.90	0.17	0.17	LI22
NGC 288	49.25	85	2.86	0.25	0.22	RV
NGC 288	54.84	400	3.75	0.30	0.29	VB21
NGC 288	67.04	111	2.68	0.17	0.17	LI22
NGC 288	80.80	111	2.90	0.17	0.17	LI22
NGC 288	94.10	85	2.65	0.23	0.20	RV
NGC 288	108.61	400	3.22	0.31	0.29	VB21
NGC 288	137.21	85	2.74	0.24	0.21	RV
NGC 288	158.33	400	2.63	0.33	0.32	VB21
NGC 288	188.51	85	2.49	0.22	0.20	RV
NGC 288	212.86	400	1.76	0.31	0.30	VB21
NGC 288	246.57	85	2.57	0.24	0.21	RV
NGC 288	292.71	400	2.61	0.33	0.33	VB21
NGC 288	350.01	85	1.88	0.19	0.16	RV
NGC 288	442.62	150	2.10	0.56	0.54	VB21
NGC 288	639.10	39	1.45	0.26	0.22	RV
NGC 362	6.30	200	7.49	0.41	0.38	RV
NGC 362	7.12	147	8.25	0.33	0.33	LI22
NGC 362	12.31	178	8.16	0.29	0.29	LI22
NGC 362	12.92	200	7.96	0.43	0.41	RV
NGC 362	16.10	178	7.70	0.29	0.29	LI22
NGC 362	17.54	200	7.46	0.42	0.38	RV
NGC 362	19.56	178	7.74	0.29	0.29	LI22
NGC 362	21.48	200	7.65	0.42	0.39	RV
NGC 362	22.64	178	7.87	0.29	0.29	LI22
NGC 362	25.86	178	7.87	0.29	0.29	LI22
NGC 362	26.19	200	7.22	0.39	0.36	RV
NGC 362	29.07	178	8.04	0.29	0.29	LI22
NGC 362	30.75	200	7.65	0.42	0.40	RV
NGC 362	32.34	178	7.28	0.29	0.29	LI22
NGC 362	35.68	178	7.49	0.29	0.29	LI22
NGC 362	35.97	200	6.73	0.38	0.36	RV
NGC 362	39.10	178	7.28	0.29	0.29	LI22
NGC 362	42.11	200	7.05	0.40	0.38	RV
NGC 362	43.12	177	7.45	0.29	0.29	LI22
NGC 362	47.11	177	7.58	0.29	0.29	LI22
NGC 362	48.78	200	6.31	0.38	0.34	RV
NGC 362	51.87	177	6.99	0.25	0.25	LI22
NGC 362	55.45	200	7.31	0.47	0.44	VB21
NGC 362	56.62	177	6.95	0.25	0.25	LI22
NGC 362	59.16	200	6.34	0.37	0.33	RV
NGC 362	61.94	177	6.74	0.25	0.25	LI22
NGC 362	66.94	177	6.57	0.25	0.25	LI22
NGC 362	72.89	177	6.70	0.25	0.25	LI22
NGC 362	79.08	177	6.99	0.29	0.29	LI22
NGC 362	80.20	100	6.79	0.56	0.50	RV
NGC 362	90.80	177	6.03	0.25	0.25	LI22
NGC 362	95.50	200	6.89	0.40	0.38	VB21
NGC 362	127.51	100	6.30	0.49	0.43	RV
NGC 362	136.58	200	5.92	0.37	0.34	VB21
NGC 362	177.21	50	4.84	0.54	0.46	RV
NGC 362	197.69	200	5.11	0.33	0.30	VB21
NGC 362	231.35	50	4.16	0.46	0.40	RV
NGC 362	304.85	50	3.52	0.40	0.33	RV
NGC 362	326.55	144	3.71	0.29	0.27	VB21
NGC 362	518.44	31	3.29	0.48	0.40	RV
NGC 1261	3.11	49	5.83	0.47	0.47	LI22
NGC 1261	7.83	131	5.68	0.23	0.23	LI22
NGC 1261	12.07	147	5.52	0.23	0.23	LI22
NGC 1261	15.38	52	4.50	0.52	0.45	RV
NGC 1261	15.85	147	5.52	0.23	0.23	LI22
NGC 1261	18.63	147	4.82	0.23	0.23	LI22
NGC 1261	21.85	161	4.90	0.23	0.23	LI22
NGC 1261	24.74	161	5.21	0.23	0.23	LI22
NGC 1261	27.56	161	5.13	0.23	0.23	LI22
NGC 1261	30.96	161	4.90	0.23	0.23	LI22
NGC 1261	34.54	160	4.82	0.23	0.23	LI22
NGC 1261	38.15	160	4.98	0.23	0.23	LI22
NGC 1261	42.02	160	4.90	0.23	0.23	LI22
NGC 1261	42.34	52	3.79	0.41	0.35	RV
NGC 1261	46.50	160	4.51	0.23	0.23	LI22
NGC 1261	50.73	160	4.35	0.16	0.16	LI22
NGC 1261	56.41	160	4.12	0.16	0.16	LI22
NGC 1261	62.03	160	4.20	0.16	0.16	LI22
NGC 1261	68.36	160	4.35	0.16	0.16	LI22
NGC 1261	68.68	52	3.96	0.44	0.37	RV
NGC 1261	75.68	160	4.12	0.16	0.16	LI22
NGC 1261	85.08	160	4.04	0.16	0.16	LI22
NGC 1261	93.22	52	3.83	0.42	0.36	RV
NGC 1261	99.66	160	3.58	0.16	0.16	LI22
NGC 1261	100.00	100	4.50	0.42	0.37	VB21
NGC 1261	136.58	52	3.29	0.36	0.31	RV
NGC 1261	213.83	52	2.71	0.30	0.26	RV
NGC 1261	284.10	54	2.87	0.44	0.38	VB21
NGC 1261	445.77	33	2.25	0.34	0.28	RV
NGC 1851	4.35	28	10.48	1.08	1.08	LI22
NGC 1851	8.26	122	9.86	0.45	0.45	LI22
NGC 1851	9.43	200	10.21	0.55	0.51	RV
NGC 1851	11.08	400	9.11	0.35	0.32	RV
NGC 1851	12.34	216	9.01	0.34	0.34	LI22
NGC 1851	12.70	200	8.37	0.46	0.42	RV
NGC 1851	15.73	215	8.55	0.28	0.28	LI22
NGC 1851	16.11	400	8.11	0.32	0.30	RV
NGC 1851	18.41	215	8.61	0.28	0.28	LI22
NGC 1851	20.10	400	8.12	0.31	0.30	RV
NGC 1851	21.54	248	8.50	0.28	0.28	LI22
NGC 1851	23.85	400	7.61	0.30	0.28	RV
NGC 1851	24.72	248	8.04	0.28	0.28	LI22
NGC 1851	27.60	400	8.04	0.31	0.29	RV
NGC 1851	28.23	248	7.76	0.23	0.23	LI22
NGC 1851	30.91	400	7.23	0.29	0.28	RV
NGC 1851	31.53	248	7.53	0.28	0.28	LI22
NGC 1851	34.06	400	7.45	0.29	0.28	RV
NGC 1851	34.87	248	7.19	0.23	0.23	LI22
NGC 1851	37.28	400	7.49	0.30	0.28	RV
NGC 1851	38.35	248	7.70	0.28	0.28	LI22
NGC 1851	40.50	400	7.25	0.29	0.27	RV
NGC 1851	41.86	248	7.14	0.23	0.23	LI22
NGC 1851	43.62	400	6.47	0.27	0.25	RV
NGC 1851	46.08	248	7.14	0.23	0.23	LI22
NGC 1851	46.90	400	6.92	0.28	0.26	RV
NGC 1851	50.12	248	6.74	0.23	0.23	LI22
NGC 1851	50.31	400	7.21	0.29	0.27	RV
NGC 1851	54.45	248	6.46	0.23	0.23	LI22
NGC 1851	54.47	400	6.94	0.29	0.27	RV
NGC 1851	59.55	247	6.80	0.23	0.23	LI22
NGC 1851	65.90	400	6.56	0.26	0.25	RV
NGC 1851	66.38	247	6.40	0.23	0.23	LI22
NGC 1851	73.01	247	6.18	0.23	0.23	LI22
NGC 1851	81.33	247	6.01	0.23	0.23	LI22
NGC 1851	89.90	247	5.72	0.23	0.23	LI22
NGC 1851	89.95	85	6.02	0.56	0.50	VB21
NGC 1851	113.17	100	5.36	0.42	0.37	RV
NGC 1851	128.27	85	6.22	0.61	0.54	VB21
NGC 1851	158.66	100	5.08	0.40	0.35	RV
NGC 1851	164.00	85	4.30	0.48	0.43	VB21
NGC 1851	208.56	85	4.15	0.48	0.44	VB21
NGC 1851	218.72	100	4.17	0.33	0.29	RV
NGC 1851	305.71	85	3.49	0.46	0.42	VB21
NGC 1851	309.04	100	3.73	0.31	0.27	RV
NGC 1851	520.58	37	2.42	0.68	0.62	VB21
NGC 1851	535.07	100	2.88	0.26	0.23	RV
NGC 1851	1283.92	20	2.35	0.60	0.49	RV
NGC 1904	0.65		8.70	1.77	1.77	L13
NGC 1904	1.82		8.00	1.20	1.20	L13
NGC 1904	3.29	50	6.89	0.80	0.68	RV
NGC 1904	4.07		8.25	0.72	0.72	L13
NGC 1904	6.53	50	5.17	0.61	0.52	RV
NGC 1904	8.90	50	5.42	0.65	0.55	RV
NGC 1904	10.72		6.60	0.68	0.68	L13
NGC 1904	13.58	150	5.51	0.38	0.34	RV
NGC 1904	20.27	150	5.88	0.40	0.36	RV
NGC 1904	26.99	150	5.71	0.38	0.34	RV
NGC 1904	29.42	65	6.29	0.69	0.61	VB21
NGC 1904	33.82	150	4.57	0.32	0.29	RV
NGC 1904	41.24	150	4.92	0.34	0.31	RV
NGC 1904	50.97	150	5.24	0.36	0.33	RV
NGC 1904	52.32	65	5.78	0.67	0.59	VB21
NGC 1904	78.48	65	5.17	0.62	0.55	VB21
NGC 1904	105.43	150	3.83	0.25	0.23	RV
NGC 1904	108.43	65	5.14	0.64	0.56	VB21
NGC 1904	148.07	65	3.62	0.51	0.46	VB21
NGC 1904	179.58	50	2.62	0.32	0.27	RV
NGC 1904	232.15	50	2.52	0.31	0.26	RV
NGC 1904	240.04	47	3.52	0.61	0.53	VB21
NGC 1904	480.85	47	2.50	0.33	0.28	RV
NGC 2298	6.01	48	3.96	0.33	0.33	LI22
NGC 2298	14.39	59	3.59	0.28	0.28	LI22
NGC 2298	23.12	21	3.52	0.68	0.53	RV
NGC 2298	25.63	51	3.49	0.28	0.28	LI22
NGC 2298	37.32	51	3.45	0.28	0.28	LI22
NGC 2298	53.71	51	3.03	0.23	0.23	LI22
NGC 2298	61.70	100	3.04	0.35	0.32	VB21
NGC 2298	86.71	50	2.75	0.23	0.23	LI22
NGC 2298	101.86	21	2.92	0.59	0.46	RV
NGC 2298	122.11	100	2.31	0.30	0.27	VB21
NGC 2298	196.89	48	1.58	0.53	0.50	VB21
NGC 2419	38.20	62	5.51	0.57	0.49	RV
NGC 2419	99.96	62	2.63	0.34	0.29	RV
NGC 2419	213.57	59	1.64	0.22	0.20	RV
NGC 2808	3.48	64	14.78	0.95	0.95	LI22
NGC 2808	5.78	200	13.33	0.70	0.65	RV
NGC 2808	7.89	130	13.59	0.62	0.62	LI22
NGC 2808	11.05	200	12.59	0.67	0.61	RV
NGC 2808	13.02	204	13.21	0.48	0.48	LI22
NGC 2808	16.72	400	12.39	0.47	0.44	RV
NGC 2808	17.74	204	13.45	0.48	0.48	LI22
NGC 2808	22.48	400	13.38	0.50	0.47	RV
NGC 2808	23.50	370	13.11	0.38	0.38	LI22
NGC 2808	28.19	400	12.71	0.48	0.45	RV
NGC 2808	29.16	370	12.69	0.33	0.33	LI22
NGC 2808	33.39	370	12.40	0.33	0.33	LI22
NGC 2808	33.44	400	13.16	0.49	0.47	RV
NGC 2808	37.19	370	12.45	0.33	0.33	LI22
NGC 2808	38.91	400	12.44	0.47	0.44	RV
NGC 2808	40.67	370	11.83	0.33	0.33	LI22
NGC 2808	43.88	370	12.21	0.33	0.33	LI22
NGC 2808	43.92	400	11.17	0.42	0.40	RV
NGC 2808	46.50	370	11.73	0.33	0.33	LI22
NGC 2808	48.74	400	12.16	0.46	0.43	RV
NGC 2808	49.49	370	11.59	0.29	0.29	LI22
NGC 2808	52.58	370	11.83	0.33	0.33	LI22
NGC 2808	54.63	400	11.86	0.45	0.42	RV
NGC 2808	55.59	370	11.21	0.29	0.29	LI22
NGC 2808	58.67	370	11.11	0.29	0.29	LI22
NGC 2808	61.82	370	11.06	0.29	0.29	LI22
NGC 2808	65.21	370	11.16	0.29	0.29	LI22
NGC 2808	65.49	200	10.87	0.58	0.54	RV
NGC 2808	68.50	370	10.68	0.29	0.29	LI22
NGC 2808	72.13	370	11.02	0.29	0.29	LI22
NGC 2808	76.24	370	10.25	0.29	0.29	LI22
NGC 2808	80.71	370	9.87	0.29	0.29	LI22
NGC 2808	85.54	370	10.11	0.29	0.29	LI22
NGC 2808	91.46	369	9.59	0.24	0.24	LI22
NGC 2808	96.21	200	9.42	0.50	0.46	RV
NGC 2808	101.55	369	9.06	0.24	0.24	LI22
NGC 2808	142.52	200	8.48	0.45	0.42	RV
NGC 2808	151.02	250	8.38	0.42	0.39	VB21
NGC 2808	189.20	100	7.55	0.58	0.51	RV
NGC 2808	204.88	250	7.75	0.40	0.37	VB21
NGC 2808	226.31	100	8.06	0.61	0.55	RV
NGC 2808	262.53	250	6.68	0.36	0.33	VB21
NGC 2808	272.93	100	7.81	0.60	0.53	RV
NGC 2808	339.21	100	6.82	0.53	0.47	RV
NGC 2808	363.86	250	5.69	0.32	0.30	VB21
NGC 2808	491.25	52	5.32	0.58	0.49	RV
NGC 2808	526.80	104	4.59	0.44	0.40	VB21
NGC 3201	9.22	200	4.53	0.27	0.25	RV
NGC 3201	14.96	44	4.15	0.34	0.34	LI22
NGC 3201	16.81	200	4.38	0.25	0.24	RV
NGC 3201	23.71	400	4.32	0.18	0.17	RV
NGC 3201	30.92	400	4.24	0.18	0.16	RV
NGC 3201	32.65	152	4.11	0.18	0.18	LI22
NGC 3201	37.42	400	4.25	0.17	0.17	RV
NGC 3201	43.40	400	4.23	0.18	0.17	RV
NGC 3201	47.92	152	4.04	0.16	0.16	LI22
NGC 3201	48.97	400	4.26	0.18	0.17	RV
NGC 3201	53.35	300	4.37	0.21	0.19	VB21
NGC 3201	54.80	400	4.55	0.19	0.18	RV
NGC 3201	63.61	152	4.18	0.18	0.18	LI22
NGC 3201	72.95	400	4.13	0.18	0.17	RV
NGC 3201	78.87	152	3.86	0.16	0.16	LI22
NGC 3201	97.62	152	4.49	0.20	0.20	LI22
NGC 3201	98.33	300	4.34	0.21	0.19	VB21
NGC 3201	132.94	300	4.17	0.21	0.19	VB21
NGC 3201	149.37	100	4.36	0.35	0.31	RV
NGC 3201	165.89	300	4.08	0.20	0.19	VB21
NGC 3201	202.09	300	3.96	0.19	0.19	VB21
NGC 3201	211.74	100	3.80	0.29	0.26	RV
NGC 3201	244.33	300	3.55	0.19	0.17	VB21
NGC 3201	286.48	300	3.31	0.17	0.16	VB21
NGC 3201	288.03	100	3.09	0.25	0.22	RV
NGC 3201	340.71	300	3.04	0.17	0.15	VB21
NGC 3201	378.91	100	3.29	0.28	0.25	RV
NGC 3201	400.33	300	2.93	0.17	0.15	VB21
NGC 3201	475.08	300	2.97	0.17	0.15	VB21
NGC 3201	479.09	100	3.08	0.25	0.23	RV
NGC 3201	563.06	300	2.95	0.17	0.16	VB21
NGC 3201	612.25	100	2.70	0.22	0.20	RV
NGC 3201	672.70	300	2.95	0.17	0.15	VB21
NGC 3201	784.96	100	2.32	0.20	0.18	RV
NGC 3201	896.91	300	2.66	0.15	0.13	VB21
NGC 3201	1013.85	100	2.16	0.19	0.17	RV
NGC 3201	1356.85	100	2.29	0.20	0.18	RV
NGC 3201	1976.14	80	2.35	0.23	0.21	RV
NGC 4147	41.05	25	2.08	0.38	0.29	RV
NGC 4147	174.98	16	1.46	0.33	0.25	RV
NGC 4372	81.37	45	4.57	0.54	0.45	RV
NGC 4372	108.06	500	3.86	0.15	0.14	VB21
NGC 4372	154.55	45	3.77	0.45	0.38	RV
NGC 4372	207.07	500	3.71	0.14	0.13	VB21
NGC 4372	232.22	45	3.72	0.44	0.38	RV
NGC 4372	329.17	500	3.40	0.13	0.13	VB21
NGC 4372	351.32	45	3.32	0.39	0.33	RV
NGC 4372	488.29	346	3.03	0.15	0.14	VB21
NGC 4372	521.23	19	2.66	0.55	0.42	RV
NGC 4590	13.59	69	3.75	0.25	0.25	LI22
NGC 4590	29.15	84	3.80	0.25	0.25	LI22
NGC 4590	44.45	84	3.55	0.25	0.25	LI22
NGC 4590	47.19	70	3.50	0.33	0.29	RV
NGC 4590	58.02	83	3.75	0.25	0.25	LI22
NGC 4590	75.99	83	3.26	0.20	0.20	LI22
NGC 4590	92.39	160	3.21	0.29	0.27	VB21
NGC 4590	125.97	70	2.82	0.27	0.23	RV
NGC 4590	173.76	160	2.34	0.28	0.26	VB21
NGC 4590	240.14	70	2.35	0.23	0.20	RV
NGC 4590	332.94	138	1.74	0.24	0.23	VB21
NGC 4590	534.44	52	1.89	0.23	0.20	RV
NGC 4833	7.18	41	6.48	0.55	0.55	LI22
NGC 4833	15.52	135	5.93	0.28	0.28	LI22
NGC 4833	24.26	171	5.93	0.25	0.25	LI22
NGC 4833	27.33	37	6.04	0.83	0.68	RV
NGC 4833	32.02	171	6.11	0.25	0.25	LI22
NGC 4833	39.51	171	5.93	0.22	0.22	LI22
NGC 4833	47.10	171	5.96	0.25	0.25	LI22
NGC 4833	53.68	171	5.38	0.22	0.22	LI22
NGC 4833	60.64	171	5.50	0.22	0.22	LI22
NGC 4833	67.20	171	5.34	0.22	0.22	LI22
NGC 4833	74.43	171	5.07	0.22	0.22	LI22
NGC 4833	81.37	171	5.25	0.22	0.22	LI22
NGC 4833	83.24	37	5.10	0.66	0.55	RV
NGC 4833	91.19	170	5.47	0.22	0.22	LI22
NGC 4833	120.78	220	5.16	0.29	0.26	VB21
NGC 4833	131.88	37	3.79	0.50	0.42	RV
NGC 4833	172.26	220	4.75	0.28	0.25	VB21
NGC 4833	192.37	37	3.38	0.47	0.39	RV
NGC 4833	214.63	220	4.49	0.27	0.25	VB21
NGC 4833	275.76	220	3.47	0.23	0.21	VB21
NGC 4833	324.07	28	3.56	0.56	0.45	RV
NGC 4833	360.73	88	3.28	0.35	0.32	VB21
NGC 5024	7.58	80	7.28	0.44	0.44	LI22
NGC 5024	14.70	231	6.66	0.26	0.26	LI22
NGC 5024	20.73	231	6.93	0.26	0.26	LI22
NGC 5024	25.37	231	6.49	0.26	0.26	LI22
NGC 5024	30.20	231	6.93	0.26	0.26	LI22
NGC 5024	34.65	231	6.40	0.26	0.26	LI22
NGC 5024	38.05	231	6.66	0.26	0.26	LI22
NGC 5024	42.42	231	6.31	0.26	0.26	LI22
NGC 5024	43.30	70	5.73	0.55	0.48	RV
NGC 5024	46.26	231	6.05	0.26	0.26	LI22
NGC 5024	50.41	231	6.66	0.26	0.26	LI22
NGC 5024	55.04	231	5.88	0.18	0.18	LI22
NGC 5024	59.98	231	5.61	0.18	0.18	LI22
NGC 5024	64.97	231	5.61	0.18	0.18	LI22
NGC 5024	70.87	230	5.79	0.18	0.18	LI22
NGC 5024	71.21	250	5.98	0.32	0.31	P22
NGC 5024	78.79	230	5.96	0.26	0.26	LI22
NGC 5024	88.13	230	5.44	0.18	0.18	LI22
NGC 5024	98.46	250	5.17	0.29	0.27	P22
NGC 5024	100.79	230	5.26	0.18	0.18	LI22
NGC 5024	107.05	150	5.21	0.46	0.43	VB21
NGC 5024	117.70	70	4.06	0.41	0.35	RV
NGC 5024	124.39	107	5.16	0.46	0.41	P22
NGC 5024	216.19	70	3.46	0.35	0.30	RV
NGC 5024	228.54	150	3.79	0.43	0.40	VB21
NGC 5024	328.41	70	3.81	0.38	0.33	RV
NGC 5024	384.43	58	2.72	0.74	0.69	VB21
NGC 5024	614.24	58	2.24	0.25	0.21	RV
NGC 5053	58.77	48	2.19	0.75	0.78	P22
NGC 5053	118.92	28	1.47	0.25	0.19	RV
NGC 5053	307.27	27	1.12	0.21	0.17	RV
NGC 5139	2.28	25	18.40	1.99	1.99	W15
NGC 5139	3.90		22.82	1.97	1.74	K18
NGC 5139	4.33	34	20.78	2.08	2.08	W15
NGC 5139	6.02	61	23.66	1.53	1.53	W15
NGC 5139	7.10		18.23	1.25	1.15	K18
NGC 5139	7.87	61	21.08	1.26	1.26	W15
NGC 5139	9.47	61	20.90	1.23	1.23	W15
NGC 5139	11.40		17.57	0.79	0.74	K18
NGC 5139	12.40	200	20.43	0.67	0.67	W15
NGC 5139	16.13	201	20.78	0.74	0.74	W15
NGC 5139	18.20		18.22	0.53	0.53	K18
NGC 5139	18.78	200	19.67	0.78	0.78	W15
NGC 5139	28.80		18.41	0.33	0.34	K18
NGC 5139	29.91	2232	19.25	0.20	0.20	W15
NGC 5139	40.23	200	19.54	1.02	0.94	RV
NGC 5139	43.94	2232	18.97	0.21	0.21	W15
NGC 5139	45.40		17.98	0.22	0.22	K18
NGC 5139	54.51	2232	18.63	0.21	0.21	W15
NGC 5139	63.38	2232	18.28	0.19	0.19	W15
NGC 5139	68.90		18.09	0.21	0.21	K18
NGC 5139	71.50	2232	18.50	0.20	0.20	W15
NGC 5139	76.20	200	17.65	0.93	0.85	RV
NGC 5139	78.80	2232	18.19	0.20	0.20	W15
NGC 5139	85.65	2231	17.88	0.19	0.19	W15
