        Dwarf          M_V  dM_V+ dM_V-   r_1/2 dr_1/2+ dr_1/2- Dist ddist+ ddist-  Vhel dVhel+ dVhel-  sigma dsig+ dsig-  Upper  [Fe/H] d[Fe/H]+ d[Fe/H]-  sigFe/H dsigFe/H+ dsigFe/H- Upper          References
                                          (pc)                 (kpc)                (km/s)              (km/s)             limit                                                        limit
    Reticulum~III     -3.30 +0.29 -0.29     64   +26    -23     92.0 +13.0 -13.0                                             0                                                            0            1,1,1,-,-,-,-
         Pictor~I     -3.67 +0.60 -0.60     32   +15    -15    126.0 +19.0 -16.0                                             0                                                            0           2,2,16,-,-,-,-
        Columba~I     -4.20 +0.20 -0.20    117   +12    -12    183.0 +10.0 -10.0                                             0                                                            0            8,8,8,-,-,-,-
           Carina     -9.45 +0.05 -0.05    311   +15    -15    106.0  +5.0  -5.0   222.9  +0.1  -0.1     6.6  +1.2  -1.2     0     -1.80   +0.02   -0.02      0.24    +9.99     -9.99^d   0         2,2,24,4,5,25,25
        Pictor~II     -3.20 +0.40 -0.50     47   +20    -13     45.0  +5.0  -4.0                                             0                                                            0         26,26,26,-,-,-,-
        Carina~II     -4.50 +0.10 -0.10     92    +8     -8     36.2  +0.6  -0.6   477.2  +1.2  -1.2     3.4  +1.2  -0.8     0     -2.44   +0.09   -0.09      0.22    +0.10     -0.07     0     27,27,27,28,28,28,28
       Carina~III     -2.40 +0.20 -0.20     30    +8     -8     27.8  +0.6  -0.6   284.6  +3.4  -3.1     5.6  +4.3  -2.1     0                                                            0       27,27,27,28,28,-,-
    Ursa~Major~II     -4.43 +0.26 -0.26    139    +9     -9     34.7  +2.0  -1.9  -116.5  +1.9  -1.9     5.6  +1.4  -1.4     0     -2.23   +0.21   -0.24      0.67    +0.20     -0.15     0         2,2,29,30,31,6,6
            Leo~T     -8.00 +9.99 -9.99^e  118   +11    -11    409.0 +29.0 -27.0    38.1  +2.0  -2.0     7.5  +1.6  -1.6     0     -1.91   +0.12   -0.14      0.43    +0.13     -0.09     0       32,32,33,30,30,6,6
          Segue~1     -1.30 +0.73 -0.73     24    +4     -4     23.0  +2.0  -2.0   208.5  +0.9  -0.9     3.7  +1.4  -1.1     0     -2.71   +0.45   -0.39      0.95    +0.42     -0.26     0       2,2,34,35,35,36,36
            Leo~I    -11.78 +0.28 -0.28    270   +17    -16    254.0 +16.0 -15.0   282.9  +0.5  -0.5     9.2  +0.4  -0.4     0     -1.48   +0.02   -0.01      0.26    +0.01     -0.01     0         2,2,37,38,38,6,6
          Sextans     -8.94 +0.06 -0.06    456   +15    -15     95.0  +3.0  -3.0   224.3  +0.1  -0.1     7.9  +1.3  -1.3     0     -1.97   +0.04   -0.04      0.38    +0.03     -0.03     0           2,2,39,4,5,6,6
     Ursa~Major~I     -5.13 +0.38 -0.38    295   +28    -28     97.3  +6.0  -5.7   -55.3  +1.4  -1.4     7.0  +1.0  -1.0     0     -2.16   +0.11   -0.13      0.62    +0.10     -0.08     0        2,40,41,30,31,6,6
        Willman~1     -2.90 +0.74 -0.74     33    +8     -8     45.0 +10.0 -10.0   -14.1  +1.0  -1.0     4.0  +0.8  -0.8     0     -2.19   +0.08   -0.08                                  0        2,2,42,43,43,43,-
           Leo~II     -9.74 +0.04 -0.04    171   +10    -10    233.0 +14.0 -14.0    78.3  +0.6  -0.6     7.4  +0.4  -0.4     0     -1.68   +0.02   -0.03      0.34    +0.02     -0.02     0         2,2,44,45,45,6,6
            Leo~V     -4.29 +0.36 -0.36     49   +16    -16    169.0  +4.0  -4.0   170.9  +2.1  -1.9     2.3  +3.2  -1.6     0     -2.48   +0.21   -0.21      0.47    +0.23     -0.13     0       2,2,46,47,47,47,47
           Leo~IV     -4.99 +0.26 -0.26    114   +13    -13    154.0  +5.0  -5.0   132.3  +1.4  -1.4     3.3  +1.7  -1.7     0     -2.29   +0.19   -0.22      0.56    +0.19     -0.14     0         2,2,48,30,30,6,6
        Crater~II     -8.20 +0.10 -0.10   1066   +86    -86    117.5  +1.1  -1.1    87.5  +0.4  -0.4     2.7  +0.3  -0.3     0     -1.98   +0.10   -0.10      0.22    +0.04     -0.03     0     49,49,49,50,50,50,50
          Virgo~I     -0.80 +0.90 -0.90     38   +12    -11     87.0 +13.0  -8.0                                             0                                                            0         51,51,51,-,-,-,-
         Hydra~II     -4.86 +0.37 -0.37     67   +13    -13    151.0  +8.0  -7.0   303.1  +1.4  -1.4     3.6  -9.9  -9.9     1^c   -2.02   +0.08   -0.08      0.40    +0.48     -0.26     0       2,2,52,53,53,53,53
   Coma~Berenices     -4.28 +0.25 -0.25     69    +5     -4     42.0  +1.6  -1.5    98.1  +0.9  -0.9     4.6  +0.8  -0.8     0     -2.43   +0.11   -0.11      0.46    +0.09     -0.08     0         2,2,54,30,30,6,6
Canes~Venatici~II     -5.17 +0.32 -0.32     71   +11    -11    160.0  +4.0  -4.0  -128.9  +1.2  -1.2     4.6  +1.0  -1.0     0     -2.35   +0.16   -0.19      0.57    +0.15     -0.12     0         2,2,55,30,30,6,6
 Canes~Venatici~I     -8.73 +0.06 -0.06    437   +18    -18    211.0  +6.0  -6.0    30.9  +0.6  -0.6     7.6  +0.4  -0.4     0     -1.91   +0.04   -0.04      0.39    +0.03     -0.02     0         2,2,56,30,30,6,6
        Bootes~II     -2.94 +0.74 -0.75     39    +5     -5     42.0  +1.0  -1.0  -117.0  +5.2  -5.2    10.5  +7.4  -7.4     0     -2.79   +0.06   -0.10      0.35    -9.90     -9.90     1^c     2,2,57,58,58,59,59
         Bootes~I     -6.02 +0.25 -0.25    191    +8     -8     66.0  +2.0  -2.0   101.8  +0.7  -0.7     4.6  +0.8  -0.6     0     -2.35   +0.09   -0.08      0.44    +0.07     -0.06     0       2,2,60,61,61,62,62
       Ursa~Minor     -9.03 +0.05 -0.05    405   +21    -21     76.0  +4.0  -4.0  -247.2  +0.8  -0.8     9.5  +1.2  -1.2     0     -2.12   +0.03   -0.02      0.33    +0.02     -0.03     0          2,2,63,64,4,6,6
         Draco~II     -0.80 +0.40 -1.00     19    +4     -3     21.5  +0.4  -0.4  -342.5  +1.1  -1.2     5.9  -9.9  -9.9     1^c   -2.70   +0.10   -0.10      0.24    -9.90     -9.90     1^c   65,65,65,65,65,65,65
         Hercules     -5.83 +0.17 -0.17    216   +20    -20    132.0  +6.0  -6.0    45.0  +1.1  -1.1     5.1  +0.9  -0.9     0     -2.47   +0.13   -0.12      0.47    +0.11     -0.08     0         2,2,66,30,30,6,6
            Draco     -8.88 +0.05 -0.05    231   +17    -17     82.0  +6.0  -6.0  -290.7  +0.7  -0.8     9.1  +1.2  -1.2     0     -2.00   +0.02   -0.02      0.34    +0.02     -0.02     0          2,2,67,64,4,6,6
      Sagittarius    -13.50 +0.15 -0.15   2662  +193   -193     26.7  +1.3  -1.3   139.4  +0.6  -0.6     9.6  +0.4  -0.4     0     -0.53   +0.03   -0.02      0.17    +0.02     -0.02     0     68,68,69,70,70,71,71
   Sagittarius~II     -5.20 +0.10 -0.10     33    +2     -2     70.1  +2.3  -2.3                                             0                                                            0         20,20,20,-,-,-,-
         Indus~II     -4.30 +0.19 -0.19    181   +70    -64    214.0 +16.0 -16.0                                             0                                                            0            1,1,1,-,-,-,-
          Grus~II     -3.90 +0.22 -0.22     93   +16    -12     53.0  +5.0  -5.0                                             0                                                            0            1,1,1,-,-,-,-
      Pegasus~III     -4.10 +0.50 -0.50     78   +31    -25    205.0 +20.0 -20.0  -222.9  +2.6  -2.6     5.4  +3.0  -2.5     0     -2.40   +0.15   -0.15                                  0      72,72,72,73,73,73,-
      Aquarius~II     -4.36 +0.14 -0.14    160   +26    -26    107.9  +3.3  -3.3   -71.1  +2.5  -2.5     5.4  +3.4  -0.9     0     -2.30   +0.50   -0.50                                  0      74,74,74,74,74,49,-
        Tucana~II     -3.90 +0.20 -0.20    121   +35    -35     58.0  +8.0  -8.0  -129.1  +3.5  -3.5     8.6  +4.4  -2.7     0     -2.90   +0.15   -0.16      0.29    +0.15     -0.12     0     16,16,16,75,75,76,76
           Grus~I     -3.47 +0.59 -0.59     28   +23    -23    120.0 +12.0 -11.0  -140.5  +2.4  -1.6     2.9  +2.1  -1.0     0     -1.42   +0.55   -0.42      0.41    +0.49     -0.23     0       2,2,17,75,75,75,75
        Pisces~II     -4.23 +0.38 -0.38     60    +1     -1    183.0 +15.0 -15.0  -226.5  +2.7  -2.7     5.4  +3.6  -2.4     0     -2.45   +0.07   -0.07      0.48    +0.70     -0.29     0       2,2,77,53,53,53,53
         Tucana~V     -1.60 +0.49 -0.49     16    +5     -5     55.0  +9.0  -9.0                                             0                                                            0            1,1,1,-,-,-,-
       Phoenix~II     -2.70 +0.40 -0.40     37    +8     -8     84.3  +4.0  -4.0                                             0                                                            0         20,20,20,-,-,-,-
       Tucana~III     -1.49 +0.20 -0.20     37    +9     -9     25.0  +2.0  -2.0  -102.3  +0.4  -0.4     1.2  -9.9  -9.9     1^c   -2.42   +0.07   -0.08      0.19    -9.90     -9.90     1^c    20,20,1,78,78,78,78

These data are provided as a convenience to the community.  However, in recognition of the effort invested by many researchers to obtain, reduce, analyze, and publish these measurements, we strongly encourage authors to cite the original references (which are listed below), not just this compilation, where possible.

^a References:  (1) Drlica-Wagner et al. (2015); (2) Munoz et al. (2018); (3) Pietrzynski et al. (2008); (4) Walker et al. (2009a); (5) Walker et al. (2009b); (6) Kirby et al. (2013b); (7) Homma et al. (2018); (8) Carlin et al. (2017); (9) Kirby et al. (2017); (10) Boettcher et al. (2013); (11) Kirby et al. (2013a); (12) Luque et al. (2017); (13) Koposov et al. (2018); (14) Battaglia et al. (2006); (15) Rizzi et al. (2007); (16) Bechtol et al. (2015); (17) Koposov et al. (2015a); (18) Koposov et al. (2015b); (19) Kim & Jerjen (2015); (20) Mutlu-Pakdil et al. (2018); (21) Simon et al. (2015); (22) Crnojevic et al. (2016); (23) Li et al. (2017); (24) Karczmarek et al. (2015); (25) Fabrizio et al. (2012); (26) Drlica-Wagner et al. (2016); (27) Torrealba et al. (2018); (28) Li et al. (2018); (29) Dall'Ora et al. (2012); (30) Simon & Geha (2007); (31) Simon (2019); (32) de Jong et al. (2008); (33) Clementini et al. (2012); (34) Belokurov et al. (2007); (35) Simon et al. (2011); (36) Frebel et al. (2014); (37) Bellazzini et al. (2004); (38) Mateo et al. (2008); (39) Lee et al. (2003); (40) Okamoto et al. (2008); (41) Garofalo et al. (2013); (42) Willman et al. (2005); (43) Willman et al. (2011); (44) Bellazzini et al. (2005); (45) Spencer et al. (2017); (46) Medina et al. (2018); (47) Collins et al. (2017); (48) Moretti et al. (2009); (49) Torrealba et al. (2016a); (50) Caldwell et al. (2017); (51) Homma et al. (2016); (52) Vivas et al. (2016); (53) Kirby et al. (2015); (54) Musella et al. (2009); (55) Greco et al. (2008); (56) Kuehn et al. (2008); (57) Walsh et al. (2008); (58) Koch et al. (2009); (59) Ji et al. (2016); (60) Dall'Ora et al. (2006); (61) Koposov et al. (2011); (62) Brown et al. (2014); (63) Bellazzini et al. (2002); (64) Munoz et al. (2005); (65) Longeard et al. (2018); (66) Musella et al. (2012); (67) Kinemuchi et al. (2008); (68) Majewski et al. (2003); (69) Hamanowicz et al. (2016); (70) Bellazzini et al. (2008); (71) Mucciarelli et al. (2017); (72) Kim et al. (2015); (73) Kim et al. (2016); (74) Torrealba et al. (2016b); (75) Walker et al. (2016); (76) Chiti et al. (2018); (77) Sand et al. (2012); (78) Simon et al. (2017).  See bibliography of Simon (2019) for journal reference information.

^b The references listed for each object are for, in order: (1) M_V, (2) R_1/2, (3) distance, (4) v_hel, (5) sigma, (6) [Fe/H], and (7) sigma_[Fe/H].  Inasmuch as the properties of some galaxies have been determined by multiple studies, this reference list is not intended to be complete.  Instead, it represents our assessment of the best available data.  In cases where no velocity and/or metallicity measurements are available in the literature, a dash is listed in place of the corresponding reference.

^c Upper limits are at 90% confidence.  Where the original reference does not provide a value at that confidence interval, we have determined one from the data.  Note that upper limits are listed with uncertainties of -9.9.

^d No uncertainty on the metallicity dispersion of Carina was provided by Fabrizio et al. (2012).

^e No uncertainty on the absolute magnitude of Leo~T was provided by de Jong et al. (2008).
