T081 FULL-CORPUS CI RUN   2026-08-17
files discovered: 809   GREEN: 271    RED/TIMEOUT/SKIP: 538   total runtime: 3578.3s
GREEN       0.2s   nbody_2026/stage28_kepler_cluster_shape_2026.py    ================================================================================
GREEN       0.3s   nbody_2026/stage29_radial_profile_own_terms_2026.py    ================================================================================
GREEN       0.0s   nbody_2026/stage2_spherical_collapse_2026.py    ALL 10 CHECKS PASSED (incl. 2 negative controls)
GREEN       0.0s   nbody_2026/stage2b_base_a_attribution_and_A_conflict_2026.py    ALL 15 CHECKS PASSED (incl. 2 negative controls)
GREEN       0.3s   nbody_2026/stage30_xcop_two_variable_fit_2026.py    sef = np.sqrt(np.diag(s2f * np.linalg.pinv(Xf.T @ Xf)))
GREEN       0.5s   nbody_2026/stage31_helmholtz_fit_xcop_2026.py    ================================================================================
GREEN       7.1s   nbody_2026/stage32_selfconsistent_qs_solve_2026.py    ================================================================================
RED        19.0s   nbody_2026/stage33_potential_depth_solve_2026.py    NameError: name 'head' is not defined
GREEN       6.2s   nbody_2026/stage34_q_route_clusters_2026.py    ================================================================================
GREEN      51.6s   nbody_2026/stage35_constructed_mechanism_2026.py    ================================================================================
GREEN       0.3s   nbody_2026/stage36_bump_slot_derivation_2026.py    ================================================================================
GREEN       0.2s   nbody_2026/stage37_second_field_scoping_2026.py    ================================================================================
GREEN      47.2s   nbody_2026/stage38_second_field_mixing_2026.py    ================================================================================
GREEN      71.3s   nbody_2026/stage39_derived_beta_from_promotion_2026.py    ================================================================================
GREEN       0.3s   nbody_2026/stage3_wave_and_cap_endpoint_2026.py    ALL 15 CHECKS PASSED (incl. 3 negative controls)
GREEN      94.0s   nbody_2026/stage40_derived_amplitude_sign_theorem_2026.py    ================================================================================
TIMEOUT   600.0s   nbody_2026/stage41_convergence_and_footing_audit_2026.py    hard per-file timeout
GREEN       0.3s   nbody_2026/stage42_amplitude_settled_charge_abundance_2026.py    ================================================================================
GREEN       0.2s   nbody_2026/stage43_kappa_reduction_one_factor_2026.py    ================================================================================
GREEN       0.5s   nbody_2026/stage44_cluster_caveats_verified_2026.py    ================================================================================
GREEN       0.1s   nbody_2026/stage45_alpha1_and_s8_reclassified_2026.py    ================================================================================
GREEN       0.3s   nbody_2026/stage46_factor_two_from_aether_candidate_2026.py    ================================================================================
GREEN       0.3s   nbody_2026/stage47_ds_entropy_mechanism_2026.py    ================================================================================
GREEN       0.2s   nbody_2026/stage48_kb_candidate_killed_2026.py    ================================================================================
GREEN      16.0s   nbody_2026/stage49_kappa_remeasured_both_kernels_2026.py    ================================================================================
GREEN       1.0s   nbody_2026/stage4_charge_suppression_2026.py    ALL 20 CHECKS PASSED (incl. 3 negative controls)
GREEN       0.3s   nbody_2026/stage50_kb_settled_bbn_bound_2026.py    ================================================================================
GREEN       0.4s   nbody_2026/stage51_gated_proca_support_2026.py    ================================================================================
GREEN       0.4s   nbody_2026/stage52_open_doors_audit_cycle_2026.py    ================================================================================
GREEN       0.5s   nbody_2026/stage53_route_a_prime_closure_2026.py    STAGE 53 CHECKS: 18/18 passed
GREEN       0.1s   nbody_2026/stage54_ev_c3_referee_numbers.py    VERC3_numbers: ALL CHECKS PASSED
GREEN       3.7s   nbody_2026/stage54_ev_c3_referee_symbolic.py    VERC3_symbolic: ALL CHECKS PASSED
GREEN       0.7s   nbody_2026/stage54_ev_laneY_gate_counting_2026.py    CHECKS: 18/18 passed
GREEN       0.6s   nbody_2026/stage54_ev_laneY_referee_2026.py    flow-only support side and is NOT theorem-grade.
GREEN       2.6s   nbody_2026/stage54_ev_lane_c3_pricing_2026.py    ================================================================================
GREEN       0.1s   nbody_2026/stage54_y_gate_and_cell3_verdicts_2026.py    STAGE 54 CHECKS: 7/7 passed
GREEN       0.1s   nbody_2026/stage55_sz21_eq1112_inrepo_check_2026.py    STAGE 55 CHECKS: 6/6 passed
GREEN       0.1s   nbody_2026/stage56_ev_xpin_lane_2026.py    not tracking => comparator larger => X smaller, fork (a) still realized (P4).
GREEN       0.1s   nbody_2026/stage56_xpin_verdict_2026.py    STAGE 56 CHECKS: 6/6 passed
GREEN       0.1s   nbody_2026/stage57_sz21_corrected_refile_2026.py    STAGE 57 CHECKS: 10/10 passed
GREEN       0.4s   nbody_2026/stage58_ev_q0pin_lane_2026.py    Q0PIN CHECKS: 23/23 passed
GREEN       0.1s   nbody_2026/stage58_x_to_q0_2026.py    STAGE 58 CHECKS: 9/9 passed
GREEN       0.4s   nbody_2026/stage59_local_a0_verdict_2026.py    STAGE 59 CHECKS: 7/7 passed
GREEN       0.4s   nbody_2026/stage5_selfconsistent_solve_2026.py    ALL 12 CHECKS PASSED (incl. 2 negative controls)
GREEN       0.1s   nbody_2026/stage60_btfr_discriminator_2026.py    STAGE 60 CHECKS: 8/8 passed
GREEN       0.0s   nbody_2026/stage60_ev_btfr_lane_2026.py    the TFR front is a FOOTING DISCRIMINATOR in principle -- and it leans canonical.
GREEN       0.0s   nbody_2026/stage60_ev_btfr_referee_2026.py    U17 internal err: sqrt(0.04^2+0.05^2) = 0.0640
GREEN       0.1s   nbody_2026/stage61_drain_reading_fork_2026.py    STAGE 61 CHECKS: 10/10 passed
GREEN       0.1s   nbody_2026/stage62_cmb_horn_oom_2026.py    STAGE 62 CHECKS: 7/7 passed
GREEN       0.8s   nbody_2026/stage63_cell3_transport_1p1d_2026.py    lam = np.where(want > 0, np.minimum(1.0, avail / np.maximum(want, 1e-300)), 1.0)
GREEN     160.1s   nbody_2026/stage64_efe_two_body_exact_2026.py    mu0 = float(mu_of_x(np.array([x_ext])))
GREEN       0.1s   nbody_2026/stage6_audit_transport_channels_2026.py    ALL 13 CHECKS PASSED (incl. 2 negative controls)
GREEN       0.5s   nbody_2026/stage6_break_shift_symmetry_2026.py    ALL 16 CHECKS PASSED (incl. 4 negative controls)
GREEN       0.5s   nbody_2026/stage7_the_claim_2026.py    ALL 11 CHECKS PASSED (incl. 2 negative controls)
GREEN       0.1s   nbody_2026/stage8_a0z_reopens_it_2026.py    ALL 9 CHECKS PASSED (incl. 2 negative controls)
GREEN       0.7s   nbody_2026/stage9_construct_the_function_2026.py    ALL 10 CHECKS PASSED (incl. 1 negative control)
GREEN       1.4s   real_research/reviews/AUDIT_mi_auxfield_scope_omegac_2026.py    No door is closed here, in either direction. kappa = 1/2 remains FITTED, NOT DER
GREEN       2.5s   real_research/reviews/AUDIT_mi_kernel_axis_gate_2026.py    ================================================================================
GREEN      47.9s   real_research/reviews/AUDIT_mi_llr_drift_sign_2026.py    ================================================================================
GREEN       2.3s   real_research/reviews/AUDIT_rule2_foreign_a0_bounds_2026.py    ================================================================================
GREEN      27.8s   real_research/reviews/REDERIVE_dssyk_center_edge.py    O_E = (V.T * D) @ V          # (N,N) matrix in energy basis
GREEN       0.2s   real_research/reviews/VERIFY_mi_precision_ledger_2026.py    ================================================================================
GREEN       0.6s   real_research/reviews/Z_boundary_geometry_2026.py    All assertions passed. EXIT 0 (ran; a null: boundary fixes the SHAPE, not the '2
GREEN       0.0s   real_research/reviews/Z_is_one_pure_number.py    is a single number, not a structure.
GREEN       0.6s   real_research/reviews/Z_provenance_audit_2026.py    ================================================================================
GREEN       0.0s   real_research/reviews/a0_cH0_Z_check.py    precise confirmation and not a clean derivation.
GREEN       0.1s   real_research/reviews/a0_census_ensemble.py    ================================================================================
GREEN       0.0s   real_research/reviews/a0_constant_vs_evolving_fork.py    Honest status: promising, falsifiable, not yet evidence.
GREEN       0.0s   real_research/reviews/a0_construction_connection.py    cosmology stand or fall on a0(z) ~ E(z) at z > 10.
GREEN       1.0s   real_research/reviews/a0_density_fork_decisive_tests.py    resb = rb_ - X @ np.linalg.lstsq(X, rb_, rcond=None)[0]
GREEN       0.0s   real_research/reviews/a0_derived_relations.py    relations -- the signature of a real theory rather than a coincidence.
GREEN       0.0s   real_research/reviews/a0_evolution_consequences.py    tree of the ONE surviving prediction -- and it is a surprisingly rich one.
GREEN       0.0s   real_research/reviews/a0_evolution_predictions.py    the redshift TREND of the BTFR zero-point, robust to the overall normalization.
GREEN       0.6s   real_research/reviews/a0_gas_cleaned_anchor.py    ================================================================================
GREEN       8.9s   real_research/reviews/a0_z_empirical_rigorous.py    ================================================================================
GREEN       4.0s   real_research/reviews/a0z_desi_chains_propagation.py    NOTE: DR1 chains (public); DR2 is auth-walled this run -> these significances ar
GREEN       0.1s   real_research/reviews/aberration_door.py    exit 0
GREEN       0.1s   real_research/reviews/adiabaticity_of_a0z.py    theory prior on declining-vs-constant SOFT.
GREEN       8.1s   real_research/reviews/aest_cassini_quadrupole_full.py    ================================================================================
GREEN       0.6s   real_research/reviews/aest_locality_theta_profile.py    ################################################################################
GREEN       0.7s   real_research/reviews/aest_mond_rotation_solver.py    ################################################################################
GREEN       3.8s   real_research/reviews/aest_quasistatic_cassini.py    ================================================================================
GREEN       1.0s   real_research/reviews/aest_radial_aether_eom.py    ################################################################################
GREEN       0.3s   real_research/reviews/alpha_12pi_identity_audit_2026.py    ================================================================================
GREEN       0.1s   real_research/reviews/apparent_vs_event_discriminators.py    ================================================================================
GREEN       0.5s   real_research/reviews/arrow_of_time_declining_a0.py    the framework neither predicts nor derives.
GREEN       0.5s   real_research/reviews/attack6_machian_spectrum.py    DECOUPLES the IR horizon sector from UV matter data). => BAKED on all three legs
GREEN       0.2s   real_research/reviews/b4_jeans_verification.py    ================================================================================
GREEN       0.2s   real_research/reviews/bh_door.py    ========================================================================
GREEN       0.5s   real_research/reviews/boundary_dof_kappa_2026.py    All assertions passed. EXIT 0 (ran; a null, not a verdict of 'closed').
GREEN       0.1s   real_research/reviews/btfr_evolution_confound.py    ================================================================================
GREEN       0.2s   real_research/reviews/btfr_honest.py    Q==1 only (N=87), framework Upsilon=0.70: OLS slope=3.714, scatter=0.228 dex
GREEN       0.1s   real_research/reviews/bullet_and_s8_reexamination.py    ==============================================================================
GREEN       8.5s   real_research/reviews/bullet_qumond_redo.py    ================================================================================
GREEN       0.3s   real_research/reviews/cassini_mi_q2_saturn_2026.py    EXIT 0
GREEN       0.1s   real_research/reviews/cassini_quadrupole_framework.py    ################################################################################
GREEN       0.5s   real_research/reviews/chase_e6_su3_family_DIRECT.py    GRAVITY theory; Z free; masses & mixings free. No re-overclaim.
GREEN       1.0s   real_research/reviews/chord_vacuum_placement_test.py    ################################################################################
GREEN       0.6s   real_research/reviews/clausius_sign_calculation.py    ================================================================================
GREEN       0.4s   real_research/reviews/clean_slate_field_theory.py    ================================================================================
GREEN       0.9s   real_research/reviews/close_coefficient_Z.py    ================================================================================
GREEN       0.6s   real_research/reviews/close_covariant_eom.py    ALL CHECKS: PASS (13/13)
GREEN       1.8s   real_research/reviews/close_mu_from_temperature.py    ================================================================================
GREEN       0.1s   real_research/reviews/cluster_a0_from_density_HIS_FORMULA.py    ================================================================================
GREEN       0.1s   real_research/reviews/cluster_residual_evolution.py    ================================================================================
GREEN       0.7s   real_research/reviews/clusters_eta_audit.py    ================================================================================
GREEN       0.9s   real_research/reviews/cmb_bath_acceleration.py    CLASS rerun -- a standing queue item -- but the deep-Newtonian regime makes flat
GREEN       0.1s   real_research/reviews/cmb_inertia_recombination.py    ~10-order rising-vs-declining margin makes that split robust; only the flat ~1-2
GREEN       3.2s   real_research/reviews/cmb_modinertia_oscillator.py    ################################################################################
GREEN      27.9s   real_research/reviews/cmb_third_peak_dm_mimic.py    ~9-15 sigma Cassini quadrupole. The hybrid's union-of-exposures is real and now 
GREEN       0.0s   real_research/reviews/coefficient_vs_hubble_tension.py    evolution, which stands alone.
GREEN       0.1s   real_research/reviews/complexity_mond_source_hypothesis.py    ================================================================================
GREEN       6.7s   real_research/reviews/confront_lensing_rar.py    ALL ANCHORS PASSED -- exit 0
GREEN       0.6s   real_research/reviews/cosmic_topology_exclusion.py    So the strongest pro-topology argument still leaves THIS model dead.
GREEN       0.0s   real_research/reviews/cosmic_weinberg_relation.py    on it -- and do not put it in the same tier as the falsifiable a0(z) trend.
RED         0.3s   real_research/reviews/count_wb_elbadry2021.py    FileNotFoundError: [Errno 2] No such file or directory: 'elbadry2021.fits.gz'
GREEN       0.0s   real_research/reviews/crispiness_scorecard.py    ================================================================================
GREEN       0.1s   real_research/reviews/dQ_bounds.py    full independent re-derivation, which remains the named closure job.)
GREEN       0.6s   real_research/reviews/dQ_partial.py    This is an INDEPENDENT structural corroboration of PINNED. Magnitudes -> dQ_boun
GREEN       0.6s   real_research/reviews/dS4_boundary_measure_Z_2026.py    All assertions passed. EXIT 0 (ran; a null: boundary fixes the shape, not the '2
GREEN       0.3s   real_research/reviews/dS_4point_reconcile_2026_07.py    EXIT 0
GREEN       0.1s   real_research/reviews/data_consistency_ledger.py    ================================================================================
GREEN       0.0s   real_research/reviews/density_form_blackhole.py    Honest net: yes, you derive a clean structural picture; no, it is not free.
GREEN       0.2s   real_research/reviews/derivation_challenge_attempt.py    topology, flux integers) can fix C₆/C₄ at the magic ratio 747.7.
GREEN       0.1s   real_research/reviews/derive_Z_cleanest.py    ================================================================================
GREEN       0.1s   real_research/reviews/derive_Z_equipartition_attempt.py    ================================================================================
GREEN       0.1s   real_research/reviews/derive_Z_firstprinciples.py    ================================================================================
GREEN       0.4s   real_research/reviews/derive_aest_from_horizon.py    ================================================================================
GREEN       0.1s   real_research/reviews/deser_levin_mond_derivation.py    postulate (not insert them). a0(z): only declines if w != -1; constant Lambda ->
GREEN       0.2s   real_research/reviews/desi_a0z_loop_CLOSED.py    ################################################################################
GREEN       0.1s   real_research/reviews/desi_dr3_decision_matrix.py    EXIT 0 -- matrix computed; all consistency checks passed.
GREEN       0.1s   real_research/reviews/desitter_complexity_sign.py    ################################################################################
GREEN       0.5s   real_research/reviews/desitter_entropy_coefficient.py    ================================================================================
GREEN       0.0s   real_research/reviews/desitter_factor_audit.py    give you sqrt(32pi/3). That 8% is exactly the unclosed seam.
GREEN       0.3s   real_research/reviews/desitter_unruh_RAR_test.py    ================================================================================
GREEN       0.1s   real_research/reviews/desitter_unruh_mond.py    ================================================================================
GREEN       3.8s   real_research/reviews/dm_candidate_test.py    the VARIATION + the meV scale-coincidence; FREE = the absolute amount/scale. Not
GREEN       0.0s   real_research/reviews/dm_scale.py    the variation is forced. Honest: forced VARIATION, free ABSOLUTE. Do NOT manufac
GREEN       4.8s   real_research/reviews/dm_varying_mass.py    We do NOT name an absolute DM mass: it is FREE. This is a dark-sector SIGNATURE,
GREEN       0.1s   real_research/reviews/door1_neutrino_DE_scale.py    EXIT 0
GREEN      19.8s   real_research/reviews/door2_dssyk_deepmond_sign_synthesis.py    footing_verdict: derives-declining (the sign that gives DECLINING inertia => enh
GREEN      10.0s   real_research/reviews/door2_dssyk_matter_chord_stageAB_verify.py    ################################################################################
GREEN      20.3s   real_research/reviews/door2_dssyk_perprobe_both_maps.py    chosen dictionary, is what forces the center.
GREEN     291.7s   real_research/reviews/door2_dssyk_wE_center_vs_edge_DIRECT.py    /dictionary-dependent at the level of first principles, and CLOSES only conditio
GREEN       0.5s   real_research/reviews/door2_e6su3_lit_sweep_2026-06.py    EXIT 0
GREEN       0.6s   real_research/reviews/door3_bimond_canitdecline.py    ================================================================================
GREEN       0.4s   real_research/reviews/door3_bimond_frw_integrate.py    CANNOT host the decline.  If it can be driven BELOW 1, it can.
GREEN       0.5s   real_research/reviews/door3_bimond_frw_symbolic.py    Symbolic reduction complete. Q is quadratic in (H-Hhat)/(a0/c) as Milgrom states
GREEN       1.0s   real_research/reviews/door3_bimond_legendre_pin.py    Neither is a graceful declining-sqrt(rho_DE).  BIMOND does NOT host Carl's decli
GREEN       0.1s   real_research/reviews/door3_growing_nu_sharpening.py    door3_growing_nu_sharpening: OK
GREEN       3.6s   real_research/reviews/door_adversary_q1.py    (An active/gain element started off-equilibrium would show monotone H growth or 
GREEN       6.5s   real_research/reviews/door_adversary_q1b.py    the truth is 'LOSSLESS non-bath reactive functional' -- which a closed Lagrangia
GREEN      14.4s   real_research/reviews/door_e6su3_exhaust.py    EXIT 0
GREEN       0.0s   real_research/reviews/door_empirical_exhaust.py    ================================================================================
GREEN       0.0s   real_research/reviews/door_neutrino_exhaust.py    EXIT 0
GREEN       0.4s   real_research/reviews/door_nonlinear_passivity.py    control: spring -x     -> oint = 2.335e-17 (zero = conservative, as expected)
GREEN      96.7s   real_research/reviews/door_part2.py    WRONG observable: F(xddot).v integrated is not the medium-power of the physical 
TIMEOUT   600.0s   real_research/reviews/door_part3.py    hard per-file timeout
GREEN       2.5s   real_research/reviews/door_part3b.py    VERDICT (instantaneous reading): passivity is NOT violated; there is no active k
GREEN       0.4s   real_research/reviews/door_part4.py    exactly the case Milgrom's footnote EXCLUDES ('I assume a closed system, evolve 
GREEN       0.1s   real_research/reviews/door_part5.py    only the ADAPTIVE (spectrum-resolving) construction survives' -- i.e. the LTI ke
GREEN       0.1s   real_research/reviews/door_part6.py    - The MI<->MG join (Milgrom-1994 no-go) is untouched by this door.
GREEN       0.4s   real_research/reviews/dssyk_cv_elastic_attempt.py    ================================================================================
GREEN      59.7s   real_research/reviews/dssyk_wE_center_vs_edge_INDEPENDENT.py    not DERIVED by the chord algebra. Both placements are internally consistent.
GREEN       0.5s   real_research/reviews/dsunruh_d_dimensional_derivation.py    <=> dim_SO(d)=d.  All ONE equation. SELECTION, not derivation.
GREEN       5.5s   real_research/reviews/dsunruh_tau_mem.py    EXIT 0
GREEN       0.6s   real_research/reviews/dwarf_ecc_sigma_partial_corr_test.py    ... (top-6 by y) ...
GREEN       0.0s   real_research/reviews/dwarf_ecc_sigma_pilot_analysis.py    ================================================================================
GREEN       0.0s   real_research/reviews/dwarf_ecc_sigma_pilot_data.py    Triangulum II        sig=None  ecc=0.75 peri=12.2   r_half=20.7   pc dens=None  
GREEN       3.5s   real_research/reviews/dwarf_sigma_mi_final.py    EXIT 0
GREEN       1.8s   real_research/reviews/dwarf_sigma_mi_kernel.py    EXIT 0
GREEN       1.3s   real_research/reviews/dwarf_sigma_mi_reconcile.py    EXIT 0
GREEN       9.0s   real_research/reviews/dwarf_sigma_y_DR4_power_forecast.py    partial corr at fixed (M_bar, r_half). On current data this is a low-power null 
GREEN       0.5s   real_research/reviews/dwarf_sigma_yeff_joint_pilot.py    the sigma-free fix, not a win/null verdict; the v3 ecc-surrogate stands, current
GREEN       0.1s   real_research/reviews/e6_doublet_triplet.py    advantage -- not a theory of everything, but honest, standard physics.
GREEN       0.0s   real_research/reviews/e6_gauge_unification.py    the 3/13 fit -- at the price of predicting SUSY, which is so far unseen.
GREEN       0.0s   real_research/reviews/e6_gut_predictions.py    remains the evolving-a0 cosmology, which no GUT makes.
GREEN       0.0s   real_research/reviews/e6_orbifold_spectrum.py    structure is real; the specific vacuum and its numbers are not yet in hand.
GREEN       0.0s   real_research/reviews/e6_proton_lifetime.py    a null result at Hyper-K only pushes M_X up, it does not kill it.
GREEN       0.3s   real_research/reviews/e6_two_loop_unification.py    robust, NOT a part-per-thousand derivation distinctive to Z^2.
GREEN       0.0s   real_research/reviews/e6_wilson_exotic_lifting.py    correctly; we did not solve it, and we should not claim to.
GREEN       0.2s   real_research/reviews/edge_exponent_check.py    discriminator is therefore SOLID and q-robust. Only the PLACEMENT of |vac> is co
GREEN       0.1s   real_research/reviews/efe_declining.py    impractical-either-way (today); what survives every audit is the z~3 zero-point.
GREEN       0.1s   real_research/reviews/efe_evolution_forecast.py    ================================================================================
GREEN       0.1s   real_research/reviews/efe_vs_z_recompute.py    and may yet give a clean z-signal, but requires a proper time-nonlocal calculati
GREEN       0.0s   real_research/reviews/emergent_a0_apparent_horizon.py    further on the TOE path -- honestly bounded, and pointed at one experiment.
GREEN       0.1s   real_research/reviews/emergent_inertia_derivation.py    ================================================================================
GREEN       0.0s   real_research/reviews/entropy_coefficient_attempt.py    target is sharp -- but it is unwon, and I will not pretend otherwise.
GREEN       0.0s   real_research/reviews/entropy_coefficient_rigorous_endgame.py    systematic-limited measurement -- which is the most honest 'answer' there is.
GREEN       0.0s   real_research/reviews/entropy_counting_and_the_cube.py    to settle it, neither faked. The horizon gives you everything EXCEPT the 8.
GREEN       0.1s   real_research/reviews/established_paths_to_mond.py    ################################################################################
GREEN      12.1s   real_research/reviews/eta_beta_first_crude_CLASHVLT.py    DETECT: +0.5..+1.0 at 3sigma is MG/LCDM-impossible (Milgrom 2014 PRD 89,024016 v
GREEN       0.3s   real_research/reviews/eta_invariant_reality_check.py    ==========================================================================
GREEN       0.3s   real_research/reviews/eta_local_bruning_seeley.py    derived spectral invariant.
GREEN       0.3s   real_research/reviews/exceptional_geometry_to_SM_verify.py    one-parameter GRAVITY theory. No re-overclaim.
GREEN       0.5s   real_research/reviews/executioner_Z_convention_sweep_2026.py    All assertions passed. EXIT 0 (executioner: coefficient MOVES => Z not forced).
GREEN       0.5s   real_research/reviews/factor_of_four_second_quarter_test.py    ################################################################################
GREEN       0.1s   real_research/reviews/factor_of_two_desitter.py    ================================================================================
GREEN       0.0s   real_research/reviews/factor_of_two_horizon.py    exact Z = 2 sqrt(8pi/3) remains a geometric number, the O(1) still unfixed.
GREEN       3.8s   real_research/reviews/false_discovery_rate.py    ========================================================================
GREEN       0.0s   real_research/reviews/falsifiable_predictions_scorecard.py    sound -- it just timestamps fits as well as the real prediction. Lock a0(z).)
GREEN       0.8s   real_research/reviews/family_su3_koide.py    ==============================================================================
GREEN       0.1s   real_research/reviews/family_su3_mixing.py    DONE.
GREEN       0.4s   real_research/reviews/family_su3_texture.py    ==============================================================================
GREEN       1.1s   real_research/reviews/feynman_period_side.py    EXIT 0 — a null: period-arithmetic re-derives the SM-flavor wall, now motivic-se
GREEN       0.7s   real_research/reviews/forty_invariants_test.py    32*pi/3 is, honestly, the Friedmann definition 8 x (4pi/3). Option A.
GREEN       0.7s   real_research/reviews/framework_selfdualities.py    DONE — exit 0
GREEN       0.1s   real_research/reviews/framework_vs_siv.py    ================================================================================
GREEN       0.0s   real_research/reviews/freefall_clock_derivations_rigorous.py    pin the coefficient -- and names the exact calculation that would finish it.
GREEN       0.0s   real_research/reviews/freefall_clock_development.py    start -- a premise with motivation, a derivation, and a way to be killed.
GREEN       0.1s   real_research/reviews/freefall_clock_orbit_steelman.py    ================================================================================
GREEN       0.3s   real_research/reviews/freefall_clock_rigor_audit.py    ================================================================================
GREEN       0.1s   real_research/reviews/freefall_clock_unruh_escape_test.py    ================================================================================
GREEN       0.3s   real_research/reviews/front2_fullmach_selfconsistency.py    ################################################################################
GREEN       0.0s   real_research/reviews/gate2_cmb_scaling_a0.py    structural case is strong and verified, not asserted.
GREEN       0.0s   real_research/reviews/generation_number_tadpole_anomaly.py    which would be genuinely new physics, not yet in hand.
GREEN       0.0s   real_research/reviews/geometric_closure_audit.py    the breakthrough worth having; the second half is the parametrization.
GREEN       0.1s   real_research/reviews/geometric_origin_of_a0.py    ################################################################################
GREEN       0.1s   real_research/reviews/geometric_theories_and_siv.py    ================================================================================
GREEN       1.0s   real_research/reviews/ghost_quasar_sdss_live_check.py    junk. Only pulling the live catalog revealed it. (verified live)
GREEN       0.1s   real_research/reviews/gravity_particle_connection_search.py    ================================================================================
GREEN       0.9s   real_research/reviews/growing_nu_camb_fisher.py    ================================================================================
GREEN       0.1s   real_research/reviews/growing_nu_dr2_sensitivity.py    ================================================================================
GREEN       0.1s   real_research/reviews/growing_nu_fsigma8_forecast.py    ================================================================================
GREEN       9.7s   real_research/reviews/growing_nu_staircase_referee.py    ================================================================================
GREEN       0.0s   real_research/reviews/gw_sme_door.py    exit 0
GREEN       0.1s   real_research/reviews/holographic_entropy_chase.py    ================================================================================
GREEN       0.2s   real_research/reviews/hopf_aether_check.py    ################################################################################
GREEN       0.0s   real_research/reviews/horizon_a0_derivation.py    pinning it to the compactification volume is a conjecture to be tested.'
GREEN       0.2s   real_research/reviews/horizon_at_sqrt8pi3.py    ================================================================================
GREEN       0.8s   real_research/reviews/is_Z_special.py    not rescue the number Z; it stands on its own.
GREEN       0.1s   real_research/reviews/is_it_schwarzschild.py    ================================================================================
GREEN       0.1s   real_research/reviews/jwst_2025_data_confront.py    ================================================================================
GREEN       0.1s   real_research/reviews/jwst_predictions_comprehensive.py    ================================================================================
GREEN       0.0s   real_research/reviews/jwst_rotation_predictions.py    and are a separate comparison.
GREEN       0.0s   real_research/reviews/keating_cmb_doors.py    EXIT 0
GREEN       0.1s   real_research/reviews/keating_darkenergy_doors.py    DONE (exit 0)
GREEN      26.3s   real_research/reviews/koide_anomaly_selector_construct.py    CONSTRUCTION VERDICT: NON-CIRCULAR SETUP, NULL ON THE AMPLITUDE (selector solved
GREEN       0.6s   real_research/reviews/koide_circularity_INDEP_verify.py    response does not force the amplitude. Same number field (reframe correct), stru
GREEN       2.9s   real_research/reviews/koide_falsifiable_frontier.py    ================================================================================
GREEN       0.8s   real_research/reviews/koide_mechanism_audit.py    ALL CHECKS PASS
GREEN       0.3s   real_research/reviews/koide_missing_ingredient.py    ALL CHECKS PASS
GREEN       6.7s   real_research/reviews/koide_new_construction.py    x = x + dt * x*(A_*Ssum + B_*x)
GREEN       0.1s   real_research/reviews/koide_qed_running.py    ALL CHECKS PASS
GREEN       0.7s   real_research/reviews/koide_quadrature_sqrt2.py    ALL CHECKS PASS
GREEN       0.8s   real_research/reviews/koide_response_construct.py    is the precise obstruction: it has no generation index to break the democracy in
GREEN       0.3s   real_research/reviews/koide_transition_map.py    selective DYNAMICS that forces r=sqrt2 -- which these transition constants do no
GREEN       0.5s   real_research/reviews/koide_two_sqrt2.py    ALL CHECKS PASS
GREEN      16.3s   real_research/reviews/koide_twoflavon_cone_construct.py    ALL CHECKS PASS
GREEN       0.1s   real_research/reviews/lab_door.py    ================================================================================
