#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:04:33 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:04:33	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J%2fMNRAS%2f521%2f1775%2ftable3&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_75211775
#Name: J/MNRAS/521/1775
#Title: Galaxy Zoo barred galaxies properties with MaNGA (Geron+, 2023)
#INFO	ivoid=ivo://cds.vizier/j/mnras/521/1775	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/521/1775	    IVOID of underlying data collection
#INFO	creator=Geron T.	    First author or institution
#INFO	cites=bibcode:2023MNRAS.521.1775G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2023	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/521/1775	    Dataset landing page
#INFO	publication_date=2026-06-17	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_521_1775_table3:
#Name: J/MNRAS/521/1775/table3
#Title: The bar pattern speed, corotation radius and dimensionless corotation radius-to-bar ratio of our barred galaxies sample
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	MANGA	(A11)	The MaNGA plate-ifu number of this target (PLATEIFU)	[ucd=meta.id;meta.main]
#Column	Om*sin(i)	(F19.16)	Projected bar pattern speed of the target {Omega}_b_*sin(i) with i the inclination of the galaxy as defined in section 2.1 (Omega_sini)	[ucd=phys.veloc.rotat]
#Column	e_Om*sin(i)	(F19.16)	The lower limit of the pattern speed Om*sin (i) (Omega_sini_ll)	[ucd=stat.error]
#Column	E_Om*sin(i)	(F19.16)	The upper limit of the pattern speed Om*sin (i) (Omega_sini_ul)	[ucd=stat.error;stat.max]
#Column	Om	(F19.16)	The bar pattern speed of the target as defined in section 2.1 (Omega)	[ucd=phys.veloc.rotat]
#Column	e_Om	(F19.16)	The lower limit of the pattern speed Om (Omega_ll)	[ucd=stat.error]
#Column	E_Om	(F18.15)	The upper limit of the pattern speed Om (Omega_ul)	[ucd=stat.error;stat.max]
#Column	Omph*sin(i)	(F19.16)	Projected physical bar pattern speed of the target {Omega}_phys,b_*sin(i) with i the inclination of the galaxy as in sect. 2.1 (Omega_phys_sini)	[ucd=phys.veloc.rotat]
#Column	e_Omph*sin(i)	(F19.16)	The lower limit of the pattern speed Omph*sin (i) (Omega_phys_sini_ll)	[ucd=stat.error]
#Column	E_Omph*sin(i)	(F19.16)	The upper limit of the pattern speed Omph*sin (i) (Omega_phys_sini_ul)	[ucd=stat.error;stat.max]
#Column	Omph	(F18.15)	The physical bar pattern speed of the target {Omega}_phys,b_ as defined in section 2.1 (Omega_phys)	[ucd=phys.veloc.rotat]
#Column	e_Omph	(F19.16)	The lower limit of the pattern speed Omph (Omega_phys_ll)	[ucd=stat.error]
#Column	E_Omph	(F18.15)	The upper limit of the pattern speed Omph (Omega_phys_ul)	[ucd=stat.error;stat.max]
#Column	Rcr	(F19.16)	? The corotation radius of the target (Rcr) (1)	[ucd=phys.angSize;src]
#Column	e_Rcr	(F19.16)	? The lower limit of the corotation radius Rcr (Rcr_ll)	[ucd=stat.error]
#Column	E_Rcr	(F19.16)	? The upper limit of the corotation radius Rcr (Rcr_ul)	[ucd=stat.error;stat.max]
#Column	Rcrph	(F19.16)	? The physical corotation radius (Rcr_phys) (1)	[ucd=phys.size.radius]
#Column	e_Rcrph	(F19.16)	? The lower limit of the corotation radius Rcrph (Rcr_phys_ll)	[ucd=stat.error]
#Column	E_Rcrph	(F19.16)	? The upper limit of the corotation radius Rcrph (Rcr_phys_ul)	[ucd=stat.error;stat.max]
#Column	R	(F20.17)	? The dimensionless corotation radius-to-bar radius ratio R=Rcr/Rbar of the target as in sect. 2.3 (R)	[ucd=phys.size.radius;arith.ratio]
#Column	e_R	(F20.17)	? The lower limit of R (R_ll)	[ucd=stat.error]
#Column	E_R	(F19.16)	? The upper limit of R (R_ul)	[ucd=stat.error;stat.max]
recno	MANGA	Om*sin(i)	e_Om*sin(i)	E_Om*sin(i)	Om	e_Om	E_Om	Omph*sin(i)	e_Omph*sin(i)	E_Omph*sin(i)	Omph	e_Omph	E_Omph	Rcr	e_Rcr	E_Rcr	Rcrph	e_Rcrph	E_Rcrph	R	e_R	E_R
      12	10001-6102 	14.8048961255202158	12.1420371081132572	16.8355556112898093	17.1728570202320796	14.0840884950588876	19.528309210523883	28.1939439720024616	23.1228852286250728	32.0610632873020549	32.703408694170733	26.8212622743046722	37.189052262270010	13.6555173633222040	11.3459347273310875	17.8870269471864205	 7.1706362297159654	 5.9578534046841582	 9.3926403560440743	 2.12441185788128006	 1.66029246292831933	 2.9834209992918250
      13	12622-9102 	21.2282941768793343	 3.2242142797698397	32.8731243642056583	22.6708328791641804	 3.4433112003360300	35.106971029663953	25.2607827860964704	 3.8366802296249980	39.1176439870972175	26.977343547659828	 4.0973964074492670	41.775828150337560	10.1027798532541517	 5.2080529160011162	83.6540947156780561	 8.4900291707179534	 4.3766687804495543	70.3000277846638681	 1.74021854882408955	 0.88740293178329877	24.2954508969725609
      14	8985-6104  	 9.9980102779947746	 9.1370149238925791	10.5435155804326470	13.9116345823375251	12.7136109346000516	14.670672652837013	17.8244329328405016	16.2894521198621973	18.7969587062149692	24.801634595718046	22.6658004079844062	26.154846165310897	13.4451674792649758	12.3400194751327241	15.1359600294971486	 7.5416100559015300	 6.9217148174021332	 8.4900027121432089	 2.20029219755169159	 1.74726555972053177	 2.9066193386741954
      15	8444-12703 	16.2058138226860855	14.2440673094954917	17.9490193344018856	27.9524874391784905	24.5687823461303871	30.959243576406919	20.9949484276986951	18.4534674923199375	23.2533052259312001	36.212993598008445	31.8293375409680799	40.108304918159988	 7.3335030771646110	 6.2507583285575521	 8.8476955073554553	 5.6606657523307913	 4.8249047180113376	 6.8294574119006430	 1.51269056395123069	 1.27885854436749558	 1.8468623617701105
      16	8985-12703 	 9.3482748141592502	 7.0123910730018597	11.9450031296052632	13.2426998641371991	 9.9337035074177358	16.921206796568541	18.9229634102431845	14.1946211820543535	24.1793124025836050	26.806135887484373	20.1079997899030509	34.252242625948341	13.3505479302576067	 9.5330101466381656	19.5611062050224582	 6.5954041270351533	 4.7094737079448210	 9.6635285134314834	 1.88052713946705086	 1.39775428848184724	 2.6514155773171870
      17	12487-6101 	 7.2906389330809169	 4.6975128525403047	 9.6374462787375226	17.6366004773323937	11.3636346797353980	23.313702845522748	10.7953997045235663	 6.9557043389171529	14.2703658300465293	26.114878727280018	16.8263686612290684	34.521081501913017	12.1093553398176237	 9.0687884804049368	19.6764004020232406	 8.1780147017615175	 6.1245775219801288	13.2883945717886398	 2.17797535061930070	 1.61846015182398872	 3.6552342969543785
      18	12074-12704	17.3932514974717058	15.9503707292942831	19.4145717694079210	22.3234929800506805	20.4716173428737598	24.917770933632923	19.9028505149316253	18.2517825565295198	22.2158185773433736	25.544455780315605	23.4253808054994437	28.513051175594949	10.3293844976690607	 9.2515103751714758	11.3676108460021936	 9.0269271854931912	 8.0849648429055243	 9.9342410385672597	 0.98846902378233192	 0.86801908534887073	 1.1394313019075912
      19	8942-12702 	 9.3324791187182328	 8.1284014740434056	10.6906865587462789	15.4249213109690544	13.4347959985904239	17.669795649277003	18.1830920975901442	15.8371072389839096	20.8293783260938099	30.053403948462588	26.1759099428080582	34.427242488224181	15.0768328260899995	12.7607161253816965	17.9620377285658677	 7.7381903347747150	 6.5494425338030897	 9.2190228775053384	 2.35958667241769238	 2.02878198898433526	 2.8431797209590557
      20	8547-9102  	29.5106562480443699	27.1310512443415455	32.3811304262173891	38.3535207789817960	35.2608674273189209	42.084132193134451	34.4359639443197096	31.6592045452581026	37.7855182365668512	44.754696323307193	41.1458813103506529	49.107944149049523	 3.7163667996403187	 3.2901712120987034	 4.1920273624668125	 3.1848222193855835	 2.8195845423247512	 3.5924499943193942	 0.74820219448867942	 0.64335955499117281	 0.8914522818335670
      21	8547-6102  	 6.0874542026179475	 2.0665256514147652	 8.8318164981240397	 7.7865944738721460	 2.6433377043725645	11.296967705969866	 9.9853007403908105	 3.3897388678890259	14.4869005798495891	12.772414375066843	 4.3358883792872209	18.530508196690842	                   	                   	                   	                   	                   	                   	                    	                    	
      22	8445-12701 	 7.1046577406019011	 3.5896465829513233	 9.3262287368659855	10.7301280404198103	 5.4214247696694802	14.085355288675277	14.0794055347810350	 7.1136558315940741	18.4819257015103737	21.264053756993086	10.7437178109605629	27.913157318952155	22.4811101263192086	16.7908830322986447	45.5540804626666969	11.3442710831584517	 8.4729058206516772	22.9872028030990414	11.63206429938345465	 6.79971166807680927	28.4885956036807428
      23	7993-12704 	 7.2171360040240442	 6.0443850469706115	 8.3988149730325059	13.9379576049183100	11.6731044676871090	16.220052796623200	 8.8940043165787532	 7.4487700756708088	10.3502409519021867	17.176377864199402	14.3852965311443235	19.988707363678138	17.4504316529722630	13.6961536115583300	22.2822101568789286	14.1603415161004715	11.1138919915259180	18.0811404456683675	 1.25021527976263580	 0.97712997324758355	 1.5909839387957336
      24	10492-12701	 7.4374987549764811	 6.1616401286555336	 8.7875803925265021	 8.4414295513428836	 6.9933525746099381	 9.973748333153043	13.8742464451226848	11.4942020788808357	16.3927497723159163	15.747024342842115	13.0457160793270361	18.605481078327184	28.2887410403040818	20.6566950984444802	38.4113821479790118	15.1646056670037233	11.0733325002034793	20.5909998811465940	 1.81962738739357421	 0.99580949698360599	 2.9890918983259356
      25	10492-9102 	12.1214295105488290	10.9745296126681762	13.9658562030194169	19.1129676123161687	17.3045455459513953	22.021244033492636	22.8418412106481306	20.6806022801160587	26.3175122606203935	36.016822181315426	32.6089989005886949	41.497230919523481	 9.4997398788299598	 7.3007919366006933	11.3378764683395090	 5.0412060152185818	 3.8742951592463828	 6.0166459062074926	 1.08113532373050192	 0.88982783095418727	 1.2662832664317629
      26	10492-12702	11.8996091650928353	11.2789708541256211	12.5554529978595060	18.3378316019776015	17.3814001197034713	19.348516372848138	21.7909170617016095	20.6543857881137178	22.9919177304605959	33.580780846345320	31.8293351630220478	35.431576760060771	 6.8177148981710332	 6.4233687694144264	 7.1817928975301859	 3.7230256284097316	 3.5076806388122832	 3.9218417629356703	 1.42790158577704851	 1.32307893773673801	 1.5449745976135798
      27	10492-6102 	18.7600273590127209	15.1765549993284949	22.4098827173917492	23.0512831310631299	18.6481106636341067	27.536023352564090	31.5245843010543219	25.5028725875534654	37.6578468347359205	38.735664101446915	31.3365180882156942	46.271877587463727	11.0717590148772818	 8.7351353509088288	14.3286027780434786	 6.5887150183467105	 5.1982090105546055	 8.5268366290092938	 1.93710053898810086	 1.39710905672875363	 3.0893625477216156
      28	10492-9101 	 7.4945124305254076	 6.9254644378476860	 8.7036840662389761	 9.9689814085819588	 9.2120503991023472	11.577386180467585	13.9143017307483419	12.8578079904558322	16.1592481684983440	18.508397517929733	17.1030804205343969	21.494559661051714	15.3551576811052986	12.8238886890305643	16.6024909946339640	 8.2705853545934378	 6.9071948450872638	 8.9424232379556425	 2.26456632819086501	 1.99236903634380624	 3.2714819514290476
      29	11016-12703	18.2855074248396718	17.0332982803901345	19.7299836383791138	23.1749068162609220	21.5878668964572071	25.005624491703038	20.1863895319422504	18.8040061515947876	21.7810272326451511	25.584069694670145	23.8320479826349327	27.605100845781905	11.4782625157013527	10.3258854445815089	12.6556834463308689	10.3973944485218528	 9.3535327189721666	11.4639417444174221	 1.97192961529272215	 1.74000578570875719	 2.1858692848110812
      30	8723-12701 	17.5414363186262889	15.0618948439841507	20.0390175606158785	19.6968095677701882	16.9125987794235826	22.501276728265314	22.8056977518194230	19.5820350820901261	26.0528140016413765	25.607907899807017	21.9881433284779995	29.254007868784004	11.1616628828406608	 9.3833045864175428	13.4605676775113530	 8.5852053640281216	 7.2173472459436550	10.3534517249658560	 1.85317587587598065	 1.48653724641953633	 2.3991477372330192
      31	10494-9102 	 5.5771313968402190	 3.0885399947583072	 8.1797528539236275	 6.4347132335050299	 3.5634572260105939	 9.437533418302364	 9.0506560409897130	 5.0121309993224914	13.2742308390134749	10.442353255627848	 5.7828341085300083	15.315376806935879	                   	                   	                   	                   	                   	                   	                    	                    	
      32	9884-3701  	15.3898265362597382	12.3947800391544227	17.9993214350956698	17.4951374057407136	14.0903719342141827	20.461608256282830	26.2099457949721426	21.1091731411934376	30.6540972407082108	29.795436745156216	23.9968841595861875	34.847543083839483	                   	                   	                   	                   	                   	                   	                    	                    	
      33	11017-9101 	17.9061446801701685	16.8520627954704310	18.8309283235712535	21.5877945587006081	20.3169848125833568	22.702721287015169	35.1194444509632220	33.0520664163450419	36.9332289575494315	42.340289624862294	39.8478417482441429	44.527003068839960	 8.4344872782183398	 7.7622925905774913	 9.2365206490616387	 4.3004424434364878	 3.9577144897826342	 4.7093704831922762	 1.02064879973888889	 0.89466059929297792	 1.1886886576363196
      34	9504-3704  	20.7276021010299871	14.3185019541746481	29.4287370953940624	34.2677631567257208	23.6719631790109197	48.652853710290024	22.0798874330960899	15.2526524688078879	31.3486914307464097	36.503419420951900	25.2163409817184778	51.827004782608881	 3.6952357856853042	 2.5599085771529633	 5.9402749206585277	 3.4689206304722462	 2.4031266718645656	 5.5764620765945736	 0.84659639152635502	 0.56781989201339744	 1.4175457315189490
      35	8715-12701 	 7.9226105427367948	 7.0103448839584201	 8.8133607441541493	11.7197852028974978	10.3702858792605408	13.037457070489122	16.2384120832856667	14.3686059610783694	18.0641195007915272	24.021211269398350	21.2552383612106510	26.721949701646725	19.4882316974951344	16.8258808809660394	22.7375003017139470	 9.5081753753986309	 8.2092325637915593	11.0934713740427835	 1.71120975635327266	 1.38403003436226379	 2.1801981858237065
      36	8135-6103  	10.4313494118207259	 8.0926915271183564	11.9331434097198592	14.9491648258769541	11.5976346633329843	17.101385513994835	10.9171132004297871	 8.4695494331341141	12.4888422674488524	15.645312817442679	12.1377096556039099	17.897757439599069	14.3254688842619373	11.7039064458813264	20.1131876810536632	13.6880481750449299	11.1831337990928414	19.2182387994602131	 1.52980950241939495	 1.17097433709424825	 2.4745068536287715
      37	8337-6102  	13.4522041351886905	10.9711569908943201	17.3495666946426823	16.8161695655310837	13.7146919891245620	21.688137683134382	20.5574336041667358	16.7659388108174987	26.5133179516069468	25.698189370731374	20.9585631569863864	33.143449648729835	                   	                   	                   	                   	                   	                   	                    	                    	
      38	9026-12705 	 9.6058120907438553	 7.8489401513015240	13.6612445949122971	14.6299215962710143	11.9541562902333105	20.806459198138558	14.2453729600381305	11.6399403548659137	20.2595597867624413	21.696103103642766	17.7279560716216622	30.855878550956259	16.3258723260023899	13.1517233263369082	20.5845099189012330	11.0087157578101440	 8.8683520815243675	13.8803620526962366	 2.10686855564207010	 1.67224237201665438	 2.6746567784987527
      39	8079-12704 	 6.6400609611058909	 6.0231779394051834	 7.1599690521346258	 7.6994380106841334	 6.9841354534863660	 8.302293939504127	11.8949907559185881	10.7899078532774464	12.8263529787865096	13.792756497163648	12.5113650528093050	14.872711296143420	26.1423253023695104	23.7547268859841694	29.4210377186787362	14.5932550293427568	13.2604419687230841	16.4235086852689314	 2.20866978477333298	 1.89437532541214226	 2.6307207180455041
      40	8078-12703 	 8.3308491973569812	 5.8132040391146562	10.3760135401084810	11.4314602980645539	 7.9767871922073077	14.237802656848130	14.7857117417448070	10.3173586728187185	18.4154990203348738	20.288721203596644	14.1573173700752193	25.269458242839452	21.3926190672460557	16.7284513822073961	31.7436143548865850	12.0534395975380715	 9.4254648139137966	17.8855958230935670	 2.17379920966830475	 1.64216128313902443	 3.8593973698029451
      41	9026-9101  	 7.1880462840827279	 6.3114632748269166	 8.6385241068414995	 9.4734306086571713	 8.3181447378216120	11.385076758422448	11.4458826385444503	10.0500560327667579	13.7555504221078326	15.085013457856686	13.2453944614077965	18.129022443315090	 8.7086935049885508	 6.5667049826558603	10.4886758035928089	 5.4690838587620600	 4.1239090806586809	 6.5869177166883226	 0.93877113001745705	 0.76285569164374423	 1.1694362701096064
      42	10220-9101 	13.1809421572464558	11.0269635338106387	14.5054683642112767	20.5452741974369886	17.1878448948907163	22.609827230076064	18.2467426066390885	15.2649304529131467	20.0803208505848829	28.441391031926873	23.7936088345162240	31.299408868202018	11.0872557564886556	 9.5879364821516102	14.1994099364765525	 8.0091268868834398	 6.9260601140178686	10.2572609848526675	 1.60424025431131057	 1.29787997217625573	 2.2990685807042572
      43	9484-12703 	 5.2889648284029995	 3.9092930787706663	 7.1888566463100290	 9.9241277227890219	 7.3353340546319625	13.489053879820089	 8.3234473205404509	 6.1522048373171172	11.3133801285924029	15.617981397673885	11.5438972583848969	21.228242768730194	22.3414071763042763	14.1878852275595300	33.4490798471781119	14.1963914976554726	 9.0154022808314540	21.2545355357257861	 3.05943007202018880	 1.87077558320251280	 4.6942704229009875
      44	11955-12703	 8.3623102644438383	 7.5865471065736116	 9.1360663146558601	11.2234760843599890	10.1822854355861914	12.261972893263199	13.9787628326583935	12.6819669885372903	15.2722035176133843	18.761598814190407	17.0211040606441344	20.497590440315037	                   	                   	                   	                   	                   	                   	                    	                    	
      45	11761-12704	18.8833108644735574	11.4060091052194892	21.1557217673379760	22.2956244822392406	13.4671349572184802	24.978671990339659	28.8047089695201137	17.3987906642823447	32.2710573861699217	34.009871421057767	20.5428436718554011	38.102607232955513	 5.9705957535116845	 4.6801368515281867	14.0831098445666782	 3.9141036203132038	 3.0681260883142900	 9.2323703535724686	 5.26386092104593484	 2.87970900632036475	 8.3540756975141015
