#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:05:24 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:05:24	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/877/12&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18770012
#Name: J/ApJ/877/12
#Title: Coma Ber and a Neighbor Stellar Group tidal tails (Tang+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/apj/877/12	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/877/12	    IVOID of underlying data collection
#INFO	creator=Tang S.-Y.	    First author or institution
#INFO	cites=bibcode:2019ApJ...877...12T	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/877/12	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18770012	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-23	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_ApJ_877_12_table1:
#Name: J/ApJ/877/12/table1
#Title: Coma Ber Member Candidates
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Seq	(I3)	[1/197] Coma Ber member candidate, running number	[ucd=meta.id;meta.main]
#Column	RA_ICRS	(F10.6)	Right Ascension (ICRS) at epoch 2015.5 (G1)	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F10.6)	Declination (ICRS) at epoch 2015.5 (G1)	[ucd=pos.eq.dec;meta.main]
#Column	Plx	(F5.2)	Parallax (G1)	[ucd=pos.parallax]
#Column	e_Plx	(F5.2)	Uncertainty in Plx (G1)	[ucd=stat.error;pos.parallax]
#Column	pmRA	(F6.2)	Proper motion in Right Ascension, pmRA*cosDE (G1)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F5.2)	Uncertainty in pmRA (G1)	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F6.2)	Proper motion in Declination (G1)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F5.2)	Uncertainty in pmDEc (G1)	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	RV	(F6.2)	? Radial Velocity (G1)	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F5.2)	? Uncertainty in RV (G1)	[ucd=stat.error]
#Column	Gmag	(F5.2)	Gaia G band magnitude (G1)	[ucd=phot.mag;em.opt]
#Column	Memb	(A1)	[bt] Membership flag (2)	[ucd=meta.code.error]
#Column	GaiaDR2	(a7)	Display the Gaia DR2 data (Gaia Collaboration, 2018, Cat. I/345)	[ucd=meta.ref.url]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA.icrs	(F10.6)	Right ascension (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F10.6)	Declination (ICRS) at Epoch=J2000, proper motions taken into account	[ucd=pos.eq.dec]
recno	Seq	RA_ICRS	DE_ICRS	Plx	e_Plx	pmRA	e_pmRA	pmDE	e_pmDE	RV	e_RV	Gmag	Memb	GaiaDR2	SimbadName	_RA.icrs	_DE.icrs
      22	 22	185.603097	+22.464099	11.67	 0.06	-11.79	 0.11	 -9.93	 0.07	 -1.13	 0.33	 8.41	b	GaiaDR2	Gaia DR2 3953625839598043008	185.603152	+22.464142
      23	 23	185.626243	+25.846123	11.83	 0.24	-10.85	 0.40	 -9.55	 0.35	  0.00	 3.86	 4.59	b	GaiaDR2	Gaia DR2 4008342726516877312	185.626295	+25.846164
      24	 24	185.784941	+25.851336	11.41	 0.10	-12.28	 0.12	 -8.73	 0.25	-16.25	17.69	 8.96	b	GaiaDR2	Gaia DR2 4008433608024885632	185.785000	+25.851374
      25	 25	185.800054	+23.937464	11.12	 0.07	-11.67	 0.10	 -9.11	 0.13	      	     	14.99	b	GaiaDR2	Gaia DR2 3954074577781239936	185.800109	+23.937503
      26	 26	185.837236	+28.920776	12.12	 0.20	-13.07	 0.31	 -9.43	 0.25	      	     	17.97	b	GaiaDR2	Gaia DR2 4010324591930017920	185.837300	+28.920817
      27	 27	185.920817	+26.979898	11.43	 0.07	-12.16	 0.10	 -7.91	 0.08	  0.26	 0.35	 8.25	b	GaiaDR2	Gaia DR2 4008744254419270400	185.920876	+26.979932
      28	 28	185.946671	+23.245653	11.75	 0.04	-12.56	 0.07	 -9.96	 0.05	  0.55	 0.56	11.24	b	GaiaDR2	Gaia DR2 3953816570505994880	185.946730	+23.245696
      29	 29	185.981287	+23.414429	11.34	 0.04	-11.29	 0.06	 -9.32	 0.05	      	     	14.12	b	GaiaDR2	Gaia DR2 3953836670952932224	185.981340	+23.414469
      30	 30	186.023835	+26.128551	11.25	 0.04	-11.73	 0.07	 -8.99	 0.05	 -0.04	 0.61	10.25	b	GaiaDR2	Gaia DR2 4008444912378815232	186.023891	+26.128590
      31	 31	186.045277	+23.993345	12.13	 0.08	-12.85	 0.09	 -9.04	 0.09	      	     	15.03	b	GaiaDR2	Gaia DR2 3954070042295789824	186.045337	+23.993384
      32	 32	186.259341	+25.560627	11.48	 0.05	-12.65	 0.08	 -8.18	 0.06	      	     	 8.02	b	GaiaDR2	Gaia DR2 4008364338792386304	186.259401	+25.560662
      33	 33	186.260946	+26.710580	11.91	 0.06	-11.33	 0.10	 -8.79	 0.06	      	     	14.25	b	GaiaDR2	Gaia DR2 4009049575054518400	186.261001	+26.710618
      34	 34	186.343687	+23.229045	11.56	 0.06	-11.18	 0.10	-10.83	 0.07	 -0.95	 0.42	 8.45	b	GaiaDR2	Gaia DR2 3953772074643910784	186.343739	+23.229092
      35	 35	186.354333	+23.847950	11.21	 0.05	-11.86	 0.07	 -7.60	 0.05	  0.07	 0.73	12.82	b	GaiaDR2	Gaia DR2 3953876974926061056	186.354389	+23.847983
      36	 36	186.466403	+26.776634	11.59	 0.05	-13.42	 0.09	 -8.60	 0.06	      	     	 8.22	b	GaiaDR2	Gaia DR2 4009051048227419520	186.466468	+26.776671
      37	 37	186.475873	+26.860713	11.41	 0.06	-11.54	 0.09	 -7.78	 0.07	      	     	14.66	b	GaiaDR2	Gaia DR2 4009058199348854656	186.475929	+26.860746
      38	 38	186.501025	+24.155772	11.53	 0.07	-11.62	 0.10	 -6.61	 0.08	      	     	13.56	b	GaiaDR2	Gaia DR2 3960080316450597376	186.501080	+24.155801
      39	 39	186.535257	+24.658666	11.98	 0.07	-11.85	 0.12	 -9.27	 0.09	      	     	14.73	b	GaiaDR2	Gaia DR2 3960130997064687616	186.535313	+24.658706
      40	 40	186.667741	+27.312035	12.23	 0.08	-13.51	 0.13	 -9.15	 0.11	      	     	15.35	b	GaiaDR2	Gaia DR2 4009109979474585600	186.667806	+27.312074
      41	 41	186.735986	+22.673964	11.44	 0.04	-11.01	 0.08	 -8.27	 0.07	      	     	14.19	b	GaiaDR2	Gaia DR2 3952978708285528960	186.736037	+22.674000
      42	 42	186.747012	+26.825662	11.67	 0.21	-11.46	 0.37	 -9.22	 0.42	      	     	 4.89	b	GaiaDR2	Gaia DR2 4008867605880031872	186.747067	+26.825702
      43	 43	186.776034	+26.845660	11.16	 0.10	-12.89	 0.11	 -7.79	 0.25	 -0.34	 0.24	 9.69	b	GaiaDR2	Gaia DR2 4008867674599508992	186.776096	+26.845694
      44	 44	186.836148	+23.329810	11.90	 0.04	-12.41	 0.07	 -9.08	 0.05	  0.89	 0.43	10.11	b	GaiaDR2	Gaia DR2 3953787429152384256	186.836206	+23.329849
      45	 45	186.909790	+25.912067	11.85	 0.06	-12.20	 0.10	 -9.30	 0.07	      	     	 6.63	b	GaiaDR2	Gaia DR2 4008390933229933184	186.909848	+25.912107
      46	 46	187.018831	+24.352081	11.87	 0.08	-12.05	 0.10	 -9.32	 0.09	      	     	15.22	b	GaiaDR2	Gaia DR2 3959922399093081216	187.018888	+24.352121
      47	 47	187.087900	+28.040541	12.02	 0.04	-12.66	 0.06	 -9.05	 0.06	 -0.11	 0.51	10.14	b	GaiaDR2	Gaia DR2 4009295144104998912	187.087962	+28.040580
      48	 48	187.144187	+29.544914	11.72	 0.15	-12.10	 0.27	 -8.75	 0.18	      	     	17.87	b	GaiaDR2	Gaia DR2 4011691010005942144	187.144247	+29.544952
      49	 49	187.235048	+26.549237	11.86	 0.05	-12.88	 0.07	 -9.24	 0.05	  1.30	 0.21	10.53	b	GaiaDR2	Gaia DR2 4008820429959330304	187.235110	+26.549277
      50	 50	187.333906	+24.742840	12.19	 0.09	-12.30	 0.17	 -8.40	 0.12	      	     	16.76	b	GaiaDR2	Gaia DR2 3960032041018245120	187.333964	+24.742876
      51	 51	187.334894	+28.434320	11.13	 0.09	-12.03	 0.15	 -8.40	 0.10	      	     	16.00	b	GaiaDR2	Gaia DR2 4010812263992578048	187.334953	+28.434356
      52	 52	187.353750	+21.780447	12.12	 0.04	-12.08	 0.06	 -9.82	 0.04	  0.55	 1.12	12.90	b	GaiaDR2	Gaia DR2 3952684039169530752	187.353806	+21.780489
      53	 53	187.420465	+24.520695	11.37	 0.04	-11.22	 0.06	 -8.60	 0.04	      	     	 9.49	b	GaiaDR2	Gaia DR2 3960008298439044864	187.420518	+24.520732
      54	 54	187.520231	+24.042717	11.36	 0.06	-11.99	 0.08	 -8.67	 0.07	      	     	14.48	b	GaiaDR2	Gaia DR2 3959841756787187456	187.520287	+24.042754
      55	 55	187.739054	+22.770798	12.13	 0.06	-12.38	 0.09	 -9.34	 0.09	      	     	13.94	b	GaiaDR2	Gaia DR2 3958947235358426496	187.739112	+22.770838
      56	 56	187.752276	+24.567127	12.00	 0.14	-12.41	 0.23	 -9.68	 0.27	      	     	 5.41	b	GaiaDR2	Gaia DR2 3959965486205062528	187.752335	+24.567169
      57	 57	187.762848	+27.730303	11.59	 0.06	-12.39	 0.08	 -8.57	 0.06	  0.46	 0.35	 8.43	b	GaiaDR2	Gaia DR2 4009041088198961152	187.762908	+27.730340
      58	 58	187.865490	+25.394365	11.91	 0.06	-11.98	 0.09	 -8.56	 0.06	      	     	13.97	b	GaiaDR2	Gaia DR2 3960449099522357376	187.865547	+25.394402
      59	 59	187.902105	+24.874192	11.54	 0.12	-11.85	 0.17	 -9.02	 0.16	      	     	16.80	b	GaiaDR2	Gaia DR2 3960046330373501696	187.902161	+24.874231
      60	 60	188.252548	+27.712391	12.15	 0.07	-13.01	 0.10	 -9.87	 0.08	 -0.17	 0.70	10.92	b	GaiaDR2	Gaia DR2 4010481375416160000	188.252611	+27.712434
      61	 61	188.392524	+24.282945	11.53	 0.08	-11.89	 0.09	 -9.00	 0.08	      	     	 6.23	b	GaiaDR2	Gaia DR2 3959212286380277632	188.392580	+24.282984
      62	 62	188.630763	+25.750043	11.87	 0.23	-13.16	 0.37	 -9.33	 0.19	 -0.52	 0.78	12.53	b	GaiaDR2	Gaia DR2 3960475762679374208	188.630826	+25.750083
      63	 63	188.689532	+27.386819	12.27	 0.16	-12.91	 0.21	 -9.44	 0.13	      	     	17.69	b	GaiaDR2	Gaia DR2 3962424475240656896	188.689595	+27.386860
      64	 64	188.822645	+24.465021	11.13	 0.03	-11.67	 0.05	 -7.82	 0.03	  1.12	 0.94	13.46	b	GaiaDR2	Gaia DR2 3959582478201258496	188.822700	+24.465055
      65	 65	188.891969	+25.017140	11.79	 0.09	-12.30	 0.13	 -8.42	 0.08	      	     	16.59	b	GaiaDR2	Gaia DR2 3959638140977409152	188.892027	+25.017176
      66	 66	188.967955	+27.844764	11.32	 0.13	-11.79	 0.19	 -8.55	 0.12	      	     	16.98	b	GaiaDR2	Gaia DR2 4010499895315622656	188.968012	+27.844801
      67	 67	189.036649	+29.802958	11.83	 0.11	-11.44	 0.15	-10.29	 0.12	      	     	15.40	b	GaiaDR2	Gaia DR2 4011331164761568512	189.036706	+29.803002
      68	 68	189.322573	+29.353203	11.63	 0.18	-11.80	 0.24	 -7.90	 0.17	      	     	17.83	b	GaiaDR2	Gaia DR2 4011113186581046528	189.322631	+29.353237
      69	 69	189.484558	+25.862558	11.68	 0.04	-12.70	 0.06	 -8.97	 0.04	      	     	14.04	b	GaiaDR2	Gaia DR2 3960536716855239936	189.484619	+25.862597
      70	 70	189.547673	+23.556103	11.45	 0.04	-12.04	 0.07	-10.34	 0.04	 -0.84	 1.84	12.98	b	GaiaDR2	Gaia DR2 3958873739878027392	189.547729	+23.556147
      71	 71	189.691788	+26.316168	11.22	 0.12	-12.21	 0.13	 -8.61	 0.09	      	     	16.30	b	GaiaDR2	Gaia DR2 3962066103169597184	189.691847	+26.316205
      72	 72	190.191200	+27.205961	11.72	 0.07	-12.76	 0.10	 -8.51	 0.06	      	     	15.31	b	GaiaDR2	Gaia DR2 3962261129044623232	190.191262	+27.205998
      73	 73	190.661850	+25.160360	11.07	 0.03	-11.26	 0.04	 -7.51	 0.03	      	     	13.70	b	GaiaDR2	Gaia DR2 3959503725681020032	190.661904	+25.160392
      74	 74	190.777383	+24.254746	11.86	 0.07	-12.18	 0.09	 -8.62	 0.06	      	     	15.15	b	GaiaDR2	Gaia DR2 3959379102909992576	190.777441	+24.254783
      75	 75	191.124895	+24.934042	12.12	 0.04	-12.22	 0.05	 -8.76	 0.04	      	     	13.78	b	GaiaDR2	Gaia DR2 3960936801648700928	191.124953	+24.934080
      76	 76	191.128788	+28.163670	12.03	 0.07	-12.72	 0.09	 -8.89	 0.06	      	     	15.16	b	GaiaDR2	Gaia DR2 3962716670455862528	191.128850	+28.163708
      77	 77	191.677212	+25.400059	11.44	 0.10	-11.95	 0.16	 -7.16	 0.12	      	     	17.17	b	GaiaDR2	Gaia DR2 3960979957480124544	191.677269	+25.400090
      78	 78	164.212295	+17.330554	 9.79	 0.17	-10.73	 0.29	 -8.26	 0.30	      	     	17.18	t	GaiaDR2	Gaia DR2 3982238224528846720	164.212343	+17.330589
      79	 79	165.493305	+20.033749	10.28	 0.07	-11.03	 0.12	 -8.92	 0.16	      	     	15.04	t	GaiaDR2	Gaia DR2 3985212884518948992	165.493356	+20.033787
      80	 80	166.639954	+14.234920	10.18	 0.04	-10.95	 0.07	 -9.10	 0.06	  1.77	 0.66	11.38	t	GaiaDR2	Gaia DR2 3968542604614202880	166.640003	+14.234959
      81	 81	168.564244	+09.241932	10.27	 0.12	-10.87	 0.18	 -7.36	 0.17	      	     	16.86	t	GaiaDR2	Gaia DR2 3819036609811244288	168.564291	+09.241964
      82	 82	170.489998	+23.773542	11.74	 0.13	-12.24	 0.22	-11.05	 0.20	      	     	16.99	t	GaiaDR2	Gaia DR2 3993604181167738112	170.490056	+23.773589
      83	 83	170.650944	+24.938736	11.15	 0.05	-11.52	 0.07	 -9.50	 0.08	  3.60	 1.22	12.93	t	GaiaDR2	Gaia DR2 3993835834523658368	170.650999	+24.938777
      84	 84	170.903621	+20.060898	10.81	 0.10	-11.85	 0.19	 -9.08	 0.13	      	     	15.72	t	GaiaDR2	Gaia DR2 3978084711980694656	170.903675	+20.060937
      85	 85	171.056012	+20.676757	10.52	 0.04	-11.52	 0.08	 -9.12	 0.07	  2.89	 0.64	12.16	t	GaiaDR2	Gaia DR2 3978702504371497856	171.056065	+20.676796
      86	 86	171.187158	+16.769818	10.26	 0.15	-11.58	 0.16	 -7.93	 0.16	      	     	16.47	t	GaiaDR2	Gaia DR2 3970663974861110656	171.187210	+16.769852
      87	 87	171.630235	+14.869563	11.09	 0.18	-12.65	 0.27	 -8.22	 0.23	      	     	15.06	t	GaiaDR2	Gaia DR2 3967135504608681216	171.630291	+14.869598
      88	 88	172.277000	+10.639551	10.43	 0.12	-10.99	 0.17	 -6.70	 0.14	      	     	16.07	t	GaiaDR2	Gaia DR2 3915486152052425472	172.277048	+10.639580
      89	 89	172.297647	+16.235776	10.97	 0.06	-11.28	 0.09	 -8.92	 0.08	      	     	14.59	t	GaiaDR2	Gaia DR2 3967388220484516224	172.297697	+16.235814
      90	 90	172.365761	+12.459608	11.80	 0.05	-13.23	 0.08	 -6.53	 0.06	-18.76	 0.49	 9.52	t	GaiaDR2	Gaia DR2 3917421842273106816	172.365819	+12.459636
      91	 91	172.816368	+13.315394	10.66	 0.11	-11.57	 0.17	 -6.73	 0.14	      	     	16.27	t	GaiaDR2	Gaia DR2 3965611615852422784	172.816419	+13.315423
      92	 92	172.981547	+27.785518	11.00	 0.11	-12.02	 0.13	 -9.21	 0.11	      	     	15.99	t	GaiaDR2	Gaia DR2 4018789014693472896	172.981606	+27.785558
      93	 93	173.670370	+23.334200	10.78	 0.07	-11.79	 0.07	 -9.10	 0.08	      	     	13.14	t	GaiaDR2	Gaia DR2 3981006148735077760	173.670425	+23.334239
      94	 94	174.215386	+20.542675	11.30	 0.06	-12.03	 0.09	 -9.40	 0.06	  2.27	 0.75	10.08	t	GaiaDR2	Gaia DR2 3979061872875506944	174.215441	+20.542716
      95	 95	174.364335	+24.546844	11.10	 0.19	-12.05	 0.26	-10.22	 0.54	      	     	16.67	t	GaiaDR2	Gaia DR2 3981181147178477056	174.364392	+24.546888
      96	 96	174.513775	+16.638915	11.27	 0.10	-11.80	 0.16	 -9.74	 0.14	      	     	15.65	t	GaiaDR2	Gaia DR2 3972716488192456832	174.513828	+16.638957
      97	 97	175.983759	+07.806255	10.74	 0.22	-13.05	 0.46	 -7.00	 0.32	      	     	18.27	t	GaiaDR2	Gaia DR2 3910169150043129088	175.983816	+07.806285
      98	 98	176.122872	+03.070249	10.72	 0.11	-13.05	 0.21	 -6.03	 0.13	      	     	16.80	t	GaiaDR2	Gaia DR2 3799834674320020480	176.122928	+03.070275
      99	 99	176.710723	+24.438111	11.58	 0.20	-11.35	 0.33	 -9.29	 0.25	      	     	17.78	t	GaiaDR2	Gaia DR2 4005007422418078848	176.710777	+24.438151
     100	100	177.157024	+28.275109	11.20	 0.04	-12.06	 0.06	 -9.36	 0.06	  0.50	 1.04	10.23	t	GaiaDR2	Gaia DR2 4019588600164776448	177.157083	+28.275149
     101	101	178.439612	+24.170946	11.86	 0.14	-11.87	 0.18	 -9.84	 0.15	      	     	16.66	t	GaiaDR2	Gaia DR2 4004386305722674944	178.439668	+24.170988
     102	102	178.708559	+14.888763	11.32	 0.36	-13.46	 0.55	 -7.36	 0.91	      	     	17.82	t	GaiaDR2	Gaia DR2 3923649162599782784	178.708619	+14.888795
     103	103	178.803973	+09.575230	10.41	 0.10	-11.36	 0.16	 -7.10	 0.11	      	     	15.71	t	GaiaDR2	Gaia DR2 3912171296294137344	178.804022	+09.575261
     104	104	178.877246	+25.475706	12.37	 0.04	-12.77	 0.06	 -9.63	 0.04	  1.56	 0.84	12.47	t	GaiaDR2	Gaia DR2 4004752992851572096	178.877307	+25.475747
     105	105	179.316335	+24.651387	11.86	 0.07	-12.32	 0.12	-10.85	 0.07	      	     	14.84	t	GaiaDR2	Gaia DR2 4004509451025280768	179.316393	+24.651434
     106	106	179.694971	+21.907838	11.46	 0.07	-11.65	 0.11	 -9.09	 0.09	      	     	15.16	t	GaiaDR2	Gaia DR2 4000505441994196352	179.695025	+21.907877
     107	107	179.725447	+23.852371	10.97	 0.06	-11.75	 0.12	 -8.79	 0.12	      	     	15.02	t	GaiaDR2	Gaia DR2 4001382061998604288	179.725502	+23.852409
