#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T05:40:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T05:40:47	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A+A/627/A4&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36270004
#Name: J/A+A/627/A4
#Title: Praesepe (NGC 2632) and its tidal tails (Roeser+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/627/a4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/627/a4	    IVOID of underlying data collection
#INFO	creator=Roeser S.	    First author or institution
#INFO	cites=bibcode:2019A&A...627A...4R	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/627/A4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36270004	    Dataset identifier that can be used for citation
#INFO	publication_date=2021-02-05	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_627_A4_stars:
#Name: J/A+A/627/A4/stars
#Title: All the stars shown in Figures 2 and 3
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Source	(I19)	Gaia DR2 source id (source_id)	[ucd=meta.id;meta.main]
#Column	RAICRS	(F12.8)	Gaia DR2 right ascension (ICRS at Ep=2015.5) rounded to 10^-8^ degrees	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	Gaia DR2 declination (ICRS at Ep=2015.5) rounded to 10^-8^ degrees	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F8.4)	G-band mean magnitude (Vega) (phot_g_mean_mag)	[ucd=phot.mag;em.opt.V]
#Column	dvpar	(F6.2)	Velocity parallel to the convergent point (1)	[ucd=phys.veloc]
#Column	vpero	(F6.2)	Velocity perpendicular to the convergent point (2)	[ucd=phys.veloc]
#Column	pcont	(E9.2)	Probability of being contaminated (3)	[ucd=stat.fit.goodness]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Source	RAICRS	DEICRS	Gmag	dvpar	vpero	pcont	Simbad	_RA.icrs	_DE.icrs
      23	 650709054541061632	123.55643669	+13.76381439	 17.8345	  1.99	 -0.61	 4.70e-05	Simbad	123.55643669	+13.76381439
      24	 657043414045814528	123.57470340	+17.50781034	 15.7255	 -6.76	  0.69	 5.61e-01	Simbad	123.57470340	+17.50781034
      25	 655606489786539136	123.64698915	+15.78108178	 14.5823	 -3.26	  0.06	 1.14e-01	Simbad	123.64698915	+15.78108178
      26	 655807666054243200	123.66243355	+16.52836364	 17.3579	  0.37	 -0.92	 0.00e+00	Simbad	123.66243355	+16.52836364
      27	 649007835174417792	123.98585954	+11.56737070	 18.9137	  2.27	 -0.88	 5.61e-01	Simbad	123.98585954	+11.56737070
      28	 676027989830332416	124.18540244	+21.59148707	 17.3730	  1.31	 -0.51	 0.00e+00	Simbad	124.18540244	+21.59148707
      29	 675767959626673152	124.23395535	+20.82940101	 17.1851	  1.27	 -0.15	 0.00e+00	Simbad	124.23395535	+20.82940101
      30	3096496842882019328	124.23725959	+06.37770112	 17.8959	  0.62	 -1.19	 1.14e-01	Simbad	124.23725959	+06.37770112
      31	 676494663796266112	124.32832310	+22.14020122	 18.3025	 -0.83	 -0.36	 0.00e+00	Simbad	124.32832310	+22.14020122
      32	 656149304932599808	124.33194803	+16.76656572	 15.3367	 -0.27	 -0.52	 1.46e-02	Simbad	124.33194803	+16.76656572
      33	1091644317138659200	124.35874085	+64.20916886	 17.7052	 -3.66	  0.73	 1.46e-02	Simbad	124.35874085	+64.20916886
      34	 663570183787134336	124.43362901	+19.88693948	 16.1741	  0.96	 -0.47	 0.00e+00	Simbad	124.43362901	+19.88693948
      35	 656145800239280896	124.43513785	+16.71994014	 17.5602	 -1.86	  0.12	 0.00e+00	Simbad	124.43513785	+16.71994014
      36	 657215552037068544	124.43805956	+18.38237802	 18.0949	  0.40	 -0.62	 0.00e+00	Simbad	124.43805956	+18.38237802
      37	 652212469190268928	124.44901841	+14.44230892	 16.5593	  1.35	 -0.55	 4.70e-05	Simbad	124.44901841	+14.44230892
      38	 655444925999562368	124.54830703	+15.59860582	 18.7902	  3.24	 -0.12	 5.61e-01	Simbad	124.54830703	+15.59860582
      39	 676498997419535360	124.60894744	+22.22036133	  8.6095	  4.71	 -0.27	 0.00e+00	Simbad	124.60894744	+22.22036133
      40	3063100478563614336	124.66183586	-07.82264567	 18.5648	 -4.73	  1.78	 5.61e-01	Simbad	124.66183586	-07.82264567
      41	3097078931209934720	124.66558381	+06.81475381	 15.8707	 -3.16	  0.01	 1.14e-01	Simbad	124.66558381	+06.81475381
      42	 652408491498497280	124.70797201	+15.03965322	 16.4192	  0.80	 -0.13	 0.00e+00	Simbad	124.70797201	+15.03965322
      43	1097534950683997568	124.72364070	+69.58248073	 15.5975	 -2.82	  0.14	 1.14e-01	Simbad	124.72364070	+69.58248073
      44	 676181238560019456	124.73580309	+21.28939198	 17.9099	  1.00	  0.02	 0.00e+00	Simbad	124.73580309	+21.28939198
      45	 600604691916568704	124.84219217	+10.12923085	 18.7900	 -2.95	 -0.66	 1.14e-01	Simbad	124.84219217	+10.12923085
      46	 652026136329044736	124.94316282	+14.20822158	 14.5012	  0.27	 -0.64	 1.00e-06	Simbad	124.94316282	+14.20822158
      47	 649104046738317056	124.95070735	+11.10765752	 17.3230	  0.39	 -0.36	 1.00e-06	Simbad	124.95070735	+11.10765752
      48	 901836930504845952	124.99328509	+34.02322075	 16.1265	 -0.82	  0.80	 0.00e+00	Simbad	124.99328509	+34.02322075
      49	 677416849110496128	125.03294857	+23.29528722	 16.8919	  0.78	 -0.97	 0.00e+00	Simbad	125.03294857	+23.29528722
      50	 651928657751421824	125.10308616	+13.73928262	 17.2064	  0.07	 -0.84	 0.00e+00	Simbad	125.10308616	+13.73928262
      51	 649107684574424320	125.15956439	+11.12574196	 16.2848	  2.21	 -0.40	 1.14e-01	Simbad	125.15956439	+11.12574196
      52	 676211818727121152	125.18940714	+21.51886290	 14.4156	  0.90	 -0.24	 0.00e+00	Simbad	125.18940714	+21.51886290
      53	 663188618891753600	125.20462416	+18.73869319	  9.2995	  1.46	 -0.69	 0.00e+00	Simbad	125.20462416	+18.73869319
      54	 649562783605822976	125.25203072	+12.69007906	  9.5154	  0.96	  0.12	 0.00e+00	Simbad	125.25203072	+12.69007906
      55	 655945379886042496	125.25744868	+16.49836239	 13.8635	  1.00	 -0.11	 0.00e+00	Simbad	125.25744868	+16.49836239
      56	 663586916979906944	125.35911770	+19.70530782	 17.3444	  0.34	 -0.53	 0.00e+00	Simbad	125.35911770	+19.70530782
      57	 682980274867629184	125.36508809	+27.04280648	 15.6313	  0.53	  0.28	 0.00e+00	Simbad	125.36508809	+27.04280648
      58	 651156147752395008	125.44742119	+13.45408412	 13.6711	  1.49	 -0.57	 0.00e+00	Simbad	125.44742119	+13.45408412
      59	 663386977661550336	125.45959955	+19.48901240	  8.6882	 -0.66	  0.60	 0.00e+00	Simbad	125.45959955	+19.48901240
      60	 656076049970673920	125.51871690	+17.06645520	 16.3774	  1.62	 -0.71	 0.00e+00	Simbad	125.51871690	+17.06645520
      61	 649539625142292480	125.53526727	+12.41305768	 16.1855	  1.91	 -0.65	 4.70e-05	Simbad	125.53526727	+12.41305768
      62	 651180268288716672	125.54962187	+13.52230014	 16.5412	  0.51	  0.04	 0.00e+00	Simbad	125.54962187	+13.52230014
      63	 664084892667242496	125.61162091	+20.78736898	 16.0261	  0.74	 -0.63	 0.00e+00	Simbad	125.61162091	+20.78736898
      64	3093307468887964160	125.61890973	+05.21578505	 18.3306	 -4.70	  0.79	 5.61e-01	Simbad	125.61890973	+05.21578505
      65	 663427109835880192	125.62903610	+19.89569889	 10.5533	 -0.88	  0.59	 0.00e+00	Simbad	125.62903610	+19.89569889
      66	 663200850958665088	125.71404201	+18.80065428	 17.1369	  0.09	 -1.24	 0.00e+00	Simbad	125.71404201	+18.80065428
      67	 676263049100512256	125.71525258	+21.66946260	 15.6884	 -0.27	 -0.62	 0.00e+00	Simbad	125.71525258	+21.66946260
      68	 676263049100512384	125.71590003	+21.66968813	 15.5599	  1.94	 -0.25	 0.00e+00	Simbad	125.71590003	+21.66968813
      69	 652118216130748672	125.75785113	+14.41455102	 18.2750	 -0.10	 -0.34	 0.00e+00	Simbad	125.75785113	+14.41455102
      70	 662447371959881728	125.77722714	+18.65609398	 10.0341	  1.86	  0.55	 0.00e+00	Simbad	125.77722714	+18.65609398
      71	 649355491303446528	125.81886176	+12.41501760	 17.4655	  2.78	 -0.36	 1.14e-01	Simbad	125.81886176	+12.41501760
      72	 652172096497316864	125.88346872	+14.91976944	 17.3479	 -0.14	  0.09	 0.00e+00	Simbad	125.88346872	+14.91976944
      73	 930229241311375616	125.90203613	+46.64765942	 17.5377	 -1.42	  0.37	 5.72e-04	Simbad	125.90203613	+46.64765942
      74	3096944996949707008	125.98308700	+06.93786817	 15.0635	  0.93	 -0.92	 5.72e-04	Simbad	125.98308700	+06.93786817
      75	3090234020354964992	125.98819791	+02.48995416	 17.4141	 -4.31	  1.01	 5.61e-01	Simbad	125.98819791	+02.48995416
      76	 915506540097573248	126.00870443	+41.28164583	 17.9752	 -0.68	  0.83	 5.61e-01	Simbad	126.00870443	+41.28164583
      77	 708393115321906816	126.03233719	+30.13111587	 13.8418	 -0.34	  0.57	 0.00e+00	Simbad	126.03233719	+30.13111587
      78	5753188583680600320	126.08750442	-08.03074043	 12.9521	 -4.65	  1.52	 5.61e-01	Simbad	126.08750442	-08.03074043
      79	 600312492404968832	126.08975864	+09.73357784	 18.5191	 -3.49	 -0.25	 1.14e-01	Simbad	126.08975864	+09.73357784
      80	 662428512760038528	126.10362308	+18.53136054	  9.8399	 -0.43	 -0.85	 0.00e+00	Simbad	126.10362308	+18.53136054
      81	 680005717957464704	126.11968973	+26.81512199	 11.6430	 -1.17	  0.13	 0.00e+00	Simbad	126.11968973	+26.81512199
      82	 600742577546401664	126.13351316	+10.01519681	 15.8518	  0.03	 -0.21	 5.61e-01	Simbad	126.13351316	+10.01519681
      83	 676256486390524288	126.13751821	+21.73936411	  9.8440	  0.57	 -0.03	 0.00e+00	Simbad	126.13751821	+21.73936411
      84	 914334220184139648	126.23307379	+39.68113437	 16.5866	 -0.82	  0.22	 5.61e-01	Simbad	126.23307379	+39.68113437
      85	 707388982031453568	126.26635932	+28.52193998	 18.1186	  0.96	  0.05	 0.00e+00	Simbad	126.26635932	+28.52193998
      86	3093432327880550784	126.26941715	+05.04578645	 12.6379	  0.03	 -0.79	 1.46e-02	Simbad	126.26941715	+05.04578645
      87	 662114460454651648	126.30706818	+17.61252079	 18.3184	 -1.51	  0.93	 0.00e+00	Simbad	126.30706818	+17.61252079
      88	 662538498282258176	126.31707728	+18.91082970	 18.7590	 -2.26	 -0.71	 0.00e+00	Simbad	126.31707728	+18.91082970
      89	 663805754152866688	126.35412043	+20.22155051	 15.4411	 -0.58	 -1.50	 0.00e+00	Simbad	126.35412043	+20.22155051
      90	 653008000212376960	126.39082992	+16.64463216	 17.4891	  1.01	 -1.16	 0.00e+00	Simbad	126.39082992	+16.64463216
      91	 664164607259059328	126.39871711	+21.10230241	 17.2424	 -0.79	 -0.22	 0.00e+00	Simbad	126.39871711	+21.10230241
      92	 678340400221526016	126.43531491	+24.26654389	 11.9604	  0.14	  0.20	 0.00e+00	Simbad	126.43531491	+24.26654389
      93	 663800698974475008	126.45805244	+20.11728295	 19.0057	  4.19	 -0.07	 0.00e+00	Simbad	126.45805244	+20.11728295
      94	 677917607937780224	126.47642836	+22.98112872	 14.1278	 -0.44	  0.09	 0.00e+00	Simbad	126.47642836	+22.98112872
      95	 664145056569128320	126.48866508	+20.88298348	 16.8709	 -2.25	 -1.66	 5.72e-04	Simbad	126.48866508	+20.88298348
      96	1093271353829635200	126.52735864	+65.29032816	 17.2596	 -2.69	  0.15	 1.46e-02	Simbad	126.52735864	+65.29032816
      97	 599508646326244480	126.55152064	+09.12147563	 18.5969	  1.65	 -0.88	 1.14e-01	Simbad	126.55152064	+09.12147563
      98	 653021709747963520	126.55570419	+16.91819462	 12.9395	  0.04	 -0.47	 0.00e+00	Simbad	126.55570419	+16.91819462
      99	 663726280078225152	126.57256140	+19.72652510	 16.8109	  0.25	 -0.08	 0.00e+00	Simbad	126.57256140	+19.72652510
     100	 680008604175536128	126.57475953	+26.66124365	 15.4203	  0.26	  0.36	 0.00e+00	Simbad	126.57475953	+26.66124365
     101	3078189729465094784	126.57871168	+02.07694487	 18.5556	 -4.60	  0.93	 5.61e-01	Simbad	126.57871168	+02.07694487
     102	 663718858374747648	126.59688180	+19.55100100	 17.7413	  0.67	  0.49	 0.00e+00	Simbad	126.59688180	+19.55100100
     103	 652908356971343872	126.61031850	+16.10426299	 17.1865	  1.15	 -0.38	 0.00e+00	Simbad	126.61031850	+16.10426299
     104	 653017449140403840	126.66389111	+16.86464248	 12.7931	  0.07	 -0.19	 0.00e+00	Simbad	126.66389111	+16.86464248
     105	 651253145293821824	126.67615903	+13.94100858	 16.7284	  2.79	 -0.16	 1.14e-01	Simbad	126.67615903	+13.94100858
     106	 677845727365213312	126.69418202	+22.57505191	 16.4079	 -1.60	  0.41	 0.00e+00	Simbad	126.69418202	+22.57505191
     107	 651308258314059264	126.70674975	+14.10873091	 16.0803	  1.35	 -0.06	 0.00e+00	Simbad	126.70674975	+14.10873091
     108	 664254595414894848	126.75315979	+21.56627290	 18.4544	  0.95	 -1.24	 0.00e+00	Simbad	126.75315979	+21.56627290
     109	 662045092440012288	126.77812541	+17.32255310	 14.4477	 -0.11	 -0.38	 0.00e+00	Simbad	126.77812541	+17.32255310
     110	1123117390806672512	126.79338869	+72.95063659	 16.5673	 -3.71	 -0.02	 1.14e-01	Simbad	126.79338869	+72.95063659
     111	 652996141805564288	126.79663784	+16.55429689	 12.8535	  1.09	  0.16	 0.00e+00	Simbad	126.79663784	+16.55429689
     112	 663834856851415040	126.81323368	+20.37890113	 12.6153	 -0.17	 -0.34	 0.00e+00	Simbad	126.81323368	+20.37890113
     113	 652949348139055488	126.81963863	+16.55493751	 16.1615	 -0.51	  0.31	 0.00e+00	Simbad	126.81963863	+16.55493751
     114	 678033881297665920	126.84911862	+23.45274803	 18.0883	  0.08	  0.17	 0.00e+00	Simbad	126.84911862	+23.45274803
     115	 903191047793849600	126.86574929	+34.17702528	 14.8343	  3.02	 -0.96	 5.61e-01	Simbad	126.86574929	+34.17702528
     116	 663781564897118592	126.87757220	+20.21822434	 13.5464	  0.52	 -0.53	 0.00e+00	Simbad	126.87757220	+20.21822434
     117	5752829215177081088	126.91519173	-09.02685015	 17.5115	 -5.56	  1.64	 5.61e-01	Simbad	126.91519173	-09.02685015
     118	 602738393013021440	126.95650240	+12.19167685	 18.0002	 -3.83	 -0.49	 1.14e-01	Simbad	126.95650240	+12.19167685
     119	 663782904926907392	126.96070952	+20.24335854	 13.8494	  0.36	 -0.39	 0.00e+00	Simbad	126.96070952	+20.24335854
     120	 663002663987903872	126.96216630	+19.80571391	 15.1018	 -0.76	  0.29	 0.00e+00	Simbad	126.96216630	+19.80571391
     121	 652946908597734912	126.97404620	+16.51799783	 15.5275	 -0.07	 -0.47	 1.46e-02	Simbad	126.97404620	+16.51799783
     122	 663755485855805568	127.00397559	+19.90473792	 12.5136	  0.15	  0.39	 0.00e+00	Simbad	127.00397559	+19.90473792
     123	 652498166117194368	127.01977857	+14.97536348	 18.0133	 -1.93	 -0.15	 0.00e+00	Simbad	127.01977857	+14.97536348
     124	 678709393749852416	127.05312396	+24.45045601	 14.5194	 -0.24	  0.33	 0.00e+00	Simbad	127.05312396	+24.45045601
     125	 650990396374509568	127.05536201	+13.14068349	 10.3647	 -2.98	  0.12	 1.00e-06	Simbad	127.05536201	+13.14068349
     126	 662254137087810816	127.06603921	+18.20772080	 17.7165	  0.25	 -0.48	 0.00e+00	Simbad	127.06603921	+18.20772080
     127	 662899481693765632	127.08401125	+19.25849342	 17.2105	  1.73	 -0.66	 0.00e+00	Simbad	127.08401125	+19.25849342
     128	 663883132283474560	127.10258759	+20.46491942	 18.6492	 -0.25	 -0.75	 0.00e+00	Simbad	127.10258759	+20.46491942
     129	 651725626056126720	127.13530736	+14.59873147	 15.2877	  2.81	  0.03	 0.00e+00	Simbad	127.13530736	+14.59873147
     130	3092645524231950976	127.15622707	+04.71921802	 16.7613	  0.32	 -0.88	 5.72e-04	Simbad	127.15622707	+04.71921802
     131	 662998983199228032	127.16605250	+19.72863056	 18.2957	 -0.35	 -0.30	 0.00e+00	Simbad	127.16605250	+19.72863056
     132	 663011734958828416	127.20785256	+19.98893405	 15.1549	  0.01	  0.11	 0.00e+00	Simbad	127.20785256	+19.98893405
     133	 663991846495546496	127.20932236	+21.12804311	 17.0528	  0.54	  0.48	 0.00e+00	Simbad	127.20932236	+21.12804311
     134	1033710121756896384	127.21833852	+55.64343036	 13.8472	 -1.31	 -0.46	 1.14e-01	Simbad	127.21833852	+55.64343036
     135	 663890171733055488	127.22482217	+20.57813923	 12.3735	  0.02	  2.08	 1.46e-02	Simbad	127.22482217	+20.57813923
     136	 662932260884134272	127.30612455	+19.47994362	 11.0424	 -0.03	 -0.12	 0.00e+00	Simbad	127.30612455	+19.47994362
     137	3092595290294339584	127.31500869	+04.60732456	 18.5030	 -0.44	 -1.05	 1.14e-01	Simbad	127.31500869	+04.60732456
     138	1093716552959714816	127.31864647	+67.12222587	 13.3028	 -2.32	  0.91	 1.46e-02	Simbad	127.31864647	+67.12222587
     139	 662172429630090880	127.32405067	+17.70312891	 15.8973	  0.81	  0.10	 0.00e+00	Simbad	127.32405067	+17.70312891
     140	 663916289430964480	127.32846856	+20.71793544	 15.9894	  3.02	 -0.75	 0.00e+00	Simbad	127.32846856	+20.71793544
     141	 662227439571084032	127.33561023	+18.17933447	 16.9962	 -0.74	  0.39	 0.00e+00	Simbad	127.33561023	+18.17933447
     142	3092684763052816384	127.36242276	+05.05520773	 15.0573	  0.39	 -0.92	 5.72e-04	Simbad	127.36242276	+05.05520773
     143	 602757123366524928	127.36436969	+12.31117178	 17.5067	  1.27	 -0.07	 1.00e-06	Simbad	127.36436969	+12.31117178
     144	 663981126257232768	127.36638098	+21.14392614	 15.0881	  0.36	 -0.23	 0.00e+00	Simbad	127.36638098	+21.14392614
     145	5753045230556804992	127.38037738	-08.12024124	 18.0805	 -5.10	  1.84	 5.61e-01	Simbad	127.38037738	-08.12024124
     146	 662284369360831232	127.46170580	+18.39904147	 19.0504	 -2.27	  0.33	 0.00e+00	Simbad	127.46170580	+18.39904147
     147	 665810301288657920	127.47331580	+22.44224283	  9.7607	  0.58	 -0.10	 5.61e-01	Simbad	127.47331580	+22.44224283
     148	 662930091923625216	127.49440597	+19.48299077	 18.9031	 -2.06	  0.44	 0.00e+00	Simbad	127.49440597	+19.48299077
     149	 662182909350261632	127.51208636	+17.95050808	 17.9476	 -1.96	 -0.48	 0.00e+00	Simbad	127.51208636	+17.95050808
     150	 662227022957355520	127.52484146	+18.27947137	 18.4336	 -1.13	 -0.73	 0.00e+00	Simbad	127.52484146	+18.27947137
     151	 662239224961307520	127.55862248	+18.42213744	 16.5943	 -6.67	  0.91	 5.61e-01	Simbad	127.55862248	+18.42213744
     152	 652643129853607424	127.57111460	+15.66245312	 17.9558	 -0.78	  0.35	 0.00e+00	Simbad	127.57111460	+15.66245312
     153	 662235170512361856	127.65261717	+18.37721668	 17.6938	 -1.76	  0.21	 0.00e+00	Simbad	127.65261717	+18.37721668
     154	 659151177834641152	127.66088049	+17.47202006	 15.1635	  0.50	 -0.19	 0.00e+00	Simbad	127.66088049	+17.47202006
     155	 595700354659928448	127.67025401	+06.68583757	  9.9516	  0.89	 -0.86	 5.72e-04	Simbad	127.67025401	+06.68583757
     156	 662915940008482304	127.67726459	+19.37518642	 17.8237	  1.02	  0.08	 0.00e+00	Simbad	127.67726459	+19.37518642
     157	 665507969950936064	127.70197059	+21.61250855	 18.2288	  1.91	 -0.18	 0.00e+00	Simbad	127.70197059	+21.61250855
     158	 662912813272290688	127.71243475	+19.35240892	 14.1304	 -0.05	  0.19	 0.00e+00	Simbad	127.71243475	+19.35240892
     159	 679669714077156224	127.71294336	+25.86966537	 17.3622	  1.46	 -0.21	 0.00e+00	Simbad	127.71294336	+25.86966537
     160	 662677758301970688	127.71403882	+18.89760194	 17.2985	  2.27	  0.02	 0.00e+00	Simbad	127.71403882	+18.89760194
