#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T05:40:47 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T05:40:47	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A+A/621/L2&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36219002
#Name: J/A+A/621/L2
#Title: Hyades tidal tails revealed by Gaia DR2 (Roeser+, 2019)
#INFO	ivoid=ivo://cds.vizier/j/a+a/621/l2	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/621/l2	    IVOID of underlying data collection
#INFO	creator=Roeser S.	    First author or institution
#INFO	cites=bibcode:2019A&A...621L...2R	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2019	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/621/L2	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36219002	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-05-04	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2015.500:	ICRS
#Table	J_A_A_621_L2_stars:
#Name: J/A+A/621/L2/stars
#Title: All the star shown in Figures 3a to 3c
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Source	(I19)	Gaia DR2 source id (source_id)	[ucd=meta.id;meta.main]
#Column	RAICRS	(F12.8)	Gaia DR2 right ascension (ICRS at Ep=2015.5) rounded to 10^-8^ degrees	[ucd=pos.eq.ra;meta.main]
#Column	DEICRS	(F12.8)	Gaia DR2 declination (ICRS at Ep=2015.5) rounded to 10^-8^ degrees	[ucd=pos.eq.dec;meta.main]
#Column	Gmag	(F10.6)	G-band mean magnitude (Vega) (phot_g_mean_mag)	[ucd=phot.mag;em.opt]
#Column	Member	(A8)	Membership to subgroups (1)	[ucd=meta.code.member]
#Column	Comment	(a8)	Comment may take the values (2)	[ucd=meta.note;stat.value]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F12.8)	Right ascension (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F12.8)	Declination (ICRS) at Epoch=J2015.5 (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Source	RAICRS	DEICRS	Gmag	Member	Comment	Simbad	_RA.icrs	_DE.icrs
      25	 367239086996534400	012.21983355	+37.09114831	 11.627767	Pr_tail 	 -      	Simbad	012.21983355	+37.09114831
      26	 415147351243290112	012.74010425	+51.50803547	  6.308087	Pr_tail 	 -      	Simbad	012.74010425	+51.50803547
      27	 378086525121240576	013.52629447	+46.81551711	 14.843886	Pr_tail 	 Contam.	Simbad	013.52629447	+46.81551711
      28	2808766710160351872	013.70199798	+27.51773697	 13.477361	Pr_tail 	 -      	Simbad	013.70199798	+27.51773697
      29	 311239929001364224	014.35953216	+29.54308589	 14.682756	Pr_tail 	 -      	Simbad	014.35953216	+29.54308589
      30	 364509789898916352	014.78552764	+37.87766092	 14.401973	Pr_tail 	 -      	Simbad	014.78552764	+37.87766092
      31	2469397051768781440	014.95560624	-12.24063953	 12.402334	other   	 -      	Simbad	014.95560624	-12.24063953
      32	 362721124998424832	015.05900156	+34.06825539	 14.817126	Pr_tail 	 -      	Simbad	015.05900156	+34.06825539
      33	 370746700888108032	015.32916501	+38.54172609	 13.227100	Pr_tail 	 -      	Simbad	015.32916501	+38.54172609
      34	 363645779917808768	015.56356825	+36.86187304	 15.025001	Pr_tail 	 -      	Simbad	015.56356825	+36.86187304
      35	 306637167168935168	016.13672278	+26.12023218	  9.516579	Pr_tail 	 -      	Simbad	016.13672278	+26.12023218
      36	2475216801174105984	017.16317860	-07.65147776	 14.247604	other   	 -      	Simbad	017.16317860	-07.65147776
      37	 403382576824627840	017.71308179	+49.46627305	 14.531852	Pr_tail 	 -      	Simbad	017.71308179	+49.46627305
      38	 411601907281189504	017.77737841	+55.14981561	  4.261586	Pr_tail 	 -      	Simbad	017.77737841	+55.14981561
      39	 313665344278621696	017.88801977	+32.30684851	 10.616035	Pr_tail 	 -      	Simbad	017.88801977	+32.30684851
      40	2538451703458011264	018.19982155	+01.91117623	 12.665434	Pr_tail 	 -      	Simbad	018.19982155	+01.91117623
      41	2471370812579829632	018.26860756	-10.50432954	 16.274717	other   	 -      	Simbad	018.26860756	-10.50432954
      42	 307243925788826240	018.43526005	+27.62640017	 14.010900	Pr_tail 	 -      	Simbad	018.43526005	+27.62640017
      43	 398417285391565440	018.95493970	+47.04047623	 15.483503	Pr_tail 	 -      	Simbad	018.95493970	+47.04047623
      44	 320067392465103872	019.07212435	+34.08612791	 15.941522	Pr_tail 	 -      	Simbad	019.07212435	+34.08612791
      45	 398400277321217408	019.24509916	+46.89566324	 15.935325	Pr_tail 	 -      	Simbad	019.24509916	+46.89566324
      46	 398400277321218944	019.24892451	+46.88979098	 11.271255	Pr_tail 	 -      	Simbad	019.24892451	+46.88979098
      47	 410312901693849856	019.60889652	+53.69149879	 15.347610	Pr_tail 	 -      	Simbad	019.60889652	+53.69149879
      48	 397900721085561984	019.67170226	+45.47630759	 14.079801	Pr_tail 	 -      	Simbad	019.67170226	+45.47630759
      49	 293605068161883776	020.37402544	+24.33060808	 10.023787	Pr_tail 	 -      	Simbad	020.37402544	+24.33060808
      50	 398125914810267904	020.43808270	+46.20611592	  9.974478	Pr_tail 	 -      	Simbad	020.43808270	+46.20611592
      51	2455555226871440896	021.18162356	-13.71286463	 15.427321	other   	 -      	Simbad	021.18162356	-13.71286463
      52	2455555162448093184	021.20132488	-13.72713806	 10.815058	other   	 -      	Simbad	021.20132488	-13.72713806
      53	2590169844209007488	021.42590971	+13.65627561	 15.314406	Pr_tail 	 -      	Simbad	021.42590971	+13.65627561
      54	 510204838754613632	021.45652902	+60.23507386	  2.521954	Pr_tail 	 -      	Simbad	021.45652902	+60.23507386
      55	 323180144243188736	021.77330083	+37.90419075	 13.892859	Pr_tail 	 -      	Simbad	021.77330083	+37.90419075
      56	2457254698186778880	022.60064607	-12.37785508	 13.575210	other   	 -      	Simbad	022.60064607	-12.37785508
      57	 302952222668012032	023.58195967	+29.33250782	 16.085403	Pr_tail 	 -      	Simbad	023.58195967	+29.33250782
      58	 399476385670417152	023.66371071	+48.29212712	 12.784737	Pr_tail 	 -      	Simbad	023.66371071	+48.29212712
      59	 302988094234898688	024.07514349	+29.68175314	 13.473024	Pr_tail 	 -      	Simbad	024.07514349	+29.68175314
      60	 288861019085346816	024.16589242	+21.56311198	  8.925569	Pr_tail 	 -      	Simbad	024.16589242	+21.56311198
      61	 347155648121929472	024.28163704	+40.28133706	 15.543949	Pr_tail 	 -      	Simbad	024.28163704	+40.28133706
      62	 322736078984855424	024.45349031	+38.39209603	 13.611396	Pr_tail 	 -      	Simbad	024.45349031	+38.39209603
      63	 407155997651981824	024.76017510	+52.19146382	 15.268882	Pr_tail 	 Contam.	Simbad	024.76017510	+52.19146382
      64	 405354340472800640	025.56528944	+48.76166645	 16.085924	Pr_tail 	 -      	Simbad	025.56528944	+48.76166645
      65	 347471207961250048	026.52247138	+41.51354842	 13.706417	Pr_tail 	 -      	Simbad	026.52247138	+41.51354842
      66	 349575638856447872	026.95596829	+44.50241061	 17.166445	Pr_tail 	 -      	Simbad	026.95596829	+44.50241061
      67	 505743845203083136	027.22350976	+57.23019330	 16.633568	Pr_tail 	 -      	Simbad	027.22350976	+57.23019330
      68	 344323752846715520	027.31408099	+40.12571398	 14.746485	Pr_tail 	 -      	Simbad	027.31408099	+40.12571398
      69	 344323787206453376	027.31513192	+40.12879211	 13.387084	Pr_tail 	 -      	Simbad	027.31513192	+40.12879211
      70	  98753362698701184	028.33745442	+23.44475048	 11.656016	Pr_tail 	 -      	Simbad	028.33745442	+23.44475048
      71	2511235633868627712	028.37995414	+01.79904054	 14.205923	Pr_tail 	 -      	Simbad	028.37995414	+01.79904054
      72	 304483052091651200	028.41441250	+32.32281946	 16.425137	Pr_tail 	 -      	Simbad	028.41441250	+32.32281946
      73	2512515156165604096	028.45809016	+03.22294713	 13.735098	Pr_tail 	 -      	Simbad	028.45809016	+03.22294713
      74	 345680648977744896	029.69064909	+40.82874546	 13.988750	Pr_tail 	 -      	Simbad	029.69064909	+40.82874546
      75	 330803122782177024	030.59924711	+37.49613841	 12.914194	Pr_tail 	 -      	Simbad	030.59924711	+37.49613841
      76	 356805237047259648	030.79122471	+48.62018618	  7.573830	Pr_tail 	 -      	Simbad	030.79122471	+48.62018618
      77	  94546596851142400	030.87118390	+21.57125231	 15.269520	Pr_tail 	 -      	Simbad	030.87118390	+21.57125231
      78	  93316174620198656	032.37851039	+19.68778736	 16.634510	Pr_tail 	 -      	Simbad	032.37851039	+19.68778736
      79	  99485190766206464	032.80812513	+20.97280565	 14.643285	Pr_tail 	 -      	Simbad	032.80812513	+20.97280565
      80	 100254161710940928	032.84771512	+21.37728832	  7.152471	Pr_tail 	 -      	Simbad	032.84771512	+21.37728832
      81	 327741674389296128	034.72865357	+35.21808036	 11.109676	Pr_tail 	 -      	Simbad	034.72865357	+35.21808036
      82	 331611611723173760	035.10717846	+37.79156003	 11.588779	Pr_tail 	 -      	Simbad	035.10717846	+37.79156003
      83	 355424490960702208	036.30201353	+49.79368788	 10.695088	Pr_tail 	 -      	Simbad	036.30201353	+49.79368788
      84	 328643239565641856	036.41173269	+37.54246595	 12.646716	Pr_tail 	 -      	Simbad	036.41173269	+37.54246595
      85	 102644190752380928	036.44915310	+24.58983844	 14.624052	Pr_tail 	 -      	Simbad	036.44915310	+24.58983844
      86	 341435778180966528	036.86189378	+44.41448504	 15.111005	Pr_tail 	 -      	Simbad	036.86189378	+44.41448504
      87	 340414641116009984	038.27498707	+43.60184054	 16.877817	Pr_tail 	 -      	Simbad	038.27498707	+43.60184054
      88	 327351657000000128	038.62425132	+36.21948846	 16.161991	Pr_tail 	 -      	Simbad	038.62425132	+36.21948846
      89	 335471859608962304	038.76447348	+41.07804601	 14.528516	Pr_tail 	 -      	Simbad	038.76447348	+41.07804601
      90	2495442626804315392	039.17540441	-03.15588616	  7.843356	Pr_tail 	 -      	Simbad	039.17540441	-03.15588616
      91	 333352997622849792	039.22860206	+36.51484956	 15.479027	Pr_tail 	 -      	Simbad	039.22860206	+36.51484956
      92	 334347918207101440	040.29050409	+39.60299254	 14.818647	Pr_tail 	 -      	Simbad	040.29050409	+39.60299254
      93	 438763211739771008	042.20629827	+49.69983587	 13.388128	Pr_tail 	 -      	Simbad	042.20629827	+49.69983587
      94	 140340019198296320	044.17296436	+35.37599946	 12.512383	Pr_tail 	 -      	Simbad	044.17296436	+35.37599946
      95	 129070265532645888	044.44539811	+29.66126857	  8.671929	Pr_tail 	 -      	Simbad	044.44539811	+29.66126857
      96	 108421608959951488	044.52283212	+20.66859785	  5.679542	Pr_tail 	 -      	Simbad	044.52283212	+20.66859785
      97	 108421402801188864	044.52685623	+20.66703934	 13.472510	Pr_tail 	 -      	Simbad	044.52685623	+20.66703934
      98	 109850424320397440	044.56653675	+22.48206747	 15.213109	Pr_tail 	 -      	Simbad	044.56653675	+22.48206747
      99	   8479094371605632	045.01314170	+07.74984630	  7.708431	Pr_tail 	 -      	Simbad	045.01314170	+07.74984630
     100	 142132596813836160	045.45227457	+37.55533672	 14.357875	Pr_tail 	 -      	Simbad	045.45227457	+37.55533672
     101	  60040176760223744	045.54158888	+19.52038106	 12.538568	Pr_tail 	 -      	Simbad	045.54158888	+19.52038106
     102	 441010854026719232	045.63247304	+52.68649275	 15.137765	Pr_tail 	 -      	Simbad	045.63247304	+52.68649275
     103	5152365363828101632	045.66038892	-18.16561473	 10.757421	Tr_tail 	 -      	Simbad	045.66038892	-18.16561473
     104	3266760032372995072	046.00967177	+00.76436000	 15.543020	Pr_tail 	 -      	Simbad	046.00967177	+00.76436000
     105	  60096629810337024	046.39926520	+19.56850426	 13.686358	Cluster 	 -      	Simbad	046.39926520	+19.56850426
     106	  34762198279394048	046.41235533	+16.97605140	 16.494757	Cluster 	 -      	Simbad	046.41235533	+16.97605140
     107	  27821118811895808	046.56357376	+12.09848775	 14.601868	Pr_tail 	 -      	Simbad	046.56357376	+12.09848775
     108	  34772746719056128	046.61011429	+17.22470322	 13.996492	Pr_tail 	 -      	Simbad	046.61011429	+17.22470322
     109	  29720761371785216	047.68155765	+13.64319380	 12.562944	Cluster 	 -      	Simbad	047.68155765	+13.64319380
     110	 110348743606461312	047.98609687	+22.30213988	 14.959925	Pr_tail 	 -      	Simbad	047.98609687	+22.30213988
     111	 125343573948444800	048.26258621	+32.89618236	  7.968668	Pr_tail 	 -      	Simbad	048.26258621	+32.89618236
     112	 125343608307015296	048.26594588	+32.89704158	 12.855533	Pr_tail 	 -      	Simbad	048.26594588	+32.89704158
     113	 123755191963853056	048.48159968	+32.09711012	 14.471522	Pr_tail 	 -      	Simbad	048.48159968	+32.09711012
     114	 139257717503546368	048.90885708	+37.40359015	 12.046040	Pr_tail 	 -      	Simbad	048.90885708	+37.40359015
     115	 118234509720825728	049.34592008	+26.31568875	 12.429823	Cluster 	 -      	Simbad	049.34592008	+26.31568875
     116	 118234509720825856	049.34616154	+26.31481832	 10.569167	Cluster 	 -      	Simbad	049.34616154	+26.31481832
     117	 124229390712607872	049.57469599	+31.55306973	 15.927468	Pr_tail 	 -      	Simbad	049.57469599	+31.55306973
     118	 242184757623983872	049.62599360	+44.53658781	 11.497055	Pr_tail 	 -      	Simbad	049.62599360	+44.53658781
     119	  11037726649058432	050.12263152	+08.45447668	  9.208218	Pr_tail 	 -      	Simbad	050.12263152	+08.45447668
     120	 117654650480415744	050.61831820	+27.15577566	 10.347474	Pr_tail 	 -      	Simbad	050.61831820	+27.15577566
     121	 119219294181874048	050.63270204	+28.97454904	 13.857820	Cluster 	 -      	Simbad	050.63270204	+28.97454904
     122	 222459037983904256	052.74256104	+36.42139358	 15.109962	Pr_tail 	 -      	Simbad	052.74256104	+36.42139358
     123	  42716408993806080	053.14433968	+16.15326441	 12.980800	Cluster 	 -      	Simbad	053.14433968	+16.15326441
     124	 221991882981235072	053.16701273	+35.65903270	  7.164658	Pr_tail 	 -      	Simbad	053.16701273	+35.65903270
     125	  68001499939741440	053.20942467	+23.69201715	  8.634549	Cluster 	 -      	Simbad	053.20942467	+23.69201715
     126	 220697311118463104	053.32122248	+33.12569546	 14.126502	Cluster 	 -      	Simbad	053.32122248	+33.12569546
     127	  64552022725337856	053.54486078	+22.07239944	 14.610086	Cluster 	 -      	Simbad	053.54486078	+22.07239944
     128	  13434421479476352	053.92981984	+11.55610763	 12.370232	Cluster 	 -      	Simbad	053.92981984	+11.55610763
     129	  64540958889723008	054.08362456	+22.06133161	 15.220427	Pr_tail 	 -      	Simbad	054.08362456	+22.06133161
     130	  67696694700442624	054.13097781	+22.78229279	 12.978507	Cluster 	 -      	Simbad	054.13097781	+22.78229279
     131	  56447041481918720	054.38971440	+17.85391159	 11.695927	Cluster 	 -      	Simbad	054.38971440	+17.85391159
     132	  56447037184877824	054.39202696	+17.85000238	 12.092648	Cluster 	 -      	Simbad	054.39202696	+17.85000238
     133	  64266768177592448	054.39637332	+21.34306335	  9.100624	Cluster 	 -      	Simbad	054.39637332	+21.34306335
     134	3277579398589199616	054.53054317	+06.57386108	 15.319598	Cluster 	 -      	Simbad	054.53054317	+06.57386108
     135	  57406365376348928	054.78056201	+20.42391496	 13.629227	Cluster 	 -      	Simbad	054.78056201	+20.42391496
     136	  71487329756936320	054.78357115	+28.38207406	 10.351702	Cluster 	 -      	Simbad	054.78357115	+28.38207406
     137	  44388010264995200	055.19164293	+17.57982916	 16.269010	Cluster 	 -      	Simbad	055.19164293	+17.57982916
     138	  57083830512424448	055.22964147	+19.49635227	 17.086023	Cluster 	 -      	Simbad	055.22964147	+19.49635227
     139	  65103668325506560	055.40450495	+23.34353199	 12.757081	Cluster 	 -      	Simbad	055.40450495	+23.34353199
     140	  44894472808190720	055.48191697	+18.75981317	 12.246261	Cluster 	 -      	Simbad	055.48191697	+18.75981317
     141	  44052178182130816	055.51916283	+16.42165512	 14.872567	Cluster 	 -      	Simbad	055.51916283	+16.42165512
     142	  37414254686537344	055.63346516	+12.27287248	 13.241972	Cluster 	 -      	Simbad	055.63346516	+12.27287248
     143	  70298895126196864	055.89879012	+26.35840672	 13.860557	Cluster 	 -      	Simbad	055.89879012	+26.35840672
     144	  63395989328447232	055.94682290	+20.85994698	 13.336599	Cluster 	 -      	Simbad	055.94682290	+20.85994698
     145	  42947680095257344	056.74914925	+15.40458268	 13.963063	Pr_tail 	 -      	Simbad	056.74914925	+15.40458268
     146	3277270538903180160	057.05019334	+07.14627151	 10.240202	Cluster 	 -      	Simbad	057.05019334	+07.14627151
     147	  50756415973201152	057.27306640	+18.83772654	 14.268664	Cluster 	 -      	Simbad	057.27306640	+18.83772654
     148	  50756411675761920	057.27565028	+18.83656444	 12.180684	Cluster 	 -      	Simbad	057.27565028	+18.83656444
     149	  66556672943906432	057.43103091	+24.31771451	 12.850541	Cluster 	 -      	Simbad	057.43103091	+24.31771451
     150	  43789772861265792	057.60460153	+17.24641246	  9.200381	Cluster 	 -      	Simbad	057.60460153	+17.24641246
     151	  66482352830035840	057.76369770	+23.90344384	  9.787785	Cluster 	 -      	Simbad	057.76369770	+23.90344384
     152	3277175602945236608	057.89327934	+07.37305323	 15.056119	Cluster 	 -      	Simbad	057.89327934	+07.37305323
     153	3277175602945236352	057.89441303	+07.37364425	 13.733553	Cluster 	 -      	Simbad	057.89441303	+07.37364425
     154	  51154679700663552	057.97630769	+20.27796269	 13.025031	Pr_tail 	 -      	Simbad	057.97630769	+20.27796269
     155	  51154679700662784	057.97802424	+20.27869694	 15.063430	Pr_tail 	 -      	Simbad	057.97802424	+20.27869694
     156	 230876143094206208	057.98721454	+41.20426114	 15.822496	Pr_tail 	 -      	Simbad	057.98721454	+41.20426114
     157	 218783542413339648	058.00052591	+34.12417247	 15.201999	Cluster 	 -      	Simbad	058.00052591	+34.12417247
     158	  51534045572176896	058.08724524	+20.47795923	 16.500622	Cluster 	 -      	Simbad	058.08724524	+20.47795923
     159	  36629890579758592	058.14384068	+11.26075026	 12.626208	Cluster 	 -      	Simbad	058.14384068	+11.26075026
     160	  67351757289092224	058.17154351	+25.80421569	 10.572748	Cluster 	 -      	Simbad	058.17154351	+25.80421569
     161	  43615122310787840	058.29250724	+17.32695876	  5.868284	Cluster 	 -      	Simbad	058.29250724	+17.32695876
     162	  38670343642226816	058.44437807	+13.39192671	 14.832144	Cluster 	 -      	Simbad	058.44437807	+13.39192671
     163	  38354680725946240	058.75658414	+12.48554217	  9.766113	Cluster 	 -      	Simbad	058.75658414	+12.48554217
     164	  43538293935879680	058.77775368	+16.99837228	  8.734807	Cluster 	 -      	Simbad	058.77775368	+16.99837228
     165	 168422783123428352	058.82817811	+30.89476655	 15.373560	Cluster 	 -      	Simbad	058.82817811	+30.89476655
     166	3302846072717868416	058.84237434	+09.78834683	 14.564441	Cluster 	 -      	Simbad	058.84237434	+09.78834683
     167	 220132711900103168	058.90399084	+35.98139142	 13.326239	Pr_tail 	 -      	Simbad	058.90399084	+35.98139142
     168	  51730755074345088	058.90484721	+21.31314266	 15.706417	Pr_tail 	 -      	Simbad	058.90484721	+21.31314266
     169	  49968306654050944	058.98885224	+18.43215065	 13.017426	Cluster 	 -      	Simbad	058.98885224	+18.43215065
     170	3256559313247203200	059.00561566	-00.65319268	 12.212818	Tr_tail 	 -      	Simbad	059.00561566	-00.65319268
     171	 168774798644094592	059.13854767	+31.95661480	 12.733329	Cluster 	 -      	Simbad	059.13854767	+31.95661480
     172	  51497418090942720	059.55956214	+21.05099041	 15.830492	Cluster 	 -      	Simbad	059.55956214	+21.05099041
     173	  38329666836450304	059.56042373	+12.62797070	 15.111156	Cluster 	 -      	Simbad	059.56042373	+12.62797070
     174	  38453464973610496	059.64961002	+13.10499503	  8.840317	Cluster 	 -      	Simbad	059.64961002	+13.10499503
     175	  66286704180780672	059.72779728	+25.21960821	 13.010174	Cluster 	 -      	Simbad	059.72779728	+25.21960821
     176	3301997524618877568	059.79302004	+09.28394104	 15.960349	Cluster 	 -      	Simbad	059.79302004	+09.28394104
     177	  51383893515451392	059.80696458	+20.42804912	 12.570355	Cluster 	 -      	Simbad	059.80696458	+20.42804912
     178	  53257461329357312	059.80980537	+22.04366758	 12.076345	Cluster 	 -      	Simbad	059.80980537	+22.04366758
     179	3273807936268126464	059.81285756	+06.22791583	 14.548886	Cluster 	 -      	Simbad	059.81285756	+06.22791583
     180	  46458115782368384	059.81318781	+16.66431058	 14.344322	Cluster 	 -      	Simbad	059.81318781	+16.66431058
     181	  65502206932420224	059.86149966	+23.38525712	 14.676657	Cluster 	 -      	Simbad	059.86149966	+23.38525712
     182	  53428401027681920	059.96645760	+22.60358528	 13.754287	Cluster 	 -      	Simbad	059.96645760	+22.60358528
     183	  50427387118457984	060.06549938	+19.41000435	 14.703896	Cluster 	 -      	Simbad	060.06549938	+19.41000435
